<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83897</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83897;31/01/1980;0000;14;3.81375;9.8;94.1;;;196.5;5.6125;;230.6;;1009.71125;27.82963;23.821739;20.222222;77.731481;;
83897;29/02/1980;0000;36;3.454667;10;;;;;6.746667;;112.6;;;28.352;24.8352;21.744;81.59;;
83897;31/03/1980;0000;32;3.028395;10;79.8;;;180.7;5.876543;16;70.2;;;29.407407;25.029;22.52963;81.731481;;
83897;30/04/1980;0000;18;2.882667;8.1;70.6;;;;4.16;;22.7;;;26.656;23.04;19.36;80.23;;
83897;31/05/1980;0000;36;2.396429;8.8;65.4;;;169.1;4.75;;28.5;;;24.689286;20.304444;16.675;82.785714;;
83897;30/06/1980;0000;32;2.925926;10.3;69.9;;;164.8;4.037037;;49.6;;;21.555556;16.791667;12.055556;78.712963;;
83897;31/07/1980;0000;36;2.903175;9.1;;;;;6.142857;;142;;;19.457143;15.37619;11.585714;80.583333;;
83897;31/08/1980;0000;18;2.795;10.8;;;;;5.733333;;34.1;;1015.935;21.03;16.839;13.635;82.5375;;
83897;30/09/1980;0000;0;3.260317;10.5;56;;;;5.47619;;69.1;;;19.538095;15.942222;11.538095;78.9125;;
83897;31/10/1980;0000;27;3.70411;10.5;;;;;7.465753;;80.8;;;22.179167;19.285;16.766667;83.125;;
83897;30/11/1980;0000;9;4.08375;9.8;96;;;154.1;6.675;;47.1;;1012.23;24.82963;21.3928;18.4;77.951923;;
83897;31/12/1980;0000;36;4.185714;10.8;;;;149.6;7.095238;;139.6;;;25.789286;22.672857;19.482143;78.366071;;
83897;31/01/1981;0000;9;3.413095;10;;;;125.5;7.797619;;109.9;;;27.578571;24.412143;21.75;81.517857;;
83897;28/02/1981;0000;32;3.109877;10;;;;175.2;6.493827;;104.5;;1012.31358;28.966667;25.6;22.781481;82.055556;;
