<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 82798</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82798;31/01/1981;0000;;;9.1;;;;;;8;26.6;;;29.813333;27.072;24.466667;73.716667;;
82798;28/02/1981;0000;;;6.3;;;;;;5;30.6;;;;;;;;
82798;31/03/1981;0000;;;;;;;;;2;10.9;;;;;;;;
82798;30/04/1981;0000;;;;;;;;;2;4.7;;;;;;;;
82798;31/05/1981;0000;14;3.424242;6.6;;;;;6.878788;19;148.4;;;28.372727;25.349091;22.5;82.261364;;
82798;30/06/1981;0000;14;3.387143;6.3;;;;;5.4;18;86.5;;;28.269565;24.969565;21.804348;78.369565;;
82798;31/07/1981;0000;14;4.098649;8.3;;;;195.6;5.486486;15;117.2;;;27.356;24.0832;20.816;76.72;;
82798;31/08/1981;0000;14;4.454762;8.3;126.8;;;210.5;5.202381;19;56.7;;;27.439286;24.355714;21.071429;76.473214;;
82798;30/09/1981;0000;14;4.879104;8.3;;;;;5.716418;10;61.1;;1013.8;27.913636;25.17;22.086364;72.522727;;
82798;31/10/1981;0000;14;4.237179;6.6;;;;233.3;4.846154;7;10.5;;;29.023077;;;73.211538;;
82798;30/11/1981;0000;14;4.014865;7;;;;220.9;5.364865;9;24.4;;;29.492;26.6304;23.136;71.770833;;
82798;31/12/1981;0000;14;4.166667;8.3;134;;;198.2;6.52381;16;57.5;;;29.321053;26.632632;23.514815;76.526786;;
82798;31/01/1982;0000;14;3.804301;6.6;172.5;;;;5.774194;11;55.4;;;30.019355;27.093548;23.509677;72.072581;;
82798;28/02/1982;0000;14;3.585714;5.8;142.9;;;;6.142857;18;151.7;;;29.789286;26.675;22.682143;73.330357;;
82798;31/03/1982;0000;14;3.566667;5.8;138.9;;;;5.645161;16;80.1;;;30.070968;27.125806;23.303226;74.919355;;
82798;30/04/1982;0000;;;;;;;;;1;1.2;;;;;;;;
82798;31/05/1982;0000;;;;;;;;;1;22.2;;;;;;;;
82798;30/06/1982;0000;;;;;;;;;3;9.2;;;;;;;;
82798;31/07/1982;0000;;;;;;;;;1;1.1;;;;;;;;
82798;31/08/1982;0000;;;;;;;;;5;21.5;;;;;;;;
82798;30/09/1982;0000;14;3.408696;5.8;;;;;5.57971;14;98.2;;;;;;78;;
82798;31/10/1982;0000;14;3.802174;5.8;192.3;;;278.3;4.771739;3;4.1;;;29.383871;26.200645;22.519355;67.637097;;
82798;30/11/1982;0000;14;3.793182;5.8;171;;;278.4;5.088889;14;25.9;;1010.6;29.576667;26.489333;23.39;72.091667;;
82798;31/12/1982;0000;14;4.056044;6.6;184.1;;;274.4;5.527473;17;30.6;;;29.987097;27.010667;24.36129;73.025862;;
82798;31/01/1983;0000;;;;156.8;;;240.2;;10;57.5;;;;;;;;
82798;28/02/1983;0000;;;;112.5;;;181.8;;18;236.7;;;;;;;;
82798;31/03/1983;0000;;;;138.7;;;228.7;;21;145.3;;;;;;;;
82798;30/04/1983;0000;;;;;;;214;;18;91.6;;;;;;;;
82798;31/05/1983;0000;;;;;;;227.8;;22;148.3;;;;;;;;
82798;30/06/1983;0000;;;;;;;209.9;;23;167.4;;;;;;;;
82798;31/07/1983;0000;14;3.387778;6.6;135.6;;;218.8;5;20;148.6;;;28.306452;25.113333;21.183871;79.666667;;
82798;31/08/1983;0000;;;;145.4;;;224.6;;19;97.9;;;;;;;;
82798;30/09/1983;0000;;;;168.9;;;237.4;;13;43.4;;;;;;;;
82798;31/10/1983;0000;;;;202.6;;;266.6;;14;45.9;;;;;;;;
82798;30/11/1983;0000;;;;206.6;;;299.8;;4;3.6;;;;;;;;
82798;31/12/1983;0000;;;;212.9;;;301.4;;8;7.5;;;;;;;;
82798;31/01/1984;0000;14;3.588043;5;197.5;;;279.5;5.119565;13;115.2;;;;;;72.072581;;
82798;29/02/1984;0000;14;3.733333;5.8;196.2;;;275.1;5.586207;12;63.6;;;;;;72.456897;;
82798;31/03/1984;0000;14;2.995699;5.8;144.3;;;229.5;5.612903;14;116.7;;;;;;75.879032;;
82798;30/04/1984;0000;14;2.108889;5.8;81.4;;;134.8;6.888889;26;536;;;;;;82.25;;
82798;31/05/1984;0000;18;2.430108;5.8;90.7;;;150.7;6.462366;24;484;;;;;;83.580645;;
