<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 82578</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : TERESINA - PI (OMM: 82578)
Latitude  (graus) : -5.08
Longitude (graus) : -42.81
Altitude  (metros): 74.36
Estação Operante
Inicio de operação: 21/03/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82578;31/01/1980;0000;14;1.311111;4.3;77.4;;;175.2;7.319444;13;145.6;;;32.03;26.341667;22.73;81.322917;;
82578;29/02/1980;0000;14;1.264384;3.5;43.6;;;89.8;8.821918;22;429.3;;;30.511111;25.3925;22.72963;87.3125;;
82578;31/03/1980;0000;14;1.235556;3.1;;;;154.1;7.355556;9;124.3;;;31.752;25.849333;22.272;85.533333;;
82578;30/04/1980;0000;;;4;78.2;;;210;;12;96.6;;;32.664286;;22.510714;;;
82578;31/05/1980;0000;;;;85.6;;;236.3;;7;83;;;33.175862;;22.044828;;;
82578;30/06/1980;0000;;;;111;;;217.2;;2;3.3;;;33.674074;;21.462963;;;
82578;31/07/1980;0000;;;;216.4;;;296.5;;2;18.9;;;34.736667;;20.526667;;;
82578;31/08/1980;0000;;;;268.2;;;273.9;;1;0.1;;;36.082759;;19.389655;;;
82578;30/09/1980;0000;;;;;;;217.2;;4;25.5;;;36.648;;21.86;;;
82578;31/10/1980;0000;;;;;;;228.8;;3;4.9;;;37.465385;;22.780769;;;
82578;30/11/1980;0000;;;;137.1;;;172.6;;9;85.4;;;34.925926;;23.025926;;;
82578;31/12/1980;0000;;;;;;;133.6;;10;44.8;;;33.753846;;22.669231;;;
82578;31/01/1981;0000;14;1.211538;5;;;;133.9;7.846154;17;316.4;;;31.955556;26.118462;22.568;81.826923;;
82578;28/02/1981;0000;9;1.201493;3;;;;;5.910448;3;21.5;;999.832836;33.145455;26.697273;22.395455;80.407895;;
82578;31/03/1981;0000;5;1.529213;6.3;87.7;;;161.5;7.269663;13;250.5;;;32.546667;26.535333;22.74;86.276316;;
82578;30/04/1981;0000;14;1.482759;6.3;91.2;;;258.5;4.965517;8;55.7;;;32.972414;26.615172;22.017241;;;
