--------------------
BDMEP - INMET
--------------------
Estação           : ARACAJU - SE (OMM: 83096)
Latitude  (graus) : -10.95
Longitude (graus) : -37.04
Altitude  (metros): 4.72
Estação Operante
Inicio de operação: 01/03/1910
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83096;01/01/1980;0000;;29;;4.1;2.2;26.34;75.5;4.033333;
83096;01/01/1980;1200;0;;22.5;;;;;;
83096;02/01/1980;0000;;29.1;;3.9;3;26.9;81.5;4.333333;
83096;02/01/1980;1200;0;;24.3;;;;;;
83096;03/01/1980;0000;;29;;0.3;2.5;26.94;86.5;4.4;
83096;03/01/1980;1200;0;;25.2;;;;;;
83096;04/01/1980;0000;;28.9;;3;1.8;25.36;87.5;3.566667;
83096;04/01/1980;1200;12.2;;25.1;;;;;;
83096;05/01/1980;0000;;28.8;;1.2;1.5;26.02;83.25;2.166667;
83096;05/01/1980;1200;8.2;;21.9;;;;;;
83096;06/01/1980;0000;;29.4;;2.4;1.8;26.22;89.25;3.233333;
83096;06/01/1980;1200;0;;25.6;;;;;;
83096;07/01/1980;0000;;28;;0.6;1.7;26.02;75.75;4;
83096;07/01/1980;1200;9.9;;21.8;;;;;;
83096;08/01/1980;0000;;29.2;;9.6;2.5;26.26;74;3.433333;
83096;08/01/1980;1200;30.1;;22.1;;;;;;
83096;09/01/1980;0000;;28.6;;9.9;3;26.14;81;3.966667;
83096;09/01/1980;1200;2.6;;22.5;;;;;;
83096;10/01/1980;0000;;29.7;;8.9;3.3;26.84;74.5;4.7;
83096;10/01/1980;1200;0;;22.5;;;;;;
83096;11/01/1980;0000;;29.6;;10.2;2.8;26.98;75.25;3.166667;
83096;11/01/1980;1200;0;;23.7;;;;;;
