--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82024;01/01/1980;0000;;;;;;;;3.566667;
82024;02/01/1980;0000;;;;;;;;2.533333;
82024;03/01/1980;0000;;31.4;;1.8;6.5;26.12;89.25;3.766667;
82024;03/01/1980;1200;0;;23;;;;;;
82024;04/01/1980;0000;;;;;;;;3.6;
82024;05/01/1980;0000;;;;;;;;4.5;
82024;06/01/1980;0000;;32.6;;5.3;9.3;27.4;76.5;3.8;
82024;06/01/1980;1200;0;;23.3;;;;;;
82024;07/01/1980;0000;;;;;;;;4.6;
82024;08/01/1980;0000;;;;;;;;2.933333;
82024;09/01/1980;0000;;32.3;;2.9;9.1;26.72;79;3.033333;
82024;09/01/1980;1200;0;;21.5;;;;;;
82024;10/01/1980;0000;;;;;;;;3.333333;
82024;11/01/1980;0000;;;;;;;;3.466667;
82024;12/01/1980;0000;;;;;;;;3.866667;
82024;13/01/1980;0000;;33;;11;9.2;26.96;68;3.466667;
82024;13/01/1980;1200;0;;20.6;;;;;;
82024;14/01/1980;0000;;33.6;;11;10.2;28.24;70.5;4.1;
82024;14/01/1980;1200;0;;22.2;;;;;;
82024;15/01/1980;0000;;34.3;;10.6;9.2;28.3;65.5;4.2;
82024;15/01/1980;1200;0;;23;;;;;;
82024;16/01/1980;0000;;33.4;;9.8;10.5;28.02;72.75;3.766667;
82024;16/01/1980;1200;0;;23.7;;;;;;
82024;17/01/1980;0000;;33.6;;10.1;9.5;28.4;67;3.6;
82024;17/01/1980;1200;0;;23;;;;;;
82024;18/01/1980;0000;;;;;;;;3.066667;
82024;19/01/1980;0000;;33.8;;4.9;11.5;28.26;71.5;1.766667;
82024;19/01/1980;1200;0;;22.1;;;;;;
82024;20/01/1980;0000;;33.9;;5.4;7;27.14;82.5;3.4;
82024;20/01/1980;1200;0;;24;;;;;;
82024;21/01/1980;0000;;;;;;;;1.333333;
82024;22/01/1980;0000;;31.8;;3.2;4;26.3;87;2.733333;
82024;22/01/1980;1200;2;;22.6;;;;;;
82024;23/01/1980;0000;;31.4;;5;5.5;26.92;74.5;6;
82024;23/01/1980;1200;1;;22;;;;;;
82024;24/01/1980;0000;;;;;;;;4.233333;
82024;25/01/1980;0000;;;;;;;;4.633333;
82024;26/01/1980;0000;;;;;;;;2.866667;
82024;27/01/1980;0000;;32;;1.3;6;27.24;78.75;4.066667;
82024;27/01/1980;1200;0;;24.2;;;;;;
82024;28/01/1980;0000;;31.4;;7.5;7;26.28;84;4.366667;
82024;28/01/1980;1200;0;;23.6;;;;;;
82024;29/01/1980;0000;;31.9;;9.3;8;27.3;65.25;4.466667;
82024;29/01/1980;1200;0;;23.2;;;;;;
82024;30/01/1980;0000;;;;;;;;3.333333;
82024;31/01/1980;0000;;33.6;;11;10.8;28.2;65.5;2.933333;
82024;31/01/1980;1200;0;;22.8;;;;;;
82024;01/02/1980;0000;;34;;2.1;1.2;28.52;72.5;3.7;
82024;01/02/1980;1200;0;;24.8;;;;;;
82024;02/02/1980;0000;;32.5;;7.3;8;27.88;74.75;4.3;
82024;02/02/1980;1200;0;;24.2;;;;;;
82024;03/02/1980;0000;;34;;10.6;13;28.44;72.75;3.766667;
82024;03/02/1980;1200;0;;24.2;;;;;;
82024;04/02/1980;0000;;33.4;;6.6;12.5;28.24;63.5;4.233333;
82024;04/02/1980;1200;0;;23.2;;;;;;
82024;05/02/1980;0000;;;;;;;;5.833333;
82024;06/02/1980;0000;;33.4;;6.4;10.5;28.32;66;5.133333;
82024;06/02/1980;1200;0;;23.4;;;;;;
82024;07/02/1980;0000;;;;;;;;5.1;
82024;08/02/1980;0000;;34;;10.5;13.6;28.02;61.5;5.233333;
82024;08/02/1980;1200;0;;23.5;;;;;;
82024;09/02/1980;0000;;34.8;;9.3;14.2;28.56;57.25;4.433333;
82024;09/02/1980;1200;0;;23;;;;;;
82024;10/02/1980;0000;;;;;;;;4.866667;
82024;11/02/1980;0000;;34.7;;3.8;13;28.72;69.75;5.033333;
82024;11/02/1980;1200;0;;24;;;;;;
