--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83361;01/01/1980;0000;;28.4;;10.2;1.3;23.88;66.75;1.766667;
83361;01/01/1980;1200;5.3;;20.4;;;;;;
83361;02/01/1980;0000;;30.4;;11.2;4.1;24.68;;1.733333;
83361;02/01/1980;1200;0;;19.2;;;;;;
83361;03/01/1980;0000;;33.6;;10.7;4.3;26.4;;1;
83361;03/01/1980;1200;0;;20.2;;;;;;
83361;04/01/1980;0000;;35.2;;11.5;3.8;28.52;;1.3;
83361;04/01/1980;1200;0;;22.2;;;;;;
83361;05/01/1980;0000;;34.2;;6.6;6.2;27.64;;1.933333;
83361;05/01/1980;1200;0;;24.6;;;;;;
83361;06/01/1980;0000;;31.6;;5.2;3.9;26.48;75.75;2.966667;
83361;06/01/1980;1200;3.9;;22.6;;;;;;
83361;07/01/1980;0000;;28.4;;1.3;4.4;25.96;83;1.933333;
83361;07/01/1980;1200;0.4;;24.4;;;;;;
83361;08/01/1980;0000;;28.4;;1.1;1.9;24.8;89.25;2;
83361;08/01/1980;1200;52;;22.6;;;;;;
83361;09/01/1980;0000;;33.3;;7.3;1.4;27.86;78;1.466667;
83361;09/01/1980;1200;10.2;;22.8;;;;;;
83361;10/01/1980;0000;;33.4;;7.6;2.9;26.28;87.5;1.5;
83361;10/01/1980;1200;1.2;;23.6;;;;;;
83361;11/01/1980;0000;;31.4;;3.2;3.2;26.4;81;1.5;
83361;11/01/1980;1200;29.6;;22.8;;;;;;
83361;12/01/1980;0000;;30.4;;3.4;2.7;25.08;94.25;1.533333;
83361;12/01/1980;1200;0;;23;;;;;;
83361;13/01/1980;0000;;32.4;;10;1.4;27;78.25;1.033333;
83361;13/01/1980;1200;24.4;;22.4;;;;;;
83361;14/01/1980;0000;;34;;9.8;3.2;28.44;73.25;1.2;
83361;14/01/1980;1200;0;;23.6;;;;;;
83361;15/01/1980;0000;;34.8;;9.5;3.6;27.52;;1.866667;
83361;15/01/1980;1200;0;;24;;;;;;
83361;16/01/1980;0000;;34;;7.1;4.2;27;81.25;1.3;
