--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83897;01/01/1980;0000;;25;;12.3;4.1;21.54;65.5;5.166667;
83897;01/01/1980;1200;0;;17;;;;;;
83897;02/01/1980;0000;;24.4;;11.7;3.5;;70.75;6.366667;
83897;02/01/1980;1200;0;;14.6;;;;;;
83897;03/01/1980;0000;;26.4;;11.5;4.5;;73.5;3.333333;
83897;03/01/1980;1200;0;;15;;;;;;
83897;04/01/1980;0000;;27.4;;8.6;3.5;23.4;70.25;4.066667;
83897;04/01/1980;1200;0;;18.8;;;;;;
83897;05/01/1980;0000;;27.4;;8;3.7;23.04;75.25;3.933333;
83897;05/01/1980;1200;0;;20.2;;;;;;
83897;07/01/1980;0000;;25;;3.2;3;23.32;85.25;4.2;
83897;07/01/1980;1200;1.1;;22.3;;;;;;
83897;08/01/1980;0000;;30.3;;7.1;2.1;25.62;82;3.233333;
83897;08/01/1980;1200;2.6;;21.5;;;;;;
83897;09/01/1980;0000;;25.5;;0.9;2.5;23.4;91.25;2.666667;
83897;09/01/1980;1200;32.6;;21.7;;;;;;
83897;11/01/1980;0000;;28.4;;10;2.5;23.6;68.5;2.1;
83897;11/01/1980;1200;13.7;;18.2;;;;;;
83897;12/01/1980;0000;;27.4;;10.9;4.2;23.56;72.5;2.966667;
83897;12/01/1980;1200;0;;18.6;;;;;;
83897;13/01/1980;0000;;26.5;;12;3.5;23.8;73.5;3.633333;
83897;13/01/1980;1200;0;;19.8;;;;;;
83897;14/01/1980;0000;;26.4;;11.5;5.9;23;73;4.433333;
83897;14/01/1980;1200;0;;21.2;;;;;;
83897;15/01/1980;0000;;26.6;;5.9;4.7;23.32;83.25;4.266667;
83897;15/01/1980;1200;2.5;;20;;;;;;
83897;16/01/1980;0000;;26.6;;3.6;3;24.04;81;3;
83897;16/01/1980;1200;21.2;;21.4;;;;;;
83897;17/01/1980;0000;;27;;0.7;3;23.4;90.5;3.7;
83897;17/01/1980;1200;3.2;;22.2;;;;;;
83897;18/01/1980;0000;;29;;4.7;1;24.54;87.25;3.533333;
83897;18/01/1980;1200;20.7;;22.2;;;;;;
83897;19/01/1980;0000;;30.2;;8.7;1.8;23.72;83;2.733333;
83897;19/01/1980;1200;36.8;;20.8;;;;;;
83897;20/01/1980;0000;;32.1;;10.3;2.7;25.66;74.75;4.6;
83897;20/01/1980;1200;87;;20.4;;;;;;
83897;21/01/1980;0000;;29;;11.1;4.4;24.54;72.25;2.333333;
83897;21/01/1980;1200;0;;20.1;;;;;;
83897;22/01/1980;0000;;30.8;;11.7;4.1;;82.25;4.966667;
83897;22/01/1980;1200;0;;20.8;;;;;;
83897;23/01/1980;0000;;33.6;;8;3.5;;73.75;3.9;
83897;23/01/1980;1200;0;;23.5;;;;;;
83897;24/01/1980;0000;;30;;1.5;4.5;24.92;80.5;4.8;
83897;24/01/1980;1200;3.4;;23;;;;;;
83897;25/01/1980;0000;;23.4;;0;3.9;21.14;75.25;5.066667;
83897;25/01/1980;1200;5.8;;18.3;;;;;;
83897;27/01/1980;0000;;28.6;;8.7;3.2;24.76;76.25;3.366667;
83897;27/01/1980;1200;0;;19.9;;;;;;
83897;28/01/1980;0000;;27.8;;0.6;2.6;24.54;84;2.8;
83897;28/01/1980;1200;0;;22.9;;;;;;
83897;30/01/1980;0000;;28.6;;11.6;3.5;24.36;71.5;3.8;
83897;30/01/1980;1200;0;;19.8;;;;;;
83897;31/01/1980;0000;;28;;1.7;5.2;24.68;82;4.233333;
83897;31/01/1980;1200;0;;21.8;;;;;;
83897;02/02/1980;0000;;27;;7.6;4.9;24.34;77.5;4.266667;
83897;02/02/1980;1200;8;;22.1;;;;;;
83897;03/02/1980;0000;;26.8;;4.7;4.2;23.88;76;1.733333;
83897;03/02/1980;1200;4.4;;20.2;;;;;;
83897;04/02/1980;0000;;28.5;;6.2;3.4;24.32;76.5;2.2;
83897;04/02/1980;1200;0;;20;;;;;;
83897;05/02/1980;0000;;28.2;;6.6;3.4;24.96;81.5;3.766667;
83897;05/02/1980;1200;7.6;;22.2;;;;;;
83897;06/02/1980;0000;;28.8;;5.7;4;26;81.5;4.966667;
83897;06/02/1980;1200;0;;23.6;;;;;;
83897;07/02/1980;0000;;30.1;;6.5;2.8;25.46;83.25;2.5;
83897;07/02/1980;1200;0;;21.2;;;;;;
83897;08/02/1980;0000;;28.5;;11.7;2.3;25.18;77;2.066667;
83897;08/02/1980;1200;18.4;;21;;;;;;
83897;09/02/1980;0000;;29.6;;8.3;4;26.36;80.75;4.233333;
83897;09/02/1980;1200;0;;23.2;;;;;;
83897;10/02/1980;0000;;27.8;;0.4;3;25.6;88;4.2;
83897;10/02/1980;1200;2.2;;23.6;;;;;;
83897;12/02/1980;0000;;28.8;;4.7;2.4;25.66;81.5;2.633333;
83897;12/02/1980;1200;0.7;;22.2;;;;;;
83897;13/02/1980;0000;;30;;10.4;2.6;25.96;75.25;4.233333;
83897;13/02/1980;1200;0;;21.6;;;;;;
83897;14/02/1980;0000;;28.7;;9.6;4.8;25.06;75.5;3.3;
83897;14/02/1980;1200;0;;20.5;;;;;;
83897;15/02/1980;0000;;28;;2.5;4;25.04;91;1.733333;
83897;15/02/1980;1200;0.9;;22.8;;;;;;
83897;16/02/1980;0000;;29.8;;8.2;1.5;26.38;80.5;3.066667;
83897;16/02/1980;1200;9.1;;23.1;;;;;;
83897;17/02/1980;0000;;27.1;;0.4;3.2;23.88;90.75;2.466667;
83897;17/02/1980;1200;0;;22.2;;;;;;
83897;19/02/1980;0000;;24.6;;2.9;4.7;22.1;76.5;5.533333;
83897;19/02/1980;1200;8.3;;20.3;;;;;;
83897;20/02/1980;0000;;26.2;;9.9;3.7;23.5;69.75;7;
83897;20/02/1980;1200;1;;19.9;;;;;;
83897;21/02/1980;0000;;28.9;;10.8;4.8;24.36;74.5;2.5;
83897;21/02/1980;1200;0;;18.3;;;;;;
83897;23/02/1980;0000;;29.8;;5.6;3;23.88;83.5;2.4;
83897;23/02/1980;1200;2.2;;20.8;;;;;;
83897;24/02/1980;0000;;29.5;;7.8;2.6;25.68;82.75;5.5;
83897;24/02/1980;1200;2.7;;20.8;;;;;;
83897;25/02/1980;0000;;29.9;;4.6;2.8;25;83.25;3.6;
83897;25/02/1980;1200;0;;22.8;;;;;;
83897;26/02/1980;0000;;27.9;;0.6;2.5;24.34;89;2.266667;
83897;26/02/1980;1200;5.2;;22.2;;;;;;
83897;27/02/1980;0000;;25.5;;0;1.9;24.12;86.5;4.033333;
83897;27/02/1980;1200;6.8;;23.1;;;;;;
83897;28/02/1980;0000;;29.8;;6.1;2.4;25.64;84.25;3.4;
83897;28/02/1980;1200;0;;23.5;;;;;;
83897;29/02/1980;0000;;29;;1.2;2.6;24.18;93.25;1.933333;
83897;29/02/1980;1200;35.1;;22.4;;;;;;
83897;01/03/1980;0000;;29.8;;10.5;1.4;;86.5;4.333333;
83897;01/03/1980;1200;5;;22.1;;;;;;
83897;02/03/1980;0000;;29.7;;9.3;2.5;;86.5;4.7;
83897;02/03/1980;1200;0;;24;;;;;;
83897;03/03/1980;0000;;29.9;;7.1;2;;83;2.366667;
83897;03/03/1980;1200;0;;23.8;;;;;;
83897;04/03/1980;0000;;29.6;;10.1;2.9;26.68;78.75;4.166667;
83897;04/03/1980;1200;0;;25.1;;;;;;
83897;05/03/1980;0000;;29.9;;10.2;3.4;;76.25;4.066667;
83897;05/03/1980;1200;0;;23.4;;;;;;
83897;06/03/1980;0000;;30.5;;10.2;3.4;26.36;78.25;3.466667;
83897;06/03/1980;1200;0;;23;;;;;;
83897;07/03/1980;0000;;31.3;;5.5;3.1;25.76;83.75;2.2;
83897;07/03/1980;1200;0;;23.1;;;;;;
83897;08/03/1980;0000;;29.4;;6.9;2.6;25.06;85;2.8;
83897;08/03/1980;1200;3.6;;22.1;;;;;;
83897;09/03/1980;0000;;30.6;;7.8;3;25.76;81.5;1.6;
83897;09/03/1980;1200;2.8;;22.4;;;;;;
83897;10/03/1980;0000;;31.3;;9.2;2.4;25.94;81;1.4;
83897;10/03/1980;1200;0;;22.2;;;;;;
83897;11/03/1980;0000;;31.3;;4;2.7;25.38;85.75;1.533333;
83897;11/03/1980;1200;0.2;;22.5;;;;;;
83897;12/03/1980;0000;;30.6;;4.8;2.1;24.96;85;2.9;
83897;12/03/1980;1200;4.2;;22.5;;;;;;
83897;13/03/1980;0000;;27.3;;3.1;3.1;24.52;80.5;3.2;
83897;13/03/1980;1200;0.5;;21.8;;;;;;
83897;14/03/1980;0000;;26.8;;4.4;4.3;24.64;72;4.233333;
83897;14/03/1980;1200;2;;22;;;;;;
83897;15/03/1980;0000;;26;;0;4.3;22.56;85.75;1.7;
83897;15/03/1980;1200;2.6;;20;;;;;;
83897;16/03/1980;0000;;25.4;;0;2.2;23.12;89.5;5.7;
83897;16/03/1980;1200;1.3;;21.5;;;;;;
83897;18/03/1980;0000;;30;;6.8;1.6;25.96;84;1.7;
83897;18/03/1980;1200;12.2;;23.6;;;;;;
83897;19/03/1980;0000;;29.4;;10;2.5;26.04;82;3.7;
83897;19/03/1980;1200;1;;23.2;;;;;;
83897;20/03/1980;0000;;29;;10.2;2.7;25.54;80.25;3.7;
83897;20/03/1980;1200;0;;22;;;;;;
83897;21/03/1980;0000;;31.2;;10.6;3.5;26.08;79.5;2.633333;
83897;21/03/1980;1200;0;;22.6;;;;;;
83897;22/03/1980;0000;;31.4;;10.2;3.4;;81;3.833333;
83897;22/03/1980;1200;0;;22.6;;;;;;
83897;24/03/1980;0000;;31;;8.8;6.3;;85.25;2.566667;
83897;24/03/1980;1200;0;;24.2;;;;;;
83897;27/03/1980;0000;;31.8;;7.4;2.9;25.72;81.5;1.6;
83897;27/03/1980;1200;19.8;;22.6;;;;;;
83897;28/03/1980;0000;;30.2;;5.3;2.9;;84.25;1.6;
83897;28/03/1980;1200;2.8;;23;;;;;;
83897;29/03/1980;0000;;28.9;;2.5;2.3;24.56;85.5;1.033333;
83897;29/03/1980;1200;8.6;;22.3;;;;;;
83897;30/03/1980;0000;;25.8;;4.1;2.3;23.78;70.5;7.2;
83897;30/03/1980;1200;3.4;;22.3;;;;;;
83897;31/03/1980;0000;;25.9;;1.7;4;22.16;74;1.433333;
83897;31/03/1980;1200;0.2;;18.4;;;;;;
83897;01/04/1980;0000;;26;;9.1;3.3;22.62;73.5;3.533333;
83897;01/04/1980;1200;0;;18.7;;;;;;
83897;02/04/1980;0000;;26.4;;10;3.4;21.28;75.25;1.3;
83897;02/04/1980;1200;0;;17.8;;;;;;
83897;03/04/1980;0000;;27.9;;6;4.7;23.28;78.75;2.733333;
83897;03/04/1980;1200;0;;18.9;;;;;;
