--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82397;01/01/1980;0000;;31;;5.5;6.5;28.08;76.5;5.1;
82397;01/01/1980;1200;0;;26;;;;;;
82397;02/01/1980;0000;;31.2;;6.6;5.1;;;;
82397;02/01/1980;1200;0;;26;;;;;;
82397;03/01/1980;0000;;31.6;;8.8;4.8;;;;
82397;03/01/1980;1200;0;;26;;;;;;
82397;04/01/1980;0000;;31.4;;7.6;4.1;;;;
82397;04/01/1980;1200;0.3;;25.2;;;;;;
82397;05/01/1980;0000;;32;;7.6;5.6;;;;
82397;05/01/1980;1200;0;;25;;;;;;
82397;06/01/1980;0000;;31.6;;5;5.4;27.12;81.25;4.566667;
82397;06/01/1980;1200;0.8;;23.8;;;;;;
82397;08/01/1980;0000;;31;;9.5;5.1;27.44;78.5;4.8;
82397;08/01/1980;1200;4.8;;24;;;;;;
82397;09/01/1980;0000;;30.6;;3.3;5.5;27.56;78;4.566667;
82397;09/01/1980;1200;0;;24.2;;;;;;
82397;10/01/1980;0000;;31.2;;3.5;4.5;27.66;83;3.6;
82397;10/01/1980;1200;0;;24.5;;;;;;
82397;11/01/1980;0000;;30;;3.5;3.5;26.44;81;2.433333;
82397;11/01/1980;1200;34.6;;23;;;;;;
82397;12/01/1980;0000;;30.6;;9.8;3;;;;
82397;12/01/1980;1200;0;;24.2;;;;;;
82397;13/01/1980;0000;;30.6;;9.5;4.3;;;;
82397;13/01/1980;1200;0;;25.6;;;;;;
82397;14/01/1980;0000;;29.8;;0.8;3.2;26.04;89;0.766667;
82397;14/01/1980;1200;19.6;;23.4;;;;;;
82397;15/01/1980;0000;;27.4;;1.6;1.5;25.12;90.75;1;
82397;15/01/1980;1200;26.3;;23.4;;;;;;
82397;16/01/1980;0000;;31;;10.4;1.2;27.04;83.5;3.133333;
82397;16/01/1980;1200;1.3;;22.6;;;;;;
82397;17/01/1980;0000;;30.6;;4.1;2.8;26.6;85.25;4.3;
82397;17/01/1980;1200;4;;23.4;;;;;;
82397;20/01/1980;0000;;30.6;;9.4;2.6;27.8;81.75;5.066667;
82397;20/01/1980;1200;0.5;;25.4;;;;;;
82397;21/01/1980;0000;;31;;4;5.2;;;;
82397;21/01/1980;1200;0;;25.4;;;;;;
82397;22/01/1980;0000;;30.4;;8.2;4.8;;;;
82397;22/01/1980;1200;0.4;;26.4;;;;;;
82397;23/01/1980;0000;;30.4;;6.6;4.2;;;;
82397;23/01/1980;1200;0.5;;25.8;;;;;;
82397;24/01/1980;0000;;30.2;;9.2;5;;;;
82397;24/01/1980;1200;0;;25.6;;;;;;
82397;25/01/1980;0000;;30.8;;10;5;;;;
82397;25/01/1980;1200;0;;25;;;;;;
82397;26/01/1980;0000;;31.2;;10.4;5;;;;
82397;26/01/1980;1200;0;;26;;;;;;
82397;27/01/1980;0000;;30.6;;10.1;4;27.84;83.75;5.366667;
82397;27/01/1980;1200;0;;25.6;;;;;;
82397;28/01/1980;0000;;30.4;;8.1;3.5;27.3;84.5;4.033333;
82397;28/01/1980;1200;0.4;;24.5;;;;;;
82397;29/01/1980;0000;;30.8;;10.3;4.5;27.88;81.25;3.866667;
82397;29/01/1980;1200;0;;25.6;;;;;;
82397;30/01/1980;0000;;31.4;;10.5;4;;;;
82397;30/01/1980;1200;0;;24.5;;;;;;
82397;31/01/1980;0000;;30.4;;9.2;4.5;27.72;80.75;3.566667;
82397;31/01/1980;1200;0;;25.6;;;;;;
82397;01/02/1980;0000;;31.4;;10.4;4.2;27.88;77;4.766667;
82397;01/02/1980;1200;0;;24.6;;;;;;
82397;02/02/1980;0000;;31.4;;9.9;4.6;;;;
82397;02/02/1980;1200;0;;24.2;;;;;;
82397;03/02/1980;0000;;31;;8.8;5;;;;
82397;03/02/1980;1200;0;;24.5;;;;;;
82397;04/02/1980;0000;;30.4;;10.4;4.2;;;;
82397;04/02/1980;1200;0;;26;;;;;;
82397;05/02/1980;0000;;31;;8;3.8;;;;
82397;05/02/1980;1200;0;;26;;;;;;
82397;06/02/1980;0000;;30.8;;4.9;3.8;;;;
82397;06/02/1980;1200;0.6;;24.8;;;;;;
