--------------------
BDMEP - INMET
--------------------
Estação           : GOIANIA - GO (OMM: 83423)
Latitude  (graus) : -16.66
Longitude (graus) : -49.25
Altitude  (metros): 741.48
Estação Operante
Inicio de operação: 11/07/1937
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83423;01/01/1980;0000;;26;;;1.1;22.04;80.75;0.533333;
83423;01/01/1980;1200;12;;19.6;;;;;;
83423;02/01/1980;0000;;27.3;;;2.2;23.2;66;0.966667;
83423;02/01/1980;1200;0;;20.1;;;;;;
83423;03/01/1980;0000;;30.5;;;3.6;25.24;62.5;0.533333;
83423;03/01/1980;1200;0;;20.1;;;;;;
83423;04/01/1980;0000;;32.2;;;4.6;25.74;56.25;0;
83423;04/01/1980;1200;0;;18.7;;;;;;
83423;05/01/1980;0000;;32.2;;;5.5;25.62;62.75;1.133333;
83423;05/01/1980;1200;0;;19.5;;;;;;
83423;06/01/1980;0000;;30.3;;;5.5;24.3;80;0.366667;
83423;06/01/1980;1200;0;;20.4;;;;;;
83423;07/01/1980;0000;;29.4;;;1.8;22.36;89.25;0.433333;
83423;07/01/1980;1200;10;;19.4;;;;;;
83423;08/01/1980;0000;;26.4;;;1.7;22.64;85.25;0;
83423;08/01/1980;1200;53.6;;19.2;;;;;;
83423;09/01/1980;0000;;29.6;;;1.3;23.36;82.25;0.833333;
83423;09/01/1980;1200;4.4;;20.2;;;;;;
83423;10/01/1980;0000;;24.1;;;2;22;86;1.2;
83423;10/01/1980;1200;57.8;;20.7;;;;;;
83423;11/01/1980;0000;;28.1;;;1.6;23.04;79.75;1.633333;
83423;11/01/1980;1200;6.1;;19.9;;;;;;
83423;12/01/1980;0000;;24.5;;;2;21.46;93.5;0.533333;
83423;12/01/1980;1200;7.7;;20;;;;;;
83423;13/01/1980;0000;;26.2;;;1;21.54;88.75;0.833333;
83423;13/01/1980;1200;47.8;;18.7;;;;;;
83423;14/01/1980;0000;;26.7;;;0.6;22.22;92.75;0;
83423;14/01/1980;1200;27.3;;20;;;;;;
83423;15/01/1980;0000;;27.2;;;1;22.84;93.5;0;
83423;15/01/1980;1200;25.4;;20.8;;;;;;
83423;16/01/1980;0000;;24.6;;;0.8;21.44;93;0;
83423;16/01/1980;1200;43.8;;20;;;;;;
83423;17/01/1980;0000;;25.5;;;1;21.64;92;1.866667;
83423;17/01/1980;1200;86.4;;20.1;;;;;;
83423;18/01/1980;0000;;25.8;;;1.2;21.52;89;0.833333;
83423;18/01/1980;1200;18.4;;19.6;;;;;;
83423;19/01/1980;0000;;28.8;;;;;;0;
83423;19/01/1980;1200;11;;19.5;;;;;;
83423;20/01/1980;0000;;30.6;;;;23.66;75.25;1.033333;
83423;20/01/1980;1200;0;;19.7;;;;;;
83423;21/01/1980;0000;;31.8;;;3;23.88;77.25;0.766667;
83423;21/01/1980;1200;1.6;;18.8;;;;;;
83423;22/01/1980;0000;;32.1;;;3;24.9;82;0.766667;
83423;22/01/1980;1200;5.8;;20.2;;;;;;
83423;23/01/1980;0000;;30.4;;;2.5;23.66;92.75;1.633333;
83423;23/01/1980;1200;1.8;;20.9;;;;;;
83423;24/01/1980;0000;;29.2;;;1.5;22.76;88.75;1.333333;
83423;24/01/1980;1200;27.3;;20.2;;;;;;
83423;25/01/1980;0000;;30.2;;;2.2;23.8;77.5;0.866667;
83423;25/01/1980;1200;22.8;;20.2;;;;;;
83423;26/01/1980;0000;;29.8;;;2.6;24.04;80.75;0;
83423;26/01/1980;1200;9.4;;20.4;;;;;;
83423;27/01/1980;0000;;29.5;;;2.6;24.86;74;0.7;
83423;27/01/1980;1200;1;;21.6;;;;;;
83423;28/01/1980;0000;;32;;;3;23.74;77.75;1.133333;
83423;28/01/1980;1200;0;;20.5;;;;;;
83423;29/01/1980;0000;;27.8;;;3;23.42;83;0;
83423;29/01/1980;1200;45.2;;20.2;;;;;;
83423;30/01/1980;0000;;25.2;;;1.4;23.26;85.75;1.333333;
83423;30/01/1980;1200;0;;21.6;;;;;;
