--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82798;02/01/1981;0000;;30.4;;0;;27.7;74;3.666667;
82798;02/01/1981;1200;0.3;;26.6;;;;;;
82798;05/01/1981;0000;;30;;8.1;;26.82;72.5;3.966667;
82798;05/01/1981;1200;0;;22.8;;;;;;
82798;08/01/1981;0000;;29.4;;7.6;5.6;27.34;75;3.733333;
82798;08/01/1981;1200;2.2;;26.2;;;;;;
82798;09/01/1981;0000;;30.2;;10.6;5.4;27.66;70.75;4.433333;
82798;09/01/1981;1200;0;;26;;;;;;
82798;10/01/1981;0000;;30.4;;10;6.4;27.74;72.5;4.133333;
82798;10/01/1981;1200;0;;25.4;;;;;;
82798;11/01/1981;0000;;30;;9;6.3;27.36;68.5;4.033333;
82798;11/01/1981;1200;0.3;;25.7;;;;;;
82798;14/01/1981;0000;;29.8;;4.1;5.1;26.9;78.5;3.433333;
82798;14/01/1981;1200;4.7;;23.8;;;;;;
82798;15/01/1981;0000;;29.2;;6.8;4.4;26.6;79.5;4.166667;
82798;15/01/1981;1200;6;;24.1;;;;;;
82798;16/01/1981;0000;;29.4;;6.9;5.1;26.94;65;4.3;
82798;16/01/1981;1200;3.4;;24;;;;;;
82798;18/01/1981;0000;;30.4;;2.9;5;27.36;79;5.233333;
82798;18/01/1981;1200;0;;24.3;;;;;;
82798;19/01/1981;0000;;28.4;;0.5;4;25.84;82.5;2.4;
82798;19/01/1981;1200;8;;23.7;;;;;;
82798;20/01/1981;0000;;29.8;;7.1;3.2;27.04;71.75;3.966667;
82798;20/01/1981;1200;1.7;;23.7;;;;;;
82798;21/01/1981;0000;;29.4;;5.1;5.2;26.68;72.25;3.2;
82798;21/01/1981;1200;0;;23.7;;;;;;
82798;22/01/1981;0000;;30;;9;4.9;26.9;69.75;3.566667;
82798;22/01/1981;1200;0;;22.5;;;;;;
82798;29/01/1981;0000;;30.4;;9.1;6.8;27.2;74.25;3.866667;
82798;29/01/1981;1200;0;;24.5;;;;;;
82798;01/02/1981;0000;;30.8;;10.8;7.1;28.08;66.5;4.8;
82798;01/02/1981;1200;0;;26.4;;;;;;
82798;04/02/1981;0000;;27.2;;0.9;3.1;24.58;87.5;2.733333;
82798;04/02/1981;1200;14.8;;22;;;;;;
82798;07/02/1981;0000;;30.4;;9.4;8.8;27.58;72.75;3.366667;
82798;07/02/1981;1200;0.4;;24.5;;;;;;
82798;09/02/1981;0000;;30;;9.9;6.7;27.38;73.75;4.733333;
82798;09/02/1981;1200;0.4;;24.6;;;;;;
82798;10/02/1981;0000;;30.7;;5.9;6.1;27.1;70;4.7;
82798;10/02/1981;1200;0;;23.5;;;;;;
82798;13/02/1981;0000;;30.3;;6.6;5.8;27.24;69;5.233333;
82798;13/02/1981;1200;0;;22.5;;;;;;
82798;19/02/1981;0000;;29.5;;10.1;6;26.78;73;4.133333;
82798;19/02/1981;1200;7.7;;23.3;;;;;;
82798;20/02/1981;0000;;29.8;;10.7;5.4;27.68;75;5.266667;
82798;20/02/1981;1200;0;;25.9;;;;;;
82798;25/02/1981;0000;;29.5;;8.7;7.3;27.5;70.5;4.4;
82798;25/02/1981;1200;0;;26.1;;;;;;
82798;28/02/1981;0000;;29.6;;9.2;4;26.74;71.5;4.4;
82798;28/02/1981;1200;7.3;;23.7;;;;;;
82798;04/03/1981;0000;;30;;;7.3;27.68;73;3.833333;
82798;04/03/1981;1200;0;;25.8;;;;;;
82798;17/03/1981;0000;;29.3;;4.9;2;25.98;86.5;3.566667;
82798;17/03/1981;1200;7.8;;23.3;;;;;;
82798;23/03/1981;0000;;28.6;;5.9;1;25.72;83.5;1.766667;
82798;23/03/1981;1200;3.1;;22.7;;;;;;
82798;01/04/1981;0000;;28.4;;3.2;2.3;26.2;86.5;1.6;
82798;01/04/1981;1200;0.2;;24.1;;;;;;
82798;14/04/1981;0000;;30;;9.1;5.7;27.42;69.5;4.533333;
82798;14/04/1981;1200;0;;24.2;;;;;;
82798;15/04/1981;0000;;30;;7.4;7.8;27.12;73;3.033333;
82798;15/04/1981;1200;0;;23.7;;;;;;
82798;17/04/1981;0000;;29.7;;8.1;3.1;27.04;77;3.3;
82798;17/04/1981;1200;4.5;;23.6;;;;;;
82798;18/04/1981;0000;;29.6;;9.1;4.1;27.08;76;3.033333;
82798;18/04/1981;1200;0;;23.3;;;;;;
82798;20/04/1981;0000;;30.2;;10.3;4.4;27.08;65.5;4.066667;
82798;20/04/1981;1200;0;;22.9;;;;;;
82798;26/04/1981;0000;;30.4;;8.5;5.2;26.6;80.75;4;
82798;26/04/1981;1200;0;;23.9;;;;;;
82798;30/04/1981;0000;;29.8;;9.9;4.3;27.36;72.75;3.4;
82798;30/04/1981;1200;0;;23.3;;;;;;
82798;01/05/1981;0000;;29.1;;10.2;4.2;27.02;75.5;4.133333;
82798;01/05/1981;1200;2.9;;23.5;;;;;;
82798;05/05/1981;0000;;29.6;;8.6;4.6;26.26;76;3.6;
82798;05/05/1981;1200;2;;22.7;;;;;;
82798;08/05/1981;0000;;27.7;;1;5.5;24.5;90.25;2.066667;
82798;08/05/1981;1200;4.5;;22.7;;;;;;
82798;09/05/1981;0000;;29.5;;9.8;2;25.48;82;4.933333;
82798;09/05/1981;1200;5.7;;21.1;;;;;;
82798;10/05/1981;0000;;28.4;;2.9;4.1;24.6;78.75;3.866667;
82798;10/05/1981;1200;8.5;;21;;;;;;
82798;11/05/1981;0000;;27.2;;0.5;2;24.72;85;2.366667;
82798;11/05/1981;1200;1.3;;21.9;;;;;;
82798;12/05/1981;0000;;27.6;;1.6;0.7;24.88;79.5;3.833333;
82798;12/05/1981;1200;2.2;;22.3;;;;;;
82798;13/05/1981;0000;;28.4;;4.5;4.1;25.2;84.25;4.133333;
82798;13/05/1981;1200;0.9;;22.9;;;;;;
82798;14/05/1981;0000;;27.2;;0.7;2.8;25.22;83;2.366667;
82798;14/05/1981;1200;4.8;;22.3;;;;;;
82798;15/05/1981;0000;;29.3;;9.2;2.5;25.74;82.25;3.266667;
82798;15/05/1981;1200;10.7;;21.7;;;;;;
82798;16/05/1981;0000;;28;;3.1;2.9;25.7;86.5;3.333333;
82798;16/05/1981;1200;36.2;;22.7;;;;;;
82798;17/05/1981;0000;;29.3;;9.5;2.7;27.04;72.5;3.066667;
82798;17/05/1981;1200;1;;24.6;;;;;;
82798;18/05/1981;0000;;29.3;;9.9;5.5;25.82;73.5;4.4;
82798;18/05/1981;1200;0;;23.7;;;;;;
