--------------------
BDMEP - INMET
--------------------
Estação           : MACAPA - AP (OMM: 82098)
Latitude  (graus) : -0.05
Longitude (graus) : -51.11
Altitude  (metros): 14.46
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82098;01/01/1980;0000;;30.8;;6.1;1.2;27.04;;3.7;
82098;01/01/1980;1200;11;;23.6;;;;;;
82098;02/01/1980;0000;;31.4;;8.3;2.8;27.38;;3.633333;
82098;02/01/1980;1200;0.6;;23.2;;;;;;
82098;03/01/1980;0000;;30.3;;3.7;2.8;26.98;;3.9;
82098;03/01/1980;1200;1;;23.6;;;;;;
82098;04/01/1980;0000;;31;;6.2;2.6;27.48;;4.333333;
82098;04/01/1980;1200;1.1;;24.4;;;;;;
82098;05/01/1980;0000;;30.2;;5.6;3.8;26.52;;4.433333;
82098;05/01/1980;1200;1.7;;24.2;;;;;;
82098;06/01/1980;0000;;31.2;;7.4;2.1;25.96;;3.4;
82098;06/01/1980;1200;1;;23.6;;;;;;
82098;07/01/1980;0000;;29.2;;0.2;1.8;25.28;;2.3;
82098;07/01/1980;1200;61.9;;23.6;;;;;;
82098;08/01/1980;0000;;30.2;;2.7;1;25.76;;2.666667;
82098;08/01/1980;1200;8;;23;;;;;;
82098;09/01/1980;0000;;30.2;;0.7;1;25.76;;2.666667;
82098;09/01/1980;1200;11;;23;;;;;;
82098;10/01/1980;0000;;29.4;;0;1.4;24.88;;1.966667;
82098;10/01/1980;1200;0.5;;23.2;;;;;;
82098;11/01/1980;0000;;28;;0;1;24.36;;1.666667;
82098;11/01/1980;1200;15.4;;22.8;;;;;;
82098;12/01/1980;0000;;27.4;;0;1.1;24.92;;1.933333;
82098;12/01/1980;1200;20.2;;22.8;;;;;;
82098;13/01/1980;0000;;27.4;;0.6;1.2;24.16;;1.933333;
82098;13/01/1980;1200;11.6;;22.8;;;;;;
82098;14/01/1980;0000;;26.6;;0;1.2;24.24;;2.033333;
82098;14/01/1980;1200;1;;22.6;;;;;;
82098;15/01/1980;0000;;28.4;;1.7;1.3;24.36;;0.833333;
82098;15/01/1980;1200;0;;22;;;;;;
82098;16/01/1980;0000;;30.6;;6.5;1;25.5;;1.733333;
82098;16/01/1980;1200;3.8;;22.4;;;;;;
82098;17/01/1980;0000;;30.2;;5.7;1.5;26.52;;2.833333;
82098;17/01/1980;1200;0;;24;;;;;;
82098;18/01/1980;0000;;30.8;;6.4;1.9;26.48;;2.466667;
82098;18/01/1980;1200;0;;23;;;;;;
82098;19/01/1980;0000;;29.4;;0.8;2;25.64;;2.6;
82098;19/01/1980;1200;0;;24;;;;;;
82098;20/01/1980;0000;;29.6;;0;1;25.12;;1.166667;
82098;20/01/1980;1200;4.8;;23;;;;;;
82098;21/01/1980;0000;;26.9;;0.2;0.4;24.62;;1.733333;
82098;21/01/1980;1200;15.4;;23;;;;;;
82098;22/01/1980;0000;;29.5;;6;0.5;25.38;;2.433333;
82098;22/01/1980;1200;11.2;;23;;;;;;
82098;23/01/1980;0000;;29.9;;5.4;1.8;26.48;;2.933333;
82098;23/01/1980;1200;6.7;;23.9;;;;;;
82098;24/01/1980;0000;;30.4;;4.6;1.9;27.16;;3.066667;
82098;24/01/1980;1200;3.4;;24;;;;;;
82098;25/01/1980;0000;;30.9;;8.3;1.8;26.78;;3.1;
82098;25/01/1980;1200;1.4;;24.8;;;;;;
82098;26/01/1980;0000;;30.6;;7.4;1.6;25.72;;2.8;
82098;26/01/1980;1200;12.6;;23.8;;;;;;
82098;27/01/1980;0000;;29.8;;6.7;1.5;25.8;;3.566667;
82098;27/01/1980;1200;9.5;;23.4;;;;;;
82098;28/01/1980;0000;;29.9;;6.4;1.5;25.46;;3.233333;
82098;28/01/1980;1200;2.4;;23.6;;;;;;
82098;29/01/1980;0000;;27.6;;0.1;1.4;25.24;;2.166667;
82098;29/01/1980;1200;8.8;;23.8;;;;;;
82098;30/01/1980;0000;;29.4;;2.7;1.1;26.28;;2.066667;
82098;30/01/1980;1200;1.6;;23.6;;;;;;
82098;31/01/1980;0000;;29.8;;2.8;1.3;25.78;;2.433333;
82098;31/01/1980;1200;1;;23.4;;;;;;
82098;01/02/1980;0000;;31.2;;3.8;0.9;26.32;;2.033333;
82098;01/02/1980;1200;10.4;;23;;;;;;
82098;02/02/1980;0000;;27.2;;0;1.1;25.28;;1.666667;
82098;02/02/1980;1200;67.6;;23.8;;;;;;
82098;03/02/1980;0000;;30.4;;2.4;0.4;26.52;;4.133333;
82098;03/02/1980;1200;11.8;;23.6;;;;;;
82098;04/02/1980;0000;;30;;0.2;1.5;26.24;;3.133333;
82098;04/02/1980;1200;0;;23.8;;;;;;
82098;05/02/1980;0000;;29.4;;1.7;1.5;26.02;;3.633333;
82098;05/02/1980;1200;0.5;;23.9;;;;;;
82098;06/02/1980;0000;;31;;5.8;1.5;27.2;;3.866667;
82098;06/02/1980;1200;0;;24;;;;;;
82098;07/02/1980;0000;;30.8;;8.8;2;26.76;;3.466667;
82098;07/02/1980;1200;0;;22.4;;;;;;
82098;08/02/1980;0000;;28.6;;3.2;3.5;25.84;;3;
82098;08/02/1980;1200;0;;23.8;;;;;;
82098;09/02/1980;0000;;25.8;;0.3;2.2;23.8;;2.266667;
82098;09/02/1980;1200;7.7;;22.6;;;;;;
82098;10/02/1980;0000;;28.6;;0.3;0.7;25.32;;2.4;
82098;10/02/1980;1200;21.2;;22.6;;;;;;
82098;11/02/1980;0000;;28.6;;0;1.3;24.76;;1.8;
82098;11/02/1980;1200;5.6;;22.6;;;;;;
82098;12/02/1980;0000;;31;;7;1;26.44;;4.033333;
82098;12/02/1980;1200;3.6;;23.2;;;;;;
82098;13/02/1980;0000;;29.8;;0;2.1;25.9;;2.866667;
82098;13/02/1980;1200;0;;23;;;;;;
82098;14/02/1980;0000;;26.4;;0;1.5;23.56;;3.633333;
82098;14/02/1980;1200;9.4;;22.6;;;;;;
82098;15/02/1980;0000;;27.2;;0;0.8;23.7;;0.933333;
82098;15/02/1980;1200;16.1;;22.6;;;;;;
82098;16/02/1980;0000;;29.6;;5.6;0.8;25.98;;2.766667;
82098;16/02/1980;1200;23.2;;22.7;;;;;;
82098;17/02/1980;0000;;30.8;;6.8;1.4;26.56;;3.133333;
82098;17/02/1980;1200;0;;23.3;;;;;;
82098;18/02/1980;0000;;30.6;;7.4;1.5;25.74;;2.9;
82098;18/02/1980;1200;0;;22.3;;;;;;
82098;19/02/1980;0000;;32;;4.5;1.5;26.48;;4.366667;
82098;19/02/1980;1200;0.8;;22.8;;;;;;
82098;20/02/1980;0000;;29.2;;1.2;1.6;25.2;;2.833333;
82098;20/02/1980;1200;0.4;;23.4;;;;;;
82098;21/02/1980;0000;;29.4;;0.2;1;25.4;;1.366667;
82098;21/02/1980;1200;3;;23.2;;;;;;
82098;22/02/1980;0000;;29.6;;0;1.1;26;;1.866667;
82098;22/02/1980;1200;0.1;;23.2;;;;;;
82098;23/02/1980;0000;;30.4;;9.2;1;26.48;;2.633333;
82098;23/02/1980;1200;20;;22.4;;;;;;
82098;24/02/1980;0000;;30.2;;9.4;1.6;26.36;;3.333333;
82098;24/02/1980;1200;0;;23.2;;;;;;
82098;25/02/1980;0000;;31.2;;5.2;2.9;26.06;;2.333333;
82098;25/02/1980;1200;1.9;;22.9;;;;;;
82098;26/02/1980;0000;;29.6;;3.2;1.6;25.4;;2.166667;
82098;26/02/1980;1200;0.2;;23.2;;;;;;
82098;27/02/1980;0000;;29.1;;0.7;1.5;25.04;;2.1;
82098;27/02/1980;1200;0.2;;23.3;;;;;;
82098;28/02/1980;0000;;28.6;;0;0.9;25;;1.366667;
82098;28/02/1980;1200;4.6;;23.2;;;;;;
82098;29/02/1980;0000;;28.6;;0;0.8;24.56;;1.866667;
82098;29/02/1980;1200;5.9;;22.4;;;;;;
82098;01/03/1980;0000;;28.6;;0;0.8;24.12;;2.1;
82098;01/03/1980;1200;10.6;;22.6;;;;;;
82098;02/03/1980;0000;;29.4;;3.5;0.5;24.88;;0.866667;
82098;02/03/1980;1200;27.8;;22.6;;;;;;
82098;03/03/1980;0000;;25;;0;0.8;23.64;;1.966667;
82098;03/03/1980;1200;48.6;;22.4;;;;;;
82098;04/03/1980;0000;;30.4;;5.6;0.7;25.22;;3.766667;
82098;04/03/1980;1200;13.2;;22.4;;;;;;
82098;05/03/1980;0000;;28.2;;0.2;1.1;24.88;;2.3;
82098;05/03/1980;1200;0.2;;22.8;;;;;;
82098;06/03/1980;0000;;26.6;;0;1.1;23.86;;2.866667;
82098;06/03/1980;1200;5.2;;22.4;;;;;;
82098;07/03/1980;0000;;29.6;;4.8;0.7;25.36;;2;
82098;07/03/1980;1200;0;;22.6;;;;;;
82098;08/03/1980;0000;;27.2;;0;0.8;24.44;;0.333333;
82098;08/03/1980;1200;4.2;;23;;;;;;
82098;09/03/1980;0000;;29;;1.6;0.4;25.36;;3;
82098;09/03/1980;1200;32.6;;23;;;;;;
82098;10/03/1980;0000;;30.6;;7.5;0.9;25.8;;1.333333;
82098;10/03/1980;1200;5.4;;23;;;;;;
82098;11/03/1980;0000;;30.6;;8.7;1.2;26.88;;2.333333;
82098;11/03/1980;1200;15.9;;23.2;;;;;;
82098;12/03/1980;0000;;30.8;;9.4;3.1;27.12;;1.666667;
82098;12/03/1980;1200;0;;23.7;;;;;;
82098;13/03/1980;0000;;30.8;;6.2;2.2;26.52;;1.666667;
82098;13/03/1980;1200;0;;24;;;;;;
82098;14/03/1980;0000;;31.2;;6.4;1.3;26.44;;1.666667;
82098;14/03/1980;1200;0;;23.8;;;;;;
82098;15/03/1980;0000;;30.2;;5.9;1.9;26;;2.333333;
82098;15/03/1980;1200;0.2;;23.6;;;;;;
82098;16/03/1980;0000;;29;;3.4;1.8;25.44;;1.666667;
82098;16/03/1980;1200;9.4;;23.4;;;;;;
82098;17/03/1980;0000;;29.8;;2.4;1.5;25.38;;0.666667;
