--------------------
BDMEP - INMET
--------------------
Estação           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Estação Operante
Inicio de operação: 01/01/1909
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82994;02/01/1980;0000;;31.6;;5.2;4.2;27.24;77.25;4.5;
82994;02/01/1980;1200;0;;22;;;;;;
82994;03/01/1980;0000;;31.2;;3.3;4;27.24;82;4.066667;
82994;03/01/1980;1200;0;;23.4;;;;;;
82994;05/01/1980;0000;;30.7;;5;3.5;27.12;80;2.566667;
82994;05/01/1980;1200;0;;22.5;;;;;;
82994;06/01/1980;0000;;29.5;;2.8;2.8;25.86;91.25;2.8;
82994;06/01/1980;1200;0.8;;22.8;;;;;;
82994;08/01/1980;0000;;30;;8.8;3.5;25.9;81.75;1.1;
82994;08/01/1980;1200;0.5;;23;;;;;;
82994;09/01/1980;0000;;30;;10.1;3;26.1;78;3.066667;
82994;09/01/1980;1200;0;;21.4;;;;;;
82994;10/01/1980;0000;;30.4;;9.8;4;26.62;78.25;2.133333;
82994;10/01/1980;1200;6;;22;;;;;;
82994;11/01/1980;0000;;30.8;;10.3;4;26.82;80.25;1.633333;
82994;11/01/1980;1200;3;;23;;;;;;
82994;12/01/1980;0000;;30.8;;8.2;3;26.54;84.75;2.366667;
82994;12/01/1980;1200;0;;22;;;;;;
82994;13/01/1980;0000;;30.1;;8.4;3;26.72;81.5;3.366667;
82994;13/01/1980;1200;10.6;;23;;;;;;
82994;14/01/1980;0000;;28;;0;2.5;25.22;91.75;1.066667;
82994;14/01/1980;1200;4;;22.4;;;;;;
82994;15/01/1980;0000;;30.6;;9.4;2.5;26.72;82.25;2.733333;
82994;15/01/1980;1200;6;;22;;;;;;
82994;17/01/1980;0000;;30;;8.2;3;26.54;78.75;2.9;
82994;17/01/1980;1200;0;;23;;;;;;
82994;18/01/1980;0000;;30.3;;4.5;3;27.02;83;3.033333;
82994;18/01/1980;1200;0.5;;23;;;;;;
82994;19/01/1980;0000;;30;;3.2;3.2;26.9;81.25;3.133333;
82994;19/01/1980;1200;0.9;;24.2;;;;;;
82994;20/01/1980;0000;;30.2;;2.6;3.4;26.62;78.5;2.133333;
82994;20/01/1980;1200;0.3;;23.6;;;;;;
82994;21/01/1980;0000;;30.5;;10.5;3.6;26.58;74.25;3.066667;
82994;21/01/1980;1200;0;;21.2;;;;;;
82994;22/01/1980;0000;;30.5;;10.6;5;27.06;76.25;3.5;
82994;22/01/1980;1200;0;;22;;;;;;
82994;23/01/1980;0000;;30.4;;9.9;4;27.3;78.5;3.233333;
