--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82331;01/01/1980;0000;;31.4;;4.9;1.6;26.66;87.75;1.2;
82331;01/01/1980;1200;13.2;;24.1;;;;;;
82331;02/01/1980;0000;;28.4;;2.1;3.8;24.76;94.75;1.333333;
82331;02/01/1980;1200;0;;22.4;;;;;;
82331;03/01/1980;0000;;32.2;;5.5;0.7;25.34;90.25;1.766667;
82331;03/01/1980;1200;10.8;;22.1;;;;;;
82331;04/01/1980;0000;;31.6;;5.1;1.8;26.5;87;1.433333;
82331;04/01/1980;1200;1.2;;22.3;;;;;;
82331;05/01/1980;0000;;27.4;;0.4;1.8;25.02;93.75;1.333333;
82331;05/01/1980;1200;2.7;;22.1;;;;;;
82331;06/01/1980;0000;;;;;;;;0.833333;
82331;07/01/1980;0000;;29.2;;1.2;1.6;25.04;90.25;2.866667;
82331;07/01/1980;1200;15;;22.4;;;;;;
82331;08/01/1980;0000;;;;;;;;1.533333;
82331;09/01/1980;0000;;;;;;;;1.1;
82331;10/01/1980;0000;;;;;;;;1.766667;
82331;11/01/1980;0000;;;;;;;;1.1;
82331;12/01/1980;0000;;;;;;;;1.233333;
82331;13/01/1980;0000;;31.2;;1.8;4.1;26.2;86.25;2.6;
82331;13/01/1980;1200;0;;23.6;;;;;;
82331;14/01/1980;0000;;31.6;;5.8;1.3;25.86;86.75;2.266667;
82331;14/01/1980;1200;10.8;;23.1;;;;;;
82331;15/01/1980;0000;;31.7;;3.5;2.2;26.64;83.75;1.633333;
82331;15/01/1980;1200;2.8;;23.7;;;;;;
82331;16/01/1980;0000;;27.6;;0;2.3;24.3;92.75;2.333333;
82331;16/01/1980;1200;3.5;;22.7;;;;;;
82331;17/01/1980;0000;;32.6;;4.7;1.1;26.3;85.25;1.1;
82331;17/01/1980;1200;0.6;;22.1;;;;;;
82331;18/01/1980;0000;;;;;;;;2.2;
82331;19/01/1980;0000;;28.2;;1;1.9;24.7;96.75;1.3;
82331;19/01/1980;1200;2.5;;22.9;;;;;;
82331;20/01/1980;0000;;31.2;;3.9;0.7;26.18;87.5;1.866667;
82331;20/01/1980;1200;20.7;;23.3;;;;;;
82331;21/01/1980;0000;;;;;;;;1.1;
82331;22/01/1980;0000;;;;;;;;1.1;
82331;23/01/1980;0000;;29.3;;1.8;1.8;25.6;87.5;5.133333;
82331;23/01/1980;1200;1.6;;22.1;;;;;;
82331;24/01/1980;0000;;;;;;;;1.933333;
82331;25/01/1980;0000;;32.6;;8.5;2.9;27.6;80;2.433333;
82331;25/01/1980;1200;0;;23.4;;;;;;
82331;26/01/1980;0000;;32.2;;7.5;4.1;26.18;86.5;1.6;
82331;26/01/1980;1200;1.6;;23.1;;;;;;
82331;27/01/1980;0000;;;;;;;;1.333333;
82331;28/01/1980;0000;;31.5;;2.3;2;26.74;82;2.966667;
82331;28/01/1980;1200;3.8;;23.6;;;;;;
82331;29/01/1980;0000;;;;;;;;3.033333;
82331;30/01/1980;0000;;30.8;;1.1;2.6;26.5;83;1.866667;
82331;30/01/1980;1200;1.7;;23.1;;;;;;
82331;31/01/1980;0000;;33.1;;3.1;2;28.04;80.75;0.933333;
82331;31/01/1980;1200;0;;23.9;;;;;;
82331;01/02/1980;0000;;;;;;;;1.866667;
82331;02/02/1980;0000;;31.5;;2;0.4;25.56;91.25;0.933333;
82331;02/02/1980;1200;48.2;;22.3;;;;;;
82331;03/02/1980;0000;;29.5;;0.1;1.5;25.4;92.75;2.7;
82331;03/02/1980;1200;7.3;;23.1;;;;;;
82331;04/02/1980;0000;;;;;;;;1.6;
82331;05/02/1980;0000;;32.7;;8.3;1.6;27.08;78.5;2.633333;
82331;05/02/1980;1200;5.8;;22.7;;;;;;
82331;06/02/1980;0000;;33.4;;8.7;3.6;28.24;72;3.466667;
82331;06/02/1980;1200;0;;23.6;;;;;;
82331;07/02/1980;0000;;33.8;;10.8;5.1;28.64;67.75;3.3;
82331;07/02/1980;1200;0;;23.6;;;;;;
82331;08/02/1980;0000;;;;;;;;3.333333;
82331;09/02/1980;0000;;33.2;;6.4;3;28.06;72.5;2.533333;
82331;09/02/1980;1200;0;;24.1;;;;;;
82331;10/02/1980;0000;;32.8;;1.6;4.2;27.82;71.25;2.866667;
82331;10/02/1980;1200;0;;23.5;;;;;;
82331;11/02/1980;0000;;;;;;;;3;
82331;12/02/1980;0000;;;;;;;;1.1;
82331;13/02/1980;0000;;31.8;;2.1;2.7;26.76;80.25;1.1;
82331;13/02/1980;1200;4;;23.4;;;;;;
82331;14/02/1980;0000;;;;;;;;1.633333;
82331;15/02/1980;0000;;;;;;;;1.666667;
82331;16/02/1980;0000;;;;;;;;3.2;
82331;17/02/1980;0000;;31.2;;1.9;3;26.14;87.25;1.933333;
82331;17/02/1980;1200;0;;23.6;;;;;;
82331;18/02/1980;0000;;33;;6.3;1.6;27.82;76.5;0.833333;
82331;18/02/1980;1200;0;;23.3;;;;;;
82331;19/02/1980;0000;;;;;;;;3.2;
82331;20/02/1980;0000;;33.8;;10.3;4.7;28.18;69.5;3.666667;
82331;20/02/1980;1200;0;;23.1;;;;;;
82331;21/02/1980;0000;;34.3;;10.1;6.3;28.4;72.5;3.966667;
82331;21/02/1980;1200;0;;23.1;;;;;;
82331;22/02/1980;0000;;;;;;;;3.033333;
82331;23/02/1980;0000;;;;;;;;2.3;
82331;24/02/1980;0000;;31.2;;2.9;2.6;25.98;85.75;1.766667;
82331;24/02/1980;1200;12.4;;21.7;;;;;;
82331;25/02/1980;0000;;;;;;;;2.766667;
82331;26/02/1980;0000;;;;;;;;2.633333;
82331;27/02/1980;0000;;;;;;;;4.166667;
