--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82900;01/01/1980;0000;;31.8;;;;27.22;66.5;;
82900;01/01/1980;1200;0;;21.6;;;;;;
82900;02/01/1980;0000;;31.9;;;;27.3;69.75;;
82900;02/01/1980;1200;0;;22.3;;;;;;
82900;03/01/1980;0000;;31.9;;4.5;3.9;27.82;75;;
82900;03/01/1980;1200;0.1;;24.1;;;;;;
82900;04/01/1980;0000;;31.7;;6.8;5.7;27.24;70;4.2;
82900;04/01/1980;1200;2;;22.2;;;;;;
82900;05/01/1980;0000;;30.8;;4.7;5.7;27.22;71.75;1.7;
82900;05/01/1980;1200;0.4;;22.7;;;;;;
82900;06/01/1980;0000;;30;;5;5.2;26.64;79.75;2.466667;
82900;06/01/1980;1200;4.4;;24.4;;;;;;
82900;07/01/1980;0000;;30.7;;9.5;6.1;27.62;69.25;1.3;
82900;07/01/1980;1200;0.3;;24.5;;;;;;
82900;08/01/1980;0000;;29.8;;3.7;7.3;26.36;74.75;4.533333;
82900;08/01/1980;1200;0;;22.9;;;;;;
82900;09/01/1980;0000;;29.9;;9.4;3.5;26.14;74.5;2.9;
82900;09/01/1980;1200;4.4;;20.7;;;;;;
82900;10/01/1980;0000;;30;;7.2;5.2;26.76;77.25;3.133333;
82900;10/01/1980;1200;3.6;;22.8;;;;;;
82900;11/01/1980;0000;;30.6;;10.1;5.3;27.22;73;2.633333;
82900;11/01/1980;1200;0;;23.1;;;;;;
82900;12/01/1980;0000;;30.5;;6.6;4.8;27.4;75.75;3.3;
82900;12/01/1980;1200;0.1;;23.8;;;;;;
82900;13/01/1980;0000;;30.3;;6.8;5.2;27.52;75.25;3.7;
82900;13/01/1980;1200;5.4;;24.8;;;;;;
82900;14/01/1980;0000;;30.3;;12.4;4.9;26.92;75.25;2.233333;
82900;14/01/1980;1200;8.5;;22.8;;;;;;
82900;15/01/1980;0000;;30.3;;;;27.32;75;;
82900;15/01/1980;1200;0.1;;22.8;;;;;;
82900;16/01/1980;0000;;30;;5.9;4.4;26.48;84.25;2.8;
82900;16/01/1980;1200;6.3;;23.9;;;;;;
82900;17/01/1980;0000;;30.5;;10.6;5.1;27.52;72;3.8;
82900;17/01/1980;1200;2.2;;25.5;;;;;;
82900;18/01/1980;0000;;28;;0;5.1;26.28;85.25;3.4;
82900;18/01/1980;1200;2.2;;24.1;;;;;;
82900;19/01/1980;0000;;29.5;;4.5;5.5;26.54;75.25;3.433333;
82900;19/01/1980;1200;10.2;;21.9;;;;;;
82900;20/01/1980;0000;;28.7;;5.6;0.7;26.94;74.75;3.033333;
82900;20/01/1980;1200;0;;25;;;;;;
82900;21/01/1980;0000;;29.8;;;;26.92;74.5;;
82900;21/01/1980;1200;0;;21.9;;;;;;
82900;22/01/1980;0000;;29.8;;8.3;8.4;27.1;76;;
82900;22/01/1980;1200;0;;22;;;;;;
82900;23/01/1980;0000;;29.8;;9.5;5.2;27.44;77.75;3.4;
82900;23/01/1980;1200;3.6;;25.2;;;;;;
82900;24/01/1980;0000;;30.9;;10.3;5.8;27.18;74.25;;
82900;24/01/1980;1200;9.4;;22.3;;;;;;
82900;25/01/1980;0000;;30.6;;9.4;6.5;26.96;75.5;;
82900;25/01/1980;1200;0.2;;22.7;;;;;;
82900;26/01/1980;0000;;30.4;;;;27.24;70.75;;
82900;26/01/1980;1200;0;;22.9;;;;;;
82900;27/01/1980;0000;;31.3;;9.7;3.1;27.04;70;3.033333;
82900;27/01/1980;1200;0;;22.9;;;;;;
82900;28/01/1980;0000;;31.6;;9.2;5.4;27.28;69.75;4.5;
82900;28/01/1980;1200;0;;22.1;;;;;;
82900;29/01/1980;0000;;31.3;;7.9;5.1;27.26;69;3.733333;
82900;29/01/1980;1200;0;;22.3;;;;;;
82900;30/01/1980;0000;;31.7;;8.6;4.4;27.94;71;;
82900;30/01/1980;1200;0;;24.1;;;;;;
82900;31/01/1980;0000;;32.3;;6.6;9.5;27.16;70.5;;
82900;31/01/1980;1200;0;;20.2;;;;;;
82900;01/02/1980;0000;;31.4;;6.8;4.6;27.72;70;;
82900;01/02/1980;1200;0;;23.7;;;;;;
82900;02/02/1980;0000;;31.3;;8.2;5.8;28.06;70.25;;
82900;02/02/1980;1200;0.5;;24.9;;;;;;
82900;03/02/1980;0000;;31.9;;7.4;6;27.08;69;4.233333;
82900;03/02/1980;1200;0;;20.6;;;;;;
82900;04/02/1980;0000;;31.7;;9.2;6.4;27.44;69.25;5.233333;
82900;04/02/1980;1200;0;;22.2;;;;;;
82900;05/02/1980;0000;;31.3;;6.1;4.1;27.56;68.5;;
82900;05/02/1980;1200;0;;22;;;;;;
82900;06/02/1980;0000;;31.4;;0;4.7;27.4;76.75;2.733333;
82900;06/02/1980;1200;0.1;;23.5;;;;;;
82900;07/02/1980;0000;;28.2;;;;24.42;92.25;;
82900;07/02/1980;1200;8.3;;21.6;;;;;;
82900;08/02/1980;0000;;27.5;;0.1;3.7;23.64;89.25;;
82900;08/02/1980;1200;7.4;;20;;;;;;
82900;09/02/1980;0000;;29.8;;;;25.58;81;;
82900;09/02/1980;1200;8.5;;20;;;;;;
82900;10/02/1980;0000;;26.4;;0;3.3;24.2;94.75;1.833333;
82900;10/02/1980;1200;7.7;;23.1;;;;;;
82900;11/02/1980;0000;;29.7;;7.4;0.7;26.66;80;3.133333;
82900;11/02/1980;1200;74.1;;23;;;;;;
82900;12/02/1980;0000;;29.2;;0.8;4.2;26.78;79;3.633333;
82900;12/02/1980;1200;1.9;;24;;;;;;
82900;13/02/1980;0000;;29.3;;1.3;3.9;26.8;76.25;3.866667;
82900;13/02/1980;1200;0.4;;23;;;;;;
82900;14/02/1980;0000;;30.3;;6.5;4.3;25.22;86.75;1.433333;
82900;14/02/1980;1200;0.4;;22.9;;;;;;
82900;15/02/1980;0000;;29.7;;1.9;6.1;25.26;89.75;1.933333;
82900;15/02/1980;1200;35.2;;22.1;;;;;;
82900;16/02/1980;0000;;29.7;;;;26.26;81.25;;
82900;16/02/1980;1200;85.9;;22.1;;;;;;
82900;17/02/1980;0000;;29.7;;;;27.14;78.75;;
82900;17/02/1980;1200;32.5;;24.1;;;;;;
82900;18/02/1980;0000;;29.5;;8.3;4.6;26.98;74.5;2.933333;
82900;18/02/1980;1200;0;;23.2;;;;;;
82900;19/02/1980;0000;;30.3;;5.5;4.2;27.04;79.75;1.866667;
82900;19/02/1980;1200;0;;23.6;;;;;;
82900;20/02/1980;0000;;29.5;;;;25.38;88;;
82900;20/02/1980;1200;9.1;;21.1;;;;;;
82900;21/02/1980;0000;;30.2;;7.2;3.3;26.96;79;2.633333;
82900;21/02/1980;1200;3.2;;23.5;;;;;;
82900;22/02/1980;0000;;29.8;;7.3;3.6;27.08;77.5;3.766667;
82900;22/02/1980;1200;4.2;;24.1;;;;;;
82900;23/02/1980;0000;;27.7;;0;5.7;25.02;85.75;2.4;
82900;23/02/1980;1200;20;;22;;;;;;
82900;24/02/1980;0000;;29.4;;5.5;1.2;26.36;82.75;1.966667;
82900;24/02/1980;1200;1;;23.3;;;;;;
82900;25/02/1980;0000;;27.7;;1.2;3.8;24.1;91.75;2.366667;
82900;25/02/1980;1200;29.2;;22.1;;;;;;
82900;26/02/1980;0000;;29.7;;5.4;0.1;25.14;88.25;2.333333;
82900;26/02/1980;1200;32.6;;19.9;;;;;;
82900;27/02/1980;0000;;30;;10;2.9;26.12;81;3.233333;
82900;27/02/1980;1200;7.6;;22.9;;;;;;
82900;28/02/1980;0000;;29.8;;7.5;2.7;26.88;78.75;;
82900;28/02/1980;1200;0;;22.9;;;;;;
82900;29/02/1980;0000;;29.8;;7.1;6.3;26.84;69;4;
82900;29/02/1980;1200;0;;22.9;;;;;;
82900;01/03/1980;0000;;29.7;;2.9;5.1;25.76;83.25;2.833333;
82900;01/03/1980;1200;0;;23.1;;;;;;
82900;02/03/1980;0000;;28;;1.1;4.2;24.92;89.75;3.4;
82900;02/03/1980;1200;16.8;;23.1;;;;;;
82900;03/03/1980;0000;;29.3;;3.6;1.2;24.86;92.75;2.633333;
82900;03/03/1980;1200;15.2;;23;;;;;;
82900;04/03/1980;0000;;26.2;;0;1.6;23.94;94;1.966667;
82900;04/03/1980;1200;6.1;;22.6;;;;;;
82900;05/03/1980;0000;;27.7;;;;24.26;95.25;;
82900;05/03/1980;1200;42.5;;22.3;;;;;;
82900;06/03/1980;0000;;29.3;;7.6;1.8;26.68;75;;
82900;06/03/1980;1200;12.4;;23.4;;;;;;
82900;07/03/1980;0000;;29.5;;9;4.8;25.92;75.75;2.733333;
82900;07/03/1980;1200;1;;22;;;;;;
82900;08/03/1980;0000;;29.5;;8.3;4;24.84;82;2.433333;
82900;08/03/1980;1200;0.4;;21.3;;;;;;
82900;09/03/1980;0000;;29.3;;4;3.5;25.3;82;2.233333;
82900;09/03/1980;1200;0.8;;21.5;;;;;;
82900;10/03/1980;0000;;29.7;;10.2;2.5;26.28;72;2.966667;
82900;10/03/1980;1200;1.2;;21;;;;;;
82900;11/03/1980;0000;;30.2;;10.5;4.5;26.24;72.5;4.033333;
82900;11/03/1980;1200;0;;21.5;;;;;;
82900;12/03/1980;0000;;26;;0;4.5;23.58;97.75;0.666667;
82900;12/03/1980;1200;23.3;;22.6;;;;;;
82900;13/03/1980;0000;;29.4;;9.8;0.5;25.16;84.75;1.6;
82900;13/03/1980;1200;66;;21.9;;;;;;
82900;14/03/1980;0000;;30.3;;;;26.62;70.25;;
82900;14/03/1980;1200;0;;21;;;;;;
82900;15/03/1980;0000;;29.9;;9.3;5.2;25.38;80.5;1.866667;
82900;15/03/1980;1200;0;;21.7;;;;;;
82900;16/03/1980;0000;;29.9;;9.3;4.5;26.7;75;;
82900;16/03/1980;1200;0;;21.7;;;;;;
82900;17/03/1980;0000;;30.2;;10.5;5.1;25.84;74.25;3.166667;
82900;17/03/1980;1200;0;;22.3;;;;;;
82900;18/03/1980;0000;;29.4;;8.6;4.9;25.64;84.75;3.2;
82900;18/03/1980;1200;14.7;;22.5;;;;;;
