--------------------
BDMEP - INMET
--------------------
Estação           : RIO BRANCO - AC (OMM: 82915)
Latitude  (graus) : -9.96
Longitude (graus) : -67.8
Altitude  (metros): 160.00
Estação Operante
Inicio de operação: 01/01/1929
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82915;01/01/1980;0000;;31.5;;0;0.8;24.9;;0;
82915;01/01/1980;1200;18.5;;19.8;;;;;;
82915;02/01/1980;0000;;32.3;;3.3;1.2;26.62;81.75;0;
82915;02/01/1980;1200;0;;21;;;;;;
82915;03/01/1980;0000;;;;;;;;1;
82915;04/01/1980;0000;;33.1;;0;1.5;25.9;87.25;0;
82915;04/01/1980;1200;13.6;;21;;;;;;
82915;05/01/1980;0000;;;;;;;;1;
82915;06/01/1980;0000;;32.1;;0;1.6;25.86;87.75;1;
82915;06/01/1980;1200;7.2;;21;;;;;;
82915;07/01/1980;0000;;30.5;;2.2;1.2;26.02;88.5;2;
82915;07/01/1980;1200;2.4;;21;;;;;;
82915;08/01/1980;0000;;;;;;;;0;
82915;09/01/1980;0000;;29.5;;1.7;2.2;25.78;81.5;1;
82915;09/01/1980;1200;0;;21;;;;;;
82915;10/01/1980;0000;;;;;;;;1;
82915;11/01/1980;0000;;30.3;;5.2;1.2;25.66;89.75;0;
82915;11/01/1980;1200;15;;21.8;;;;;;
82915;12/01/1980;0000;;27.3;;0;0.8;24.22;91.75;1;
82915;12/01/1980;1200;29.6;;21;;;;;;
82915;13/01/1980;0000;;33.8;;7;1;27.84;77.25;1;
82915;13/01/1980;1200;3.4;;21.6;;;;;;
82915;14/01/1980;0000;;;;;;;;1;
82915;15/01/1980;0000;;32.5;;3.2;1.2;25.74;82.25;1;
82915;15/01/1980;1200;0.6;;19.8;;;;;;
82915;16/01/1980;0000;;34.6;;9.5;1.6;27.76;;2;
82915;16/01/1980;1200;0;;19.8;;;;;;
82915;17/01/1980;0000;;;;;;;;2;
82915;18/01/1980;0000;;;;;;;;1;
82915;19/01/1980;0000;;30.3;;0;1;25.22;92.75;1;
82915;19/01/1980;1200;0.2;;21.6;;;;;;
82915;20/01/1980;0000;;30.1;;1.5;1;25.1;86.75;0;
82915;20/01/1980;1200;9.5;;20.8;;;;;;
82915;21/01/1980;0000;;33.6;;0;1.2;27.12;82;1;
82915;21/01/1980;1200;1;;21.8;;;;;;
82915;22/01/1980;0000;;32.3;;0;1.8;26.46;84.25;1;
82915;22/01/1980;1200;9.2;;20.4;;;;;;
82915;23/01/1980;0000;;33.1;;6.4;1.6;25.74;87;1;
82915;23/01/1980;1200;0;;21.2;;;;;;
82915;24/01/1980;0000;;27.7;;0;1.6;24.66;94.25;0;
82915;24/01/1980;1200;19.2;;21.6;;;;;;
82915;25/01/1980;0000;;31.9;;5.2;0.4;27.02;79.5;2;
82915;25/01/1980;1200;6.4;;21;;;;;;
82915;26/01/1980;0000;;;;;;;;0;
82915;27/01/1980;0000;;33.1;;0.9;0.8;24.46;88.5;1;
82915;27/01/1980;1200;8.4;;20.4;;;;;;
82915;28/01/1980;0000;;35.2;;9.7;0.8;26.36;80.5;1;
82915;28/01/1980;1200;17.4;;19;;;;;;
82915;29/01/1980;0000;;32.5;;4.1;2.4;27.34;68;2.2;
82915;29/01/1980;1200;0;;20;;;;;;
82915;30/01/1980;0000;;;;;;;;1;
82915;31/01/1980;0000;;;;;;;;1;
82915;01/02/1980;0000;;;;;;;;0;
82915;02/02/1980;0000;;26.5;;0;0.4;24.18;94;1;
82915;02/02/1980;1200;54.8;;20.4;;;;;;
82915;03/02/1980;0000;;33.4;;5.6;0.4;27.08;83.25;1;
82915;03/02/1980;1200;13.8;;20.4;;;;;;
82915;04/02/1980;0000;;32.3;;5.7;2.6;26.26;90.75;1;
82915;04/02/1980;1200;0;;21;;;;;;
82915;05/02/1980;0000;;33.1;;10.3;1.2;27.22;78.75;2;
82915;05/02/1980;1200;0.2;;21.2;;;;;;
82915;06/02/1980;0000;;32.5;;6.3;2.2;26.3;84.75;2;
82915;06/02/1980;1200;0.4;;21.6;;;;;;
82915;07/02/1980;0000;;31.1;;0.8;1.2;26.62;91;2.666667;
82915;07/02/1980;1200;9.8;;21.6;;;;;;
82915;08/02/1980;0000;;30.5;;3.1;2.6;25.54;;0;
