--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83743;01/01/1980;0000;;26.2;;0;7.1;22.18;85.25;1.733333;
83743;01/01/1980;1200;16.2;;19.6;;;;;;
83743;02/01/1980;1200;1.4;;;;;;;;
83743;04/01/1980;0000;;26;;10.8;4.6;23.26;74.25;4.466667;
83743;04/01/1980;1200;0;;20;;;;;;
83743;05/01/1980;1200;0;;;;;;;;
83743;06/01/1980;0000;;27.3;;12.1;5.4;24.8;70.25;4.233333;
83743;06/01/1980;1200;0;;21.5;;;;;;
83743;07/01/1980;0000;;30.7;;9.4;3.5;26.24;74.25;3.533333;
83743;07/01/1980;1200;0;;21.5;;;;;;
83743;08/01/1980;1200;0;;;;;;;;
83743;09/01/1980;0000;;31.8;;9.1;4.5;27.92;69.5;4.066667;
83743;09/01/1980;1200;0;;24.2;;;;;;
83743;10/01/1980;0000;;29.2;;0;3.3;26.86;73.25;2.033333;
83743;10/01/1980;1200;0;;25;;;;;;
83743;11/01/1980;1200;0.2;;;;;;;;
83743;20/01/1980;0000;;30.6;;0.6;3.6;27.34;75.5;3.233333;
83743;20/01/1980;1200;0;;24.2;;;;;;
83743;21/01/1980;1200;0;;;;;;;;
83743;25/01/1980;0000;;30.2;;5.5;7.1;26.78;84.75;3.633333;
83743;25/01/1980;1200;0;;25.3;;;;;;
83743;26/01/1980;1200;0.9;;;;;;;;
83743;31/01/1980;0000;;28.4;;11.7;4;26.12;74.25;4.3;
83743;31/01/1980;1200;0;;22.6;;;;;;
83743;01/02/1980;0000;;32.7;;4.6;3.6;27.52;79.75;1.6;
83743;01/02/1980;1200;0;;24.4;;;;;;
83743;02/02/1980;1200;0;;;;;;;;
83743;05/02/1980;0000;;28.1;;10.6;3.5;25.84;77;3.166667;
83743;05/02/1980;1200;0;;24;;;;;;
83743;06/02/1980;0000;;29.4;;11.6;3.7;25.68;74.75;5.733333;
83743;06/02/1980;1200;0;;22;;;;;;
83743;07/02/1980;0000;;29.7;;11.2;4;26.4;80.75;2.733333;
83743;07/02/1980;1200;0;;22.8;;;;;;
83743;08/02/1980;1200;0;;;;;;;;
83743;10/02/1980;0000;;35;;10;3.6;29.16;68.5;1.633333;
83743;10/02/1980;1200;0;;23;;;;;;
83743;11/02/1980;1200;0;;;;;;;;
83743;18/02/1980;0000;;31;;3.9;4.3;25.56;78.25;4.4;
83743;18/02/1980;1200;0;;22.4;;;;;;
83743;19/02/1980;1200;2.7;;;;;;;;
83743;22/02/1980;0000;;33.4;;6.6;2.6;27.4;79;4.066667;
83743;22/02/1980;1200;0.3;;23.8;;;;;;
83743;23/02/1980;1200;0;;;;;;;;
83743;27/02/1980;0000;;30.9;;10.2;5.4;28.22;72.5;2.7;
83743;27/02/1980;1200;0;;24.5;;;;;;
83743;28/02/1980;1200;0;;;;;;;;
83743;01/03/1980;0000;;32.2;;11;5.4;28.36;63.75;2.733333;
83743;01/03/1980;1200;0;;25;;;;;;
83743;02/03/1980;0000;;30.8;;10.6;5.5;27.4;72.25;3.633333;
83743;02/03/1980;1200;0;;24.4;;;;;;
83743;03/03/1980;0000;;30.9;;10.2;4.8;27.16;72.5;2.233333;
83743;03/03/1980;1200;0;;24;;;;;;
83743;04/03/1980;0000;;29.5;;10.2;4.7;27.02;68.75;3.333333;
83743;04/03/1980;1200;0;;24;;;;;;
83743;05/03/1980;1200;0;;;;;;;;
83743;06/03/1980;0000;;31.8;;10.8;5;27.42;68.75;2.433333;
83743;06/03/1980;1200;0;;23.9;;;;;;
83743;07/03/1980;0000;;33.8;;10.4;5.4;27.98;72.25;2.7;
83743;07/03/1980;1200;0;;24.5;;;;;;
83743;08/03/1980;1200;0;;;;;;;;
83743;12/03/1980;0000;;31.8;;8.8;3.7;28.12;78.75;2.766667;
83743;12/03/1980;1200;0;;24.9;;;;;;
83743;13/03/1980;0000;;33.3;;5.5;6;28.5;77;4.566667;
83743;13/03/1980;1200;0;;25.8;;;;;;
83743;14/03/1980;1200;4.6;;;;;;;;
83743;18/03/1980;0000;;30.6;;7.1;5.1;27.06;75.75;2.933333;
83743;18/03/1980;1200;0;;24.6;;;;;;
83743;19/03/1980;0000;;29.9;;9.7;4.7;26.36;74.5;2.5;
83743;19/03/1980;1200;0;;23.4;;;;;;
83743;20/03/1980;1200;0;;;;;;;;
83743;22/03/1980;0000;;30.1;;9.9;6.3;27.16;72.25;2.8;
83743;22/03/1980;1200;0;;24;;;;;;
83743;23/03/1980;1200;0;;;;;;;;
83743;24/03/1980;0000;;30.8;;9.6;5.3;27.94;63;3.333333;
83743;24/03/1980;1200;0;;24.7;;;;;;
83743;25/03/1980;1200;0;;;;;;;;
83743;28/03/1980;0000;;32.5;;9.3;6.3;28.38;61;2.566667;
83743;28/03/1980;1200;0;;24.3;;;;;;
83743;29/03/1980;1200;0;;;;;;;;
83743;02/04/1980;0000;;26.8;;6.8;3.9;24.48;76.25;2.233333;
83743;02/04/1980;1200;0;;22;;;;;;
83743;03/04/1980;0000;;26.8;;0;4.1;24.88;85.25;1.033333;
83743;03/04/1980;1200;0.3;;23.5;;;;;;
83743;04/04/1980;1200;0.3;;;;;;;;
83743;08/04/1980;0000;;26.8;;5.6;2.9;24.9;84;3;
83743;08/04/1980;1200;0;;22.9;;;;;;
83743;09/04/1980;0000;;29.7;;9.5;2.6;26.36;81;2.866667;
83743;09/04/1980;1200;0;;23.3;;;;;;
83743;10/04/1980;1200;0;;;;;;;;
83743;11/04/1980;0000;;34;;8.1;2.3;28.12;76;3.266667;
83743;11/04/1980;1200;0;;25.6;;;;;;
83743;12/04/1980;1200;0;;;;;;;;
83743;13/04/1980;0000;;29.4;;1;3;25.78;89.25;1.266667;
83743;13/04/1980;1200;0;;23.9;;;;;;
83743;14/04/1980;1200;0.6;;;;;;;;
83743;15/04/1980;0000;;26.8;;0;2.1;24.32;90;2.533333;
83743;15/04/1980;1200;0;;22.8;;;;;;
83743;16/04/1980;1200;2;;;;;;;;
83743;18/04/1980;0000;;28.9;;10;3.4;24.98;76.75;3.4;
83743;18/04/1980;1200;0;;21.6;;;;;;
83743;19/04/1980;1200;0;;;;;;;;
83743;20/04/1980;0000;;27.6;;10;3.2;23.98;78.5;2.433333;
83743;20/04/1980;1200;0;;20.7;;;;;;
83743;21/04/1980;0000;;28;;9.8;3.8;24.54;79;3.966667;
83743;21/04/1980;1200;0;;21.5;;;;;;
83743;22/04/1980;1200;0;;;;;;;;
83743;23/04/1980;0000;;27.4;;6.2;3.3;24.06;78;2.2;
83743;23/04/1980;1200;0;;21.6;;;;;;
83743;24/04/1980;0000;;27.2;;9.9;3.3;24.32;74.5;3.833333;
83743;24/04/1980;1200;0;;22;;;;;;
83743;25/04/1980;1200;0;;;;;;;;
83743;27/04/1980;0000;;26;;8.2;2.8;23.72;82.75;3.466667;
83743;27/04/1980;1200;0;;21;;;;;;
83743;28/04/1980;1200;0;;;;;;;;
83743;30/04/1980;0000;;28.4;;9.3;2.6;23.64;83;2.033333;
83743;30/04/1980;1200;0;;21.2;;;;;;
83743;01/05/1980;0000;;30.4;;7.7;2.9;24.76;75.75;1.9;
83743;01/05/1980;1200;0;;22;;;;;;
83743;02/05/1980;0000;;28.7;;0.3;4.9;24.88;79.75;3.2;
83743;02/05/1980;1200;0;;22.8;;;;;;
83743;03/05/1980;1200;0;;;;;;;;
83743;05/05/1980;0000;;24.8;;9.7;3;21.98;74.25;2.533333;
83743;05/05/1980;1200;0;;19.8;;;;;;
83743;06/05/1980;1200;0;;;;;;;;
83743;07/05/1980;0000;;26;;9.2;3;22.42;82.5;3.533333;
83743;07/05/1980;1200;0;;19;;;;;;
83743;08/05/1980;0000;;25.6;;6.4;2;22.66;83.75;2.733333;
83743;08/05/1980;1200;0;;20;;;;;;
83743;09/05/1980;0000;;26.8;;8.9;2.5;23.8;75.25;2.166667;
83743;09/05/1980;1200;0;;20.8;;;;;;
83743;10/05/1980;0000;;30.4;;6.4;3.1;25.74;64;2.566667;
83743;10/05/1980;1200;0;;21.5;;;;;;
83743;11/05/1980;0000;;30.8;;8.6;8.1;25.32;77.5;3.533333;
83743;11/05/1980;1200;0;;23.4;;;;;;
83743;12/05/1980;0000;;27.1;;2.8;4.4;24.36;83;2.866667;
83743;12/05/1980;1200;0;;22.4;;;;;;
83743;13/05/1980;0000;;27;;6.2;2.1;23.68;81.25;1.933333;
83743;13/05/1980;1200;0;;20.9;;;;;;
83743;14/05/1980;1200;0;;;;;;;;
83743;15/05/1980;0000;;26.8;;9.4;2.8;22.9;81;2.266667;
83743;15/05/1980;1200;0;;20.6;;;;;;
83743;16/05/1980;0000;;27.7;;7.4;2.9;24.2;73.25;2.9;
