--------------------
BDMEP - INMET
--------------------
Estação           : SALVADOR  ONDINA  - BA (OMM: 83229)
Latitude  (graus) : -13.01
Longitude (graus) : -38.53
Altitude  (metros): 51.41
Estação Operante
Inicio de operação: 01/01/1903
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83229;01/01/1980;0000;;29;;4;2.1;26.04;79;2.633333;
83229;01/01/1980;1200;0;;24;;;;;;
83229;02/01/1980;0000;;29.8;;1;2.5;26.5;79.75;1.733333;
83229;02/01/1980;1200;21.9;;24;;;;;;
83229;03/01/1980;0000;;29.4;;0.5;2.7;26.68;81.75;2.766667;
83229;03/01/1980;1200;0;;25.2;;;;;;
83229;04/01/1980;0000;;28.2;;0;2.3;25.2;92.5;2.066667;
83229;04/01/1980;1200;0;;22.4;;;;;;
83229;05/01/1980;0000;;26.1;;0;1;24.52;92.5;1.7;
83229;05/01/1980;1200;49.8;;22.2;;;;;;
83229;06/01/1980;0000;;27.3;;1;1.6;23.34;87;3.466667;
83229;06/01/1980;1200;2.3;;20.8;;;;;;
83229;07/01/1980;0000;;28;;6.5;1.4;24.64;78.75;1.833333;
83229;07/01/1980;1200;14.9;;20.8;;;;;;
83229;08/01/1980;0000;;29;;5.6;2.2;25.52;82.25;1.766667;
83229;08/01/1980;1200;10;;21.8;;;;;;
83229;09/01/1980;0000;;28.2;;7.3;2.5;25.4;81.75;1.866667;
83229;09/01/1980;1200;13.5;;22.2;;;;;;
83229;10/01/1980;0000;;28.2;;3;2;25.68;86.75;1.3;
83229;10/01/1980;1200;12;;23.6;;;;;;
83229;11/01/1980;0000;;30;;9;2.1;26.5;78.75;2.1;
83229;11/01/1980;1200;6;;23.6;;;;;;
83229;12/01/1980;0000;;28.6;;3.2;2.7;26.32;84.5;1.366667;
83229;12/01/1980;1200;0;;23.8;;;;;;
83229;13/01/1980;0000;;29.8;;4.4;2.2;26.98;83.5;2.833333;
83229;13/01/1980;1200;0;;24.7;;;;;;
83229;14/01/1980;0000;;28.6;;4.5;2.3;26.1;85.25;1.433333;
83229;14/01/1980;1200;25.8;;22.8;;;;;;
83229;15/01/1980;0000;;30;;8.6;2;26.9;78.75;1.9;
83229;15/01/1980;1200;0;;24.6;;;;;;
83229;16/01/1980;0000;;30.2;;8.9;2.7;26.98;78.5;2.066667;
83229;16/01/1980;1200;1.8;;24.3;;;;;;
83229;17/01/1980;0000;;29.8;;10.7;3;26.34;81.75;2.066667;
83229;17/01/1980;1200;0.1;;23.9;;;;;;
83229;18/01/1980;0000;;29.2;;9;2.7;26.66;79;2.6;
83229;18/01/1980;1200;0.5;;24.1;;;;;;
83229;19/01/1980;0000;;29.6;;9.6;3.3;27;79.25;2.133333;
83229;19/01/1980;1200;0;;24.4;;;;;;
83229;20/01/1980;0000;;29;;1.3;2.5;25.9;87;1.733333;
83229;20/01/1980;1200;2.9;;23.9;;;;;;
83229;21/01/1980;0000;;27.4;;8.9;2;26.14;78.5;1.9;
