--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82280;01/01/1980;0000;;32.6;;7.2;3.9;;;;
82280;01/01/1980;1200;0;;24.9;;;;;;
82280;02/01/1980;0000;;32.1;;9.2;4;;;;
82280;02/01/1980;1200;0;;25.4;;;;;;
82280;03/01/1980;0000;;32;;7.5;4.8;;;;
82280;03/01/1980;1200;0;;24.6;;;;;;
82280;04/01/1980;0000;;32.1;;9.2;4;;;;
82280;04/01/1980;1200;0;;25.4;;;;;;
82280;05/01/1980;0000;;33;;8.9;3.5;;;;
82280;05/01/1980;1200;2.5;;23.7;;;;;;
82280;06/01/1980;0000;;32;;6;4.4;;;;
82280;06/01/1980;1200;0;;24.2;;;;;;
82280;07/01/1980;0000;;32.9;;6.4;4;;;;
82280;07/01/1980;1200;0.2;;24;;;;;;
82280;08/01/1980;0000;;32;;6;4.4;;;;
82280;08/01/1980;1200;0;;24.2;;;;;;
82280;09/01/1980;0000;;30.4;;0.6;3.5;;;;
82280;09/01/1980;1200;0.5;;24.4;;;;;;
82280;10/01/1980;0000;;30.3;;1.1;1.6;;;;
82280;10/01/1980;1200;76.1;;21.8;;;;;;
82280;11/01/1980;0000;;30.5;;1;3.6;;;;
82280;11/01/1980;1200;0;;23.9;;;;;;
82280;12/01/1980;0000;;31.6;;5.2;2;;;;
82280;12/01/1980;1200;0.7;;23.9;;;;;;
82280;13/01/1980;0000;;30.5;;1;3.6;;;;
82280;13/01/1980;1200;0;;23.9;;;;;;
82280;14/01/1980;0000;;27.6;;0;1.7;;;;
82280;14/01/1980;1200;6.3;;23;;;;;;
82280;15/01/1980;0000;;28.3;;1.2;0.4;;;;
82280;15/01/1980;1200;89.6;;22.3;;;;;;
82280;16/01/1980;0000;;31;;8.2;1.4;;;;
82280;16/01/1980;1200;2.1;;22.6;;;;;;
82280;17/01/1980;0000;;30.4;;4.9;2.5;;;;
82280;17/01/1980;1200;0;;23.9;;;;;;
82280;18/01/1980;0000;;30.5;;1.3;2.7;;;;
82280;18/01/1980;1200;0;;23.7;;;;;;
82280;19/01/1980;0000;;30.2;;0.6;1.5;;;;
82280;19/01/1980;1200;47.4;;21.7;;;;;;
82280;20/01/1980;0000;;31.1;;4.3;1.5;;;;
82280;20/01/1980;1200;49;;21.6;;;;;;
82280;21/01/1980;0000;;31.6;;7.4;2.3;;;;
82280;21/01/1980;1200;0;;23.9;;;;;;
82280;22/01/1980;0000;;31;;8.7;2.9;;;;
82280;22/01/1980;1200;0;;24.3;;;;;;
82280;23/01/1980;0000;;31.5;;7;3.7;;;;
82280;23/01/1980;1200;0;;24.2;;;;;;
82280;24/01/1980;0000;;31.7;;8.3;4.6;;;;
82280;24/01/1980;1200;0;;24.4;;;;;;
82280;25/01/1980;0000;;31.5;;7;3.7;;;;
82280;25/01/1980;1200;0;;24.2;;;;;;
82280;26/01/1980;0000;;31.2;;9.2;3.8;;;;
82280;26/01/1980;1200;0;;23.9;;;;;;
82280;27/01/1980;0000;;31.2;;9.2;3.8;;;;
82280;27/01/1980;1200;0;;23.9;;;;;;
82280;28/01/1980;0000;;29.3;;2.5;3.9;;;;
82280;28/01/1980;1200;0;;24.7;;;;;;
82280;29/01/1980;0000;;30.2;;4.5;1.7;;;;
82280;29/01/1980;1200;0;;24.2;;;;;;
82280;30/01/1980;0000;;31.6;;8.7;2.3;;;;
82280;30/01/1980;1200;0;;24.1;;;;;;
82280;31/01/1980;0000;;31.4;;8.8;3.3;;;;
82280;31/01/1980;1200;0;;25.2;;;;;;
82280;01/02/1980;0000;;32.9;;4.9;3.3;;;;
82280;01/02/1980;1200;0;;24.7;;;;;;
82280;02/02/1980;0000;;30.8;;5.5;3.5;;;;
82280;02/02/1980;1200;0;;23.9;;;;;;
82280;03/02/1980;0000;;30.4;;3.3;2;;;;
82280;03/02/1980;1200;0;;24.3;;;;;;
82280;04/02/1980;0000;;29.6;;3;2;;;;
82280;04/02/1980;1200;63.2;;23.3;;;;;;
82280;05/02/1980;0000;;29.9;;2.7;1.8;;;;
82280;05/02/1980;1200;1.2;;22.7;;;;;;
82280;06/02/1980;0000;;28;;0.1;1;;;;
82280;06/02/1980;1200;210;;22.5;;;;;;
82280;07/02/1980;0000;;30.4;;6;1.1;;;;
82280;07/02/1980;1200;0;;23.4;;;;;;
82280;08/02/1980;0000;;30.6;;4.2;1.7;;;;
82280;08/02/1980;1200;8;;23.1;;;;;;
82280;09/02/1980;0000;;31;;5.9;3.1;;;;
82280;09/02/1980;1200;0;;23.4;;;;;;
82280;10/02/1980;0000;;29.6;;1.9;3.4;;;;
82280;10/02/1980;1200;13.8;;22.7;;;;;;
82280;11/02/1980;0000;;28.7;;0.6;1.4;;;;
82280;11/02/1980;1200;99.2;;21.3;;;;;;
82280;12/02/1980;0000;;30.5;;4.3;1.6;;;;
82280;12/02/1980;1200;7;;23.9;;;;;;
82280;13/02/1980;0000;;29.8;;1.7;2.3;;;;
82280;13/02/1980;1200;33.2;;23.7;;;;;;
82280;14/02/1980;0000;;27.6;;0;2.1;;;;
82280;14/02/1980;1200;15.4;;23.1;;;;;;
82280;15/02/1980;0000;;28.4;;0;0.7;;;;
82280;15/02/1980;1200;45.1;;22.2;;;;;;
82280;16/02/1980;0000;;28.5;;1.4;1.1;;;;
82280;16/02/1980;1200;28.5;;22.1;;;;;;
82280;17/02/1980;0000;;27.3;;0;0.8;;;;
82280;17/02/1980;1200;6.6;;23.1;;;;;;
82280;18/02/1980;0000;;27.2;;0;1.4;;;;
82280;18/02/1980;1200;19.7;;21.9;;;;;;
82280;19/02/1980;0000;;28.6;;0.7;0.6;;;;
82280;19/02/1980;1200;15.9;;21.7;;;;;;
82280;20/02/1980;0000;;28.6;;1.2;2;;;;
