--------------------
BDMEP - INMET
--------------------
Estação           : TERESINA - PI (OMM: 82578)
Latitude  (graus) : -5.08
Longitude (graus) : -42.81
Altitude  (metros): 74.36
Estação Operante
Inicio de operação: 21/03/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82578;01/01/1980;0000;;31.8;;5;1.7;26.84;85;0.966667;
82578;01/01/1980;1200;9.6;;23.3;;;;;;
82578;02/01/1980;0000;;33.6;;7.8;2.1;27.28;74.75;0.766667;
82578;02/01/1980;1200;0;;23.5;;;;;;
82578;03/01/1980;0000;;28.5;;0.2;3.3;25.48;85;1.566667;
82578;03/01/1980;1200;0;;24.2;;;;;;
82578;04/01/1980;0000;;32.7;;7.1;1.4;;;;
82578;04/01/1980;1200;0;;22.8;;;;;;
82578;05/01/1980;0000;;31.5;;2.4;3.2;25.84;81;1.866667;
82578;05/01/1980;1200;26.4;;22.1;;;;;;
82578;06/01/1980;0000;;33.1;;7.8;2.1;26.94;72.25;1.9;
82578;06/01/1980;1200;0;;23.1;;;;;;
82578;07/01/1980;0000;;31.8;;5.2;3.2;26.06;83;2.466667;
82578;07/01/1980;1200;6.2;;23.2;;;;;;
82578;08/01/1980;0000;;33.8;;9;2.5;;;;
82578;08/01/1980;1200;0;;22.8;;;;;;
82578;09/01/1980;0000;;32.4;;6.4;2.8;26.42;81.25;0.866667;
82578;09/01/1980;1200;0;;22.3;;;;;;
82578;10/01/1980;0000;;30.5;;1.8;2.6;25.32;87;1.533333;
82578;10/01/1980;1200;47.2;;22.4;;;;;;
82578;11/01/1980;0000;;30.8;;2;1.3;25.22;88.75;1.5;
82578;11/01/1980;1200;1.8;;22.7;;;;;;
82578;12/01/1980;0000;;31.3;;4.7;1.3;;;;
