--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Estação Operante
Inicio de operação: 20/11/1923
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83648;01/01/1980;0000;;31.8;;0.3;3.3;24.6;93.75;5.566667;
83648;01/01/1980;1200;0.5;;21.3;;;;;;
83648;02/01/1980;0000;;21.9;;0;1.9;20.24;95.25;5.3;
83648;02/01/1980;1200;54.6;;19.4;;;;;;
83648;03/01/1980;0000;;25.4;;3.7;0.4;22.2;90.25;4.533333;
83648;03/01/1980;1200;31;;18.4;;;;;;
83648;04/01/1980;0000;;27.1;;8.2;2.9;23.98;92;3.7;
83648;04/01/1980;1200;0;;20.8;;;;;;
83648;05/01/1980;0000;;27;;10.3;3.3;24.34;93;3.533333;
83648;05/01/1980;1200;0;;21.6;;;;;;
83648;06/01/1980;0000;;27.8;;4.4;2.6;24.04;93.75;2.966667;
83648;06/01/1980;1200;0.6;;21.6;;;;;;
83648;07/01/1980;0000;;30.1;;10.7;1.9;25.86;93.25;5.033333;
83648;07/01/1980;1200;0;;21.9;;;;;;
83648;08/01/1980;0000;;29.3;;4.4;3.2;25.56;92;3.966667;
83648;08/01/1980;1200;0.2;;22.7;;;;;;
83648;09/01/1980;0000;;29.7;;9.7;2.3;25.88;94;5.233333;
83648;09/01/1980;1200;1.2;;22.8;;;;;;
83648;10/01/1980;0000;;30.5;;8.4;2.7;26.28;93.5;6.466667;
83648;10/01/1980;1200;0;;23.6;;;;;;
83648;11/01/1980;0000;;31.8;;3.9;4.3;27.12;90.75;5.133333;
83648;11/01/1980;1200;0;;23.7;;;;;;
83648;12/01/1980;0000;;27.5;;0;3.3;24.42;95.25;1.233333;
83648;12/01/1980;1200;2.6;;21.8;;;;;;
83648;13/01/1980;0000;;25.5;;0;1.1;23.42;96.25;1.566667;
83648;13/01/1980;1200;3.1;;22.4;;;;;;
83648;14/01/1980;0000;;24.6;;0;0.5;22.88;95.25;1.633333;
83648;14/01/1980;1200;17.1;;21.8;;;;;;
83648;15/01/1980;0000;;25.1;;0;0.2;23.56;94.25;3.3;
83648;15/01/1980;1200;41.4;;22;;;;;;
83648;16/01/1980;0000;;27.2;;0;0.9;24.16;96.25;3.4;
83648;16/01/1980;1200;20.5;;22;;;;;;
83648;17/01/1980;0000;;28.4;;3.4;0.6;25.52;93.75;4.8;
83648;17/01/1980;1200;27.1;;22.5;;;;;;
83648;18/01/1980;0000;;28.8;;3.2;2.2;26.12;92;4.633333;
83648;18/01/1980;1200;0;;23.9;;;;;;
83648;19/01/1980;0000;;32.2;;9.3;2.5;26.44;90.75;5.9;
83648;19/01/1980;1200;0;;20.9;;;;;;
83648;20/01/1980;0000;;33.1;;8.6;3.8;26.88;88.25;5.9;
83648;20/01/1980;1200;0;;21;;;;;;
83648;21/01/1980;0000;;31.7;;3.5;3.5;27.74;91.5;4.8;
83648;21/01/1980;1200;0;;25.8;;;;;;
83648;22/01/1980;0000;;32.9;;3.9;2.7;27.6;92.25;4.533333;
83648;22/01/1980;1200;0;;25.2;;;;;;
83648;23/01/1980;0000;;32.1;;8.7;3.6;27.58;91.5;5.266667;
83648;23/01/1980;1200;0;;25.5;;;;;;
83648;24/01/1980;0000;;30.9;;8.1;4.1;27.34;85;5.566667;
83648;24/01/1980;1200;0;;24.7;;;;;;
83648;25/01/1980;0000;;31.7;;7;4.7;27.6;90.25;5.966667;
83648;25/01/1980;1200;0;;25.1;;;;;;
83648;26/01/1980;0000;;33.1;;3.9;3.9;27.98;89.5;6.5;
83648;26/01/1980;1200;0;;25.7;;;;;;
83648;27/01/1980;0000;;32.1;;2.8;3.1;26.8;92.25;3.033333;
83648;27/01/1980;1200;1.5;;23.4;;;;;;
83648;28/01/1980;0000;;28.6;;5.3;1.9;26.02;92.25;4.033333;
83648;28/01/1980;1200;0;;23.9;;;;;;
83648;29/01/1980;0000;;27.7;;0.7;1.7;25.38;91.75;5.866667;
83648;29/01/1980;1200;0;;24;;;;;;
83648;30/01/1980;0000;;28.9;;11.5;2.8;25.1;81.25;7.833333;
83648;30/01/1980;1200;0;;21.4;;;;;;
83648;31/01/1980;0000;;29.5;;11.3;3.2;26.24;88.25;2.533333;
83648;31/01/1980;1200;0;;23.5;;;;;;
83648;01/02/1980;0000;;31.5;;8.8;2;27.56;88.75;6.033333;
83648;01/02/1980;1200;0.5;;24.4;;;;;;
83648;02/02/1980;0000;;30.9;;1.2;2.9;26.6;94.75;2;
83648;02/02/1980;1200;0;;24.6;;;;;;
83648;03/02/1980;1200;37.1;;;;;;;;
83648;06/02/1980;0000;;29.4;;11.1;4.8;26.24;90.25;3.7;
83648;06/02/1980;1200;0;;23.4;;;;;;
83648;07/02/1980;0000;;31.5;;11.2;3.3;27.38;85;3.633333;
83648;07/02/1980;1200;0;;23.7;;;;;;
83648;08/02/1980;0000;;31.6;;11.3;3.2;27.44;86;4.966667;
83648;08/02/1980;1200;0;;24.2;;;;;;
83648;09/02/1980;0000;;28.4;;2.4;3.2;26.14;93.75;6.8;
83648;09/02/1980;1200;2.1;;23.8;;;;;;
83648;10/02/1980;0000;;31;;10.3;2.5;26.76;;4.466667;
83648;10/02/1980;1200;2.8;;24.1;;;;;;
83648;11/02/1980;1200;0;;;;;;;;
