<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 82900</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82900;31/01/1980;0000;14;3.161667;8.3;;;;192.8;6.333333;18;63.4;;1011.29;30.53871;27.096129;23.048387;73.975806;;
82900;29/02/1980;0000;18;2.946429;7.8;;;;120.7;7.553571;21;369.8;;;29.72069;26.245517;22.562069;80.301724;;
82900;31/03/1980;0000;18;2.842424;5.6;111.1;;;190.8;6.742424;21;354.6;;1011.3;29.264516;25.815484;22.635484;80.951613;;
82900;30/04/1980;0000;18;2.994118;5.5;;;;;6.588235;20;152.4;;;29.196667;25.719333;22.426667;82.353448;;
82900;31/05/1980;0000;18;2.665152;7;77.7;;;155.7;6.166667;26;227;;;28.435484;25.088387;22.035484;83.653226;;
82900;30/06/1980;0000;18;2.450794;6;;;;128.9;6.52381;23;456.3;;;27.68;24.462;21.663333;85.87931;;
82900;31/07/1980;0000;18;3.058333;8;;;;196.5;5.783784;21;140.7;;1015.136;27.903226;24.092903;20.825806;79.58871;;
82900;31/08/1980;0000;18;3.182667;6.6;120.8;;;192.5;5.72;21;99.7;;;27.945161;24.064516;20.748387;81.169355;;
82900;30/09/1980;0000;14;3.534783;6.6;134.6;;;208.1;5.26087;13;95.2;;;28.423333;24.985333;21.226667;78.241379;;
82900;31/10/1980;0000;18;3.617391;6.6;149.5;;;227;5.782609;20;130.4;;1013.84058;28.541935;25.209677;21.264516;75.83871;;
82900;30/11/1980;0000;9;2.966667;5.3;115.3;;;212.6;5.316667;19;102.8;;;29.326667;25.866667;22.103333;75.008333;;
82900;31/12/1980;0000;14;2.923188;5.5;124.7;;;213.4;5.318841;18;67.2;;;29.677419;25.842581;21.883871;76.193548;;
82900;31/01/1981;0000;14;3.327692;5.8;;;;;6.348485;19;195.5;;;29.590323;26.197419;22.574194;76.669643;;
82900;28/02/1981;0000;14;3.96875;6.1;;;;;5.791667;24;134.2;;;29.232143;26.411111;23.382143;75.714286;;
82900;31/03/1981;0000;9;2.554023;5.3;101.4;;;157.5;6.54023;16;153.9;;1013.25977;29.474194;25.992667;22.906452;82.201613;;
82900;30/04/1981;0000;14;2.939744;6.5;;;;204.6;5.25974;18;107.4;;;29.353333;25.832414;22.134483;78.416667;;
82900;31/05/1981;0000;18;3.411236;6.3;97.9;;;154.8;7.275862;27;219.9;;;28.374194;25.005161;22.148387;82.846774;;
82900;30/06/1981;0000;18;3.457778;6.6;111.4;;;209.7;6.366667;25;231;;;27.85;24.494;21.35;80.591667;;
82900;31/07/1981;0000;18;3.976316;8;;;;178;5.571429;27;135;;;26.980645;23.583871;20.596774;78.927419;;
82900;31/08/1981;0000;18;4.012791;7.5;124.1;;;188.9;6.103448;21;107.8;;;27.158065;23.768387;20.558065;78.58871;;
82900;30/09/1981;0000;18;4.335897;8.8;;;;185.9;5.371795;20;113.6;;;27.686667;24.394;21.4;76.433333;;
82900;31/10/1981;0000;14;3.747619;6.3;154.6;;;244.8;4.917647;13;27.5;;;29.090323;25.767097;22.13871;72.758333;;
