<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83229</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : SALVADOR  ONDINA  - BA (OMM: 83229)
Latitude  (graus) : -13.01
Longitude (graus) : -38.53
Altitude  (metros): 51.41
Estação Operante
Inicio de operação: 01/01/1903
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83229;31/01/1980;0000;9;2.152688;5;76.4;;;165.6;5.924731;16;186.1;;;29;26.052258;23.43871;81.943548;;
83229;29/02/1980;0000;9;1.893103;3.5;65.6;;;135.1;7.126437;21;364.2;;;28.951724;25.873103;23.42069;83.491379;;
83229;31/03/1980;0000;14;2.106452;3.3;108.3;;;242.6;4.870968;19;70.2;;;29.254839;26.342581;23.735484;75.919355;;
83229;30/04/1980;0000;14;2.261111;6.3;100.3;;;203.8;5.211111;14;79.9;;1006.87;28.936667;26.047333;23.483333;78.375;;
83229;31/05/1980;0000;14;2.236559;4.6;94.8;;;199.8;5.419355;24;197.4;;;27.912903;25.322581;22.906452;80.040323;;
83229;30/06/1980;0000;14;2.317778;6.6;86.4;;;192.6;5.566667;15;146.7;;;26.636667;24.292;22.336667;82.566667;;
83229;31/07/1980;0000;14;2.375269;5;100.8;;;198.2;5.72043;21;128.3;;1011.08172;26.33871;23.800645;21.63871;79.274194;;
83229;31/08/1980;0000;14;2.675269;7.5;115.7;;;220.8;4.763441;16;168.9;;;26.32;23.948667;21.722581;77.774194;;
83229;30/09/1980;0000;14;2.388889;5.8;86.2;;;165.4;6.077778;21;157.3;;;26.856667;24.203333;22.036667;80.816667;;
83229;31/10/1980;0000;14;2.812903;6.6;114.8;;;253.6;4.505376;14;89;;;27.745161;25.032903;22.622581;77.258065;;
83229;30/11/1980;0000;9;2.324444;5;74.1;;;166.2;6.422222;22;306.8;;;27.873333;25.162;22.66;83.775;;
83229;31/12/1980;0000;9;2.292473;4.1;93.9;;;212.9;5.16129;10;54.7;;;29.483871;26.376774;23.987097;80.427419;;
83229;31/01/1986;0000;9;1.593478;3.6;99.3;;;281.7;3.836957;9;93.1;;;29.916129;26.591613;;78.653226;;
83229;28/02/1986;0000;9;1.704762;3.3;102;;;239.2;4.416667;13;30.8;;;30.953571;27.405;;76.901786;;
83229;31/03/1986;0000;9;1.41413;3.6;75.4;;;224;5.184783;23;274.4;;;29.612903;26.525333;;81.183333;;
