<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 82024</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82024;31/01/1980;0000;14;3.586022;7;;;;;0.660215;2;3;;;32.75;27.3625;22.8;74.84375;;
82024;29/02/1980;0000;5;4.834483;8;;;;;0.554023;;0;;1000.45977;34.175;28.37625;23.61875;67.828125;;
82024;31/03/1980;0000;5;3.776344;8.1;;;;;0.768817;2;6.4;;;33.225;28.549;23.975;70;;
82024;30/04/1980;0000;;;;78.3;;;;;;;;;;;;;;
82024;31/05/1980;0000;0;0.959783;4.8;;;;;0.840217;10;146.7;;;30.770588;26.527059;23.282353;87.676471;;
82024;30/06/1980;0000;;0.963333;4.5;;;;;0.798889;8;108.4;;;;;;;;
82024;31/07/1980;0000;0;1.025806;8.3;;;;;0.739785;8;126;;;30.8625;26.20125;22.8875;86.5625;;
82024;31/08/1980;0000;0;0.925806;6;;;;;0.713978;11;80.8;;;32.322222;27.337778;23.488889;81.041667;;
82024;30/09/1980;0000;0;1.186667;5.5;;;;;0.632222;2;12.8;;;33.733333;28.187778;24.205556;76.125;;
82024;31/10/1980;0000;0;1.756989;5.6;;;;;0.670968;2;16.8;;;33.886364;28.217273;22.686364;73.011364;;
82024;30/11/1980;0000;5;2.468889;5.6;;;;;0.671111;1;12.4;;;33.1;27.784211;23.084211;79.157895;;
82024;31/12/1980;0000;5;2.710753;8.1;146.7;;;181.3;0.637634;4;61.2;;;33.218519;27.993333;22.992593;75.75;;
82024;28/02/1981;0000;5;1.606024;6.5;;;;;0.737349;2;9.1;;;33.772222;28.326667;22.888889;69.277778;;
82024;31/03/1981;0000;5;2.410753;8;;;;186.2;0.67957;1;4.7;;;34.45;28.767857;23.225;69.7;;
82024;30/04/1981;0000;0;0.848889;7;;;;;0.827778;7;48.4;;;32.317647;27.197647;22.882353;79.546875;;
82024;31/05/1981;0000;0;0.723656;6.8;;;;;0.873118;14;175.2;;;30.690909;26.301818;22.586364;88.454545;;
82024;30/06/1981;0000;;0.596667;5;;;;;0.794444;5;36.8;;;;;;;;
82024;31/07/1981;0000;0;0.510753;4.1;;;;;0.849462;9;196.1;;;28.821053;24.704211;21.178947;89.894737;;
82024;31/08/1981;0000;;0.433333;4.3;;;;;0.74086;7;115.6;;;;;;;;
82024;30/09/1981;0000;;1.198889;5;;;;;0.717778;6;65.4;;;;;;;;
82024;31/10/1981;0000;5;1.322581;5;136;;;137.5;0.590323;6;80.9;;1001.34086;33.207407;28.062222;23.8;74.462963;;
82024;30/11/1981;0000;5;1.56;6.3;;;;;0.588889;;0;;;34.465217;28.856522;24.334783;72.068182;;
82024;31/12/1981;0000;5;2.34086;7.6;;;;;0.615054;3;5.2;;;33.813636;28.411818;24.481818;76.170455;;
82024;31/01/1982;0000;5;2.198925;6.6;;;;;0.597849;2;1.1;;;32.96;27.718;23.81;76.4625;;
82024;28/02/1982;0000;5;2.257143;8.6;;;;;0.666667;2;1.6;;;33.647368;28.117895;23.705263;72.052632;;
82024;31/03/1982;0000;5;2.486022;10;213.2;;;65.6;0.74086;3;9;;;34.060714;28.658571;24.414286;69.75;;
82024;30/04/1982;0000;0;1.46;8.6;;;;;0.771111;6;94.2;;;32.585;27.608;23.875;77.9375;;
82024;31/05/1982;0000;0;0.277419;6.6;;;;;0.823656;15;193.6;;;31.043478;26.56;23.686957;85.021739;;
82024;30/06/1982;0000;0;0.648889;7;;;;;0.735556;18;136.3;;;30.83913;26.28;22.643478;85;;
82024;31/07/1982;0000;0;0.544086;5;;;;91.6;0.71828;14;171.1;;;30.956;26.2952;23.004;82.71;;
82024;31/08/1982;0000;0;0.767742;4.1;;;;;0.703226;7;61;;;32.566667;27.173333;23.357143;77.035714;;
82024;30/09/1982;0000;0;1.194318;5.8;;;;71.8;0.620455;1;0.6;;;34.276923;28.7432;24.388462;69.72;;
82024;31/10/1982;0000;0;1.266667;8;;;;;0.674194;4;62.8;;;34.536364;28.577273;24.313636;67.225;;
82024;30/11/1982;0000;5;1.592222;6.3;;;;;0.617778;1;0.8;;;35.073913;29.143478;24.547826;66.391304;;
82024;31/12/1982;0000;5;1.565591;6.3;;;;;0.655914;1;32.8;;;33.646667;28.537333;24.753333;;;
82024;31/01/1983;0000;;2.993548;8.6;262;;;74.2;0.633333;4;6.8;;;33.283871;28.148387;24.119355;;;
82024;28/02/1983;0000;;2.67381;7;258.1;;;65.1;0.680952;6;34.8;;;34.414286;28.700714;23.871429;;;
82024;31/03/1983;0000;;2.473118;7.5;261.9;;;55.2;0.755914;7;11.1;;;34.843333;29.487333;25.058065;;;
82024;30/04/1983;0000;;1.06092;7.6;160.2;;;61.1;0.824138;18;287.6;;;32.755172;27.695862;23.986207;;;
82024;31/05/1983;0000;;0.930108;5.8;129.4;;;142.7;0.748387;17;163.4;;;32.509677;27.983226;24.558065;;;
82024;30/06/1983;0000;;0.642222;6.8;96.9;;;132.6;0.768889;20;230.8;;;31.54;26.841333;23.39;;;
82024;31/07/1983;0000;;0.949462;5.5;149.7;;;216.6;0.684946;10;31.4;;;32.432258;27.531613;24.148387;;;
82024;31/08/1983;0000;;0.804301;7.5;140.9;;;148.9;0.765591;20;123.8;;;31.722581;26.869677;23.416129;;;
82024;30/09/1983;0000;;1.03;5.8;190.7;;;192.5;0.628889;5;35.8;;;34.123333;28.372;24.213333;;;
82024;31/10/1983;0000;;1.358065;5.3;246.5;;;124.1;0.668817;3;59;;;35.16129;29.183871;24.583871;;;
82024;30/11/1983;0000;;1.532222;6.3;222.8;;;137.2;0.676667;6;45.6;;;34.62;28.872;24.583333;;;
82024;31/12/1983;0000;;0.686022;2.6;195.3;;;122.8;0.710753;8;31.8;;;33.529032;28.329677;24.106452;;;
82024;31/01/1984;0000;;1.62043;6.6;197.5;;;143.8;0.721505;8;94.2;;;32.964516;27.592903;23.725806;;;
82024;29/02/1984;0000;;2.451724;7.1;263.2;;;94.9;0.675862;2;4.8;;;33.268966;27.972414;23.775862;;;
82024;31/03/1984;0000;;2.691398;7.5;336.5;;;147.8;0.65914;1;11.1;;;34.887097;29.15871;24.496774;;;
82024;30/04/1984;0000;;2.234444;8.3;310.4;;;65.4;0.737778;6;60;;;34.366667;28.827333;24.403333;;;
82024;31/05/1984;0000;;1.519355;8.3;156.3;;;127.3;0.813978;18;425.8;;;31.690323;26.927742;23.280645;;;
82024;30/06/1984;0000;;0.867778;5.5;75.8;;;82.7;0.827778;25;430;;;29.613333;25.727333;22.75;;;
82024;31/07/1984;0000;;0.452688;5.3;75.9;;;110;0.786022;22;379.4;;;29.548387;25.567097;22.645161;;;
82024;31/08/1984;0000;;1.067742;6.3;93.5;;;146.6;0.770968;23;266.3;;;31.187097;26.432903;23.303226;;;
82024;30/09/1984;0000;;0.765556;5.3;108.5;;;177.1;0.753333;15;208.1;;;31.746667;26.898667;23.246667;;;
82024;31/10/1984;0000;;1.113978;5.3;146;;;183.7;0.696739;9;134.7;;;32.464516;27.623226;23.580645;;;
82024;30/11/1984;0000;;0.835556;5;125.4;;;167.5;0.748889;12;94.9;;;31.5;26.756522;23.4;;;
82024;31/12/1984;0000;;1.368817;8.3;179;;;152.4;0.703226;6;23.9;;;32.516129;27.469677;23.751613;;;
82024;31/01/1985;0000;;2.749462;9;251.5;;;181.1;0.698925;3;17.3;;;32.974194;27.509032;23.293548;;;
82024;28/02/1985;0000;;3.462821;8.9;;;;152.1;0.624359;;0;;;33.403846;27.943077;23.669231;;;
82024;31/03/1985;0000;;3.330108;7.5;;;;168.8;0.719355;3;14.2;;;34.051613;28.964516;24.387097;;;
82024;30/04/1985;0000;;2.972222;8.3;247.7;;;157.6;0.737778;6;95.6;;;33.6;28.476667;24.196667;;;
82024;31/05/1985;0000;;0.978495;5;121.3;;;87.6;0.811828;17;221.2;;;30.929032;26.645161;23.406452;;;
82024;30/06/1985;0000;;0.26;3.6;65.1;;;46.2;0.883333;24;338.4;;;29.106667;25.127333;22.423333;;;
