<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83967</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Estação Operante
Inicio de operação: 09/12/1909
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83967;31/01/1980;0000;18;3.29881;7.6;183.1;;;248.8;4.261905;;51.3;;;29.067857;23.592143;18.946429;68.455357;;
83967;29/02/1980;0000;9;2.818919;8.3;127.5;;;;4.851351;;87;;;29.724;24.5104;20.716;74.52;;
83967;31/03/1980;0000;9;2.469231;8.3;109.4;;;;5.397436;;28.3;;;30.026923;25.292308;21.923077;76.375;;
83967;30/04/1980;0000;14;2.424638;10.3;103;;;;4.463768;;90.6;;;27.578261;22.029565;18.1;73.943182;;
83967;31/05/1980;0000;18;1.525714;6;65.1;;;;5.185714;;80.4;;;23.608696;18.583478;14.982609;80.195652;;
83967;30/06/1980;0000;23;;7.1;;;;;5.242424;;30.4;;;;;;;;
83967;31/07/1980;0000;;;;;;;;;;114.6;;;;;;;;
83967;31/08/1980;0000;0;2.801786;9.8;56;;;;4.982143;;16.1;;;19.842105;15.016842;11.1;76.671053;;
83967;30/09/1980;0000;0;3.088889;9.6;51.5;;;;4.511111;;22.4;;;20.9;14.534667;9.733333;68.75;;
83967;31/10/1980;0000;9;3.155128;8.3;105.8;;;;7.012821;;83.2;;;23.857692;18.983077;15.469231;75.019231;;
83967;30/11/1980;0000;14;3.235616;8.1;123.3;;;;4.465753;;43;;;26.366667;20.839167;16.520833;70.46875;;
83967;31/12/1980;0000;9;3.470423;7.5;95.6;;;;6.591549;;144;;;27.9125;23.061667;19.304167;76.73913;;
83967;31/01/1981;0000;;3.316667;;;;;238.9;;;104.8;;;30.067857;24.707143;20.667857;72.044643;;
83967;28/02/1981;0000;;2.510909;;;;;;;;70.2;;;31.122222;25.748889;21.566667;75.930556;;
83967;31/03/1981;0000;;2.949398;;;;;226.4;;;14.5;;;27.785714;22.438571;18.296429;74.910714;;
83967;30/04/1981;0000;;1.417333;;;;;;;;42.2;;;26.512;20.6424;16.148;80.6;;
83967;31/05/1981;0000;;1.448;;;;;;;;34.6;;1011.1;26.172;20.3528;15.704;80.04;;
83967;30/06/1981;0000;;;;;;;;;;92.8;;1012.3475;;;;;;
83967;31/07/1981;0000;;1.824615;;;;;;;;39.5;;;20.681818;15.541818;11.713636;76.375;;
83967;31/08/1981;0000;;1.931884;;;;;;;;37.1;;;22.943478;16.527826;11.421739;69.782609;;
83967;30/09/1981;0000;;3.033333;;;;;;;;39.4;;;21.911765;16.798824;12.694118;74.867647;;
83967;31/10/1981;0000;;3.379487;;;;;;;;17.5;;1010.1;23.657692;18.32;13.453846;68.538462;;
83967;30/11/1981;0000;;3.45;;;;;244.2;;;74.3;;;26.803333;21.73;17.986667;72.683333;;
83967;31/12/1981;0000;;3.218519;;;;;246.2;;;48.4;;;28.318519;22.456296;17.959259;67.185185;;
83967;31/01/1982;0000;18;3.231111;6.8;202.6;;;310.9;4.266667;;10;;;29.423333;23.530667;18.996667;63.158333;;
83967;28/02/1982;0000;9;2.971795;6;124.2;;;;6.551282;;90.3;;;29.576923;24.474615;20.865385;72.259615;;
83967;31/03/1982;0000;;3.186667;;;;;249.2;;;42.8;;;28.946667;23.295333;19.39;72.483333;;
83967;30/04/1982;0000;;2.462069;;;;;219.2;;;15.2;;;26.541379;20.810345;16.462069;69.362069;;
83967;31/05/1982;0000;0;1.792754;6.6;73.5;;;;4.782609;;22.7;;;22.073913;16.62;12.604348;72.021739;;
83967;30/06/1982;0000;0;1.189796;4.1;27.9;;;;7;;24.1;;;21;15.61875;11.2875;77.265625;;
83967;31/07/1982;0000;;1.535714;;;;;;;;68.7;;;18.8;13.582105;10.089474;80.355263;;
83967;31/08/1982;0000;18;2.098333;6;47.2;;;;6.183333;;61.7;;;20.155;15.413;11.255;78.5125;;
83967;30/09/1982;0000;14;2.687179;9.5;74.6;;;;4.397436;;160.8;;;23.515385;18.387692;14.35;76.865385;;
83967;31/10/1982;0000;9;2.766667;7.1;115.1;;;209.5;4.419753;;172.3;;;23.57037;18.186667;13.82963;69.212963;;
83967;30/11/1982;0000;14;3.092;7.3;94.4;;;;5.826667;;159.3;;;25.188;20.3488;16.556;75.42;;
83967;31/12/1982;0000;14;2.962069;8.3;146.5;;;222.6;4.931034;;70.9;;;28.424138;22.989655;18.434483;71.455357;;
83967;31/01/1983;0000;;3.191398;;;;;181.2;;;87.7;;1003.76129;29.754839;24.981935;21.758065;76.879032;;
83967;28/02/1983;0000;;2.978571;;;;;163.6;;;158.8;;1007;28.992857;24.172857;20.742857;75.5;;
83967;31/03/1983;0000;;2.710753;;;;;182.5;;;166.4;;;26.222581;21.594839;18.174194;77.346774;;
83967;30/04/1983;0000;;2.185556;;;;;145;;;90.3;;;24.246667;19.828;16.743333;80.358333;;
83967;31/05/1983;0000;;2.201075;;;;;110.3;;;172.2;;;21.380645;17.547097;14.864516;82.58871;;
83967;30/06/1983;0000;;2.214444;;;;;114;;;105.7;;;17.35;12.738667;8.896667;79.425;;
83967;31/07/1983;0000;;2.603226;;;;;56.8;;;219.1;;;17.083871;13.225161;10.387097;84.822581;;
83967;31/08/1983;0000;;2.411828;;;;;111.8;;;228.2;;;20.512903;15.542581;11.822581;78;;
83967;30/09/1983;0000;;2.547778;;;;;149.3;;;55;;1012.3;20.903333;15.442667;11.28;74.941667;;
83967;31/10/1983;0000;;2.787097;;;;;191.8;;;155.3;;;25.303226;19.575484;15.122581;73.943548;;
83967;30/11/1983;0000;;2.546667;;;;;197.5;;;133.6;;;27.176667;21.864;17.626667;73.325;;
83967;31/12/1983;0000;;2.946237;;;;;256.5;;;44;;;30.26129;24.296129;20.032258;69.080645;;
83967;31/01/1984;0000;;2.180645;;;;;172.4;;;151.7;;;31.080645;25.925161;22.258065;74.653226;;
83967;29/02/1984;0000;;1.909195;;;;;194.4;;;99.7;;;33.306897;26.83931;22.603448;72.043103;;
83967;31/03/1984;0000;;2.564516;;;;;171.7;;;99.1;;;28.319355;23.374194;19.809677;73.41129;;
83967;30/04/1984;0000;;2.261111;;;;;164.8;;;243.9;;1010.54;24.476667;19.54;15.883333;76.066667;;
83967;31/05/1984;0000;;1.715054;;;;;114.7;;;268.6;;;22.274194;17.655484;14.170968;80.258065;;
83967;30/06/1984;0000;;1.888889;;;;;77.8;;;340.1;;;18.443333;14.150667;10.916667;84.283333;;
83967;31/07/1984;0000;;2.017204;;;;;126.9;;;125.5;;;19.9;14.447742;10.170968;77.669355;;
83967;31/08/1984;0000;;2.060215;;;;;108.7;;;97.3;;;18.012903;12.975484;9.274194;78.943548;;
83967;30/09/1984;0000;;2.886667;;;;;161.4;;;63.3;;;21.3;16.362667;12.806667;75.858333;;
83967;31/10/1984;0000;;2.711828;;;;;191;;;69.5;;;26.064516;19.984516;15.625806;73.572581;;
83967;30/11/1984;0000;;3.276667;;;;;192.8;;;69.8;;;26.143333;20.657333;16.543333;69.683333;;
83967;31/12/1984;0000;;2.729032;;;;;228.8;;;42.2;;1005.36129;27.183871;21.302581;16.7;67.177419;;
83967;31/01/1988;0000;;2.054348;;56.6;;;208.8;;;141.4;;;30.164516;24.710323;20.929032;74.66129;;
83967;29/02/1988;0000;;2.168966;;64.6;;;232.5;;;23.1;;;29.541379;23.92069;20.089655;70.594828;;
83967;31/03/1988;0000;;2.165591;;82.6;;;217.8;;;6.3;;;32.041935;25.592903;21.045161;65.620968;;
83967;30/04/1988;0000;;1.83;;44.8;;;173.5;;;75.1;;;25.03;18.931333;14.555172;70.408333;;
83967;31/05/1988;0000;;1.336559;;31.6;;;122.3;;;43.5;;;19.074194;13.951613;10.3;79.491935;;
83967;30/06/1988;0000;;1.213333;;;;;104.8;;;170.8;;;17.693333;11.756667;7.155172;82.641667;;
83967;31/07/1988;0000;;1.432258;;;;;173.9;;;49.5;;;19.4;13.001935;8.293548;74.241935;;
83967;31/08/1988;0000;;1.969892;;46.9;;;101.4;;;21;;;20.56129;15.406452;11.622581;76.387097;;
