<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83743</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83743;31/01/1980;0000;;;8.8;;;;;;4;18.7;;;;;;;;
83743;29/02/1980;0000;;;;;;;;;2;3;;;;;;;;
83743;31/03/1980;0000;;;7;;;;;;1;4.6;;;;;;;;
83743;30/04/1980;0000;14;2.746341;6.6;;;;;4.95122;4;3.2;;1015.17561;;;;;;
83743;31/05/1980;0000;36;2.7;8.6;;;;160.3;3.041667;;0;;1016.7;27.770833;23.745;20.9875;77.489583;;
83743;30/06/1980;0000;36;2.848485;8.5;;;;;3.636364;1;1.2;;;26.690909;22.559091;19.413636;73.693182;;
83743;31/07/1980;0000;36;2.84375;6.6;;;;;4;;0;;;26.952381;22.6;19.52381;75.892857;;
83743;31/08/1980;0000;18;3.621429;10;;;;174.7;3.985714;5;16.6;;;26.466667;22.683478;20.1;79.652174;;
83743;30/09/1980;0000;;;7;;;;;;;0;;;;;;;;
83743;31/10/1980;0000;;;7;;;;;;1;0.4;;;;;;;;
83743;30/11/1980;0000;;;10.8;;;;;;1;4.2;;;27.670588;24.288235;21.011765;77.161765;;
83743;31/12/1980;0000;;;6.8;;;;;;6;23.5;;;;;;;;
83743;31/01/1981;0000;;;8.3;;;;;;1;0.4;;;29.273333;26.558667;24.286667;80.916667;;
83743;28/02/1981;0000;14;4.043478;9.1;;;;;3.652174;3;17;;;30.695652;26.833913;23.521739;76.521739;;
83743;31/03/1981;0000;18;4.022807;8.3;;;;;5.140351;3;16;;;29.226316;25.877895;23.2;81.644737;;
83743;30/04/1981;0000;18;3.736364;9.6;;;;;3.872727;1;0.9;;;27.95;24.256667;21.3;79.222222;;
83743;31/05/1981;0000;18;2.683133;7.5;86.7;;;191;3.518072;2;4.2;;;26.325;22.970714;20.371429;81.419643;;
83743;30/06/1981;0000;;;5.8;;;;;;1;5.2;;;;;;;;
83743;31/07/1981;0000;;;;;;;;;;0;;;;;;;;
83743;31/08/1981;0000;;;;;;;;;;0;;;;;;;;
83743;30/09/1981;0000;;;8.8;;;;;;;0;;;;;;;;
83743;31/10/1981;0000;;;9;;;;;;2;2.3;;;;;;;;
83743;30/11/1981;0000;;;9.6;;;;;;5;12.3;;;;;;;;
83743;31/12/1981;0000;;;8.3;;;;;;4;73.9;;;;;;;;
83743;31/01/1982;0000;;;8.5;;;;;;3;5;;;;;;;;
83743;28/02/1982;0000;0;3.132258;9.3;;;;;2.903226;4;17.2;;;30.547619;26.433333;22.909524;74.02381;;
83743;31/03/1982;0000;;;;;;;;;5;2.7;;;;;;;;
83743;30/04/1982;0000;;;6.3;;;;;;4;13.1;;1016.37;;;;;;
83743;31/05/1982;0000;0;2.096078;6.6;;;;;5.294118;2;2.4;;;25.211765;21.88;19.229412;78.441176;;
83743;30/06/1982;0000;;;9.1;;;;;;1;6.4;;;;;;;;
83743;31/07/1982;0000;;;;;;;;;;0;;;;;;;;
83743;31/08/1982;0000;;;8.3;;;;;;1;0.7;;;;;;;;
83743;30/09/1982;0000;;;10;;;;;;2;2.4;;;;;;;;
83743;31/10/1982;0000;;;7.3;;;;;;1;0.2;;;;;;;;
83743;30/11/1982;0000;;;;;;;;;2;3.3;;;;;;;;
83743;31/12/1982;0000;;;;;;;;;;0;;;;;;;;
83743;31/01/1983;0000;14;3.119565;7.8;116.2;;;175.3;6.380435;16;64.4;;;29.825806;26.654839;24.232258;78.66129;;
83743;28/02/1983;0000;14;2.979762;7.6;117.4;;;195;5.345238;8;35.1;;;30.692857;26.852857;23.639286;77.375;;
83743;31/03/1983;0000;18;3.148387;8;112.6;;;145.4;6.688172;13;332.1;;;29.803226;25.916129;23.154839;79.725806;;
83743;30/04/1983;0000;14;2.935556;9.3;89.1;;;158.4;6.4;9;87.4;;;27.383333;24.348;21.913333;80.541667;;
83743;31/05/1983;0000;0;2.795699;8.8;98.5;;;158.3;5.989247;9;92.8;;;27.164516;23.908387;21.535484;80.290323;;
83743;30/06/1983;0000;0;2.142222;5.8;65.3;;;116.5;6.266667;14;154.3;;;24.463333;21.516;19.333333;83.766667;;
83743;31/07/1983;0000;18;2.55914;8.8;118.3;;;156.3;4.72043;3;45.8;;;25.245161;21.510323;18.816129;78.290323;;
83743;31/08/1983;0000;36;2.853763;8;109.9;;;185.7;4.075269;5;34.7;;;24.364516;20.707742;18.083871;76.008065;;
83743;30/09/1983;0000;18;2.688889;7.5;73.7;;;41.6;8.955556;24;219.1;;;23.406667;20.712667;18.626667;83.866667;;
83743;31/10/1983;0000;18;2.763441;9.6;100.4;;;122.5;7.236559;14;90.4;;;25.2;22.545806;20.216129;82.548387;;
83743;30/11/1983;0000;14;3.578889;9.1;108.4;;;185.4;6.2;9;95.4;;;27.476667;24.361333;21.8;80.283333;;
83743;31/12/1983;0000;18;3.160215;8.6;102.8;;;122.2;7.731183;17;88.2;;;28.322581;25.281935;22.796774;82.419355;;
83743;31/01/1984;0000;;;;;;;249.7;;;0;;;31.464516;;;;;
83743;29/02/1984;0000;;;;;;;288.4;;;;;;30.475862;;;;;
83743;31/03/1984;0000;;;;;;;216;;;;;;28.9;;;;;
83743;30/04/1984;0000;;;;;;;154.4;;;;;;26.973333;;;;;
83743;31/05/1984;0000;;;;;;;208.6;;;;;;27.819355;;;;;
83743;30/06/1984;0000;;;;;;;181.4;;;;;;27.16;;;;;
83743;31/07/1984;0000;;;;;;;187.2;;;;;;26.403226;;;;;
83743;31/08/1984;0000;;;;;;;102.9;;;;;;24.3;;;;;
83743;30/09/1984;0000;;;;;;;152.3;;;;;;24.66;;;;;
83743;31/10/1984;0000;;;;;;;209.9;;;;;;27.151613;;;;;
83743;30/11/1984;0000;;;;;;;137.5;;;;;;26.63;;;;;
83743;31/12/1984;0000;;;;;;;148.3;;;;;;27.587097;;;;;
83743;31/01/1985;0000;;;;;;;130.8;;;;;;27.716129;;;;;
83743;28/02/1985;0000;;;;;;;183.6;;;;;;30.953571;;;;;
83743;31/03/1985;0000;;;;;;;174.5;;;;;;30.158065;;;;;
83743;30/04/1985;0000;;;;;;;195.3;;;;;;29.543333;;;;;
83743;31/05/1985;0000;;;;;;;168.2;;;;;;25.893548;;;;;
83743;30/06/1985;0000;;;;;;;213;;;;;;24.736667;;;;;
83743;31/07/1985;0000;;;;;;;213.1;;;;;;24.722581;;;;;
83743;31/08/1985;0000;;;;;;;188.4;;;;;;26.66129;;;;;
83743;30/09/1985;0000;;;;;;;137.9;;;;;;24.186667;;;;;
83743;31/10/1985;0000;;;;;;;158.8;;;;;;25.958065;;;;;
83743;30/11/1985;0000;;;;;;;185.3;;;;;;26.426667;;;;;
83743;31/12/1985;0000;;;;;;;180.8;;;;;;27.729032;;;;;
83743;31/01/1986;0000;;;;111.3;;;234.5;;;;;;30.170968;;23.729032;;;
83743;28/02/1986;0000;;;;92.8;;;156.2;;;;;;31.1;;24.567857;;;
83743;31/03/1986;0000;;;;;;;189.7;;;;;;29.896774;;;;;
83743;30/04/1986;0000;;;;96.4;;;202.8;;;;;;29.06;;22.956667;;;
83743;31/05/1986;0000;;;;;;;166.9;;;;;;28.219355;;;;;
83743;30/06/1986;0000;;;;95.2;;;205.7;;;;;;25.933333;;19.3;;;
83743;31/07/1986;0000;;;;84.4;;;166;;;;;;24.187097;;17.783871;;;
83743;31/08/1986;0000;;;;92.5;;;160.2;;;;;;25.577419;;19.954839;;;
83743;30/09/1986;0000;;;;110;;;139.4;;;;;;24.953333;;19.096667;;;
83743;31/10/1986;0000;;;;116.4;;;180.2;;;;;;26.148387;;19.812903;;;
83743;30/11/1986;0000;;;;124.3;;;203.8;;;;;;28.873333;;21.513333;;;
83743;31/12/1986;0000;;;;103.5;;;111.6;;;;;;29.070968;;23.067742;;;
83743;31/01/1987;0000;;;;116.3;;;169.9;;;;;;30.787097;;24.232258;;;
83743;28/02/1987;0000;;;;97.5;;;184;;;;;;30.389286;;23.821429;;;
83743;31/03/1987;0000;;;;94;;;194;;;;;;28.648387;;23.23871;;;
83743;30/04/1987;0000;;;;84.1;;;172.1;;;;;;29.063333;;23.28;;;
83743;31/05/1987;0000;;;;91.3;;;109.5;;;;;;26.770968;;20.603226;;;
83743;30/06/1987;0000;;;;75.6;;;156.5;;;;;;24.96;;18.19;;;
83743;31/07/1987;0000;;;;130.1;;;197.6;;;;;;27.732258;;19.522581;;;
83743;31/08/1987;0000;;;;134.1;;;160.3;;;;;;25.719355;;18.012903;;;
83743;30/09/1987;0000;;;;89.6;;;95.7;;;;;;24.196667;;18.806667;;;
83743;31/10/1987;0000;;;;82.8;;;118.1;;;;;;26;;20.335484;;;
83743;30/11/1987;0000;;;;107.8;;;149;;;;;;27.943333;;21.47;;;
83743;31/12/1987;0000;;;;104.6;;;164.3;;;;;;29.696774;;23.225806;;;
83743;31/01/1988;0000;;;;131.3;;;236.3;;;;;;32.751613;;25.2;;;
83743;29/02/1988;0000;;;;83.1;;;117.3;;;;;;29.627586;;24.013793;;;
83743;31/03/1988;0000;;;;98.8;;;230;;;;;;29.912903;;22.987097;;;
83743;30/04/1988;0000;;;;77.2;;;119.1;;;;;;28.396667;;22.076667;;;
