<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83781</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;31/01/1980;0000;14;3.678495;7.6;107.9;;;161.5;8.333333;15;182.4;;923.102151;26.025806;21.263226;18.06129;79.983871;;
83781;29/02/1980;0000;9;3.13908;9.3;92.6;;;135.8;8.735632;17;194.3;;922.497701;27.258621;22.16;18.82069;80.008621;;
83781;31/03/1980;0000;9;2.534409;6.1;118.5;;;189;7.193548;12;125.4;;925.108602;28.935484;23.544516;19.577419;72.725806;;
83781;30/04/1980;0000;9;3.14382;6.6;85.7;;;151.7;7.651685;10;119.5;;925.637079;25.046667;20.256552;17.173333;80.705357;;
83781;31/05/1980;0000;9;2.45914;5.8;109.1;;;172.8;6.462366;3;5.4;;927.15914;24.848387;19.267742;15.312903;72.629032;;
83781;30/06/1980;0000;9;2.701111;7.5;95.7;;;161.4;6.633333;7;73.5;;928.623333;21.136667;15.819333;11.97;73.325;;
83781;31/07/1980;0000;9;3.103226;7.8;119.4;;;143.1;7.032258;6;20;;928.158065;22.867742;16.925161;12.941935;74.112903;;
83781;31/08/1980;0000;9;3.239785;8.3;99.6;;;128.9;7.139785;9;26.2;;928.21828;22.896774;17.349032;13.232258;75.072581;;
83781;30/09/1980;0000;9;3.638889;7.1;105.3;;;106.4;8.044444;7;55.1;;926.647778;21.766667;16.078;12.386667;75.658333;;
83781;31/10/1980;0000;18;3.678495;9.1;169;;;151.4;6.83871;9;70.2;;925.932258;25.645161;19.849032;15.535484;71.153226;;
83781;30/11/1980;0000;18;3.651111;8.1;122.2;;;152.8;8.266667;11;151.7;;923.68;25.446667;19.924667;16.476667;77.541667;;
83781;31/12/1980;0000;32;3.005556;7.5;140.3;;;181.4;8.833333;20;289.1;;921.176389;;;;80.447917;;
83781;31/01/1981;0000;14;2.85119;8.1;;;;101.1;8.678571;20;208.9;;924.136905;;;;80.785714;;
83781;28/02/1981;0000;9;3.330952;6.5;131.3;;;190.2;7.035714;13;225.3;;925.170238;29.385714;23.409286;19.528571;72.616071;;
83781;31/03/1981;0000;14;2.954839;7;132.2;;;158.4;7.55914;10;148.6;;922.67957;26.954839;21.690968;18.496774;76.830645;;
83781;30/04/1981;0000;14;3.203571;8.1;107.6;;;155.7;7.488095;6;40.5;;926.560714;;;;74.901786;;
83781;31/05/1981;0000;9;2.610753;6.5;95.7;;;183.2;6.55914;5;32.6;;927.734409;24.103226;18.567097;14.980645;76.790323;;
83781;30/06/1981;0000;32;2.813333;8.3;110.1;;;163.9;6.2;6;65.8;;927.363333;20.77;15.796667;12.236667;71.316667;;
83781;31/07/1981;0000;9;2.952688;7.1;122.6;;;176.8;4.989247;8;51.1;;929.917204;19.806452;14.279355;10.283871;71.08871;;
83781;31/08/1981;0000;9;2.686022;6.3;126.9;;;156.5;5.591398;5;14.5;;927.57957;22.86129;16.956774;12.822581;69.870968;;
83781;30/09/1981;0000;9;2.702222;9.1;206.5;;;138.7;5.866667;6;8.3;;926.616667;26.023333;19.079333;14.516667;64.991667;;
83781;31/10/1981;0000;18;2.975269;6.6;99.5;;;118;8.290323;15;198.8;;924.41828;22.864516;17.77871;14.619355;79.080645;;
83781;30/11/1981;0000;18;2.96;7.5;104.8;;;130.8;8.255556;16;165.4;;921.676667;26.093333;21.083333;17.84;78.266667;;
