,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,32.8621071875,32.74999999999999,16
1,2/1980,33.897472687500006,34.175,16
2,3/1980,33.838199200000005,33.225,20
3,5/1980,31.65946658823529,30.77058823529412,17
4,6/1980,31.48874807692308,31.161538461538463,13
5,7/1980,31.476495749999998,30.862499999999997,16
6,8/1980,32.823221777777775,32.32222222222222,18
7,9/1980,33.97157144444444,33.73333333333333,18
8,10/1980,34.08650872727273,33.88636363636364,22
9,11/1980,33.392409263157894,33.1,19
10,12/1980,33.66499381481481,33.21851851851852,27
11,2/1981,33.99171638888889,33.77222222222222,18
12,3/1981,34.55703678571428,34.45,28
13,4/1981,32.4598034117647,32.317647058823525,17
14,5/1981,31.858085818181824,30.690909090909088,22
15,6/1981,30.831260799999995,29.74,5
16,7/1981,29.881914526315786,28.821052631578947,19
17,8/1981,31.669268785714287,31.128571428571433,14
18,9/1981,32.00306953846154,31.946153846153848,13
19,10/1981,33.61459514814815,33.20740740740741,27
20,11/1981,34.53111295652174,34.46521739130435,23
21,12/1981,33.642241999999996,33.813636363636355,22
22,1/1982,32.97696545,32.96,20
23,2/1982,33.35334505263157,33.647368421052626,19
24,3/1982,33.936553999999994,34.060714285714276,28
25,4/1982,32.8608326,32.585,20
26,5/1982,31.813695304347828,31.043478260869566,23
27,6/1982,31.5478937826087,30.8391304347826,23
28,7/1982,31.432910959999994,30.956,25
29,8/1982,32.7668630952381,32.56666666666667,21
30,9/1982,34.07181973076923,34.276923076923076,26
31,10/1982,33.94937404545454,34.53636363636364,22
32,11/1982,34.829307434782606,35.07391304347827,23
33,12/1982,33.68536853333333,33.64666666666667,15
34,1/1983,33.278107322580645,33.28387096774193,31
35,2/1983,34.00499603571429,34.41428571428572,28
36,3/1983,34.842150200000006,34.843333333333334,30
37,4/1983,32.76780172413793,32.755172413793105,29
38,5/1983,33.271914612903224,32.50967741935483,31
39,6/1983,31.879953066666666,31.54,30
40,7/1983,32.95759677419355,32.43225806451613,31
41,8/1983,31.918397193548387,31.72258064516129,31
42,9/1983,33.97975240000001,34.123333333333335,30
43,10/1983,34.778675645161286,35.16129032258065,31
44,11/1983,34.37463426666667,34.62,30
45,12/1983,33.6823459032258,33.52903225806451,31
46,1/1984,32.83243570967741,32.96451612903226,31
47,2/1984,33.23471179310344,33.26896551724138,29
48,3/1984,34.696988677419355,34.88709677419356,31
49,4/1984,34.19181940000001,34.36666666666667,30
50,5/1984,32.11185712903226,31.690322580645155,31
51,6/1984,30.42708863333333,29.613333333333337,30
52,7/1984,30.26965925806452,29.548387096774196,31
53,8/1984,31.456824516129036,31.187096774193556,31
54,9/1984,32.1285648,31.746666666666666,30
55,10/1984,32.97762703225806,32.464516129032255,31
56,11/1984,31.817541391304342,31.5,23
57,12/1984,32.680700225806454,32.516129032258064,31
58,1/1985,32.93530770967742,32.97419354838709,31
59,2/1985,33.41067557692308,33.40384615384616,26
60,3/1985,34.532664,34.0516129032258,31
61,4/1985,33.723812900000006,33.599999999999994,30
62,5/1985,31.459104193548388,30.929032258064517,31
63,6/1985,29.42944156666667,29.106666666666666,30
64,7/1985,30.4164579,30.686666666666664,30
65,8/1985,30.57647525000001,30.757142857142856,28
66,9/1985,32.930279862068964,32.737931034482756,29
67,10/1985,33.5571518,33.333333333333336,30
68,11/1985,32.90237186666667,32.82333333333334,30
