,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,25.994119411764704,26.36470588235294,17
1,2/1980,26.198523529411766,25.941176470588236,17
2,3/1980,27.095543133333333,26.733333333333334,15
3,4/1980,24.793967499999994,24.639999999999997,20
4,5/1980,22.47227142857143,22.147619047619045,21
5,6/1980,23.289140875,23.375,8
6,7/1980,19.633490866666666,19.613333333333333,15
7,8/1980,20.612393545454548,21.0,11
8,9/1980,19.256856666666668,19.377777777777776,9
9,10/1980,24.26242894736842,24.178947368421053,19
10,11/1980,23.096430826086955,22.90869565217391,23
11,12/1980,27.13765,26.87692307692307,13
12,1/1981,26.015655142857135,25.600000000000005,14
13,2/1981,28.10897538888889,28.172222222222224,18
14,3/1981,25.49723260869565,25.26521739130435,23
15,4/1981,23.422259285714286,23.28095238095238,21
16,5/1981,22.611912227272725,22.536363636363635,22
17,6/1981,19.146097704545454,19.181818181818183,22
18,7/1981,20.162826361111115,20.32777777777778,18
19,8/1981,21.097634478260872,21.71304347826087,23
20,9/1981,22.347907934782608,23.734782608695657,23
21,10/1981,20.372156535714282,20.242857142857144,28
22,11/1981,25.190015866666663,25.700000000000003,30
23,12/1981,24.771146666666667,24.522222222222215,27
24,1/1982,25.096125903225804,25.258064516129036,31
25,2/1982,26.574386392857132,26.407142857142862,28
26,3/1982,23.886363066666664,23.666666666666668,30
27,4/1982,22.17796883333334,21.536666666666665,30
28,5/1982,20.250629777777775,19.877777777777776,27
29,6/1982,20.477198266666665,20.086666666666666,30
30,7/1982,20.355679791666663,20.208333333333332,24
31,8/1982,21.884281769230768,21.47307692307692,26
32,9/1982,21.578862551724143,21.94827586206896,29
33,10/1982,22.106728379310344,22.07241379310345,29
34,11/1982,23.86861382142857,24.17142857142857,28
35,12/1982,24.62838671428571,24.692857142857147,28
36,1/1983,27.177213064516124,26.716129032258067,31
37,2/1983,26.332355035714283,26.146428571428572,28
38,3/1983,23.730452935483875,23.380645161290325,31
39,4/1983,22.356820266666666,21.776666666666664,30
40,5/1983,20.412225161290323,19.941935483870967,31
41,6/1983,17.751439133333335,17.283333333333328,30
42,7/1983,19.927972935483872,19.50645161290323,31
43,8/1983,21.031865466666666,21.220000000000002,30
44,9/1983,17.702610316666668,17.503333333333337,30
45,10/1983,21.77191961290323,21.64516129032258,31
46,11/1983,25.777575966666667,25.750000000000004,30
47,12/1983,26.08977480645161,26.254838709677422,31
48,1/1984,27.30747117647059,26.95294117647059,17
49,2/1984,28.132054187499996,28.65,16
50,3/1984,24.961174739130435,25.134782608695648,23
51,4/1984,22.506036,21.79,20
52,5/1984,20.661445461538463,20.661538461538463,13
53,6/1984,22.197287809523814,21.961904761904766,21
54,7/1984,20.37746073529412,20.770588235294113,17
55,8/1984,20.072442333333335,19.926666666666673,15
56,9/1984,20.852170703703703,21.214814814814822,27
57,10/1984,23.50944833333334,24.343333333333337,30
58,11/1984,22.561157962962962,22.574074074074073,27
59,12/1984,24.356989066666667,24.360000000000003,30
60,1/1985,25.558217714285718,25.196428571428573,28
61,2/1985,26.774578500000004,26.972727272727273,22
62,3/1985,25.59968838095238,25.366666666666664,21
63,4/1985,23.047730263157895,22.547368421052635,19
64,5/1985,22.061535263157896,22.163157894736845,19
65,6/1985,21.098829599999995,21.185000000000006,20
66,7/1985,19.777445272727277,19.631818181818176,22
67,8/1985,21.896974916666668,22.875,24
68,9/1985,21.251950374999996,21.95833333333334,24
69,10/1985,23.931995296296297,24.22222222222222,27
70,11/1985,24.65326909090909,25.79090909090909,22
71,12/1985,26.724283629629628,27.6,27
72,1/1986,27.818469580645164,28.280645161290323,31
73,2/1986,26.54866892857143,26.596428571428564,28
74,3/1986,25.647614161290324,25.545161290322582,31
75,4/1986,24.37415486666667,24.14,30
76,5/1986,21.877823548387106,21.66774193548387,31
77,6/1986,20.832276399999998,20.819999999999997,30
78,7/1986,19.038914758064518,18.903225806451612,31
79,8/1986,20.986347580645162,21.061290322580653,31
80,9/1986,20.303564299999998,20.483333333333334,30
81,10/1986,23.209504903225803,23.35806451612903,31
82,11/1986,25.233643966666666,25.433333333333337,30
83,12/1986,25.62172687096774,25.422580645161286,31
84,1/1987,28.131572451612907,27.967741935483875,31
85,2/1987,26.349635999999997,25.8,28
86,3/1987,26.288816032258065,26.648387096774194,31
87,4/1987,24.439880433333336,23.756666666666668,30
88,5/1987,19.88244148387097,18.674193548387095,31
89,6/1987,19.675731400000004,19.56666666666667,30
90,7/1987,22.882675451612908,22.629032258064512,31
91,8/1987,19.78696229032258,19.625806451612902,31
92,9/1987,20.093254933333338,20.033333333333335,30
93,10/1987,22.47998748387097,22.790322580645164,31
94,11/1987,24.682954857142853,24.714285714285715,28
95,12/1987,26.200329774193552,26.258064516129025,31
96,1/1988,28.74999022580646,29.18387096774193,31
97,2/1988,24.683775103448276,24.341379310344827,29
98,3/1988,27.09885348387096,27.148387096774194,31
99,4/1988,22.57058556666667,22.339999999999993,30
100,5/1988,19.238163838709674,18.635483870967743,31
101,6/1988,18.3414326,18.15,30
102,7/1988,17.670584080645167,17.058064516129033,31
103,8/1988,21.339276935483873,22.209677419354836,31
104,9/1988,21.673763500000003,22.483333333333334,30
105,10/1988,21.654874096774194,21.77741935483871,31
106,11/1988,24.121824833333335,24.396666666666665,30
107,12/1988,25.927034064516132,26.91935483870968,31
108,1/1989,25.629478161290322,25.42903225806451,31
109,2/1989,26.169175428571428,26.025,28
110,3/1989,25.46113103225807,25.351612903225803,31
111,4/1989,24.883572333333337,24.263333333333335,30
112,5/1989,20.40417641935484,19.91935483870968,31
113,6/1989,18.8236687,18.709999999999997,30
114,7/1989,18.72209940322581,18.983870967741936,31
115,8/1989,20.338650451612903,20.422580645161286,31
116,9/1989,20.227472266666666,20.003333333333334,30
117,10/1989,21.31221877419355,21.338709677419352,31
118,11/1989,24.117700233333338,23.89666666666666,30
119,12/1989,24.583082096774195,24.23548387096774,31
120,1/1990,26.234424166666667,25.71,30
121,2/1990,27.812186785714285,27.5,28
122,3/1990,26.609412935483878,26.45483870967742,31
123,4/1990,25.342374633333332,24.823333333333334,30
124,5/1990,20.601543064516132,20.464516129032262,31
125,6/1990,19.343140466666664,19.009999999999998,30
