,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,27.06683603703704,27.82962962962963,27
1,2/1980,28.755122959999998,28.351999999999997,25
2,3/1980,27.247571222222223,29.40740740740741,27
3,4/1980,26.74530308,26.656,25
4,5/1980,24.61258975,24.689285714285713,28
5,6/1980,21.807106037037034,21.55555555555556,27
6,7/1980,19.50535942857143,19.45714285714286,21
7,8/1980,20.860797599999994,21.029999999999994,20
8,9/1980,20.781316714285712,19.538095238095238,21
9,10/1980,22.677595041666667,22.17916666666667,24
10,11/1980,24.96675355555556,24.829629629629633,27
11,12/1980,26.387398892857142,25.789285714285715,28
12,1/1981,27.948355714285718,27.578571428571422,28
13,2/1981,29.55704788888889,28.96666666666667,27
14,3/1981,27.371500615384612,27.18846153846153,26
15,4/1981,25.34455369230769,25.22307692307692,26
16,5/1981,25.080074413793106,25.603448275862064,29
17,6/1981,20.70428376190477,20.904761904761898,21
18,7/1981,20.795525720000004,20.924000000000007,25
19,8/1981,21.179826961538463,21.22307692307692,26
20,9/1981,21.56053047619048,21.51904761904762,21
21,10/1981,22.22718504,21.904,25
22,11/1981,26.313625958333336,25.73333333333333,24
23,1/1982,27.639498559999996,27.399999999999995,25
24,2/1982,28.433524869565215,28.40434782608696,23
25,3/1982,27.217193785714294,26.982142857142854,28
26,4/1982,25.32584041666666,24.854166666666668,24
27,5/1982,22.795773129032256,22.719354838709677,31
28,6/1982,22.735273,23.5,1
29,8/1982,20.75342170588235,21.31764705882353,17
30,9/1982,19.10858,20.5,1
31,12/1982,27.7171421,27.589999999999996,10
32,1/1983,28.722034000000004,30.9,1
33,1/1992,28.688357741935487,28.535483870967745,31
34,2/1992,29.356878068965518,29.17586206896552,29
35,3/1992,28.17674490322581,28.241935483870964,31
36,4/1992,26.377437766666663,26.639999999999993,30
37,5/1992,22.299603161290324,22.380645161290325,31
38,6/1992,22.19444423333333,22.826666666666664,30
39,7/1992,19.230419838709686,19.319354838709682,31
40,8/1992,19.17873814516129,19.53225806451613,31
41,9/1992,22.208574600000006,21.856666666666662,30
42,10/1992,24.271131225806453,23.9741935483871,31
43,11/1992,25.32380946666666,25.169999999999998,30
44,12/1992,27.675952354838714,27.429032258064517,31
45,1/1993,29.123931870967745,29.370967741935484,31
46,2/1993,28.65112067857143,28.592857142857145,28
47,3/1993,27.689029064516127,27.848387096774193,31
48,4/1993,27.267436666666665,26.99333333333334,30
49,5/1993,23.757070774193547,24.490322580645156,31
50,6/1993,20.70076570000001,20.970000000000006,30
51,7/1993,19.089445870967747,19.464516129032262,31
52,8/1993,20.174022709677416,20.970967741935485,31
53,9/1993,20.424699166666667,20.31,30
54,10/1993,24.611152903225804,24.24193548387098,31
55,11/1993,27.552764166666673,27.596666666666668,30
56,12/1993,27.94839035483871,27.63225806451613,31
57,1/1994,28.1540836451613,27.92258064516129,31
58,2/1994,29.048624928571428,29.432142857142857,28
59,3/1994,27.703770612903224,27.790322580645164,31
60,4/1994,25.322412100000005,25.190000000000005,30
61,5/1994,24.344429741935485,24.37419354838709,31
62,6/1994,20.87863116666666,21.59,30
63,7/1994,20.550298387096774,21.654838709677417,31
64,8/1994,20.29049377419355,20.848387096774196,31
65,9/1994,21.9429551,22.486666666666668,30
66,10/1994,24.024161903225806,23.53548387096774,31
67,11/1994,25.997220100000003,26.179999999999996,30
68,12/1994,28.650373,28.648387096774194,31
69,1/1995,28.93559377419355,28.89354838709677,31
70,2/1995,27.892621821428577,27.875000000000004,28
71,3/1995,28.053314193548392,28.33225806451613,31
72,4/1995,26.092971066666664,26.866666666666667,30
73,5/1995,23.310548741935477,23.9258064516129,31
74,6/1995,20.744814799999997,21.25333333333333,30
75,7/1995,21.62006822580645,22.222580645161294,31
76,8/1995,21.08814454838709,22.316129032258058,31
77,9/1995,21.415161700000002,21.66333333333333,30
78,10/1995,22.62298441935484,22.5741935483871,31
79,11/1995,26.271564,26.110000000000007,30
80,12/1995,27.905258225806456,27.87096774193548,31
81,1/1996,28.93565735483871,29.20967741935484,31
82,2/1996,29.176879827586205,29.37931034482759,29
83,3/1996,27.09367683870968,27.141935483870967,31
84,4/1996,26.691589199999996,27.07333333333333,30
85,5/1996,23.92130293548387,24.096774193548384,31
86,6/1996,19.57686166666667,19.883333333333333,30
87,7/1996,17.888598870967744,18.151612903225804,31
88,8/1996,20.516373129032257,20.5,31
89,9/1996,21.534390866666662,21.25,30
90,10/1996,24.37987832258064,24.174193548387095,31
91,11/1996,26.31253986666667,26.07333333333333,30
92,12/1996,28.781619387096775,28.41290322580645,31
93,1/1997,28.677282129032253,28.290322580645157,31
94,2/1997,29.26650528571429,29.357142857142843,28
95,3/1997,27.714037580645158,27.674193548387098,31
96,4/1997,26.0263135,26.543333333333333,30
97,5/1997,23.53007248387097,23.94838709677419,31
98,6/1997,21.4446338,22.37666666666667,30
99,7/1997,21.945646483870966,22.929032258064517,31
100,8/1997,21.882746612903226,21.97096774193549,31
101,9/1997,22.56612726666667,22.700000000000003,30
102,10/1997,23.052501903225807,23.238709677419354,31
103,11/1997,25.5614629,25.500000000000004,30
104,12/1997,28.733063741935485,29.783870967741944,31
105,1/1998,29.385925225806456,29.748387096774188,31
106,2/1998,29.10277760714286,29.153571428571436,28
107,3/1998,27.94028377419355,28.39032258064516,31
108,4/1998,26.023994233333333,26.490000000000002,30
109,5/1998,23.755418516129033,24.354838709677427,31
110,6/1998,20.942552600000003,21.893333333333334,30
111,7/1998,20.700336064516133,21.100000000000005,31
112,8/1998,21.570111032258062,22.032258064516128,31
113,9/1998,21.659565333333333,21.649999999999995,30
114,10/1998,23.534906419354837,23.916129032258063,31
115,11/1998,25.4284934,25.57333333333333,30
116,12/1998,28.16564535483871,28.506451612903223,31
117,1/1999,29.09382477419355,29.212903225806457,31
118,2/1999,29.306153892857143,29.24642857142857,28
119,3/1999,29.572046064516126,29.712903225806457,31
120,4/1999,24.636629300000003,24.973333333333326,30
121,5/1999,22.87546058064516,23.429032258064517,31
122,6/1999,20.03229526666667,20.693333333333328,30
123,7/1999,19.794821161290322,20.0,31
124,8/1999,21.261954274193553,21.993548387096777,31
125,9/1999,22.436993133333335,22.996666666666673,30
126,10/1999,22.80517425806452,22.654838709677428,31
127,11/1999,24.7716093,24.833333333333332,30
128,12/1999,27.33239938709678,27.287096774193547,31
129,6/2000,23.106474,19.2,1
130,9/2001,23.91752,25.6,1
131,10/2001,25.549077318181812,25.10454545454546,22
132,11/2001,27.04473824137931,26.686206896551727,29
133,12/2001,28.25111132142857,27.81071428571428,28
134,1/2002,29.41111422580645,29.45806451612904,31
135,2/2002,28.807061714285716,29.21071428571428,28
136,3/2002,30.95042622580645,31.012903225806458,31
137,4/2002,26.563389066666666,26.866666666666667,30
138,5/2002,24.943231290322586,25.267741935483865,31
139,6/2002,21.677555666666663,22.080000000000002,30
140,7/2002,20.60375393548387,20.89032258064517,31
141,8/2002,21.96469435483871,22.019354838709674,31
142,9/2002,21.59520086666667,21.639999999999997,30
143,10/2002,25.771605258064515,25.987096774193546,31
144,11/2002,27.194840866666663,27.006666666666664,30
145,12/2002,28.181577258064515,28.2483870967742,31
146,1/2003,29.870581677419356,29.506451612903227,31
147,2/2003,31.34861189285715,31.650000000000002,28
148,3/2003,29.303337741935483,29.548387096774196,31
149,4/2003,26.507468233333338,27.016666666666666,30
150,5/2003,23.750524580645155,24.60322580645161,31
151,6/2003,22.624569466666667,23.113333333333337,30
152,7/2003,20.928718419354837,21.377419354838707,31
153,8/2003,20.909156999999997,21.14193548387097,31
154,9/2003,21.969987299999996,22.256666666666668,30
155,10/2003,24.413940709677423,24.506451612903223,31
156,11/2003,26.198934333333337,26.52999999999999,30
157,12/2003,27.465736935483875,27.44516129032258,31
158,1/2004,28.372167225806454,28.358064516129026,31
159,2/2004,28.79082055172414,28.80344827586207,29
160,3/2004,27.65858167741935,27.874193548387098,31
161,4/2004,27.238932733333336,27.336666666666666,30
162,5/2004,21.786251903225807,22.093548387096778,31
163,6/2004,21.811183166666662,22.24,30
164,7/2004,20.148358516129033,20.58387096774194,31
165,8/2004,21.894320999999998,21.883870967741927,31
166,9/2004,23.31759066666666,23.29,30
167,10/2004,23.65797438709678,23.519354838709674,31
168,11/2004,25.51740986666667,25.77,30
169,12/2004,27.124960129032253,27.029032258064515,31
170,1/2005,29.35481532258064,28.95161290322581,31
171,2/2005,28.83508582142857,28.921428571428574,28
172,3/2005,29.005103193548383,29.354838709677423,31
173,4/2005,27.090512799999996,27.17,30
174,5/2005,24.784831838709685,25.18064516129032,31
175,6/2005,24.468695321428573,24.707142857142863,28
176,7/2005,21.60087629032258,22.470967741935485,31
177,8/2005,22.856766129032266,23.474193548387095,31
178,9/2005,20.734974066666666,20.58,30
179,10/2005,23.704133129032257,23.880645161290325,31
180,11/2005,26.16894389999999,25.993333333333332,30
181,12/2005,27.188347903225804,27.141935483870967,31
182,1/2006,30.09766135483871,29.883870967741935,31
183,2/2006,29.45634689285714,29.453571428571433,28
184,3/2006,29.730585161290332,29.606451612903225,31
185,4/2006,26.505887333333337,26.92333333333334,30
186,5/2006,22.53963912903226,22.874193548387098,31
187,6/2006,22.089944800000005,22.089999999999993,30
188,7/2006,22.659694354838713,23.012903225806454,31
189,8/2006,21.849698451612902,22.048387096774192,31
190,9/2006,22.002530933333336,22.349999999999998,30
191,10/2006,24.41737335483871,24.206451612903233,31
192,11/2006,25.10096003333333,25.026666666666664,30
193,12/2006,29.132055774193553,28.632258064516133,31
194,1/2007,29.504233193548394,29.280645161290316,31
195,2/2007,29.27942857142857,29.025000000000002,28
196,3/2007,30.24238887096774,30.38709677419355,31
197,4/2007,27.542088333333336,27.799999999999997,30
198,5/2007,21.863045645161293,22.17096774193548,31
199,6/2007,21.441360433333333,22.029999999999994,30
200,7/2007,19.210492483870965,19.587096774193547,31
201,8/2007,19.651951806451617,19.60967741935484,31
202,9/2007,23.40555636666667,23.166666666666664,30
203,10/2007,25.378170838709682,25.129032258064512,31
204,11/2007,25.40202723333333,25.42666666666667,30
205,12/2007,28.349366999999997,28.312903225806455,31
206,1/2008,28.394683774193545,27.987096774193542,31
207,2/2008,29.095964586206893,29.006896551724143,29
208,3/2008,28.387123483870962,28.567741935483873,31
209,4/2008,25.633878966666664,26.210000000000004,30
210,5/2008,23.944491225806445,24.503225806451606,31
211,6/2008,20.457219433333332,21.0,30
212,7/2008,22.778548580645158,22.909677419354843,31
213,8/2008,21.93331470967742,22.245161290322585,31
214,9/2008,21.603026866666667,21.783333333333335,30
215,10/2008,23.270323419354842,23.164516129032258,31
216,11/2008,24.681611166666666,24.506666666666668,30
217,12/2008,27.363180580645153,27.096774193548395,31
218,1/2009,28.21945141935484,28.39354838709677,31
219,2/2009,29.201599249999997,28.849999999999998,28
220,3/2009,29.448784903225803,29.39354838709678,31
221,4/2009,26.653764533333337,27.016666666666662,30
222,5/2009,24.338156451612896,24.583870967741937,31
223,6/2009,20.827390966666663,21.26666666666667,30
