,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1981,29.884160466666668,29.81333333333333,15
1,2/1981,29.9062848,29.78000000000001,10
2,3/1981,29.723905000000002,29.3,3
3,4/1981,30.126173125,29.762500000000003,8
4,5/1981,28.71366072727272,28.372727272727275,22
5,6/1981,28.62160852173913,28.269565217391307,23
6,7/1981,27.90470164,27.356000000000005,25
7,8/1981,28.07079978571429,27.439285714285717,28
8,9/1981,28.649497272727274,27.913636363636364,22
9,10/1981,29.409016961538462,29.02307692307693,26
10,11/1981,29.76970908,29.491999999999994,25
11,12/1981,29.582485368421054,29.321052631578947,19
12,1/1982,30.15397961290323,30.019354838709678,31
13,2/1982,29.904731999999996,29.789285714285718,28
14,3/1982,30.334657483870966,30.070967741935487,31
15,4/1982,28.750228999999997,30.6,1
16,9/1982,28.520076461538466,27.93076923076923,13
17,10/1982,29.581581870967742,29.38387096774193,31
18,11/1982,29.691517,29.576666666666664,30
19,12/1982,29.92786283870968,29.98709677419355,31
20,1/1983,29.051445,29.6,1
21,7/1983,28.812846129032252,28.306451612903228,31
22,8/1983,28.734009000000004,28.0,1
23,1/1986,30.485480935483874,30.16774193548387,31
24,2/1986,30.468109892857143,30.08571428571429,28
25,3/1986,30.33381032258064,29.9258064516129,31
26,4/1986,29.8487709,29.536666666666672,30
27,5/1986,29.669929806451613,29.454838709677418,31
28,6/1986,28.314637321428574,28.010714285714283,28
29,7/1986,28.578490032258063,28.074193548387097,31
30,9/1986,28.469311366666663,28.21333333333333,30
31,10/1986,29.900689612903232,29.722580645161297,31
32,11/1986,29.911947700000002,29.70666666666667,30
33,12/1986,30.415951333333332,29.94666666666666,30
34,1/1987,30.39959464516129,30.335483870967742,31
35,2/1987,30.38478085714286,30.282142857142862,28
36,3/1987,30.340154838709676,30.312903225806444,31
37,4/1987,30.020650900000003,29.600000000000005,30
38,5/1987,30.330926935483866,30.212903225806457,31
39,6/1987,29.32438166666666,28.936666666666664,30
40,7/1987,28.863160483870967,28.316129032258065,31
