,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,29.39274619354839,29.580645161290313,31
1,2/1980,29.112360931034473,29.479310344827592,29
2,3/1980,29.108813225806454,29.145161290322584,31
3,5/1980,30.568791806451614,30.980645161290326,31
4,6/1980,30.725162899999994,30.44333333333332,30
5,7/1980,30.738918322580638,30.835483870967742,31
6,8/1980,31.674167774193542,31.532258064516128,31
7,9/1980,32.68733673333334,32.77,30
8,10/1980,32.896580451612905,33.00000000000001,31
9,11/1980,32.46867773333334,32.383333333333326,30
10,12/1980,32.1771669032258,32.25483870967742,31
11,1/1981,29.78318567741936,29.683870967741935,31
12,2/1981,30.336235892857136,29.99285714285714,28
13,3/1981,31.177638193548386,31.26774193548387,31
14,4/1981,31.174670999999996,31.16333333333334,30
15,5/1981,30.02574716129033,29.825806451612902,31
16,6/1981,30.987295366666668,30.670000000000005,30
17,7/1981,30.538171000000002,30.390322580645158,31
18,8/1981,31.763968548387098,32.02258064516129,31
19,9/1981,32.154747066666665,32.03666666666666,30
20,10/1981,32.641655580645164,32.590322580645164,31
21,11/1981,32.96075726666666,32.73,30
22,12/1981,31.796259580645163,31.82580645161291,31
23,1/1982,29.03511619354838,28.764516129032252,31
24,2/1982,29.310783000000008,28.971428571428568,28
25,3/1982,29.016450645161292,28.7,31
26,4/1982,29.706603166666675,29.543333333333333,30
27,5/1982,30.31229545161291,29.906451612903222,31
28,6/1982,31.192349766666663,30.720000000000002,30
29,7/1982,30.913894161290315,30.62258064516129,31
30,8/1982,31.345847322580646,31.329032258064526,31
31,9/1982,32.024670333333326,32.010000000000005,30
32,10/1982,32.59944167741936,32.664516129032265,31
33,11/1982,32.35141390000001,32.46999999999999,30
34,12/1982,31.998704225806453,32.20645161290323,31
35,1/1983,30.420105806451605,30.322580645161295,31
36,2/1983,30.446873642857145,30.389285714285712,28
37,3/1983,30.468692870967747,30.361290322580643,31
38,4/1983,30.823458100000003,30.639999999999997,30
39,5/1983,31.78283496774194,31.348387096774193,31
40,6/1983,31.42786196666667,31.21333333333333,30
41,7/1983,31.253572612903223,31.012903225806454,31
42,8/1983,31.774371161290333,31.958064516129028,31
43,9/1983,32.2065489,32.29,30
44,10/1983,32.36412832258064,32.409677419354836,31
45,11/1983,32.51635709999999,32.660000000000004,30
46,12/1983,31.847693387096786,31.816129032258072,31
47,1/1984,29.860876774193553,29.5258064516129,31
48,2/1984,29.123954068965524,28.979310344827592,29
49,3/1984,29.076607483870962,29.06451612903226,31
50,4/1984,28.6778025,28.67333333333333,30
51,5/1984,29.689797903225806,29.56451612903225,31
52,6/1984,30.38907196666667,30.300000000000004,30
53,7/1984,30.505245193548394,30.435483870967747,31
54,8/1984,31.27047483870968,31.445161290322584,31
55,9/1984,32.09784583333333,32.61666666666667,30
56,10/1984,32.841685645161284,33.17096774193549,31
57,11/1984,31.984346133333325,31.826666666666657,30
58,12/1984,31.37582529032258,31.26451612903226,31
59,1/1985,28.690099322580654,28.735483870967734,31
60,2/1985,28.65673032142857,28.907142857142865,28
61,3/1985,29.13050380645161,29.13870967741936,31
62,4/1985,29.637070466666668,29.733333333333327,30
63,5/1985,29.654058483870973,29.477419354838716,31
64,6/1985,30.0398902,30.086666666666666,30
65,7/1985,30.367505774193553,30.38387096774194,31
66,8/1985,31.009997193548383,31.322580645161285,31
67,9/1985,31.866702166666666,32.03333333333334,30
68,10/1985,32.51549383870968,32.8258064516129,31
69,11/1985,31.73446696666667,31.89,30
70,12/1985,29.802550548387092,30.093548387096778,31
71,1/1986,29.58720064516129,29.464516129032265,31
72,2/1986,29.177217821428574,29.110714285714284,28
73,3/1986,28.899115387096774,29.099999999999994,31
74,4/1986,29.05765229999999,29.28333333333334,30
75,5/1986,30.104841322580647,30.06774193548387,31
76,6/1986,30.167829299999998,30.29333333333334,30
77,7/1986,31.13092503225806,31.219354838709677,31
78,8/1986,31.597914129032258,32.31612903225806,31
79,9/1986,32.577035933333335,33.19666666666667,30
80,10/1986,32.72395670967742,33.05161290322581,31
81,11/1986,31.930351533333337,31.833333333333336,30
82,12/1986,31.38698593548387,31.316129032258065,31
83,1/1987,29.940624161290316,29.509677419354833,31
84,2/1987,30.30248396428572,29.77857142857144,28
85,3/1987,30.512164387096774,30.106451612903225,31
86,4/1987,30.2969157,29.78666666666667,30
87,5/1987,30.930502612903222,30.78387096774194,31
88,6/1987,31.37721676666667,31.036666666666658,30
89,7/1987,31.693865580645163,31.412903225806453,31
90,8/1987,32.896381741935485,32.73548387096774,31
91,9/1987,33.446925166666674,33.5,30
92,10/1987,33.514747870967746,33.26451612903226,31
93,11/1987,33.59452843333333,33.39333333333334,30
94,12/1987,32.78453722580645,32.735483870967734,31
95,1/1988,30.41658225806452,30.10967741935484,31
96,2/1988,30.322582103448276,30.086206896551722,29
97,3/1988,29.897729548387094,29.81612903225807,31
98,4/1988,30.245164733333336,29.673333333333343,30
99,5/1988,30.572956806451614,30.209677419354836,31
100,6/1988,30.448839900000003,30.24333333333333,30
101,7/1988,30.993652000000004,31.06129032258065,31
102,8/1988,32.29251958064516,32.167741935483875,31
103,9/1988,32.91329773333333,32.82333333333334,30
104,10/1988,33.24950519354839,33.145161290322584,31
105,11/1988,32.82185383333333,32.696666666666665,30
106,12/1988,30.799726741935483,30.32580645161291,31
107,1/1989,30.255268290322583,29.7483870967742,31
108,2/1989,29.82876871428571,29.375000000000004,28
109,3/1989,29.122682322580644,29.151612903225796,31
110,4/1989,29.109600800000003,28.973333333333336,30
111,5/1989,29.894140645161297,29.43225806451612,31
112,6/1989,30.79387989999999,30.426666666666662,30
113,7/1989,30.88872980645161,30.812903225806448,31
114,8/1989,31.72861080645161,31.47741935483871,31
115,9/1989,32.98759226666667,33.22666666666666,30
116,10/1989,32.65668803225805,32.400000000000006,31
117,11/1989,32.5917678,32.2,30
118,12/1989,30.87853922580645,30.60322580645161,31
119,1/1990,30.570492258064526,29.90967741935484,31
120,2/1990,29.710048321428577,29.453571428571422,28
121,3/1990,30.222556032258066,29.945161290322584,31
122,4/1990,31.005676933333334,30.893333333333327,30
123,5/1990,31.090715903225806,31.190322580645162,31
124,6/1990,31.118258433333327,31.219999999999995,30
125,7/1990,31.44850090322581,31.667741935483868,31
126,8/1990,31.878073903225804,32.167741935483875,31
127,10/1990,33.14509141935484,33.17096774193548,31
128,11/1990,32.591168966666665,32.266666666666666,30
129,12/1990,31.861783193548387,31.4741935483871,31
130,1/1991,29.47873719354839,28.8,31
131,2/1991,29.669227857142854,29.375000000000007,28
132,3/1991,30.12626396774193,29.896774193548392,31
133,4/1991,30.81993026666667,30.526666666666667,30
134,5/1991,30.909404451612904,31.01935483870968,31
135,6/1991,31.31469366666666,31.646666666666665,30
136,8/1991,31.697133774193553,31.764516129032256,31
137,9/1991,32.22133833333333,32.59333333333334,30
138,10/1991,32.975280193548386,33.429032258064524,31
139,11/1991,33.04023666666667,33.19666666666667,30
140,12/1991,32.8390215483871,33.15806451612903,31
141,2/1992,29.883864896551728,29.83448275862069,29
142,3/1992,29.973649,29.613333333333333,30
143,4/1992,31.230417266666663,30.88666666666666,30
144,5/1992,31.769288129032255,31.258064516129032,31
145,6/1992,31.805914700000002,31.839999999999993,30
146,7/1992,31.256219387096774,31.28387096774193,31
147,8/1992,31.564572161290325,31.354838709677427,31
148,10/1992,32.88710538709678,32.9741935483871,31
149,11/1992,32.55157406666666,32.54333333333333,30
150,12/1992,32.30368480645161,32.29677419354839,31
151,1/1993,30.357213161290314,30.329032258064515,31
152,2/1993,29.47935417857143,29.146428571428572,28
153,3/1993,29.97441190322581,29.61612903225807,31
154,4/1993,30.264135333333336,30.06,30
155,5/1993,31.111799258064508,30.922580645161297,31
156,6/1993,31.3206724,31.106666666666662,30
157,7/1993,31.70645877777778,31.36666666666666,9
158,8/1993,32.22034169565218,32.665217391304346,23
159,9/1993,32.87682969999999,33.163333333333334,30
160,10/1993,33.40937919354839,33.5483870967742,31
161,11/1993,32.62164679999999,32.68000000000001,30
162,12/1993,31.710350387096778,31.54193548387097,31
163,1/1994,29.892215677419355,29.799999999999994,31
164,2/1994,29.672946500000002,29.607142857142854,28
165,3/1994,29.558980645161295,29.635483870967747,31
166,4/1994,29.980112000000005,30.079999999999995,30
167,5/1994,29.983989290322583,30.012903225806454,31
168,6/1994,31.40650343333333,31.396666666666665,30
169,7/1994,31.243861636363643,31.33636363636364,11
170,8/1994,31.688980516129035,32.4483870967742,31
171,9/1994,32.76340323333333,33.17666666666666,30
172,10/1994,33.15385774193549,33.26129032258065,31
173,11/1994,33.0159673,32.91333333333333,30
174,12/1994,31.912499096774198,31.71612903225806,31
175,1/1995,30.41226716129033,30.34193548387097,31
176,2/1995,29.631977607142854,29.79285714285715,28
177,3/1995,30.900941000000003,30.88387096774193,31
178,4/1995,29.76475253333334,29.616666666666667,30
179,5/1995,30.78457674193548,30.51612903225806,31
180,6/1995,31.05571566666667,31.09333333333333,30
181,7/1995,31.697690419354835,31.896774193548392,31
182,8/1995,32.89197180645161,33.29032258064515,31
183,9/1995,33.376842366666665,33.57666666666667,30
184,10/1995,33.679906419354836,33.738709677419365,31
185,11/1995,32.51165126666667,32.126666666666665,30
186,12/1995,32.42707438709678,31.99032258064516,31
187,1/1996,30.149324709677423,29.819354838709675,31
188,2/1996,30.891106241379315,30.72068965517241,29
189,3/1996,29.48633641666666,29.416666666666668,12
190,6/1996,31.43294688888889,31.61111111111111,9
191,7/1996,31.21364709677418,31.045161290322582,31
192,8/1996,32.274709580645165,32.08064516129032,31
193,9/1996,32.987617863636366,33.12727272727273,22
194,3/1997,29.456339,26.3,1
195,4/1997,30.584414666666664,30.52,30
196,5/1997,31.200624354838713,31.09677419354839,31
197,6/1997,31.836868433333326,31.92,30
198,7/1997,31.871933096774196,31.887096774193544,31
199,8/1997,32.08909470967741,31.84516129032258,31
200,9/1997,32.84104976923077,32.43076923076923,13
201,12/1997,32.515048333333326,32.251851851851846,27
202,1/1998,31.089715612903227,30.790322580645157,31
203,2/1998,31.504461107142863,31.075000000000006,28
204,3/1998,30.778493806451607,30.23548387096774,31
205,4/1998,31.584539833333327,31.35333333333334,30
206,5/1998,32.41651258064516,32.096774193548384,31
207,6/1998,31.92629153333333,31.85333333333334,30
208,7/1998,31.84478509677419,32.10645161290322,31
209,8/1998,32.75206922580646,32.76451612903226,31
210,9/1998,33.44678826666667,33.70333333333333,30
211,10/1998,33.97572638709677,33.92258064516129,31
212,11/1998,33.350597066666666,33.03666666666667,30
213,12/1998,32.15452183870968,31.803225806451618,31
214,1/1999,30.734278999999997,30.470967741935482,31
215,2/1999,29.79408678571429,29.639285714285716,28
216,3/1999,29.81043258064516,29.580645161290324,31
217,4/1999,30.41186593333333,30.01333333333333,30
218,5/1999,29.781373741935482,29.641935483870967,31
219,6/1999,31.036433933333335,31.14666666666668,30
220,7/1999,31.515835064516132,31.593548387096778,31
221,8/1999,32.19499758064516,32.09677419354839,31
222,9/1999,32.76013356666667,32.85999999999999,30
223,10/1999,33.31804251612904,33.69354838709678,31
224,11/1999,33.484180466666665,33.45666666666666,30
225,12/1999,32.597777322580654,32.54838709677419,31
226,1/2000,30.738546064516136,30.22258064516129,31
227,2/2000,29.466103724137927,29.55517241379311,29
228,3/2000,29.268478129032264,29.206451612903223,31
229,4/2000,29.954226900000005,30.009999999999998,30
230,5/2000,30.653290064516124,30.506451612903223,31
231,6/2000,31.51968006666667,31.32666666666666,30
232,7/2000,31.20150909677419,31.012903225806454,31
233,8/2000,32.14883912903226,32.25483870967742,31
234,9/2000,33.09371546666667,33.153333333333336,30
235,10/2000,33.461599516129034,33.20645161290323,31
236,11/2000,33.20609043333334,32.779999999999994,30
237,12/2000,32.261426096774194,32.2516129032258,31
238,1/2001,29.368770354838702,29.400000000000002,31
239,2/2001,29.104207535714288,29.1,28
240,3/2001,30.28582341935484,30.32903225806452,31
241,4/2001,30.070490366666668,30.303333333333335,30
242,5/2001,31.633854645161293,31.587096774193547,31
243,6/2001,31.307031666666667,31.106666666666662,30
244,7/2001,31.882961290322587,32.148387096774194,31
245,8/2001,32.79413996774194,33.18387096774194,31
246,9/2001,33.49166620000001,33.60666666666666,30
247,10/2001,33.39744467741935,33.26774193548387,31
248,11/2001,33.7023739,33.34666666666666,30
249,12/2001,33.15686667741936,33.02903225806452,31
250,1/2002,30.657555612903224,30.93225806451613,31
251,2/2002,30.402641142857142,30.821428571428573,28
252,3/2002,30.291536838709682,30.73225806451613,31
253,4/2002,30.951869199999994,31.216666666666658,30
254,5/2002,31.17293964516129,31.05806451612903,31
255,6/2002,31.694027866666666,32.196666666666665,30
256,7/2002,32.09345106451613,32.33225806451613,31
257,8/2002,32.43077419354838,32.806451612903224,31
258,9/2002,33.20650513333333,33.76,30
259,10/2002,33.39232851612903,33.2516129032258,31
260,11/2002,33.56878483333333,33.63333333333333,30
261,12/2002,31.620014419354835,32.11290322580645,31
262,1/2003,31.21246122580645,31.451612903225808,31
263,2/2003,29.37881496428572,29.43214285714285,28
264,3/2003,30.32252364516129,30.548387096774192,31
265,4/2003,30.67767303333334,30.976666666666663,30
266,5/2003,31.451743161290317,31.641935483870967,31
267,6/2003,31.74101386666667,31.93666666666666,30
268,7/2003,31.350096870967754,31.9741935483871,31
269,8/2003,32.85860329032258,33.21612903225807,31
270,9/2003,33.32975176666666,33.58666666666667,30
271,10/2003,33.50548087096773,33.312903225806444,31
272,11/2003,33.697650100000004,33.86,30
273,12/2003,32.981536645161285,32.75806451612903,31
274,1/2004,31.399151096774197,31.322580645161292,31
275,2/2004,29.23717031034483,29.462068965517236,29
276,3/2004,30.061217612903217,30.28709677419355,31
277,4/2004,31.224933466666663,31.436666666666664,30
278,5/2004,31.578886419354845,31.767741935483876,31
279,6/2004,31.428381466666668,31.92,30
280,7/2004,31.434715451612906,31.848387096774193,31
281,8/2004,31.980912387096772,32.29677419354838,31
282,9/2004,33.030780066666665,33.07,30
283,10/2004,33.595571709677415,33.60645161290322,31
284,11/2004,33.47368946666667,33.410000000000004,30
285,12/2004,32.952672935483875,32.932258064516134,31
286,1/2005,32.06075629032257,31.941935483870967,31
287,2/2005,30.599721321428575,30.671428571428578,28
288,3/2005,30.090064935483866,30.535483870967745,31
289,4/2005,30.883260566666664,31.043333333333344,30
290,5/2005,31.150806387096775,31.225806451612904,31
291,6/2005,32.12948106666667,32.26666666666667,30
292,7/2005,31.380908612903216,31.6741935483871,31
293,8/2005,32.47652148387097,32.616129032258065,31
294,9/2005,33.314744100000006,33.309999999999995,30
295,10/2005,33.492814290322585,33.38709677419355,31
296,11/2005,33.684057366666664,33.586666666666666,30
297,12/2005,31.74566158064515,31.84838709677419,31
298,1/2006,31.12600538709677,30.887096774193548,31
299,2/2006,30.146834714285713,30.289285714285715,28
300,3/2006,30.17086422580645,30.13870967741935,31
301,4/2006,30.10110680000001,30.316666666666674,30
302,5/2006,31.032971129032262,31.209677419354836,31
303,6/2006,30.92771463333333,31.429999999999996,30
304,7/2006,31.779047548387094,32.0032258064516,31
305,8/2006,32.60877170967741,32.49354838709678,31
306,9/2006,33.21581653333333,33.14666666666667,30
307,10/2006,33.75552780645162,33.800000000000004,31
308,11/2006,32.94257173333333,33.03000000000001,30
309,12/2006,31.898716612903225,31.799999999999997,31
310,1/2007,32.16450538709677,32.23870967741936,31
311,2/2007,30.69164724999999,31.139285714285712,28
312,3/2007,29.8626574516129,30.15806451612903,31
313,4/2007,30.4133834,30.726666666666667,30
314,5/2007,31.537554466666666,31.910000000000004,30
315,6/2007,31.68206253333333,32.153333333333336,30
316,7/2007,32.06674448387097,32.28709677419354,31
317,8/2007,32.072435806451615,32.63870967741936,31
318,9/2007,32.86956643333333,33.06999999999999,30
319,10/2007,33.31600883870967,33.232258064516124,31
320,11/2007,33.565371299999995,33.696666666666665,30
321,12/2007,31.384208967741937,31.467741935483872,31
322,1/2008,29.961383419354835,29.951612903225808,31
323,2/2008,30.014580310344826,30.38275862068966,29
324,3/2008,29.79846690322581,30.13225806451613,31
325,4/2008,30.354428266666666,30.39666666666667,30
326,5/2008,30.453932064516124,30.45806451612903,31
327,6/2008,30.75558686666667,31.036666666666672,30
328,7/2008,31.731116096774198,32.406451612903226,31
329,8/2008,32.98994,33.3516129032258,31
330,9/2008,33.3138546,33.73666666666667,30
331,10/2008,33.52425493548387,33.55483870967742,31
332,11/2008,33.76998943333334,34.06666666666666,30
333,12/2008,32.01976177419354,32.290322580645174,31
334,1/2009,30.86871061290323,31.093548387096778,31
335,2/2009,29.885822678571426,30.285714285714285,28
336,3/2009,30.43448593548387,30.622580645161303,31
337,4/2009,30.595851933333343,30.81333333333334,30
338,5/2009,30.51618429032258,31.122580645161296,31
339,6/2009,31.037372633333337,31.396666666666672,30
340,7/2009,32.01039812903226,32.73225806451613,31
341,8/2009,32.71897503225806,33.306451612903224,31
342,9/2009,33.53434216666666,33.89666666666666,30
343,10/2009,33.91195612903226,34.55483870967741,31
344,11/2009,33.65032243333333,34.013333333333335,30
345,12/2009,31.737851387096768,32.21290322580645,31
346,1/2010,30.964017999999996,31.383870967741938,31
347,2/2010,31.17824642857143,31.41428571428571,28
348,3/2010,31.8952144516129,32.348387096774196,31
349,4/2010,31.386578899999996,31.820000000000004,30
350,5/2010,32.152020290322575,33.0258064516129,31
351,6/2010,32.0540907,32.720000000000006,30
352,7/2010,32.16986487096774,33.12903225806452,31
353,8/2010,32.7053074516129,33.722580645161294,31
354,9/2010,33.310962466666666,33.77333333333334,30
355,10/2010,34.02743761290323,34.77741935483871,31
356,11/2010,33.35034486666667,33.54999999999999,30
357,12/2010,31.732399709677416,32.487096774193546,31
358,1/2011,30.004607677419354,30.27741935483871,31
359,2/2011,30.020645714285724,30.75714285714286,28
360,3/2011,30.08631929032258,30.548387096774192,31
361,4/2011,30.473938633333333,31.043333333333333,30
362,5/2011,31.202146741935486,31.977419354838705,31
363,6/2011,31.935843299999995,32.79666666666667,30
364,7/2011,31.785040677419353,32.641935483870974,31
365,8/2011,32.96940603225807,33.69354838709678,31
366,9/2011,33.57514376666666,34.273333333333326,30
367,10/2011,33.480693366666664,34.20333333333333,30
368,11/2011,33.312301633333334,33.53333333333333,30
369,12/2011,33.47338316129032,33.65161290322582,31
370,1/2012,31.149775645161284,31.64838709677419,31
371,2/2012,30.395667758620686,30.217241379310344,29
372,3/2012,30.421247096774195,30.603225806451615,31
373,4/2012,31.454972633333334,31.57333333333333,30
374,5/2012,32.311563580645156,32.33548387096774,31
375,6/2012,32.2853159,32.426666666666655,30
376,7/2012,31.928917,32.71612903225807,31
377,8/2012,32.3169115483871,32.78709677419354,31
378,9/2012,33.25302836666666,33.43333333333333,30
379,10/2012,33.53954522580645,33.93870967741936,31
380,11/2012,33.84837293333332,34.11333333333333,30
381,12/2012,32.962703000000005,33.199999999999996,31
382,1/2013,30.9759389,31.27,30
383,2/2013,30.37246296428571,30.38214285714285,28
384,3/2013,30.873959290322578,30.75806451612903,31
385,4/2013,31.066829833333333,31.150000000000002,30
386,5/2013,31.37285187096774,31.34516129032258,31
387,6/2013,32.12811346666667,32.13666666666667,30
388,7/2013,31.6162159032258,31.770967741935483,31
389,8/2013,32.337930193548395,32.65483870967741,31
390,9/2013,32.98551433333333,32.93666666666666,30
391,10/2013,33.37152758064516,33.425806451612914,31
392,11/2013,33.21600673333333,33.32333333333333,30
393,12/2013,32.63412916129032,32.641935483870974,31
394,1/2014,30.63690483870968,30.925806451612907,31
395,2/2014,29.644128964285706,29.525,28
396,3/2014,30.00311012903226,29.870967741935484,31
397,4/2014,30.581603266666665,30.550000000000004,30
398,5/2014,30.908357096774193,30.49032258064516,31
399,6/2014,31.55351683333333,31.64666666666667,30
400,7/2014,32.03837416129032,32.14516129032258,31
401,8/2014,32.59672025806452,32.82903225806451,31
402,9/2014,32.8860336,33.02333333333333,30
403,10/2014,33.58322164516129,34.32258064516129,31
404,11/2014,33.876597933333336,34.41,30
