,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,8/1983,28.97140103225807,28.14516129032259,31
1,9/1983,29.335834933333327,29.35666666666667,30
2,10/1983,29.92898006451613,30.854838709677423,31
3,11/1983,29.882814566666664,29.526666666666664,30
4,12/1983,30.01109258064516,30.0516129032258,31
5,1/1984,30.13523158064516,30.216129032258067,31
6,2/1984,30.06634248275862,30.637931034482758,29
7,3/1984,29.80758525806452,30.56451612903226,31
8,4/1984,29.347520466666666,29.566666666666663,30
9,5/1984,29.027802064516127,29.054838709677423,31
10,6/1984,28.80291966666667,28.733333333333327,30
11,7/1984,28.555524548387094,27.874193548387098,31
12,8/1984,28.953277677419358,28.322580645161295,31
13,9/1984,29.204005499999997,28.99333333333334,30
14,10/1984,29.54281677419355,29.58064516129032,31
15,11/1984,30.036100933333337,30.16,30
16,12/1984,30.18749938709677,30.35806451612903,31
17,1/1986,30.34943264516129,30.203225806451616,31
18,2/1986,29.672100214285713,29.675000000000004,28
19,3/1986,29.283990333333335,29.216666666666672,30
20,4/1986,29.47827176666666,29.18,30
21,5/1986,29.380006774193546,29.46451612903225,31
22,6/1986,28.11151713333333,28.11,30
23,7/1986,28.526781233333338,28.29666666666667,30
24,8/1986,28.5314795483871,28.36129032258064,31
25,9/1986,28.765052266666665,28.773333333333333,30
26,10/1986,29.566168032258062,29.464516129032255,31
27,11/1986,29.739619966666666,29.37666666666666,30
28,12/1986,30.153316193548385,30.045161290322582,31
29,1/1987,30.387248366666658,30.64,30
30,2/1987,30.548244428571426,30.91785714285714,28
31,3/1987,30.35037919354839,30.38709677419355,31
32,4/1987,30.38154333333334,30.233333333333334,30
33,5/1987,30.342146032258068,30.438709677419357,31
34,6/1987,29.300568566666666,29.203333333333333,30
35,7/1987,28.78924181481482,28.83333333333334,27
36,8/1987,29.327192699999998,29.356666666666673,30
37,9/1987,29.391193800000003,29.619999999999997,20
38,10/1987,29.912544689655167,29.78620689655174,29
39,11/1987,30.321826866666672,30.35,30
40,12/1987,30.657628857142857,30.78571428571428,7
41,1/1988,30.79073648387097,30.54838709677419,31
42,2/1988,30.765870172413795,30.513793103448283,29
43,3/1988,30.524315129032257,30.467741935483875,31
44,5/1988,29.616910838709682,29.603225806451608,31
45,6/1988,28.730821931034484,28.53448275862069,29
46,7/1988,28.05377003225807,27.838709677419345,31
47,8/1988,28.256197064516122,28.174193548387098,31
48,9/1988,28.70350486666667,28.77,30
49,10/1988,29.935218225806448,30.064516129032263,31
50,11/1988,29.926432566666662,30.040000000000006,30
51,12/1988,29.916168129032258,29.877419354838707,31
52,1/1989,30.064445516129034,29.838709677419352,31
53,2/1989,30.544398392857147,30.457142857142852,28
54,3/1989,30.561190448275863,30.5896551724138,29
55,4/1989,29.471929357142862,29.460714285714285,28
56,5/1989,29.379201741935486,28.96129032258064,31
57,6/1989,28.96867925,29.0,8
58,7/1989,28.184950863636367,27.909090909090914,22
59,8/1989,28.418954129032247,28.022580645161295,31
