,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,11/1993,31.79940475,31.375,4
1,12/1993,31.913044785714288,31.842857142857138,28
2,1/1994,31.777933833333336,31.016666666666673,30
3,5/1994,33.267412722222225,34.03333333333333,18
4,6/1994,32.76295996428571,32.703571428571415,28
5,7/1994,33.730539799999995,33.416666666666664,30
6,8/1994,34.56943492857143,35.221428571428554,28
7,9/1994,35.98348432142857,36.37857142857141,28
8,10/1994,34.844765933333335,34.88333333333333,30
9,11/1994,33.093829931034485,32.8551724137931,29
10,1/1995,31.880954133333336,31.74333333333333,30
11,2/1995,31.793638964285716,31.178571428571438,28
12,3/1995,32.05353661290322,31.767741935483883,31
13,4/1995,31.638632766666664,31.08333333333333,30
14,5/1995,32.281399451612906,31.593548387096774,31
15,6/1995,32.95267223333333,32.66,30
16,7/1995,33.66977538709677,33.5258064516129,31
17,8/1995,34.94123661290323,35.44516129032258,31
18,9/1995,35.98465476666667,36.68666666666666,30
19,10/1995,34.11085690322581,34.264516129032266,31
20,11/1995,32.53651306666667,31.99,30
21,12/1995,31.961260032258068,31.86774193548388,31
22,1/1996,31.865479709677423,31.76129032258064,31
23,2/1996,32.24643237931034,31.772413793103443,29
24,3/1996,31.927262677419353,31.296774193548387,31
25,4/1996,32.153267666666665,31.630000000000003,30
26,5/1996,32.53035164516129,32.73548387096774,31
27,6/1996,32.93887693333333,32.56,30
28,7/1996,33.42182761290322,34.074193548387086,31
29,8/1996,35.37272648387098,35.81935483870967,31
30,9/1996,36.41674706666667,37.11,30
31,10/1996,33.754751999999996,32.89666666666667,30
32,11/1996,33.388228423076924,31.969230769230776,26
33,12/1996,33.31118961290323,32.35806451612903,31
34,1/1997,31.750652645161292,30.62903225806451,31
35,2/1997,32.35297310714285,32.10714285714285,28
36,3/1997,30.749712129032257,29.912903225806453,31
37,4/1997,31.903799633333346,31.733333333333327,30
38,5/1997,32.73562138709677,31.796774193548387,31
39,6/1997,33.337083666666665,33.17,30
40,7/1997,33.909025322580646,33.37096774193548,31
41,8/1997,35.397407774193546,35.56774193548387,31
42,9/1997,34.82735303333334,35.486666666666665,30
43,10/1997,34.46198583870969,34.599999999999994,31
44,11/1997,34.426884566666665,34.489999999999995,30
45,12/1997,32.29798619354838,32.24193548387096,31
46,1/1998,32.541266709677416,31.89354838709678,31
47,2/1998,33.063592285714286,32.69285714285714,28
48,3/1998,32.78939396774193,32.71935483870967,31
49,4/1998,34.3571191,34.43666666666668,30
50,5/1998,33.85043025806451,34.019354838709674,31
51,6/1998,34.169711,34.34666666666666,30
52,7/1998,35.07558674193548,35.66451612903226,31
53,8/1998,36.8206123548387,37.59032258064517,31
54,9/1998,37.589162,37.73666666666667,30
55,10/1998,34.764525387096775,35.46129032258065,31
56,11/1998,31.90519920000001,31.76,30
57,12/1998,32.463487225806446,31.635483870967747,31
58,1/1999,31.81577190322581,31.525806451612894,31
59,2/1999,31.350792607142857,31.153571428571432,28
60,3/1999,31.4366370967742,31.14193548387097,31
61,4/1999,32.65322303333334,32.373333333333335,30
62,5/1999,32.78472109677419,32.3741935483871,31
63,6/1999,33.815065999999995,33.743333333333325,30
64,7/1999,34.19557670967742,33.60967741935484,31
65,8/1999,35.72428351612902,35.477419354838716,31
66,9/1999,36.39177172727273,36.836363636363636,11
67,10/1999,34.70494606451613,34.18064516129032,31
68,11/1999,32.184142066666666,30.913333333333338,30
69,12/1999,31.636011838709685,30.467741935483872,31
70,1/2000,31.83416348387097,30.70967741935484,31
71,2/2000,30.891473896551727,30.124137931034486,29
72,3/2000,32.01272206451613,31.254838709677426,31
73,4/2000,32.472408200000004,31.633333333333336,30
74,5/2000,34.414984516129046,33.70645161290323,31
75,6/2000,35.19599603333333,33.96,30
76,7/2000,35.24522480645161,34.174193548387095,31
77,8/2000,37.0127544516129,35.251612903225805,31
78,9/2000,35.51361153333333,34.35666666666667,30
79,10/2000,34.489423612903224,34.04516129032259,31
80,11/2000,33.15893773333334,31.94666666666667,30
81,12/2000,31.666472774193547,31.312903225806448,31
82,1/2001,32.24724054838709,31.7774193548387,31
83,2/2001,31.78563157142857,31.485714285714284,28
84,3/2001,31.530310451612905,31.38064516129032,31
85,4/2001,32.934917166666665,32.70333333333334,30
86,5/2001,34.33666896774193,34.04193548387097,31
87,6/2001,34.56931659999999,34.056666666666665,30
88,7/2001,35.758048096774196,34.79354838709678,31
89,8/2001,36.27427132258065,34.990322580645156,31
90,9/2001,35.95911016666666,35.10333333333334,30
91,10/2001,32.429096838709675,32.70000000000001,31
92,11/2001,32.319198,32.239999999999995,30
93,12/2001,32.1406165483871,32.00000000000001,31
94,1/2002,31.058888774193555,30.42258064516129,31
95,2/2002,33.17687492857142,32.79285714285714,28
96,3/2002,32.352642548387095,32.064516129032256,31
97,4/2002,33.45979163333333,33.19,30
98,5/2002,34.36326925806452,33.987096774193546,31
99,6/2002,34.846212099999995,34.14666666666667,30
100,7/2002,36.00719509677419,35.30967741935483,31
101,8/2002,37.159981903225805,36.69677419354839,31
102,9/2002,36.15585293333333,35.61333333333334,30
103,10/2002,34.863575870967736,35.06451612903226,31
104,11/2002,34.56194273333334,34.690000000000005,30
105,12/2002,32.12124206451614,32.012903225806454,31
106,1/2003,32.81419232258064,32.71935483870968,31
107,2/2003,32.56449175000001,32.43214285714286,28
108,3/2003,31.679013354838705,31.53870967741935,31
109,4/2003,33.602136766666675,33.75000000000001,30
110,5/2003,33.73602303225807,33.29354838709677,31
111,6/2003,34.984869200000006,34.45666666666667,30
112,7/2003,35.18362612903226,34.6741935483871,31
113,8/2003,36.19421661290321,36.322580645161295,31
114,9/2003,37.32167896666667,37.19666666666667,30
115,10/2003,34.22759748387096,33.890322580645176,31
116,11/2003,32.47834123333333,31.84999999999999,30
117,12/2003,32.912485709677426,32.03548387096774,31
118,1/2004,31.094805032258073,30.690322580645162,31
119,2/2004,31.18935265517241,30.496551724137934,29
120,3/2004,31.61278558064516,31.5516129032258,31
121,4/2004,33.034838500000006,32.686666666666675,30
122,5/2004,34.768096193548395,34.58709677419354,31
123,6/2004,34.68091676666666,34.24333333333334,30
124,7/2004,35.06857580645162,34.516129032258064,31
125,8/2004,36.587052838709674,36.196774193548386,31
126,9/2004,37.9390317,37.18666666666666,30
127,10/2004,34.09261909677418,33.58709677419354,31
128,11/2004,33.8142189,33.22999999999999,30
129,12/2004,33.09150774193549,32.69677419354839,31
130,1/2005,32.673086322580644,32.39032258064516,31
131,2/2005,33.03372917857143,32.18214285714286,28
132,3/2005,31.986876806451605,31.267741935483862,31
133,4/2005,33.75258476666667,33.05,30
134,5/2005,33.33949325806452,32.58709677419354,31
135,6/2005,34.3727823,33.573333333333316,30
136,7/2005,35.0954162,34.64666666666667,30
137,8/2005,37.075527935483876,36.54516129032258,31
138,9/2005,37.5347493,36.81333333333332,30
139,10/2005,35.87830190322581,35.34838709677418,31
140,11/2005,33.82395726666666,33.14000000000001,30
141,12/2005,31.873883935483864,31.119354838709672,31
142,1/2006,33.74394551612904,33.11290322580645,31
143,2/2006,31.930991464285707,31.45357142857143,28
144,3/2006,32.009066806451614,31.138709677419353,31
145,4/2006,31.165946433333332,30.256666666666668,30
146,5/2006,32.37557600000001,31.64516129032258,31
147,6/2006,33.80169966666667,33.10666666666666,30
148,7/2006,34.76849012903226,34.10645161290322,31
149,8/2006,36.78887435483871,36.43548387096774,31
150,9/2006,36.47316396666666,36.0,30
151,10/2006,34.336967290322576,33.6741935483871,31
152,11/2006,33.4166513,32.98,30
153,12/2006,33.20797419354839,32.732258064516124,31
154,1/2007,32.93337764516129,32.60967741935483,31
