,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,29.84025282142857,29.067857142857143,28
1,2/1980,30.503763320000004,29.724000000000004,25
2,3/1980,30.889006000000002,30.02692307692308,26
3,4/1980,27.839838913043476,27.578260869565216,23
4,5/1980,24.16970243478261,23.608695652173914,23
5,6/1980,19.87864318181818,19.563636363636366,11
6,7/1980,17.01194866666667,17.45,6
7,8/1980,20.272096894736844,19.84210526315789,19
8,9/1980,20.124365666666662,20.900000000000002,15
9,10/1980,23.89972915384616,23.85769230769231,26
10,11/1980,26.284217250000008,26.36666666666666,24
11,12/1980,28.58980779166667,27.912499999999994,24
12,1/1981,30.83566321428572,30.067857142857143,28
13,2/1981,32.038993999999995,31.122222222222224,18
14,3/1981,28.417760071428578,27.785714285714285,28
15,4/1981,27.02080456,26.512000000000004,25
16,5/1981,26.829521279999994,26.172000000000004,25
17,6/1981,19.20893923076923,18.776923076923076,13
18,7/1981,21.087019590909094,20.681818181818183,22
19,8/1981,22.88090926086957,22.94347826086956,23
20,9/1981,22.00336535294118,21.91176470588235,17
21,10/1981,24.18384415384616,23.657692307692304,26
22,11/1981,26.99430563333333,26.80333333333333,30
23,12/1981,28.417461,28.318518518518523,27
24,1/1982,29.6210663,29.423333333333332,30
25,2/1982,30.293354038461537,29.57692307692308,26
26,3/1982,29.199442666666666,28.946666666666673,30
27,4/1982,26.79224524137931,26.541379310344823,29
28,5/1982,22.348396,22.07391304347826,23
29,6/1982,21.4787001875,21.0,16
30,7/1982,18.74414805263158,18.8,19
31,8/1982,20.645526975,20.154999999999998,20
32,9/1982,23.75756361538462,23.515384615384622,26
33,10/1982,23.706331000000002,23.570370370370373,27
34,11/1982,25.664950280000003,25.188000000000002,25
35,12/1982,29.044899482758616,28.424137931034473,29
36,1/1983,30.53673138709677,29.754838709677422,31
37,2/1983,29.671584928571423,28.99285714285714,28
38,3/1983,26.859282354838708,26.222580645161297,31
39,4/1983,24.792618699999995,24.246666666666663,30
40,5/1983,22.056540548387098,21.38064516129032,31
41,6/1983,17.663845066666667,17.349999999999998,30
42,7/1983,17.0146415,17.083870967741937,31
43,8/1983,20.47960396774194,20.512903225806454,31
44,9/1983,20.715722316666664,20.903333333333332,30
45,10/1983,25.154451129032264,25.30322580645161,31
46,11/1983,27.6254745,27.17666666666667,30
47,12/1983,30.373856999999997,30.26129032258065,31
48,1/1984,31.576689967741938,31.080645161290327,31
49,2/1984,32.99696262068966,33.30689655172414,29
50,3/1984,28.88448467741936,28.319354838709685,31
51,4/1984,24.766081566666664,24.476666666666667,30
52,5/1984,22.54247806451612,22.274193548387093,31
53,6/1984,18.377599116666666,18.44333333333333,30
54,7/1984,19.911169467741935,19.9,31
55,8/1984,17.71892303225806,18.012903225806447,31
56,9/1984,21.29872109999999,21.299999999999997,30
57,10/1984,25.593431129032258,26.064516129032263,31
58,11/1984,25.9585105,26.143333333333338,30
59,12/1984,27.198702774193553,27.183870967741935,31
60,1/1988,30.519392096774187,30.16451612903226,31
61,2/1988,29.94258420689655,29.541379310344826,29
62,3/1988,31.915794258064516,32.041935483870965,31
63,4/1988,24.7508259,25.029999999999998,30
64,5/1988,19.063020451612903,19.0741935483871,31
65,6/1988,16.97022843333333,17.693333333333335,30
66,7/1988,18.93852433870968,19.400000000000002,31
67,8/1988,20.25451058064516,20.561290322580643,31
68,9/1988,19.98014845,19.946666666666665,30
69,10/1988,24.64593374193548,24.638709677419353,31
70,11/1988,26.836381366666668,26.996666666666663,30
71,12/1988,30.614770483870974,30.245161290322578,31
72,1/1989,30.522394645161288,30.16774193548388,31
73,2/1989,31.435996,30.875000000000004,28
74,3/1989,29.142532193548384,28.81935483870968,31
75,4/1989,26.176628833333336,25.60333333333333,30
76,5/1989,22.49571587096774,22.36774193548387,31
77,6/1989,19.962512666666665,19.72000000000001,30
78,7/1989,17.577274741935486,17.91290322580645,31
79,8/1989,22.302533612903222,22.46451612903225,31
80,9/1989,21.0098235,20.866666666666664,30
81,10/1989,24.185945838709678,24.28709677419355,31
82,11/1989,27.510729566666672,27.256666666666664,30
83,12/1989,30.634668774193546,30.629032258064516,31
84,1/1990,31.13781854838709,30.999999999999993,31
85,2/1990,30.184284222222225,29.955555555555552,27
86,3/1990,28.927337290322587,28.522580645161298,31
87,4/1990,26.030665233333323,25.533333333333328,30
88,5/1990,21.398071967741938,21.39032258064516,31
89,6/1990,17.476016833333336,18.06,30
90,7/1990,17.456765822580646,17.66774193548387,31
91,8/1990,21.734986580645163,22.303225806451607,31
92,9/1990,20.160133266666666,20.17666666666667,30
93,10/1990,26.170871645161302,26.274193548387096,31
94,11/1990,28.78345446666666,28.720000000000002,30
95,12/1990,28.66186622580645,28.5741935483871,31
96,1/1991,30.069064709677424,30.232258064516127,31
97,2/1991,30.919847071428567,31.03214285714285,28
98,3/1991,30.593010741935476,30.55483870967742,31
99,4/1991,26.142746699999993,26.150000000000002,30
100,5/1991,25.13510183870968,25.306451612903224,31
101,6/1991,19.952970299999993,20.319999999999997,30
102,7/1991,19.395792870967743,19.75161290322581,31
103,8/1991,21.421352612903224,21.812903225806455,31
104,9/1991,23.2329609,23.993333333333332,30
105,10/1991,25.966008290322574,26.167741935483864,31
106,11/1991,26.62272093333333,26.93,30
107,12/1991,30.761318354838703,30.603225806451608,31
108,1/1992,30.60538477419355,30.432258064516137,31
109,2/1992,31.26807431034483,31.47931034482759,29
110,3/1992,29.96028667741936,30.045161290322575,31
111,4/1992,25.535664966666662,25.52333333333333,30
112,5/1992,21.48740967741936,21.44193548387097,31
113,6/1992,21.980975916666676,22.679999999999996,30
114,7/1992,16.73029525806452,16.906451612903226,31
115,8/1992,19.96232667741935,20.499999999999996,31
116,9/1992,21.81387946666667,22.136666666666663,30
117,10/1992,25.973027096774185,26.158064516129034,31
118,11/1992,26.77653433333334,27.16,30
119,12/1992,29.434229741935482,29.945161290322577,31
120,1/1993,31.15819751612903,31.341935483870973,31
121,2/1993,29.897746115384606,29.284615384615385,26
122,3/1993,28.47130693548387,28.21935483870967,31
123,4/1993,27.841650666666673,27.65666666666667,30
124,5/1993,23.048117677419356,23.290322580645157,31
125,6/1993,19.036827483333337,19.133333333333333,30
126,7/1993,17.870621903225807,17.967741935483875,31
127,8/1993,21.032929177419348,21.900000000000002,31
128,9/1993,21.009403633333328,20.83333333333333,30
129,10/1993,26.266909516129036,26.39677419354838,31
130,11/1993,28.3163238,28.073333333333334,30
131,12/1993,29.66373464516129,29.732258064516135,31
132,1/1994,30.5939419032258,30.32903225806452,31
133,2/1994,28.726523428571426,28.849999999999994,28
134,3/1994,28.60706516129032,28.05161290322581,31
135,4/1994,25.2692619,25.513333333333335,30
136,5/1994,24.434986967741935,24.33225806451613,31
137,6/1994,19.735506116666663,20.08666666666667,30
138,7/1994,20.050649532258067,20.41290322580645,31
139,8/1994,20.829370193548385,21.280645161290327,31
140,9/1994,24.520199400000003,25.21333333333333,30
141,10/1994,24.648258806451615,24.596774193548388,31
142,11/1994,26.702041866666672,26.526666666666664,30
143,12/1994,31.84793674193548,32.04838709677419,31
144,1/1995,30.999416000000007,30.738709677419358,31
