,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,30.91470716129033,31.074193548387107,31
1,2/1980,29.045812827586214,28.955172413793104,29
2,3/1980,29.693154,30.099999999999998,31
3,4/1980,29.847296566666678,30.189999999999998,30
4,5/1980,31.071616870967738,30.835483870967742,31
5,6/1980,30.722689733333336,30.206666666666674,30
6,7/1980,30.826700483870965,30.235483870967744,31
7,8/1980,31.081822838709673,31.019354838709674,31
8,9/1980,31.346851299999994,31.14333333333334,30
9,10/1980,31.58253738709677,31.58064516129033,31
10,11/1980,31.302789699999995,31.256666666666664,30
11,12/1980,31.243665612903214,31.5741935483871,31
12,1/1981,30.868897419354845,31.12258064516129,31
13,2/1981,30.819364571428576,30.592857142857135,28
14,3/1981,30.05751364516129,29.91612903225806,31
15,4/1981,30.90302826666666,30.8,30
16,5/1981,30.123240999999997,30.187096774193545,31
17,6/1981,30.890563733333337,30.59,30
18,7/1981,30.674944645161297,30.56774193548388,31
19,8/1981,30.80577496774194,31.280645161290323,31
20,9/1981,31.234770000000005,31.65,30
21,10/1981,31.551222548387088,31.64193548387096,31
22,11/1981,31.954570633333336,32.18666666666666,30
23,12/1981,31.460713322580645,31.75483870967741,31
24,1/1982,30.32798061290323,29.735483870967737,31
25,2/1982,29.41022467857143,29.003571428571433,28
26,3/1982,30.2988040967742,29.767741935483865,31
27,4/1982,30.033976166666665,29.80666666666667,30
28,5/1982,31.252753129032264,31.306451612903224,31
29,6/1982,30.884706300000005,30.736666666666657,30
30,7/1982,30.54185561290322,30.44838709677419,31
31,8/1982,30.770915096774186,31.02903225806451,31
32,9/1982,30.91138366666666,31.14999999999999,30
33,10/1982,31.015585387096774,31.14838709677419,31
34,11/1982,31.39969506666666,31.623333333333335,30
35,12/1982,31.63212625806451,31.96451612903226,31
36,1/1983,31.783006935483872,32.016129032258064,31
37,2/1983,30.908521142857147,30.85714285714286,28
38,3/1983,31.119797774193554,31.009677419354833,31
39,4/1983,31.258233133333338,31.299999999999997,30
40,5/1983,31.84109641935484,31.280645161290316,31
41,6/1983,31.769394466666657,31.416666666666668,30
42,7/1983,31.688369032258066,31.219354838709673,31
43,8/1983,31.759297419354844,31.74516129032258,31
44,9/1983,31.899998533333335,31.949999999999996,30
45,10/1983,31.77088493548387,32.07419354838709,31
46,11/1983,31.97914193333333,31.97666666666667,30
47,12/1983,31.778617225806453,31.890322580645165,31
48,1/1984,30.20050422580646,29.84838709677419,31
49,2/1984,29.992354482758625,29.779310344827586,29
50,3/1984,29.509746419354848,29.28709677419355,31
51,4/1984,29.618143733333334,29.546666666666667,30
52,5/1984,29.457610516129037,29.309677419354838,31
53,6/1984,30.803838833333334,30.666666666666675,30
54,7/1984,30.605810838709672,29.951612903225804,31
55,8/1984,31.236889612903234,30.55806451612904,31
56,9/1984,31.1855349,30.893333333333327,30
57,10/1984,31.32874016129032,31.280645161290323,31
58,11/1984,31.741948166666663,31.436666666666678,30
59,12/1984,31.608123322580642,31.290322580645157,31
60,1/1985,29.411198677419364,28.954838709677418,31
61,2/1985,28.99398907142857,28.56071428571428,28
62,3/1985,29.123062838709675,28.725806451612907,31
63,4/1985,29.0503068,28.636666666666663,30
64,5/1985,29.627141064516127,29.448387096774187,31
65,6/1985,30.236038200000003,29.790000000000003,30
66,7/1985,30.32935616129032,29.91290322580645,31
67,8/1985,31.071989580645162,30.483870967741943,31
68,9/1985,31.358544933333334,30.973333333333333,30
69,10/1985,31.41636322580646,31.103225806451615,31
70,11/1985,31.402671066666663,31.069999999999993,30
71,12/1985,29.95747867741935,29.906451612903226,31
72,1/1986,30.408704774193545,29.470967741935485,31
73,2/1986,29.324646214285714,28.760714285714283,28
74,3/1986,28.80938819354839,28.387096774193544,31
75,4/1986,29.235165700000007,28.81333333333334,30
76,5/1986,30.793535451612904,30.558064516129033,31
77,6/1986,30.3900526,30.16333333333333,30
78,7/1986,30.451056645161287,30.054838709677416,31
79,8/1986,30.59771554838711,30.570967741935487,31
80,9/1986,30.968867866666667,31.099999999999998,30
81,10/1986,30.8946735483871,30.858064516129033,31
82,11/1986,31.547871066666666,31.67666666666667,30
83,12/1986,31.276209258064515,31.38064516129032,31
84,1/1987,30.926809999999996,30.64516129032258,31
85,2/1987,30.62470503571429,30.346428571428564,28
86,3/1987,29.425007903225808,28.970967741935482,31
87,4/1987,31.258446866666663,31.02,30
88,5/1987,31.39133480645161,31.293548387096777,31
89,6/1987,30.553510466666673,30.350000000000005,30
90,7/1987,31.18647580645161,31.067741935483877,31
91,8/1987,31.023973516129036,31.10967741935485,31
92,9/1987,31.275301400000004,31.346666666666675,30
93,10/1987,31.258380516129034,31.277419354838703,31
94,11/1987,31.75194553333332,32.026666666666664,30
95,12/1987,32.11413387096774,32.42580645161291,31
96,1/1988,30.60217467741935,30.193548387096772,31
97,2/1988,30.254815999999995,29.886206896551734,29
98,3/1988,29.967552129032256,29.487096774193546,31
99,4/1988,29.92266003333334,29.533333333333324,30
100,5/1988,30.26985829032258,30.141935483870974,31
101,6/1988,30.790395000000004,30.660000000000007,30
102,7/1988,30.53085970967742,30.551612903225806,31
103,8/1988,31.100770483870974,31.090322580645157,31
104,9/1988,31.195627900000012,31.540000000000003,30
105,10/1988,31.33189435483871,31.47741935483872,31
106,11/1988,31.432284266666663,31.856666666666666,30
107,12/1988,30.725835322580647,30.616129032258062,31
108,1/1989,30.440230099999994,30.070000000000004,30
109,2/1989,30.11722782142858,29.642857142857142,28
110,3/1989,29.261575466666667,28.68,30
111,4/1989,29.090814933333334,28.579999999999995,30
112,5/1989,29.91271841935484,29.68387096774193,31
113,6/1989,30.44673766666667,30.163333333333338,30
114,7/1989,30.401544903225805,30.41290322580646,31
115,8/1989,30.589393548387097,30.567741935483873,31
116,9/1989,31.15735383333333,30.96,30
117,10/1989,31.446921806451613,31.39032258064516,31
118,12/1989,30.64318370967742,30.548387096774192,31
119,1/1990,30.794772870967748,30.364516129032257,31
120,2/1990,29.70678339285714,29.171428571428574,28
121,3/1990,30.45879632258064,30.23225806451613,31
122,4/1990,30.709043600000008,30.686666666666667,30
123,5/1990,31.181926935483872,31.003225806451614,31
124,6/1990,30.95128266666666,30.97333333333334,30
125,7/1990,30.124285419354834,29.987096774193553,31
126,8/1990,30.796733322580643,30.777419354838717,31
127,9/1990,31.226199333333337,30.973333333333333,30
128,10/1990,31.654178709677424,31.545161290322575,31
129,11/1990,31.717615466666665,31.55333333333333,30
