,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,29.415305258064517,29.16129032258065,31
1,2/1980,30.46221409523809,30.295238095238087,21
2,3/1980,30.46212088,30.916000000000004,25
3,4/1980,28.516261407407402,28.56296296296296,27
4,5/1980,28.366304208333332,28.0625,24
5,6/1980,25.95049042105263,25.48947368421053,19
6,7/1980,26.98747726666667,26.96,15
7,8/1980,26.752533458333335,26.825,24
8,9/1980,26.76799969230769,26.346153846153847,13
9,10/1980,28.261280291666665,27.816666666666666,24
10,11/1980,28.105136888888893,27.41111111111111,9
11,12/1980,29.964336315789463,30.026315789473678,19
12,1/1981,30.36413651724137,30.651724137931033,29
13,2/1981,30.498841142857138,30.68571428571428,21
14,3/1981,30.2688369047619,29.98095238095238,21
15,4/1981,27.969646772727273,27.66363636363636,22
16,5/1981,26.629332714285717,26.4952380952381,21
17,6/1981,25.495558449999997,25.585,20
18,7/1981,25.422677529411764,25.347058823529416,17
19,8/1981,25.738872300000004,25.68999999999999,20
20,9/1981,27.54404273076923,27.688461538461542,26
21,10/1981,26.713670476190476,26.152380952380955,21
22,11/1981,28.07490575,27.919999999999998,20
23,12/1981,30.082832391304347,30.008695652173916,23
24,1/1982,29.300713499999997,29.13888888888889,18
25,2/1982,30.234904428571422,29.828571428571426,28
26,3/1982,30.589859000000004,31.4,1
27,5/1982,25.81508973333333,25.18,15
28,6/1982,27.27560546666667,27.27,30
29,7/1982,25.79692552173913,25.921739130434784,23
30,8/1982,24.867504,22.7,1
31,1/1990,31.904759161290325,31.554838709677412,31
32,2/1990,32.08213446428571,31.999999999999996,28
33,3/1990,32.35262216129033,32.20322580645161,31
34,4/1990,31.535693166666665,31.513333333333332,30
35,5/1990,27.79680458064516,28.038709677419355,31
36,6/1990,26.868659074074074,27.185185185185187,27
37,10/1990,28.829210999999997,27.43,10
38,11/1990,29.575206950000013,29.57,20
39,12/1990,30.22892921428571,30.60714285714286,14
40,1/1991,30.577951624999997,30.7875,8
41,2/1991,29.942741578947363,30.021052631578947,19
42,3/1991,30.500160900000008,30.195000000000004,20
43,4/1991,29.976095727272718,29.545454545454536,22
44,5/1991,27.27314090476191,27.15238095238095,21
45,6/1991,26.624580199999997,26.935000000000002,20
46,7/1991,25.372843838709677,25.24516129032258,31
47,8/1991,26.060784161290325,25.719354838709677,31
48,9/1991,25.423644366666664,25.700000000000003,30
49,10/1991,27.219058129032256,27.083870967741937,31
50,11/1991,28.33243341379311,28.27241379310345,29
