,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.831506129032256,24.177419354838708,31
1,2/1980,23.275118172413794,23.48965517241379,29
2,3/1980,23.05696741935484,22.40322580645161,31
3,4/1980,23.866689366666666,23.473333333333333,30
4,5/1980,23.268309322580645,23.725806451612904,31
5,6/1980,22.2460834,22.226666666666667,30
6,7/1980,21.86144764516129,22.06774193548387,31
7,8/1980,21.48551052380952,21.461904761904762,21
8,9/1980,22.311708633333335,22.523333333333337,30
9,10/1980,22.67203061290322,23.21612903225806,31
10,11/1980,23.548449166666668,24.076666666666664,30
11,12/1980,23.662620483870974,24.06451612903226,31
12,1/1981,21.33879,26.4,1
13,1/1991,23.423094419354843,23.548387096774192,31
14,2/1991,23.344303148148146,23.796296296296298,27
15,3/1991,23.29857693548387,24.029032258064518,31
16,4/1991,23.26797980000001,23.47666666666667,30
17,5/1991,22.31860125806452,22.93548387096774,31
18,6/1991,21.349806866666665,21.73333333333333,30
19,7/1991,20.927809290322575,20.854838709677423,31
20,8/1991,20.953864645161293,21.235483870967744,31
21,9/1991,21.28758433333333,21.720000000000006,30
22,10/1991,21.333962870967746,21.867741935483878,31
23,11/1991,22.187455499999995,22.323333333333334,30
24,12/1991,23.057124451612903,22.877419354838707,31
25,1/1992,23.329236677419356,22.687096774193552,31
26,4/1992,23.6207186,22.97666666666667,30
27,5/1992,23.204540000000005,22.609677419354835,31
28,6/1992,22.122160100000006,21.716666666666665,30
29,7/1992,21.746924612903225,21.467741935483872,31
30,8/1992,21.592464580645157,20.977419354838712,31
31,9/1992,22.16726366666667,21.269999999999996,30
32,10/1992,22.78236170967742,22.180645161290318,31
33,11/1992,22.667517533333335,22.383333333333333,30
34,12/1992,22.958552903225808,22.577419354838707,31
35,1/1993,23.014612548387095,22.78064516129032,31
36,2/1993,23.005597428571427,22.99642857142857,28
37,3/1993,23.141962129032255,23.361290322580643,31
38,4/1993,22.410088633333338,22.50333333333333,30
39,5/1993,22.622120741935483,22.75483870967743,31
40,6/1993,22.067839466666666,22.36333333333334,30
41,7/1993,21.765039387096774,21.861290322580643,31
42,8/1993,22.31526258064516,22.019354838709678,31
43,9/1993,22.652648800000005,22.503333333333334,30
44,10/1993,22.890861516129032,22.94193548387097,31
45,11/1993,23.277346933333334,23.370000000000005,30
46,12/1993,23.343238064516132,23.348387096774193,31
47,1/1994,23.570251903225802,23.59032258064516,31
48,2/1994,23.528816142857142,23.607142857142858,28
49,3/1994,23.566271806451617,23.532258064516128,31
50,4/1994,23.333127833333332,23.483333333333334,30
51,5/1994,23.25756441935484,23.138709677419357,31
52,6/1994,22.452117266666665,22.540000000000003,30
53,7/1994,21.864148516129035,21.974193548387092,31
54,8/1994,22.254475580645163,21.812903225806444,31
55,9/1994,22.502530999999998,22.336666666666662,30
56,10/1994,23.006078193548387,22.76451612903226,31
57,11/1994,23.432089799999993,23.113333333333333,30
58,12/1994,23.527490096774187,23.316129032258072,31
59,1/1995,23.70080580645161,23.574193548387097,31
60,2/1995,23.93297689285715,23.532142857142855,28
61,3/1995,23.69166922580645,23.42903225806451,31
62,4/1995,23.078570166666672,22.956666666666667,30
63,5/1995,22.995575709677425,22.96129032258065,31
64,6/1995,21.4608756,20.633333333333333,30
65,7/1995,21.091517461538462,19.06923076923077,13
66,9/1995,22.297064642857144,22.85714285714286,14
67,10/1995,22.958868774193544,23.448387096774194,31
68,11/1995,22.869275433333335,23.75,30
69,12/1995,23.73720070967742,24.074193548387104,31
70,1/1996,24.03433964516129,24.5,31
71,2/1996,24.428447344827585,24.634482758620685,29
72,3/1996,24.697855709677416,24.719354838709677,31
73,4/1996,23.857886600000004,24.293333333333337,30
74,5/1996,22.923757419354846,23.393548387096775,31
75,6/1996,22.592797766666664,22.93,30
76,7/1996,21.55313177419354,21.0741935483871,31
77,8/1996,21.962572709677413,22.25161290322581,31
78,9/1996,22.637972400000002,23.013333333333332,30
79,10/1996,23.453623935483872,23.97096774193549,31
80,11/1996,23.35944023333333,23.80666666666667,30
81,12/1996,24.004839129032252,24.219354838709677,31
82,1/1997,24.043969290322575,23.996774193548386,31
83,2/1997,24.067966148148145,24.111111111111107,27
84,3/1997,24.192098806451607,24.064516129032253,31
85,4/1997,23.661771827586207,23.83103448275862,29
86,5/1997,22.655111935483873,22.961290322580645,31
87,6/1997,22.194424068965517,22.0,29
88,7/1997,21.546368225806447,21.53870967741935,31
89,8/1997,21.22949135483871,21.283870967741944,31
90,9/1997,21.852019066666664,21.936666666666667,30
91,10/1997,22.764364999999998,23.15161290322581,31
92,11/1997,23.33806823333333,23.66000000000001,30
93,12/1997,24.010209806451613,24.3741935483871,31
94,1/1998,24.733979612903227,25.051612903225802,31
95,2/1998,25.10257881481482,25.555555555555564,27
96,3/1998,24.941934129032255,25.103225806451608,31
97,4/1998,24.733618266666664,24.87333333333333,30
98,5/1998,23.443772806451616,22.735483870967744,31
99,6/1998,22.165553666666668,21.65,30
100,7/1998,21.84099487096774,21.43870967741936,31
101,8/1998,21.44479936666666,21.070000000000004,30
102,9/1998,22.16781475862069,22.10689655172414,29
103,10/1998,22.81015443333333,22.776666666666664,30
104,11/1998,23.353710379310346,23.20344827586207,29
105,12/1998,23.17516032258064,22.854838709677413,31
106,1/1999,23.84890051612903,23.474193548387092,31
107,2/1999,24.094884107142857,23.425000000000008,28
108,3/1999,24.008477806451616,22.990322580645163,31
109,4/1999,23.828480999999996,23.093333333333337,30
110,5/1999,22.28463093548387,21.212903225806453,31
111,6/1999,21.372419866666668,20.230000000000004,30
112,7/1999,21.14769429032258,20.077419354838707,31
113,8/1999,20.65679970967742,19.60645161290323,31
114,9/1999,21.335123233333334,20.519999999999996,30
115,10/1999,21.199827806451612,20.28064516129032,31
116,11/1999,22.138535633333333,21.013333333333332,30
117,12/1999,22.678316,21.564516129032263,31
118,1/2000,22.82370429032258,21.490322580645167,31
119,2/2000,23.10327889655172,21.489655172413794,29
120,3/2000,23.304857903225805,21.62258064516129,31
121,4/2000,22.854785699999994,21.123333333333335,30
122,5/2000,22.25164287096774,20.235483870967748,31
123,6/2000,21.717669033333333,19.79,30
124,7/2000,22.04978583870967,22.370967741935484,31
125,8/2000,21.434961838709675,21.574193548387093,31
126,9/2000,22.062172999999994,22.26666666666667,30
127,10/2000,22.67866274193548,22.806451612903224,31
128,11/2000,22.7243831,22.55,30
129,12/2000,22.388705,21.693548387096776,31
130,1/2001,22.832547586206893,21.710344827586205,29
131,2/2001,23.727417642857148,23.175000000000004,28
132,3/2001,23.66895096774193,22.43548387096774,31
133,4/2001,23.60800176666667,22.76,30
134,5/2001,22.961094064516132,21.67096774193548,31
135,6/2001,21.769956133333334,20.84333333333333,30
136,7/2001,21.518475387096775,20.822580645161295,31
137,8/2001,21.458930516129037,22.151612903225807,31
138,9/2001,22.140062666666662,22.61,30
139,10/2001,22.344116580645156,22.82903225806451,31
140,11/2001,23.028280666666664,23.256666666666664,30
141,12/2001,23.825108645161297,24.690322580645155,31
142,1/2002,23.095978354838717,23.025806451612905,31
143,2/2002,23.676577857142856,23.392857142857142,28
144,3/2002,24.130389322580648,23.961290322580645,31
145,4/2002,23.856422633333334,23.5,30
146,5/2002,22.871165645161295,23.193548387096776,31
147,6/2002,22.49030206666667,22.84666666666667,30
148,7/2002,21.658630451612904,22.36774193548387,31
149,8/2002,21.71264812903226,22.135483870967743,31
150,9/2002,22.314645066666667,22.87,30
151,10/2002,22.74025548387097,23.245161290322585,31
152,11/2002,23.049460666666665,23.516666666666662,30
153,12/2002,23.329862064516124,23.45806451612904,31
154,1/2003,24.22048641935484,24.064516129032253,31
155,2/2003,24.284354607142856,24.63571428571429,28
156,3/2003,24.391463999999992,24.84838709677419,31
157,4/2003,24.264446533333334,24.25999999999999,30
158,5/2003,23.292153290322585,23.587096774193547,31
159,6/2003,22.497543899999997,23.109999999999996,30
160,7/2003,21.919861,22.29677419354838,31
161,8/2003,21.914951161290322,22.448387096774198,31
162,9/2003,22.324992500000004,22.976666666666667,30
163,10/2003,22.64868090322581,23.27419354838709,31
164,11/2003,23.2552807,23.723333333333333,30
165,12/2003,23.878266451612898,24.241935483870964,31
166,1/2004,23.21174777419355,23.109677419354835,31
167,2/2004,23.726257793103443,23.796551724137935,29
168,3/2004,23.98222832258065,23.887096774193548,31
169,4/2004,23.755116166666664,23.810000000000002,30
170,5/2004,22.953165741935486,23.012903225806454,31
171,6/2004,22.687754033333327,23.233333333333334,30
172,7/2004,21.415421870967737,22.122580645161293,31
173,8/2004,21.40039367741936,22.290322580645153,31
174,9/2004,22.041394,22.819999999999993,30
175,10/2004,22.443008354838714,23.03225806451612,31
176,11/2004,22.913550266666668,23.630000000000003,30
177,12/2004,23.411718354838708,23.767741935483873,31
178,1/2005,23.891937709677418,24.161290322580648,31
179,2/2005,24.17144957142857,24.09642857142857,28
180,3/2005,24.226773322580648,24.129032258064512,31
181,4/2005,23.59640743333334,23.466666666666665,30
182,5/2005,23.304370967741935,23.32903225806451,31
183,6/2005,22.5535245,22.87,30
184,7/2005,21.405916290322576,21.648387096774194,31
185,8/2005,21.719468290322578,22.345161290322583,31
186,9/2005,22.35559543333333,23.316666666666666,30
187,10/2005,22.618868645161292,23.66774193548387,31
188,11/2005,23.502308066666668,24.356666666666666,30
189,12/2005,23.47539577419355,24.33548387096774,31
190,1/2006,23.384460548387093,23.5258064516129,31
191,2/2006,24.263227142857147,24.296428571428567,28
192,3/2006,24.48164096774193,24.493548387096777,31
193,4/2006,24.052034862068965,24.165517241379302,29
194,5/2006,22.963926096774195,23.293548387096767,31
195,6/2006,22.191593500000003,22.79666666666667,30
196,7/2006,21.5151665483871,21.906451612903222,31
197,8/2006,21.725290741935485,22.067741935483863,31
198,9/2006,22.102580933333336,22.89,30
199,10/2006,23.087230483870968,23.799999999999997,31
200,11/2006,23.207783300000003,23.95,30
201,12/2006,24.12204219354839,24.809677419354834,31
202,1/2007,24.173751870967738,24.89677419354839,31
203,2/2007,24.23082955555556,24.94074074074074,27
204,3/2007,23.97451145161291,23.961290322580645,31
205,4/2007,23.907769499999997,23.726666666666663,30
206,5/2007,23.243962129032266,23.18387096774193,31
207,6/2007,22.9008449,23.006666666666664,30
208,7/2007,22.038098633333334,21.869999999999997,30
209,8/2007,21.87492825806451,22.316129032258065,31
210,9/2007,21.955103300000005,22.549999999999997,30
