,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,19.37777288888888,20.222222222222218,27
1,2/1980,21.597498560000005,21.744,25
2,3/1980,20.27671777777778,22.52962962962963,27
3,4/1980,18.7917248,19.360000000000003,25
4,5/1980,16.421355357142854,16.675,28
5,6/1980,12.614208351851854,12.055555555555559,27
6,7/1980,11.767056785714285,11.585714285714284,21
7,8/1980,13.232165999999998,13.635,20
8,9/1980,12.494128638095235,11.538095238095238,21
9,10/1980,16.566635458333334,16.76666666666667,24
10,11/1980,18.158471407407404,18.400000000000002,27
11,12/1980,19.6641865,19.482142857142858,28
12,1/1981,21.381914000000002,21.750000000000004,28
13,2/1981,22.21083748148148,22.78148148148148,27
14,3/1981,20.38862007692308,20.86923076923077,26
15,4/1981,17.651977865384616,18.22692307692308,26
16,5/1981,16.98659943103448,17.575862068965517,29
17,6/1981,12.314392161904763,12.957142857142859,21
18,7/1981,12.191056688000002,12.42,25
19,8/1981,13.02678090769231,13.44615384615385,26
20,9/1981,14.418818476190479,14.842857142857145,21
21,10/1981,15.581375220000002,15.588,25
22,11/1981,19.060883541666662,19.241666666666664,24
23,1/1982,19.79213424,20.404,25
24,2/1982,21.322492260869566,21.878260869565217,23
25,3/1982,20.182190892857143,20.44285714285714,28
26,4/1982,17.304379291666667,17.7875,24
27,5/1982,14.22269459354839,15.051612903225804,31
28,6/1982,13.688645999999999,16.2,1
29,8/1982,13.813056705882351,14.91764705882353,17
30,9/1982,14.327465,16.1,1
31,12/1982,20.477724000000002,21.27,10
32,1/1983,22.05405,25.6,1
33,1/1992,21.065965838709676,21.161290322580648,31
34,2/1992,21.818054379310343,22.568965517241374,29
35,3/1992,20.817194451612902,21.070967741935483,31
36,4/1992,17.77916068333333,18.14,30
37,5/1992,15.312119635483871,15.567741935483873,31
38,6/1992,14.876159789999999,14.923333333333336,30
39,7/1992,11.403005196774195,11.287096774193547,31
40,8/1992,12.249883145161286,12.061290322580644,31
41,9/1992,15.470498233333334,15.513333333333332,30
42,10/1992,17.083099935483872,16.89677419354839,31
43,11/1992,17.828816349999997,17.423333333333332,30
44,12/1992,19.789520709677415,19.519354838709674,31
45,1/1993,21.540148741935486,21.34516129032258,31
46,2/1993,21.059157857142853,20.696428571428573,28
