,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1981,24.22692,24.466666666666665,15
1,2/1981,24.428004500000004,24.25,10
2,3/1981,23.853978666666666,23.933333333333334,3
3,4/1981,24.152071250000002,23.625,8
4,5/1981,22.567081363636365,22.5,22
5,6/1981,21.625757130434785,21.80434782608696,23
6,7/1981,20.58498276,20.816000000000003,25
7,8/1981,20.990352607142853,21.071428571428573,28
8,9/1981,21.81620836363636,22.08636363636364,22
9,11/1981,23.534010360000003,23.136000000000003,25
10,12/1981,23.665128000000006,23.514814814814812,27
11,1/1982,24.068656096774195,23.509677419354837,31
12,2/1982,23.421011714285715,22.682142857142857,28
13,3/1982,24.22766706451613,23.30322580645161,31
14,4/1982,21.427437,25.2,1
15,9/1982,21.713533230769233,21.923076923076923,13
16,10/1982,22.399199677419347,22.51935483870968,31
17,11/1982,23.092212133333337,23.389999999999993,30
18,12/1982,23.90711380645161,24.361290322580647,31
19,1/1983,22.194387,26.0,1
20,7/1983,21.935929322580645,21.183870967741946,31
21,8/1983,23.40488,24.9,1
22,1/1986,24.774034225806457,23.56774193548387,31
23,2/1986,24.271217071428573,22.68928571428571,28
24,3/1986,23.8739710967742,22.812903225806444,31
25,4/1986,23.64759576666666,23.130000000000003,30
26,5/1986,23.158136645161292,22.638709677419353,31
27,6/1986,22.162134642857144,21.58928571428572,28
28,7/1986,21.879433451612908,21.25483870967742,31
29,9/1986,21.931002799999998,21.66666666666667,30
30,10/1986,22.864203677419354,22.59354838709677,31
31,11/1986,23.600809166666675,23.62666666666666,30
32,12/1986,23.934547733333336,23.203333333333337,30
33,1/1987,23.91101367741935,23.66129032258064,31
34,2/1987,23.711029857142854,23.182142857142857,28
35,3/1987,23.565934161290325,23.045161290322575,31
36,4/1987,23.38009370000001,22.82333333333333,30
37,5/1987,23.49661635483871,22.68064516129032,31
38,6/1987,22.670877433333327,22.24,30
39,7/1987,21.93709496774193,21.367741935483874,31
40,8/1987,22.626180999999995,22.229032258064517,31
41,9/1987,23.278557866666663,22.926666666666662,30
42,10/1987,24.159622225806448,24.051612903225802,31
43,11/1987,24.8129963,24.723333333333336,30
44,12/1987,24.57843709677419,24.72258064516129,31
45,1/1988,24.2846556,24.32,30
46,2/1988,24.64371351724137,24.196551724137937,29
47,3/1988,23.8400054516129,23.132258064516133,31
48,4/1988,23.355914517241374,22.324137931034475,29
49,5/1988,23.294302612903223,22.296774193548384,31
50,7/1988,21.694764612903217,21.622580645161282,31
51,8/1988,20.56624770967742,20.429032258064513,31
52,9/1988,21.07982416666667,20.599999999999998,6
53,5/1990,23.778998642857143,22.38928571428571,28
54,6/1990,22.86503926666667,21.899999999999995,30
55,7/1990,22.178708999999998,21.211111111111112,27
56,8/1990,22.22590870967742,21.225806451612907,31
57,9/1990,22.72951876666667,22.09,30
58,10/1990,24.15291651612903,24.05806451612903,31
59,11/1990,25.04782846666666,24.926666666666666,30
60,12/1990,24.995686290322578,24.703225806451613,31
61,1/1991,25.260458258064517,24.97741935483871,31
62,2/1991,25.339545222222224,25.05925925925926,27
63,3/1991,24.952908037037037,24.685185185185187,27
64,4/1991,24.39251960000001,23.68,30
65,5/1991,23.00156625,23.485714285714288,28
66,6/1991,22.42171993103448,22.627586206896552,29
67,7/1991,21.319818733333328,21.71666666666666,30
68,8/1991,21.3126405483871,21.519354838709678,31
69,9/1991,22.251975750000007,22.62142857142857,28
70,10/1991,23.12463112903226,23.325806451612902,31
