,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.195760096774187,23.390322580645158,31
1,2/1980,23.14387886206897,23.068965517241384,29
2,3/1980,23.10881683870968,23.254838709677422,31
3,5/1980,23.58323961290322,24.058064516129043,31
4,6/1980,23.417333333333332,23.766666666666666,30
5,7/1980,23.056898322580643,23.416129032258073,31
6,8/1980,23.46086819354839,23.674193548387095,31
7,9/1980,23.8812095,24.02333333333333,30
8,10/1980,24.04374129032258,23.95806451612903,31
9,11/1980,23.94310896666667,23.923333333333332,30
10,12/1980,23.742130645161293,23.770967741935486,31
11,1/1981,23.448280387096773,23.625806451612902,31
12,2/1981,23.712898571428575,23.98928571428572,28
13,3/1981,23.669285,23.812903225806462,31
14,4/1981,23.913609666666662,24.453333333333326,30
15,5/1981,23.507527677419358,23.916129032258066,31
16,6/1981,23.4389549,23.986666666666665,30
17,7/1981,22.7707430967742,23.000000000000007,31
18,8/1981,23.476171516129032,23.92903225806452,31
19,9/1981,23.738337166666664,23.63666666666667,30
20,10/1981,23.901200483870973,23.62903225806452,31
21,11/1981,24.41292556666666,24.30666666666667,30
22,12/1981,24.170022580645167,24.341935483870973,31
23,1/1982,23.26502887096774,23.200000000000003,31
24,2/1982,23.177578,23.125000000000004,28
25,3/1982,23.370465677419354,23.422580645161286,31
26,4/1982,23.462271833333332,23.64333333333333,30
27,5/1982,23.55576264516129,23.764516129032252,31
28,6/1982,23.525989400000007,23.713333333333324,30
29,7/1982,23.113138225806452,23.293548387096774,31
30,8/1982,23.123581612903227,23.425806451612903,31
31,9/1982,23.361595933333344,23.616666666666667,30
32,10/1982,23.3522290967742,23.467741935483872,31
33,11/1982,23.3288919,23.503333333333337,30
34,12/1982,23.65281748387097,23.951612903225804,31
35,1/1983,23.528898516129043,23.670967741935485,31
36,2/1983,23.668075321428574,24.071428571428584,28
37,3/1983,23.802212838709675,24.067741935483873,31
38,4/1983,24.042624299999996,24.439999999999998,30
39,5/1983,24.43365541935484,24.651612903225804,31
40,6/1983,23.58513253333333,24.11333333333333,30
41,7/1983,23.130600161290324,23.37096774193548,31
42,8/1983,23.421304999999997,23.700000000000003,31
43,9/1983,23.57838506666667,23.35,30
44,10/1983,23.6390549032258,23.409677419354832,31
45,11/1983,23.683882166666663,23.520000000000003,30
46,12/1983,23.73871583870968,23.43870967741936,31
47,1/1984,23.142959387096774,22.84516129032259,31
48,2/1984,22.942710724137932,22.820689655172416,29
49,3/1984,23.13427422580646,23.3,31
50,4/1984,23.07656926666666,23.393333333333327,30
51,5/1984,23.129364870967738,23.380645161290314,31
52,6/1984,22.86455853333333,23.186666666666664,30
53,7/1984,22.849222677419352,22.84516129032258,31
54,8/1984,23.24081780645161,23.425806451612907,31
55,9/1984,23.321679166666666,23.116666666666667,30
56,10/1984,23.830863709677413,23.651612903225804,31
57,11/1984,23.737949099999994,23.65,30
58,12/1984,23.548835548387093,23.448387096774198,31
59,1/1985,22.90472896774194,22.709677419354836,31
60,2/1985,22.824815928571432,22.592857142857138,28
61,3/1985,23.132251838709667,23.235483870967734,31
62,4/1985,23.108173566666665,22.96666666666666,30
63,5/1985,23.033258838709674,23.093548387096774,31
64,6/1985,22.706211899999996,22.776666666666667,30
65,7/1985,22.49329393548387,22.23548387096774,31
66,8/1985,22.888476322580647,22.9483870967742,31
67,9/1985,23.3577541,23.42666666666667,30
68,10/1985,23.64055435483871,23.516129032258057,31
