,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.15532336842105,22.94736842105263,19
1,2/1980,23.736878533333336,23.26,15
2,3/1980,23.236375346153842,23.126923076923084,26
3,4/1980,23.206494565217387,23.004347826086956,23
4,5/1980,23.54474896428571,23.332142857142863,28
5,6/1980,23.07887516,22.796000000000003,25
6,7/1980,22.89674065384615,22.507692307692306,26
7,8/1980,23.28603991304348,22.726086956521737,23
8,9/1980,23.636176520000003,23.04000000000001,25
9,10/1980,23.33661309090909,22.81363636363637,22
10,11/1980,23.34702975,23.056249999999995,16
11,12/1980,23.275626222222222,23.03703703703704,27
12,1/1981,22.9562719,22.536666666666672,30
13,2/1981,22.58909620833333,21.8875,24
14,3/1981,23.38982816666667,22.879166666666674,24
15,4/1981,23.237929916666662,23.3125,24
16,5/1981,23.27776664,23.436,25
17,6/1981,23.156560999999996,23.204545454545453,22
18,7/1981,22.577884730769238,21.949999999999996,26
19,8/1981,23.104443380952386,22.400000000000002,21
20,9/1981,22.885267761904764,22.166666666666664,21
21,10/1981,23.797971239999995,23.572000000000003,25
22,11/1981,23.587394454545457,23.359090909090913,22
23,12/1981,23.701166333333333,23.308333333333326,24
24,1/1982,22.9744635,23.054545454545455,22
25,2/1982,22.934080000000005,22.72222222222222,9
26,3/1982,23.13991558333333,23.241666666666664,12
27,4/1982,22.963735899999996,22.904999999999998,20
28,5/1982,22.941966239999996,23.040000000000006,25
29,6/1982,23.245104458333333,23.141666666666666,24
30,7/1982,22.9549165,22.700000000000003,22
31,8/1982,23.498256105263156,23.036842105263162,19
32,9/1982,24.011418866666666,23.64,15
33,10/1982,24.347235736842105,23.847368421052636,19
34,11/1982,24.540177142857143,23.892857142857146,14
35,12/1982,23.39127517647059,23.511764705882356,17
36,1/1983,24.57740741935483,24.780645161290316,31
37,2/1983,24.664518714285713,25.060714285714287,28
38,3/1983,24.010128129032253,24.774193548387096,31
39,4/1983,23.291870099999997,23.88,30
40,5/1983,23.34930835483871,24.19032258064517,31
41,6/1983,23.0093842,23.356666666666666,30
42,7/1983,23.16221006451613,23.251612903225805,31
43,8/1983,23.077619903225806,23.299999999999997,31
44,9/1983,23.5743278,23.46333333333333,30
45,10/1983,23.343478935483873,23.429032258064517,31
46,11/1983,23.55719566666668,23.60333333333333,30
47,12/1983,22.80596445161291,23.06129032258065,31
48,1/1984,22.69305622580645,22.58064516129032,31
49,2/1984,22.545857586206893,22.244827586206892,29
50,3/1984,22.961321193548383,23.277419354838706,31
51,4/1984,22.958827533333327,23.299999999999997,30
52,5/1984,22.75249406451612,22.993548387096773,31
53,6/1984,22.901567500000002,22.80666666666667,30
54,7/1984,22.764950419354836,22.464516129032262,31
55,8/1984,23.368397064516127,22.745161290322578,31
56,9/1984,23.142993066666666,22.999999999999996,30
57,10/1984,23.519031774193547,23.48709677419355,31
58,11/1984,23.74533783333333,23.64666666666667,30
59,12/1984,23.209010451612905,23.75806451612903,31
60,1/1985,23.148233161290324,23.17096774193548,31
61,2/1985,22.86769517857143,22.935714285714287,28
62,3/1985,23.179205322580643,23.493548387096777,31
63,4/1985,23.40074700000001,23.440000000000005,30
64,5/1985,22.738392387096766,23.03870967741936,31
65,6/1985,22.64256629999999,22.44333333333333,30
66,7/1985,22.710854967741938,22.938709677419357,31
67,8/1985,22.935302516129028,22.75483870967742,31
68,9/1985,23.681607133333337,23.57333333333333,30
69,10/1985,23.902798096774195,24.032258064516125,31
70,11/1985,23.298128200000004,23.599999999999998,30
71,12/1985,22.998558548387095,23.503225806451617,31
72,1/1986,23.002547677419354,23.090322580645157,31
73,2/1986,22.907165142857142,23.121428571428567,28
74,3/1986,22.81073580645161,23.0,31
75,4/1986,23.05731216666667,23.403333333333325,30
76,5/1986,23.28179954838709,23.50967741935483,31
77,6/1986,22.75732673333334,22.776666666666667,30
78,7/1986,22.616645677419356,22.27741935483871,31
79,8/1986,24.18924296774194,23.60967741935484,31
80,9/1986,24.252695433333336,23.539999999999996,30
81,10/1986,23.589412064516132,23.535483870967738,31
82,11/1986,23.48604436666666,23.459999999999997,30
83,12/1986,23.766569645161287,23.441935483870967,31
84,1/1987,23.144559935483876,22.838709677419356,31
85,2/1987,23.254253499999997,23.442857142857143,28
86,3/1987,23.299461096774188,23.65483870967742,31
87,4/1987,23.20180227586207,22.765517241379307,29
88,5/1987,23.444918774193546,23.419354838709676,31
89,6/1987,22.871184266666667,22.87,30
90,7/1987,23.981414451612903,23.767741935483865,31
91,8/1987,23.963330193548384,23.748387096774188,31
92,9/1987,24.366622433333337,24.36,30
93,10/1987,24.48915251612903,24.693548387096772,31
94,11/1987,24.11084776666667,24.133333333333333,30
95,12/1987,24.075979580645157,24.44516129032257,31
96,1/1988,23.076892799999992,22.386666666666663,30
97,2/1988,23.308044068965522,23.324137931034482,29
98,3/1988,23.67617822580645,23.787096774193547,31
99,4/1988,23.39654783333333,23.470000000000002,30
100,5/1988,23.1440754516129,23.732258064516135,31
101,6/1988,22.857843600000002,22.69666666666667,30
102,7/1988,23.092652806451607,23.280645161290316,31
103,8/1988,23.927311580645156,23.658064516129027,31
104,9/1988,24.17376413333334,23.999999999999993,30
105,10/1988,24.05494851612903,23.577419354838707,31
106,11/1988,22.784216833333335,22.603333333333335,30
107,12/1988,23.126762516129034,22.712903225806453,31
108,1/1989,22.827028483870976,22.6258064516129,31
109,2/1989,22.530144678571435,22.560714285714287,28
110,3/1989,22.703885774193544,22.435483870967747,31
111,4/1989,22.865505866666663,23.170000000000005,30
112,5/1989,22.589168580645158,22.667741935483868,31
113,6/1989,22.737286433333335,22.769999999999996,30
114,7/1989,22.642124612903228,22.187096774193552,31
115,8/1989,23.908690193548388,23.46129032258065,31
116,9/1989,23.966431500000002,23.33333333333333,30
117,10/1989,23.362269419354835,23.28064516129032,31
118,11/1989,23.694908633333338,23.516666666666666,30
119,12/1989,23.788606448275868,24.03448275862069,29
120,1/1990,23.214442129032253,23.12258064516129,31
121,2/1990,23.242943071428577,23.11428571428571,28
122,3/1990,23.078534354838705,23.070967741935483,31
123,4/1990,23.163226000000005,22.91,30
124,5/1990,23.516094967741946,23.338709677419356,31
125,6/1990,23.30658976666667,23.236666666666668,30
126,7/1990,23.829569,27.1,1
127,8/1990,23.45005725,23.1,8
128,1/1991,23.30588883870968,23.025806451612908,31
129,2/1991,23.398389392857144,23.335714285714285,28
