,Data,TempMinPrevista,TempMinINMET,NumDias
0,8/1983,21.6864625,21.43214285714286,28
1,9/1983,21.568612999999992,23.719999999999995,30
2,10/1983,22.18352151612903,24.22258064516129,31
3,11/1983,23.699404233333336,24.779999999999998,30
4,12/1983,23.887127774193548,25.16451612903226,31
5,1/1984,23.83390274193548,24.48387096774193,31
6,2/1984,23.80336989655173,24.503448275862066,29
7,3/1984,23.196972838709684,24.164516129032258,31
8,4/1984,22.476388633333336,22.930000000000003,30
9,5/1984,22.227047741935483,22.238709677419354,31
10,6/1984,21.2495457,21.540000000000003,30
11,7/1984,21.15222096774193,20.877419354838718,31
12,8/1984,21.695598064516126,21.109677419354842,31
13,9/1984,21.674804466666664,22.336666666666662,30
14,10/1984,22.465201774193556,23.99354838709677,31
15,11/1984,23.63082643333333,24.470000000000002,30
16,12/1984,24.11232958064516,24.89354838709677,31
17,1/1986,24.08745364516129,24.119354838709675,31
18,2/1986,23.03226332142857,23.003571428571426,28
19,3/1986,22.90310877419355,22.70967741935484,31
20,4/1986,23.06052303333333,22.68,30
21,5/1986,22.800493967741932,22.480645161290322,31
22,6/1986,21.140455733333336,21.523333333333333,30
23,7/1986,20.670897642857142,21.139285714285712,28
24,8/1986,21.09689106451612,21.674193548387098,31
25,9/1986,21.325693100000002,21.693333333333328,30
26,10/1986,22.882659709677426,23.529032258064515,31
27,11/1986,23.5438093,23.903333333333332,30
28,12/1986,24.053520483870965,24.299999999999997,31
29,1/1987,23.866034999999997,24.513333333333332,30
30,2/1987,23.623196964285714,23.7,28
31,3/1987,24.065424935483875,24.10322580645161,31
32,4/1987,23.907861500000003,23.670000000000005,30
33,5/1987,23.32027883870968,23.04516129032258,31
34,6/1987,22.273806466666656,22.210000000000004,30
35,7/1987,21.333530629629628,21.659259259259258,27
36,8/1987,22.057549354838713,22.2,31
37,9/1987,21.829002799999998,21.823333333333334,30
38,10/1987,24.000291896551722,24.451724137931038,29
39,11/1987,24.494194733333327,25.26,30
40,12/1987,24.487823,25.08571428571429,7
41,1/1988,25.20095138709677,25.33225806451612,31
42,2/1988,25.100221482758617,25.003448275862066,29
43,3/1988,24.37118280645161,24.23548387096774,31
44,5/1988,23.0221734,23.04666666666667,30
45,6/1988,21.89806793333333,22.16333333333333,30
46,7/1988,20.49692880645161,21.258064516129032,31
47,8/1988,19.93472267741935,20.416129032258063,31
48,9/1988,20.408919733333335,20.383333333333333,30
49,10/1988,22.571999225806458,22.758064516129032,31
50,11/1988,23.060740699999997,23.760000000000005,30
51,12/1988,23.4133565483871,23.72580645161291,31
52,1/1989,24.080363741935482,24.309677419354834,31
53,2/1989,24.769107607142853,25.042857142857148,28
54,3/1989,24.12070027586207,24.186206896551727,29
55,4/1989,23.023731821428573,23.09285714285715,28
56,5/1989,22.935299103448276,22.910344827586208,29
57,6/1989,22.076734,22.5375,8
58,7/1989,20.788698238095236,20.990476190476187,21
59,8/1989,20.944899580645167,21.451612903225804,31
60,9/1989,22.487995633333338,23.09333333333334,30
61,10/1989,23.58938739999999,23.75666666666667,30
62,11/1989,23.74286324137931,24.434482758620696,29
63,1/1990,24.16681925806451,24.503225806451614,31
64,2/1990,24.061339639999996,23.971999999999998,25
65,3/1990,24.952707099999998,24.676666666666666,30
66,4/1990,24.515166433333334,24.54333333333334,30
67,5/1990,23.0327902,23.116666666666667,30
68,6/1990,21.812990233333334,22.203333333333337,30
69,7/1990,21.40279165517241,21.7448275862069,29
70,8/1990,21.080220064516123,21.56129032258064,31
71,9/1990,22.39778023333333,22.41666666666667,30
72,10/1990,23.354154677419363,23.970967741935485,31
73,11/1990,23.677851448275863,24.29310344827586,29
74,12/1990,22.943923461538457,23.73076923076923,26
75,1/1991,24.88465725806451,25.267741935483883,31
76,2/1991,24.80703792857143,25.1357142857143,28
77,3/1991,24.277204903225797,24.66774193548388,31
78,4/1991,23.82123596551724,24.200000000000003,29
79,5/1991,22.51631510714285,23.628571428571433,28
80,6/1991,21.55416673333333,22.62333333333333,30
81,7/1991,20.180625838709673,21.554838709677416,31
82,8/1991,20.040017533333337,21.193333333333328,30
83,9/1991,21.517232366666665,22.569999999999997,30
84,10/1991,22.33740793548387,23.577419354838703,31
85,11/1991,23.480500300000006,24.313333333333333,30
86,1/1992,24.75431725806451,25.60967741935484,31
87,2/1992,23.85954586206897,24.424137931034487,29
88,3/1992,23.473182451612907,24.087096774193547,31
89,4/1992,23.16946893103448,23.900000000000002,29
90,5/1992,23.189060225806458,23.46129032258064,31
91,6/1992,21.507271931034484,22.29655172413793,29
92,7/1992,20.50798744827586,21.07931034482759,29
93,8/1992,20.67703419354839,21.706451612903223,31
94,9/1992,22.30669513333334,23.41,30
95,10/1992,22.709718129032257,24.367741935483878,31
96,11/1992,23.45528455172414,24.7,29
97,12/1992,23.54586110344827,24.924137931034487,29
98,1/1993,23.845532419354846,24.816129032258065,31
99,2/1993,24.66305578571429,25.410714285714285,28
100,3/1993,24.842148258064515,25.04193548387097,31
101,4/1993,24.174384793103446,24.627586206896552,29
102,5/1993,23.33098713333333,24.016666666666666,30
103,6/1993,21.939296599999995,22.660000000000007,30
104,7/1993,21.068386633333326,21.14666666666667,30
105,8/1993,21.80186429032258,22.080645161290327,31
106,9/1993,22.736514862068965,22.97586206896552,29
107,10/1993,22.25898483870968,23.583870967741937,31
108,11/1993,23.6920136,24.403333333333332,30
109,12/1993,24.343679290322576,24.319354838709675,31
110,1/1994,24.146864419354838,24.20645161290323,31
111,2/1994,24.837257785714293,25.13214285714285,28
112,3/1994,23.600698129032256,24.525806451612908,31
113,4/1994,22.954893400000003,23.62666666666667,30
114,5/1994,22.691761483870966,23.590322580645168,31
115,6/1994,21.68872976666667,22.41666666666667,30
116,7/1994,20.995789064516128,21.145161290322577,31
117,8/1994,21.094957548387097,21.6741935483871,31
118,9/1994,21.611693433333336,22.413333333333334,30
119,10/1994,22.730437806451608,23.687096774193552,31
120,11/1994,22.786088833333334,23.526666666666667,30
121,1/1995,23.63640206451613,23.670967741935478,31
122,2/1995,24.40085428571428,24.603571428571424,28
123,3/1995,24.39310383870967,24.32258064516129,31
124,4/1995,23.558331566666666,23.046666666666667,30
125,5/1995,22.689532258064517,22.038709677419348,31
126,6/1995,21.4908455,21.546666666666667,30
127,7/1995,20.04067983870968,19.480645161290322,31
128,8/1995,20.587906612903225,20.96129032258064,31
129,9/1995,20.949633066666667,21.283333333333335,30
130,10/1995,22.00899351612903,22.309677419354845,31
131,11/1995,22.823375766666672,23.02,30
132,12/1995,23.843887071428576,23.89285714285714,28
133,1/1996,24.162951741935483,24.077419354838714,31
134,2/1996,24.44413596551725,24.541379310344833,29
135,3/1996,23.73627361290323,23.374193548387098,31
136,4/1996,23.31166836666667,23.166666666666668,30
137,5/1996,22.626121870967747,22.24193548387097,31
138,6/1996,21.305135033333332,21.483333333333334,30
139,7/1996,20.27358,20.293548387096774,31
140,8/1996,20.853535483870967,21.277419354838706,31
141,9/1996,21.28134033333333,21.580000000000002,30
142,10/1996,22.47325264516129,22.490322580645167,31
143,11/1996,23.639284827586206,23.93448275862069,29
144,12/1996,24.607869483870967,24.987096774193546,31
