,Data,TempMinPrevista,TempMinINMET,NumDias
0,11/1993,22.264865999999998,23.175,4
1,12/1993,22.051967035714284,22.535714285714285,28
2,1/1994,21.99455870000001,22.356666666666673,30
3,5/1994,20.771217111111113,21.12222222222222,18
4,6/1994,20.088432233333336,20.313333333333333,30
5,7/1994,17.232469666666663,17.266666666666666,30
6,8/1994,15.987303517241381,15.362068965517242,29
7,9/1994,20.855615310344824,20.13103448275862,29
8,10/1994,21.794365200000005,22.163333333333338,30
9,11/1994,21.93542089655173,22.624137931034475,29
10,1/1995,21.523658166666664,22.139999999999997,30
11,2/1995,21.844221214285714,22.02857142857142,28
12,3/1995,21.960265677419354,22.341935483870962,31
13,4/1995,22.10223803333333,22.846666666666668,30
14,5/1995,21.799115290322575,22.135483870967743,31
15,6/1995,17.4759022,17.209999999999994,30
16,7/1995,16.60388525806452,16.258064516129032,31
17,8/1995,16.57752388709677,15.819354838709678,31
18,9/1995,20.15214303333334,20.193333333333324,30
19,10/1995,21.619215645161287,21.40967741935484,31
20,11/1995,22.101655266666665,22.19,30
21,12/1995,21.93659474193548,22.38064516129032,31
22,1/1996,21.457974258064517,21.864516129032257,31
23,2/1996,21.833140241379308,21.78620689655172,29
24,3/1996,22.065649580645164,22.312903225806448,31
25,4/1996,21.998484166666668,22.11333333333334,30
26,5/1996,20.82219716129032,20.91290322580645,31
27,6/1996,17.829094116666667,17.649999999999995,30
28,7/1996,15.017050870967742,15.05806451612903,31
29,8/1996,18.321144838709674,18.26774193548387,31
30,9/1996,20.352477666666665,20.316666666666663,30
31,10/1996,22.482938193548385,22.151612903225804,31
32,11/1996,22.429281038461532,22.5,26
33,12/1996,22.205147903225804,21.98709677419355,31
34,1/1997,22.204923548387097,22.312903225806444,31
35,2/1997,21.604858000000004,21.564285714285717,28
36,3/1997,22.020120677419353,22.40322580645162,31
37,4/1997,22.024064833333338,22.323333333333327,30
38,5/1997,20.72146612903225,20.877419354838715,31
39,6/1997,17.594025866666666,17.589999999999996,30
40,7/1997,15.82498893548387,15.632258064516128,31
41,8/1997,17.31268267741936,16.887096774193548,31
42,9/1997,21.619509833333336,21.786666666666665,30
43,10/1997,22.365391096774193,22.43548387096774,31
44,11/1997,21.954305566666665,22.333333333333336,30
45,12/1997,22.19475680645162,22.577419354838717,31
46,1/1998,22.584527322580648,23.05806451612903,31
47,2/1998,23.167878678571434,23.871428571428574,28
48,3/1998,22.39143129032258,23.022580645161288,31
49,4/1998,23.163913933333337,23.439999999999998,30
50,5/1998,20.965863193548383,21.006451612903227,31
51,6/1998,18.01061793333333,17.973333333333336,30
52,7/1998,16.879037016129033,16.61935483870968,31
53,8/1998,18.945396290322588,18.780645161290323,31
54,9/1998,21.874566800000007,21.486666666666668,30
55,10/1998,22.530281129032257,22.816129032258072,31
56,11/1998,22.395043699999995,22.75333333333333,30
57,12/1998,22.43540035483871,22.47096774193549,31
58,1/1999,22.052279774193554,22.309677419354845,31
59,2/1999,21.925771964285712,21.907142857142862,28
60,3/1999,22.11820709677419,22.354838709677416,31
61,4/1999,22.26901643333333,22.296666666666663,30
62,5/1999,21.30525419354839,21.300000000000004,31
63,6/1999,18.29723833333334,18.07666666666666,30
64,7/1999,16.27527183870968,15.69677419354839,31
65,8/1999,18.1171134516129,17.396774193548385,31
66,9/1999,18.688276363636366,18.181818181818183,11
67,10/1999,22.76468587096774,22.732258064516124,31
68,11/1999,22.069030433333342,21.993333333333336,30
69,12/1999,22.003398677419355,21.95806451612903,31
70,1/2000,21.86432829032258,21.670967741935485,31
71,2/2000,21.52648234482759,21.35172413793104,29
