,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,19.28952010714286,18.946428571428573,28
1,2/1980,20.842639679999998,20.716000000000005,25
2,3/1980,21.860062653846157,21.923076923076923,26
3,4/1980,17.997699956521732,18.1,23
4,5/1980,15.148676369565218,14.982608695652173,23
5,6/1980,11.108799509090908,10.68181818181818,11
6,7/1980,9.726287216666668,9.283333333333333,6
7,8/1980,11.610064868421054,11.1,19
8,9/1980,9.965427313333333,9.733333333333333,15
9,10/1980,15.662378846153846,15.469230769230771,26
10,11/1980,16.491365249999998,16.520833333333332,24
11,12/1980,19.69446345833333,19.304166666666667,24
12,1/1981,20.773898178571425,20.667857142857144,28
13,2/1981,21.974127,21.56666666666667,18
14,3/1981,18.650549000000005,18.29642857142857,28
15,4/1981,16.526081959999996,16.148000000000003,25
16,5/1981,16.18770236,15.704,25
17,6/1981,10.324013346153844,9.561538461538461,13
18,7/1981,12.06084545,11.713636363636363,22
19,8/1981,11.568346113043479,11.421739130434785,23
20,9/1981,13.028951235294118,12.694117647058823,17
21,10/1981,13.964917000000002,13.453846153846156,26
22,11/1981,17.92633276666667,17.986666666666668,30
23,12/1981,17.849282518518518,17.959259259259255,27
24,1/1982,18.595404066666667,18.99666666666667,30
25,2/1982,20.773612615384614,20.86538461538462,26
26,3/1982,19.207369000000007,19.39,30
27,4/1982,16.425564086206897,16.462068965517243,29
28,5/1982,12.631460643478261,12.604347826086956,23
29,6/1982,11.7082278125,11.287500000000003,16
30,7/1982,10.019209210526316,10.089473684210526,19
31,8/1982,12.005047090000001,11.254999999999999,20
32,9/1982,14.748453230769227,14.349999999999998,26
33,10/1982,14.224121203703703,13.82962962962963,27
34,11/1982,16.942984259999996,16.555999999999997,25
35,12/1982,18.8951205862069,18.43448275862069,29
36,1/1983,21.627758225806456,21.758064516129032,31
37,2/1983,20.81859507142857,20.742857142857144,28
38,3/1983,18.387252225806453,18.174193548387095,31
39,4/1983,16.816533383333333,16.743333333333336,30
40,5/1983,15.034146461290321,14.864516129032255,31
41,6/1983,9.473191363333333,8.896666666666665,30
42,7/1983,10.665848425806454,10.387096774193548,31
43,8/1983,12.113289558064515,11.822580645161288,31
44,9/1983,11.719025049999997,11.28,30
45,10/1983,15.419202806451613,15.12258064516129,31
46,11/1983,17.82026923333333,17.62666666666667,30
47,12/1983,19.738602064516126,20.032258064516128,31
48,1/1984,22.1443594516129,22.258064516129032,31
49,2/1984,22.27004489655172,22.603448275862068,29
50,3/1984,19.751701645161287,19.809677419354838,31
51,4/1984,15.985750633333332,15.883333333333331,30
52,5/1984,14.510986548387097,14.170967741935483,31
53,6/1984,11.172161316666664,10.916666666666664,30
54,7/1984,10.778817425806453,10.170967741935485,31
55,8/1984,9.565116641935486,9.274193548387096,31
56,9/1984,12.966857299999996,12.806666666666665,30
57,10/1984,15.627965612903226,15.625806451612899,31
58,11/1984,16.4814795,16.543333333333333,30
59,12/1984,16.796410483870968,16.7,31
60,1/1988,20.782110774193548,20.929032258064517,31
61,2/1988,19.6260844137931,20.089655172413785,29
62,3/1988,20.47730209677419,21.04516129032258,31
63,4/1988,14.395331137931034,14.555172413793102,29
64,5/1988,10.467937754838708,10.3,31
65,6/1988,7.916213427586207,7.155172413793102,29
66,7/1988,8.298852487096774,8.293548387096774,31
67,8/1988,11.66208311935484,11.622580645161289,31
68,9/1988,12.764692186666666,12.549999999999995,30
69,10/1988,13.666726145161286,13.309677419354838,31
70,11/1988,15.698724899999998,15.596666666666666,30
71,12/1988,19.224729741935484,19.025806451612898,31
72,1/1989,20.536804258064517,20.387096774193548,31
73,2/1989,20.383639607142864,20.357142857142858,28
74,3/1989,19.06820425806452,19.083870967741937,31
75,4/1989,16.8754008,16.479999999999997,30
76,5/1989,12.30857214516129,12.09354838709677,31
77,6/1989,11.555770933333331,11.153333333333332,30
78,7/1989,8.417770122580645,8.316129032258063,31
79,8/1989,11.025356651612904,10.345161290322581,31
80,9/1989,11.918465226666664,11.473333333333334,30
81,10/1989,13.477626129032256,13.009677419354833,31
82,11/1989,16.674132399999998,16.386666666666663,30
83,12/1989,19.388013161290324,19.55806451612903,31
84,1/1990,20.40157977419355,20.312903225806448,31
85,2/1990,20.454587666666665,20.548148148148144,27
86,3/1990,19.46406070967742,19.38064516129032,31
87,4/1990,17.986155400000005,17.623333333333335,30
88,5/1990,11.252968009677419,11.02258064516129,31
89,6/1990,8.589455066666666,8.123333333333333,30
90,7/1990,8.955812587096773,8.751612903225805,31
91,8/1990,10.709379619354838,10.264516129032257,31
92,9/1990,12.015533840000002,11.133333333333335,30
93,10/1990,17.228761129032257,16.696774193548386,31
94,11/1990,18.819944699999997,18.366666666666667,30
95,12/1990,18.129625693548384,17.61290322580645,31
96,1/1991,18.563605903225803,18.69677419354839,31
97,2/1991,18.376426428571424,18.414285714285715,28
98,3/1991,19.125153225806454,19.28064516129032,31
