,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.322131064516128,23.048387096774192,31
1,2/1980,23.011765137931032,22.56206896551724,29
2,3/1980,22.42924325806451,22.63548387096774,31
3,4/1980,22.44586216666666,22.42666666666667,30
4,5/1980,21.98870719354839,22.035483870967738,31
5,6/1980,21.52869063333333,21.66333333333333,30
6,7/1980,20.529390290322578,20.825806451612902,31
7,8/1980,20.612089483870964,20.74838709677419,31
8,9/1980,21.397165633333334,21.226666666666663,30
9,10/1980,21.53677083870968,21.26451612903226,31
10,11/1980,22.111503233333334,22.103333333333335,30
11,12/1980,21.904741870967737,21.88387096774193,31
12,1/1981,22.703862645161287,22.574193548387097,31
13,2/1981,23.43138796428571,23.38214285714286,28
14,3/1981,22.748305677419353,22.906451612903222,31
15,4/1981,22.183250620689652,22.13448275862069,29
16,5/1981,21.872916903225807,22.148387096774194,31
17,6/1981,21.298557600000006,21.35,30
18,7/1981,20.422758838709683,20.596774193548384,31
19,8/1981,20.62489441935484,20.55806451612903,31
20,9/1981,21.0922233,21.400000000000002,30
21,10/1981,22.006218096774194,22.138709677419353,31
22,11/1981,22.8296433,23.02,30
23,12/1981,23.462534258064508,23.841935483870973,31
24,1/1982,22.769005612903225,22.393548387096775,31
25,2/1982,22.485510500000004,22.33571428571429,28
26,3/1982,22.85369370967742,22.219354838709677,31
27,4/1982,22.527041999999994,22.516666666666662,30
28,5/1982,22.243010677419353,22.029032258064507,31
29,6/1982,21.546821700000002,21.37,30
30,7/1982,20.857380935483874,20.999999999999996,31
31,8/1982,20.984344200000002,20.88,30
32,9/1982,21.1213246,21.063333333333336,30
33,10/1982,21.115631806451614,21.319354838709682,31
34,11/1982,21.9709252,22.09333333333333,30
35,12/1982,22.81641126666667,22.976666666666663,30
36,1/1983,22.916878677419355,22.870967741935484,31
37,2/1983,23.58126675,23.625000000000004,28
38,3/1983,23.704236645161288,23.693548387096776,31
39,4/1983,21.73779466666667,22.773333333333333,30
40,5/1983,22.062593129032262,22.054838709677416,31
41,6/1983,20.95299256666667,21.063333333333333,30
42,7/1983,20.60617735483871,20.541935483870972,31
43,8/1983,20.957594903225804,21.270967741935483,31
44,9/1983,21.529494299999996,21.303333333333327,30
45,10/1983,21.820838193548393,21.945161290322577,31
46,11/1983,21.228886366666668,20.86333333333334,30
47,12/1983,22.533756677419348,22.290322580645157,31
48,1/1984,22.702244741935488,22.46451612903226,31
49,2/1984,23.622159827586202,23.38275862068966,29
50,3/1984,23.416741451612904,23.125806451612902,31
51,4/1984,22.705302866666667,22.849999999999998,30
52,5/1984,22.241720233333343,22.39,30
53,6/1984,21.65136996666667,21.69333333333334,30
54,7/1984,21.076330387096778,21.190322580645162,31
55,8/1984,21.311301548387092,21.077419354838714,31
56,9/1984,21.30059310000001,20.68,30
57,10/1984,22.050801903225803,21.78709677419354,31
58,11/1984,22.23358903333333,21.97666666666667,30
59,12/1984,22.317083774193545,21.9,31
60,1/1985,23.156726322580642,23.251612903225805,31
61,2/1985,22.56430092857142,21.903571428571436,28
62,3/1985,23.09356306451613,22.54193548387096,31
63,4/1985,21.885969068965515,22.53103448275862,29
64,5/1985,22.063489258064525,21.854838709677423,31
65,6/1985,21.752397366666663,21.856666666666666,30
66,7/1985,21.19436774193548,21.38064516129032,31
67,8/1985,20.990299833333335,21.14333333333333,30
68,9/1985,21.388734666666664,21.49333333333333,30
69,10/1985,21.063393225806447,20.95483870967743,31
70,11/1985,21.6215058275862,21.44482758620689,29
71,12/1985,22.20794006451613,21.793548387096774,31
72,1/1986,22.41902029032257,22.174193548387095,31
73,2/1986,22.73604157142857,22.52142857142857,28
74,3/1986,22.70259732258065,22.53548387096774,31
75,4/1986,22.943941699999996,22.89666666666667,30
76,5/1986,22.473172451612903,22.261290322580646,31
77,6/1986,21.39350086666667,21.79,30
78,7/1986,20.959720161290313,20.883870967741935,31
79,8/1986,21.083137548387096,20.94516129032258,31
80,9/1986,21.450665399999995,21.42333333333334,30
81,10/1986,21.506549903225803,21.516129032258064,31
82,11/1986,22.9298908,23.136666666666667,30
83,12/1986,22.613475399999995,22.380000000000003,30
84,1/1987,22.888845387096776,22.325806451612902,31
85,2/1987,23.288378285714284,23.21428571428571,28
86,3/1987,23.242587933333336,23.11,30
87,4/1987,23.322358600000005,23.503333333333334,30
88,5/1987,22.500001322580644,22.361290322580643,31
89,6/1987,22.195241999999997,22.123333333333328,30
90,7/1987,21.9583163,21.790000000000003,30
91,8/1987,21.575731032258062,21.558064516129033,31
92,9/1987,21.402134466666666,20.84,30
93,10/1987,21.54177622580645,21.161290322580644,31
94,11/1987,22.404930344827584,22.3896551724138,29
95,12/1987,23.063130032258062,22.97741935483871,31
96,1/1988,23.283425129032263,23.296774193548377,31
97,2/1988,23.975755000000007,23.168965517241375,29
98,3/1988,23.480446500000006,23.110000000000003,30
99,4/1988,23.164042833333337,23.166666666666668,30
100,5/1988,22.163368903225805,22.270967741935483,31
101,6/1988,21.931100300000008,21.863333333333326,30
102,7/1988,21.26496480645161,21.135483870967743,31
103,8/1988,20.569698451612908,20.63225806451613,31
104,9/1988,21.4019288,21.410000000000004,30
