,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.197164285714287,20.790476190476188,21
1,2/1980,22.333554894736846,20.736842105263154,19
2,3/1980,22.04848313043478,20.669565217391302,23
3,4/1980,21.016709760000005,19.200000000000003,25
4,5/1980,20.816089076923085,18.153846153846153,26
5,6/1980,20.732008642857146,16.892857142857142,28
6,7/1980,18.154126333333334,14.800000000000002,3
7,8/1980,19.9729,14.8,1
8,9/1980,18.605439124999997,16.875,8
9,10/1980,21.17785194117647,20.623529411764704,17
10,11/1980,20.88553636842105,20.03157894736842,19
11,12/1980,21.579463625000002,21.2625,16
12,1/1981,21.860760529411767,20.717647058823527,17
13,2/1981,21.70741976470588,20.8,17
14,3/1981,22.118651105263154,21.768421052631584,19
15,4/1981,21.48370473333333,20.653333333333332,15
16,5/1981,20.849213,20.41,20
17,6/1981,18.32123233333333,17.3047619047619,21
18,7/1981,15.420494812499998,14.8,16
19,8/1981,18.5244831875,17.612499999999997,16
20,9/1981,19.90887242857143,18.314285714285713,14
21,10/1981,21.14545330434783,20.539130434782606,23
22,11/1981,21.271381260869564,21.678260869565214,23
23,12/1981,21.756363624999995,22.041666666666668,24
24,1/1982,22.587325766666666,22.04,30
25,2/1982,22.343793750000003,21.850000000000005,24
26,3/1982,22.5500885,21.846153846153847,26
27,4/1982,22.37138495454545,21.563636363636366,22
28,5/1982,21.211790374999996,19.7,24
29,6/1982,19.286430052631577,17.76842105263158,19
30,7/1982,19.533716730769232,18.26923076923077,26
31,8/1982,19.39450135714286,18.49285714285714,28
32,9/1982,21.415122636363638,20.099999999999998,22
33,10/1982,21.82703947619048,20.895238095238092,21
34,11/1982,22.447444130434782,22.134782608695655,23
35,12/1982,22.513609714285707,21.780952380952378,21
36,1/1983,21.93150364516129,22.61935483870968,31
37,2/1983,21.88828910714286,22.521428571428572,28
38,3/1983,21.80728222580645,22.012903225806454,31
39,4/1983,21.961209000000007,22.556666666666665,30
40,5/1983,21.24776564516129,21.690322580645162,31
41,6/1983,17.61959935,17.286666666666665,30
42,7/1983,18.10686935483871,17.406451612903222,31
43,8/1983,18.297578967741938,16.961290322580645,31
44,9/1983,19.016016450000002,17.65333333333333,30
45,10/1983,20.15168703225807,19.961290322580645,31
46,11/1983,20.776948866666665,21.100000000000005,30
47,12/1983,21.148430419354842,21.625806451612906,31
48,1/1984,20.426394967741935,21.4,31
49,2/1984,20.836372068965517,21.76551724137931,29
50,3/1984,21.389447903225808,21.683870967741942,31
51,4/1984,20.476538499999997,21.039999999999996,30
52,5/1984,19.68258090322581,20.03870967741935,31
53,6/1984,17.5863193,17.319999999999997,30
54,7/1984,17.11376580645161,16.30322580645161,31
55,8/1984,17.526045225806453,15.948387096774193,31
56,9/1984,19.77094746666667,19.446666666666665,30
57,10/1984,20.752594516129033,21.722580645161294,31
58,11/1984,20.925654666666667,21.766666666666666,30
59,12/1984,21.254864419354835,22.019354838709678,31
60,1/1985,21.038470516129028,21.90967741935484,31
61,2/1985,20.999963214285717,21.757142857142856,28
62,3/1985,21.485105,22.32258064516129,31
63,4/1985,20.582269833333335,21.466666666666672,30
64,5/1985,19.94157535483871,20.574193548387093,31
65,6/1985,16.838227533333335,17.006666666666664,30
66,7/1985,16.55882583870968,16.741935483870964,31
67,8/1985,17.136481612903225,17.129032258064516,31
68,9/1985,19.120147499999995,19.606666666666666,30
69,10/1985,20.532768064516127,21.393548387096775,31
70,11/1985,20.730765333333334,21.779999999999994,30
71,12/1985,21.34692225806451,22.032258064516128,31
72,1/1986,22.368743935483874,21.658064516129034,31
73,2/1986,20.723535571428567,21.871428571428567,28
74,3/1986,21.01677661290323,22.01290322580645,31
75,4/1986,20.920733933333338,21.699999999999996,30
76,5/1986,20.54769767741935,21.348387096774196,31
77,6/1986,17.131974916666664,17.219999999999995,30
78,7/1986,17.42597048387097,16.587096774193547,31
79,8/1986,19.501748193548384,19.206451612903226,31
80,9/1986,19.126534200000002,19.36666666666667,30
81,10/1986,20.306557774193543,20.6258064516129,31
82,11/1986,20.798534366666665,21.546666666666663,30
83,12/1986,21.259289741935483,22.032258064516125,31
84,1/1987,21.474649161290326,21.990322580645163,31
85,2/1987,21.08556917857143,20.99285714285715,28
86,3/1987,20.511046580645157,20.425806451612903,31
87,4/1987,20.752356066666664,20.820000000000004,30
88,5/1987,19.39229329032258,18.79354838709677,31
89,6/1987,15.930813166666667,17.293333333333333,30
90,7/1987,19.534395290322582,17.680645161290318,31
91,8/1987,18.52116220967742,16.232258064516124,31
92,9/1987,20.62830313333333,18.98,30
93,10/1987,21.311161290322588,21.458064516129035,31
94,11/1987,21.3515669,21.653333333333343,30
95,12/1987,21.356922161290324,21.625806451612902,31
96,1/1988,21.433525161290323,21.29032258064516,31
97,2/1988,21.42548227586207,21.082758620689653,29
98,3/1988,21.914100451612903,21.161290322580644,31
99,4/1988,20.865777933333334,20.666666666666664,30
100,5/1988,19.463629612903226,18.825806451612902,31
101,6/1988,17.327710000000003,15.82,30
102,7/1988,14.923857064516131,13.448387096774193,31
103,8/1988,18.275124290322577,16.541935483870965,31
104,9/1988,19.620533833333337,18.226666666666667,30
