,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,23.807452967741934,23.8741935483871,31
1,2/1980,22.84056093103448,22.83448275862069,29
2,3/1980,23.36522241935484,23.109677419354835,31
3,4/1980,23.169422300000008,23.049999999999997,30
4,5/1980,23.327695419354836,23.787096774193543,31
5,6/1980,22.950564366666665,23.240000000000002,30
6,7/1980,23.03288032258065,22.851612903225806,31
7,8/1980,23.58019835483871,23.058064516129026,31
8,9/1980,23.81906426666667,23.52666666666666,30
9,10/1980,24.215034935483867,24.016129032258068,31
10,11/1980,23.957052533333332,23.71333333333333,30
11,12/1980,24.19679629032258,23.845161290322583,31
12,1/1981,23.83544887096774,23.632258064516133,31
13,2/1981,23.762829428571425,23.37857142857143,28
14,3/1981,23.604079161290326,23.645161290322584,31
15,4/1981,23.7003931,23.553333333333335,30
16,5/1981,23.36047183870968,23.196774193548386,31
17,6/1981,23.424263466666666,23.353333333333335,30
18,7/1981,22.969967709677416,22.741935483870964,31
19,8/1981,22.89998867741935,22.887096774193548,31
20,9/1981,23.695825533333338,23.610000000000003,30
21,10/1981,24.195680806451612,23.945161290322584,31
22,11/1981,24.5289937,24.46,30
23,12/1981,24.434483806451613,24.36774193548387,31
24,1/1982,23.862407419354835,23.683870967741935,31
25,2/1982,23.164615321428574,22.88571428571428,28
26,3/1982,23.39895980645161,23.158064516129038,31
27,4/1982,23.179261,22.83,30
28,5/1982,23.627494354838717,23.53870967741936,31
29,6/1982,23.069849600000005,22.986666666666668,30
30,7/1982,23.28008416129033,23.241935483870968,31
31,8/1982,23.147874064516134,23.193548387096776,31
32,9/1982,23.825370200000002,23.743333333333336,30
33,10/1982,23.863699838709675,23.67096774193548,31
34,11/1982,24.266642600000008,24.246666666666663,30
35,12/1982,24.607361354838705,24.638709677419353,31
36,1/1983,24.539393387096773,24.52258064516129,31
37,2/1983,23.78854335714286,24.03928571428571,28
38,3/1983,23.812576806451613,24.438709677419347,31
39,4/1983,23.615965533333334,23.90333333333333,30
40,5/1983,23.66081187096774,24.477419354838702,31
41,6/1983,23.73173763333333,23.88666666666667,30
42,7/1983,23.555512999999998,23.57741935483871,31
43,8/1983,24.099606612903226,23.832258064516132,31
44,9/1983,24.437592933333338,24.11666666666667,30
45,10/1983,24.481857354838716,24.058064516129033,31
46,11/1983,24.30894086666667,24.179999999999996,30
47,12/1983,24.492558677419357,24.454838709677418,31
48,1/1984,23.202867870967744,23.045161290322575,31
49,2/1984,23.07984275862069,23.131034482758622,29
50,3/1984,22.864991612903218,22.967741935483875,31
51,4/1984,22.84865933333333,22.95666666666666,30
52,5/1984,22.89433035483872,22.65161290322581,31
53,6/1984,23.230316533333333,22.719999999999995,30
54,7/1984,23.02340261290323,22.76451612903226,31
55,8/1984,23.228208225806448,23.038709677419355,31
56,9/1984,23.47813986666666,23.04,30
57,10/1984,23.79296280645161,23.741935483870968,31
58,11/1984,23.914783366666665,23.990000000000002,30
59,12/1984,23.90953929032258,24.141935483870967,31
60,1/1985,22.900317419354835,23.090322580645164,31
61,2/1985,22.583724428571426,22.20714285714285,28
62,3/1985,22.717481741935483,22.999999999999993,31
63,4/1985,22.630064499999996,22.53666666666667,30
64,5/1985,22.83066861290323,22.732258064516127,31
65,6/1985,22.864057433333336,22.23,30
66,7/1985,22.933384838709674,22.05161290322581,31
67,8/1985,23.29259822580645,23.03225806451613,31
68,9/1985,23.5270382,23.236666666666668,30
69,10/1985,23.668974032258067,23.44838709677419,31
70,11/1985,23.742946866666664,23.81,30
71,12/1985,23.36758858064516,22.909677419354836,31
72,1/1986,22.865153548387102,23.21935483870968,31
73,2/1986,22.927885214285713,22.471428571428582,28
74,3/1986,22.815275129032262,22.53548387096774,31
75,4/1986,23.1885511,23.049999999999997,30
76,5/1986,23.40716203225806,23.225806451612904,31
77,6/1986,22.775653733333336,22.496666666666666,30
78,7/1986,22.861854032258062,22.432258064516127,31
79,8/1986,23.119849290322584,22.9741935483871,31
80,9/1986,23.491333333333333,23.430000000000007,30
81,10/1986,23.57551022580645,23.406451612903226,31
82,11/1986,24.4015371,24.493333333333332,30
83,12/1986,24.246293612903223,24.30322580645161,31
84,1/1987,24.132033419354844,23.98064516129032,31
85,2/1987,23.898423500000007,23.671428571428567,28
86,3/1987,23.002019161290328,22.54193548387096,31
87,4/1987,23.980733699999995,23.696666666666665,30
88,5/1987,23.810651419354837,23.73225806451613,31
89,6/1987,23.31839073333333,23.32333333333333,30
90,7/1987,23.472236741935486,23.56451612903226,31
91,8/1987,23.537766483870968,23.632258064516133,31
92,9/1987,23.87648076666667,23.896666666666665,30
93,10/1987,24.04500261290322,23.98064516129032,31
94,11/1987,24.42151573333333,24.64999999999999,30
95,12/1987,24.73859458064517,24.761290322580642,31
96,1/1988,24.07163664516129,23.945161290322577,31
97,2/1988,23.710352655172418,23.496551724137927,29
98,3/1988,22.89770251612903,23.361290322580643,31
99,4/1988,23.44426616666667,23.34,30
100,5/1988,23.492944548387097,23.44193548387097,31
101,6/1988,23.20568893333334,23.109999999999996,30
102,7/1988,22.61439803225807,22.49677419354839,31
103,8/1988,22.87982106451613,22.69354838709678,31
104,9/1988,23.381989100000002,23.416666666666668,30
105,10/1988,23.89832293548387,23.922580645161286,31
106,11/1988,24.183163333333326,24.60333333333333,30
107,12/1988,23.522942677419355,23.36129032258064,31
108,1/1989,23.45230503333333,23.34333333333334,30
109,2/1989,23.388643000000002,23.178571428571434,28
110,3/1989,23.149315999999995,22.873333333333328,30
111,4/1989,23.065845700000004,22.886666666666663,30
112,5/1989,22.811395,22.67096774193549,31
113,6/1989,23.003138599999996,22.753333333333334,30
114,7/1989,22.490300387096777,22.36451612903226,31
115,8/1989,23.125007225806456,23.070967741935483,31
116,9/1989,23.613563766666665,23.18,30
117,10/1989,23.917110225806454,23.63225806451613,31
118,12/1989,23.789348677419344,23.609677419354835,31
119,1/1990,23.759481096774195,23.64838709677419,31
120,2/1990,23.439455535714284,23.192857142857143,28
121,3/1990,23.626908580645164,23.567741935483873,31
122,4/1990,23.705451533333328,23.613333333333337,30
123,5/1990,23.75137183870968,23.6258064516129,31
124,6/1990,23.423612800000004,23.443333333333328,30
125,7/1990,22.83926370967742,22.612903225806456,31
126,8/1990,23.35729438709677,23.493548387096777,31
127,9/1990,23.733880999999997,23.683333333333337,30
128,10/1990,24.166505903225808,24.083870967741934,31
129,11/1990,24.228029766666666,24.053333333333335,30
130,12/1990,24.292537322580646,23.73548387096774,31
131,1/1991,23.358401645161294,23.361290322580647,31
132,2/1991,23.792503321428573,23.692857142857147,28
133,3/1991,23.147165129032256,23.125806451612902,31
134,4/1991,23.194988033333335,23.123333333333328,30
135,5/1991,23.245098677419353,23.10322580645161,31
136,6/1991,23.29396433333334,23.34333333333333,30
137,7/1991,22.896434741935476,22.73548387096774,31
138,8/1991,22.533247129032258,22.519354838709678,31
139,9/1991,23.23717183333333,23.053333333333335,30
140,10/1991,24.07931806451613,23.96129032258064,31
141,11/1991,24.147636,23.91666666666666,30
142,12/1991,24.570119967741928,24.46451612903226,31
143,1/1992,24.321096483870967,24.20322580645162,31
144,2/1992,23.896049241379306,23.927586206896542,29
145,3/1992,23.440970870967746,23.512903225806458,31
146,4/1992,23.995017433333334,24.153333333333332,30
