,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,18.252911080645166,18.061290322580643,31
1,2/1980,18.888333827586212,18.820689655172412,29
2,3/1980,19.651655225806454,19.57741935483871,31
3,4/1980,17.050487866666664,17.173333333333332,30
4,5/1980,15.278787532258063,15.312903225806453,31
5,6/1980,11.958857049999997,11.969999999999999,30
6,7/1980,12.960814677419355,12.941935483870965,31
7,8/1980,13.58727764516129,13.232258064516126,31
8,9/1980,12.473636093333337,12.386666666666667,30
9,10/1980,15.938361080645159,15.535483870967742,31
10,11/1980,16.579779533333333,16.476666666666663,30
11,12/1980,19.23133,19.3,1
12,2/1981,19.398414678571424,19.52857142857143,28
13,3/1981,18.275687516129032,18.496774193548386,31
14,4/1981,17.457626,20.1,1
15,5/1981,14.902699177419356,14.980645161290322,31
16,6/1981,12.148097453333332,12.236666666666668,30
17,7/1981,10.381692470967742,10.283870967741937,31
18,8/1981,12.617517225806454,12.82258064516129,31
19,9/1981,14.219925783333332,14.516666666666662,30
20,10/1981,14.506255370967741,14.619354838709679,31
21,11/1981,17.801991400000002,17.839999999999996,30
22,12/1981,17.895033903225805,17.88064516129032,31
23,1/1982,17.293669387096774,17.467741935483875,31
24,2/1982,18.173507999999998,20.0,1
25,4/1982,15.262327216666666,15.533333333333333,30
26,5/1982,13.081475354838707,13.045161290322582,31
27,6/1982,14.843743949999999,14.693333333333335,30
28,7/1982,13.008811080645161,13.019354838709672,31
29,8/1982,13.8498355,13.793548387096777,31
30,9/1982,13.882972166666661,14.24,30
31,10/1982,15.725327999999998,15.583870967741932,31
32,11/1982,18.530792166666668,18.569999999999997,30
33,12/1982,17.796016967741934,17.91612903225806,31
34,1/1983,14.059396,20.9,1
35,1/1984,19.868756225806454,19.867741935483867,31
36,2/1984,20.38968489655172,20.62413793103448,29
37,3/1984,18.184869612903228,18.367741935483867,31
38,4/1984,16.377529966666668,16.049999999999997,30
39,5/1984,16.2243945,16.090322580645164,31
40,6/1984,13.589217983333336,13.42333333333333,30
41,7/1984,13.185380532258064,13.387096774193552,31
42,8/1984,12.428529338709676,12.203225806451613,31
43,9/1984,12.861785649999998,12.956666666666669,30
44,10/1984,16.05464558064516,16.264516129032256,31
45,11/1984,17.10757595,17.28000000000001,30
46,12/1984,17.53539090322581,17.406451612903226,31
47,1/1985,17.911195677419354,17.764516129032256,31
48,2/1985,19.246407249999997,19.246428571428574,28
49,3/1985,19.051793967741933,19.164516129032254,31
50,4/1985,17.76158685,17.82333333333333,30
51,5/1985,13.685571887096774,13.6258064516129,31
52,6/1985,10.867624063333334,11.136666666666668,30
53,7/1985,10.709182399999998,10.622580645161289,31
54,8/1985,12.816582935483872,12.990322580645163,31
55,9/1985,13.585214266666668,14.016666666666667,30
56,10/1985,15.286664322580643,15.3,31
57,11/1985,16.906816266666667,16.87333333333333,30
58,12/1985,17.441585645161293,17.429032258064513,31
59,1/1986,19.356829903225805,19.35483870967742,31
60,2/1986,19.46999014285714,19.582142857142856,28
61,3/1986,18.75912241935484,18.770967741935483,31
62,4/1986,17.750244483333333,17.83333333333333,30
63,5/1986,16.17348703225806,16.34838709677419,31
64,6/1986,12.384888450000002,12.133333333333331,30
65,7/1986,11.913824741935484,12.138709677419353,31
66,8/1986,13.821837064516128,14.112903225806452,31
67,9/1986,13.655605483333336,13.803333333333336,30
68,10/1986,15.389999870967738,15.0258064516129,31
69,11/1986,17.73055743333333,17.263333333333332,30
70,12/1986,18.760490580645158,18.458064516129035,31
71,1/1987,19.763827935483874,19.245161290322574,31
72,2/1987,18.967061660714283,18.782142857142855,28
73,3/1987,17.54823916129032,16.848387096774193,31
74,4/1987,17.880050266666668,17.926666666666666,30
75,5/1987,14.414111145161293,13.967741935483865,31
76,6/1987,11.895718780000003,11.35,30
77,7/1987,13.809788822580643,13.738709677419354,31
78,8/1987,11.701103403225805,11.338709677419354,31
79,9/1987,13.432001566666667,13.036666666666665,30
80,10/1987,15.629450177419354,15.832258064516129,31
81,11/1987,17.18191193333333,17.31,30
82,12/1987,18.57865690322581,18.64838709677419,31
83,1/1988,20.18159803225806,20.325806451612905,31
84,2/1988,18.47782979310345,18.610344827586204,29
85,3/1988,18.656505,18.732258064516124,31
86,4/1988,17.4841205,17.5,30
87,5/1988,14.784656274193548,14.996774193548385,31
88,6/1988,11.665247813333334,10.92,30
89,7/1988,9.879922832258064,9.906451612903227,31
90,8/1988,12.472812950000002,12.843333333333332,30
91,9/1988,15.190984666666667,15.27,30
92,10/1988,15.242356274193547,15.209677419354838,31
93,11/1988,16.142766200000004,15.94333333333333,30
94,12/1988,18.218990241935483,18.38709677419355,31
95,1/1989,19.012983032258067,19.30322580645161,31
96,2/1989,19.65708267857143,19.90714285714285,28
97,3/1989,18.81830290322581,19.180645161290315,31
98,4/1989,17.52990876666667,17.68,30
99,5/1989,14.048497870967742,13.941935483870965,31
100,6/1989,13.055947500000004,13.237931034482758,29
101,7/1989,11.057217223333332,10.976666666666667,30
102,8/1989,12.797337387096775,12.806451612903228,31
103,9/1989,14.32828645,14.206666666666667,30
104,10/1989,14.248483370967744,14.08064516129032,31
105,11/1989,16.59597186666667,16.403333333333332,30
106,12/1989,17.717418290322584,17.709677419354836,31
107,1/1990,19.927685290322582,20.01612903225806,31
108,2/1990,19.214137857142852,19.53571428571428,28
109,3/1990,19.49359970967742,19.719354838709673,31
110,4/1990,18.997738551724144,19.013793103448272,29
111,5/1990,13.750283354838711,13.687096774193547,31
112,6/1990,12.501216156666663,12.58,30
113,7/1990,11.699235877777776,11.21851851851852,27
114,8/1990,11.903674741935482,11.64516129032258,31
115,9/1990,12.45105638666667,12.126666666666667,30
116,10/1990,16.856936532258064,16.883870967741938,31
117,11/1990,18.8038135,18.933333333333334,30
118,12/1990,17.987616951612907,17.94193548387096,31
119,1/1991,18.69092625806452,18.72258064516129,31
120,2/1991,18.397938928571428,18.464285714285715,28
121,3/1991,18.39900035483871,18.448387096774198,31
122,4/1991,17.132093483333332,16.959999999999997,30
123,5/1991,15.134522241935484,14.809677419354838,31
124,6/1991,14.002453933333332,13.916666666666663,30
125,7/1991,13.016888833333335,12.49666666666667,30
126,8/1991,13.277584049999998,13.04,30
127,9/1991,13.411312416666664,13.456666666666665,30
128,10/1991,16.203475645161294,16.206451612903226,31
129,11/1991,17.685026800000003,17.603333333333335,30
130,12/1991,19.22865232258065,19.135483870967743,31
131,1/1992,18.972715548387097,18.877419354838707,31
132,2/1992,19.212315965517245,19.48620689655172,29
133,3/1992,18.777460483870964,18.535483870967738,31
134,4/1992,17.46385696666666,17.39,30
135,5/1992,16.444952435483874,16.612903225806456,31
136,6/1992,14.955775566666665,15.053333333333336,30
137,7/1992,12.379865209677419,12.480645161290324,31
138,8/1992,12.149915935483872,12.380645161290321,31
139,9/1992,14.329465949999998,14.6,30
140,10/1992,16.247526903225808,16.416129032258063,31
141,11/1992,16.790188283333332,16.640000000000004,30
142,12/1992,16.792621548387093,16.929032258064513,31
143,1/1993,19.280970032258065,19.44516129032258,31
144,2/1993,18.675889571428574,18.675,28
145,3/1993,18.690292548387102,18.896774193548385,31
146,4/1993,17.567637800000004,17.45666666666667,30
147,5/1993,14.59076841935484,14.219354838709675,31
148,6/1993,12.689122099999999,11.926666666666668,30
149,7/1993,13.129828838709676,12.709677419354836,31
150,8/1993,11.1470291,10.816129032258067,31
151,9/1993,13.843714299999998,13.500000000000002,30
152,10/1993,16.257947096774195,15.748387096774193,31
153,11/1993,18.109491633333334,17.62,30
154,12/1993,18.147351725806452,17.506451612903223,31
155,1/1994,18.090425403225805,17.45806451612903,31
156,2/1994,19.815116035714283,19.507142857142856,28
157,3/1994,17.85297914516129,17.048387096774192,31
158,4/1994,16.580354016666668,15.66333333333333,30
159,5/1994,15.506801532258063,13.864516129032259,31
160,6/1994,11.599019379999996,9.13,30
161,7/1994,11.939252677419356,9.341935483870971,31
162,8/1994,11.678961312903224,11.038709677419355,31
163,9/1994,14.562752433333332,14.413333333333334,30
164,10/1994,16.85642141935484,16.45806451612903,31
165,11/1994,17.444175366666666,17.006666666666668,30
166,12/1994,19.43730716129032,19.196774193548386,31
167,1/1995,20.306011935483873,20.3,31
168,2/1995,19.856023285714286,20.11071428571429,28
169,3/1995,18.554519806451612,18.53870967741935,31
170,4/1995,16.781780533333336,16.880000000000003,30
171,5/1995,14.965598693548388,14.938709677419354,31
172,6/1995,13.16075335,13.009999999999998,30
173,7/1995,15.283910129032257,14.496774193548383,31
174,8/1995,15.367730032258066,14.935483870967742,31
175,9/1995,14.635742549999998,14.303333333333331,30
176,10/1995,15.312743241935486,15.458064516129031,31
177,11/1995,17.099139150000003,17.02666666666666,30
178,12/1995,18.08001496774194,18.070967741935483,31
179,1/1996,19.74153932258064,20.04838709677419,31
180,2/1996,19.63443406896551,19.658620689655173,29
181,3/1996,19.082021645161294,19.36774193548387,31
182,4/1996,17.577670500000004,17.64333333333333,30
183,5/1996,14.386360064516134,14.458064516129031,31
184,6/1996,13.186999466666668,13.42666666666667,30
185,7/1996,11.163290435483871,11.151612903225805,31
186,8/1996,11.732522564516128,11.932258064516128,31
187,9/1996,14.319571266666665,14.543333333333335,30
188,10/1996,16.204696370967742,16.116129032258062,31
189,11/1996,16.74950726666667,16.62666666666667,30
190,12/1996,19.116552967741935,19.019354838709678,31
191,1/1997,19.23454641935484,19.290322580645164,31
192,2/1997,19.152997535714285,19.18214285714286,28
193,3/1997,17.596616241935486,17.661290322580644,31
194,4/1997,16.130142416666665,16.056666666666665,30
195,5/1997,14.154574177419354,14.225806451612904,31
196,6/1997,13.088666573333334,12.376666666666665,30
197,7/1997,13.715117451612906,13.45806451612903,31
198,8/1997,13.13021585483871,13.022580645161291,31
199,9/1997,15.173166166666668,15.036666666666665,30
200,10/1997,16.509857903225804,16.37096774193548,31
201,11/1997,18.824217966666666,18.48,30
202,12/1997,19.54666293548387,19.222580645161294,31
203,1/1998,19.817792483870974,20.261290322580653,31
204,2/1998,20.08383274074074,19.95925925925926,27
205,3/1998,19.2084825483871,19.406451612903226,31
206,4/1998,17.668693083333338,17.680000000000003,30
207,5/1998,14.010043161290321,13.751612903225805,31
208,6/1998,12.497813383333332,12.256666666666668,30
209,7/1998,12.900612249999998,13.136666666666667,30
210,8/1998,15.020005064516127,14.86451612903226,31
211,9/1998,15.04840465,15.17666666666667,30
212,10/1998,15.54358587096774,15.387096774193548,31
213,11/1998,16.011965566666664,15.940000000000001,30
214,12/1998,18.78280054838709,18.54193548387097,31
215,1/1999,19.617883225806445,19.67096774193548,31
216,2/1999,19.564118285714283,19.58928571428571,28
217,3/1999,18.92054751612903,19.154838709677417,31
218,4/1999,15.903425266666666,16.14,30
219,5/1999,12.781876483870965,12.796774193548389,31
220,6/1999,12.251117416666663,12.316666666666665,30
221,7/1999,12.483007935483874,12.703225806451611,31
222,8/1999,11.558968551612907,11.60967741935484,31
223,9/1999,14.364287724137935,14.693103448275863,29
224,10/1999,14.506873850000003,14.286666666666665,30
225,11/1999,14.8052491,14.683333333333332,30
226,12/1999,18.36084903225806,18.46451612903226,31
227,1/2000,18.94759032258064,19.09354838709677,31
228,2/2000,19.08189220689656,19.18275862068965,29
229,3/2000,18.299831032258062,18.380645161290317,31
230,4/2000,16.3553572,16.56,30
231,5/2000,14.051716887096775,13.938709677419356,31
232,6/2000,13.757318813333335,13.799999999999995,30
233,7/2000,10.714181229032256,10.925806451612903,31
234,8/2000,12.461256164516131,12.26774193548387,31
235,9/2000,14.373242750000001,14.386666666666665,30
236,10/2000,17.546445612903224,17.690322580645155,31
237,11/2000,17.769958566666663,17.853333333333335,30
238,12/2000,18.634164645161285,18.42258064516129,31
239,1/2001,19.814863806451612,19.877419354838715,31
240,2/2001,20.10391182142857,20.16071428571428,28
241,3/2001,19.435680612903223,19.512903225806443,31
242,4/2001,18.212874366666664,18.566666666666666,30
243,5/2001,14.906333500000004,14.877419354838707,31
244,6/2001,13.610117766666665,13.773333333333328,30
245,7/2001,12.624331180645166,12.638709677419355,31
246,8/2001,13.722869661290318,14.074193548387095,31
247,9/2001,14.647259333333333,14.616666666666667,30
248,10/2001,15.971869951612904,15.958064516129033,31
249,11/2001,17.9075707,17.956666666666667,30
250,12/2001,18.342153919354836,18.203225806451616,31
251,1/2002,19.244587032258067,19.174193548387095,31
252,2/2002,18.603306785714288,18.6,28
253,3/2002,19.74251641935484,19.767741935483873,31
254,4/2002,18.87253613333333,19.16,30
255,5/2002,15.869577096774195,16.15806451612903,31
256,6/2002,15.075066033333332,15.563333333333333,30
257,7/2002,12.583579787096774,12.622580645161287,31
258,8/2002,15.76343335483871,15.845161290322576,31
259,9/2002,13.886443753333333,13.743333333333329,30
260,10/2002,18.179733274193545,18.06129032258064,31
261,11/2002,17.94859435,17.926666666666666,30
262,12/2002,19.08892283870968,19.22258064516129,31
263,1/2003,19.299114032258064,19.306451612903224,31
264,2/2003,20.704636035714284,21.185714285714283,28
265,3/2003,18.644556548387097,18.958064516129035,31
266,4/2003,17.461875433333333,17.65,30
267,5/2003,14.301899145161295,14.222580645161289,31
268,6/2003,14.698801633333336,14.94333333333333,30
269,7/2003,13.045497999999998,13.464516129032255,31
270,8/2003,11.525060258064515,11.809677419354838,31
271,9/2003,13.878379416666665,14.280000000000001,30
272,10/2003,16.124902161290326,15.938709677419352,31
273,11/2003,17.23202033333333,17.073333333333334,30
274,12/2003,18.808425258064517,18.8741935483871,31
275,1/2004,18.36834403225807,18.36129032258064,31
276,2/2004,18.16052127586207,17.962068965517243,29
277,3/2004,17.580567758064518,17.59032258064516,31
278,4/2004,18.100041200000003,17.95,30
279,5/2004,14.119474177419356,14.190322580645159,31
280,6/2004,12.679562980000002,12.736666666666666,30
281,7/2004,12.457375193548385,12.529032258064511,31
282,8/2004,12.60105734516129,12.890322580645158,31
283,9/2004,15.831293399999998,16.333333333333332,30
284,10/2004,15.52374619354839,15.516129032258066,31
285,11/2004,17.10266186666667,17.11,30
286,12/2004,17.799307806451612,17.712903225806453,31
287,1/2005,19.11152429032258,19.348387096774196,31
288,2/2005,18.087329357142856,18.217857142857138,28
289,3/2005,18.660098870967747,19.08387096774194,31
290,4/2005,18.366636200000006,18.72666666666667,30
291,5/2005,15.483145387096775,15.66774193548387,31
292,6/2005,14.652658883333332,14.786666666666664,30
293,7/2005,12.977483548387097,13.006451612903223,31
294,8/2005,14.28194201612903,14.658064516129027,31
295,9/2005,14.530656783333335,14.479999999999995,30
296,10/2005,17.367017290322583,17.38064516129032,31
297,11/2005,16.893866833333334,16.836666666666662,30
298,12/2005,17.290935903225805,17.183870967741942,31
299,1/2006,19.49764238709677,19.806451612903228,31
300,2/2006,20.21520621428572,20.185714285714283,28
301,3/2006,19.316273645161292,19.241935483870964,31
302,4/2006,16.740725766666667,16.97333333333333,30
303,5/2006,13.29420401612903,13.448387096774187,31
304,6/2006,13.143483600000003,13.373333333333337,30
305,7/2006,13.130105225806453,13.274193548387093,31
306,8/2006,13.80345859032258,14.125806451612899,31
307,9/2006,14.087277406666667,14.249999999999998,30
308,10/2006,16.276941548387093,16.625806451612902,31
309,11/2006,17.059256466666664,17.173333333333336,30
310,12/2006,19.00624822580645,19.312903225806455,31
311,1/2007,19.492038967741934,19.76451612903226,31
312,2/2007,19.385776464285716,19.378571428571426,28
313,3/2007,19.268147548387095,19.81612903225807,31
314,4/2007,18.231163833333337,18.50666666666667,30
315,5/2007,14.035828387096776,13.99354838709677,31
316,6/2007,13.654194276666667,14.019999999999998,30
317,7/2007,12.176447506451614,12.309677419354834,31
318,8/2007,13.343392854838713,13.75806451612903,31
319,9/2007,15.140210633333337,15.56333333333333,30
320,10/2007,16.660700774193547,16.98387096774193,31
321,11/2007,16.6942136,16.726666666666667,30
322,12/2007,18.486914225806455,18.677419354838708,31
323,1/2008,18.17182506451613,18.44516129032258,31
324,2/2008,18.800560862068966,19.003448275862073,29
325,3/2008,18.444691629032256,18.625806451612902,31
326,4/2008,17.346695899999997,17.513333333333332,30
327,5/2008,13.795700322580648,13.929032258064517,31
328,6/2008,13.201724150000006,13.253333333333332,30
329,7/2008,12.281709967741937,12.551612903225807,31
330,8/2008,14.240253112903225,14.577419354838709,31
331,9/2008,13.77450126666667,13.99333333333333,30
332,10/2008,16.981063612903224,16.80322580645161,31
333,11/2008,17.290612416666665,17.16,30
334,12/2008,17.47481420967742,17.161290322580644,31
335,1/2009,19.28512541935483,18.861290322580643,31
336,2/2009,19.83355610714285,19.928571428571427,28
337,3/2009,19.423671232142855,19.989285714285717,28
338,4/2009,16.53443311111111,16.870370370370367,27
339,5/2009,15.456574788461543,15.54230769230769,26
340,6/2009,12.219505814999998,11.66,20
341,7/2009,13.991401645833333,13.358333333333333,24
342,8/2009,13.731673887096772,13.751612903225805,31
343,9/2009,16.14198625,16.14333333333333,30
344,10/2009,16.477993112903228,16.46774193548387,31
345,11/2009,20.18158553333334,20.313333333333333,30
346,12/2009,19.061122193548393,19.209677419354836,31
347,1/2010,19.857141967741935,19.84838709677419,31
348,2/2010,20.14999657142857,20.592857142857138,28
349,3/2010,19.157982806451614,19.416129032258063,31
350,4/2010,16.93180346666667,17.02,30
351,5/2010,14.715579177419354,14.832258064516127,31
352,6/2010,12.545401516666667,12.726666666666665,30
353,7/2010,13.778557951612905,14.164516129032258,31
354,8/2010,12.535171777419352,12.816129032258063,31
355,9/2010,15.390313366666668,15.52,30
356,10/2010,14.882575338709675,14.909677419354841,31
357,11/2010,16.673539849999994,16.973333333333333,30
358,12/2010,19.282461322580648,19.299999999999997,31
359,1/2011,20.089360225806452,20.38387096774193,31
360,2/2011,20.08923125,20.325000000000006,28
361,3/2011,18.773285866666665,18.893333333333327,30
362,4/2011,17.4667893,18.05666666666667,30
363,5/2011,14.028261612903224,14.283870967741937,31
364,6/2011,11.56028126,11.50333333333333,30
365,7/2011,13.049291012903225,13.090322580645159,31
366,8/2011,13.640380999999998,13.75806451612903,31
367,9/2011,13.30117683333333,13.559999999999999,30
368,10/2011,16.33942127419355,16.432258064516123,31
369,11/2011,15.87614053333333,15.809999999999999,30
370,12/2011,18.152335032258065,18.254838709677415,31
371,1/2012,17.806910129032257,17.919354838709676,31
372,2/2012,20.092281379310347,20.131034482758622,29
373,3/2012,18.21600929032258,18.225806451612904,31
374,4/2012,17.654514333333335,17.869999999999997,30
375,5/2012,14.664996967741935,14.593548387096773,31
376,6/2012,14.693670849999997,14.403333333333329,30
377,7/2012,13.460253822580645,13.341935483870968,31
378,8/2012,14.028859709677416,14.258064516129032,31
379,9/2012,15.222183033333335,15.446666666666667,30
380,10/2012,17.30496264516129,17.49032258064516,31
381,11/2012,17.156295933333336,17.173333333333332,30
382,12/2012,20.585106935483868,20.7483870967742,31
383,1/2013,18.800956193548387,18.900000000000002,31
384,2/2013,19.241263142857143,19.15,28
385,3/2013,18.523218290322582,18.68387096774193,31
386,4/2013,14.433935916666666,16.4,30
387,5/2013,14.373725838709676,15.061290322580644,31
388,6/2013,15.013141950000003,15.030000000000001,30
389,7/2013,12.435712270967743,12.04516129032258,31
390,8/2013,12.768209177419356,12.67741935483871,31
391,9/2013,14.735808833333332,14.739999999999998,30
392,10/2013,16.125787161290326,16.012903225806454,31
393,11/2013,17.422198833333333,17.619999999999997,30
394,12/2013,19.34963512903226,19.425806451612903,31
395,1/2014,20.04002506451613,19.66129032258064,31
396,2/2014,20.43406532142857,21.142857142857142,28
397,3/2014,19.310135419354836,19.4741935483871,31
398,4/2014,17.407785333333326,17.613333333333333,30
399,5/2014,15.014297370967741,14.912903225806453,31
400,6/2014,14.690300066666667,14.533333333333333,30
401,7/2014,13.208967403225808,13.399999999999999,31
402,8/2014,13.534512822580645,13.293548387096779,31
403,9/2014,15.883809416666661,15.750000000000002,30
404,10/2014,16.530223177419348,16.64838709677419,31
405,11/2014,17.63737061666667,17.85666666666667,30
406,12/2014,19.039151451612906,19.241935483870964,31
407,1/2015,20.462174483870974,21.14838709677419,31
408,2/2015,19.679257892857144,19.935714285714283,28
409,3/2015,18.72665690322581,19.012903225806454,31
410,4/2015,17.444424566666665,17.783333333333335,30
411,5/2015,15.548422854838712,15.61290322580645,31
412,6/2015,14.252418166666665,14.073333333333332,30
413,7/2015,14.165947,14.20967741935484,31
414,8/2015,14.656110112903226,14.88709677419355,31
415,9/2015,16.75616396666667,16.619999999999997,30
416,10/2015,17.857623677419358,17.819354838709682,31
417,11/2015,18.903286200000004,18.85000000000001,30
418,12/2015,19.827987612903225,19.74193548387097,31
419,1/2016,19.446346096774196,19.161290322580644,31
420,2/2016,20.734188448275862,20.555172413793105,29
421,3/2016,19.564428967741936,19.200000000000006,31
422,4/2016,19.138781666666663,18.966666666666665,30
423,5/2016,14.665398774193546,14.283870967741937,31
424,6/2016,11.564923373333334,11.240000000000002,30
425,7/2016,12.842719138709674,12.554838709677423,31
426,8/2016,13.4828985,13.035483870967742,31
427,9/2016,14.480863948275863,14.272413793103448,29
428,10/2016,16.646988838709678,16.174193548387095,31
429,11/2016,16.927957966666664,16.400000000000002,30
430,12/2016,18.884569177419362,18.432258064516127,31
431,1/2017,19.887979322580648,19.09354838709678,31
432,2/2017,20.069389071428567,19.614285714285717,28
433,3/2017,18.477454967741934,17.764516129032252,31
434,4/2017,17.130577549999998,17.036666666666665,30
435,5/2017,15.84021383870968,15.609677419354837,31
436,6/2017,14.282933733333333,14.163333333333332,30
437,7/2017,12.548701106451611,12.306451612903224,31
438,8/2017,13.732348225806456,13.683870967741935,31
439,9/2017,15.989967649999999,16.27,30
440,10/2017,17.896317548387092,17.387096774193548,31
441,11/2017,17.054955533333338,16.603333333333335,30
442,12/2017,19.389345,19.39354838709678,31
