,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.6035408,22.730000000000008,30
1,2/1980,22.3734655925926,22.72962962962963,27
2,3/1980,22.496071680000004,22.272,25
3,4/1980,22.45571057142857,22.51071428571429,28
4,5/1980,22.48212755172414,22.044827586206896,29
5,6/1980,22.15579011111111,21.462962962962962,27
6,7/1980,21.343304633333336,20.526666666666664,30
7,8/1980,21.52178458620689,19.389655172413793,29
8,9/1980,21.79089124,21.86,25
9,10/1980,21.690093615384612,22.78076923076923,26
10,11/1980,22.329114296296297,23.02592592592593,27
11,12/1980,22.26751346153846,22.66923076923077,26
12,1/1981,22.416125519999994,22.568,25
13,2/1981,22.37133868181818,22.39545454545455,22
14,3/1981,22.602227233333338,22.74,30
15,4/1981,21.684988965517245,22.017241379310345,29
16,5/1981,22.086831066666665,21.959999999999994,30
17,6/1981,19.75739195454545,19.30909090909091,22
18,7/1981,18.98125185,18.259999999999998,20
19,10/1981,23.425894333333332,24.666666666666668,3
20,11/1981,23.401682119999997,23.964000000000002,25
21,12/1981,23.535913720000003,23.476000000000003,25
22,1/1982,22.93242381481481,23.30740740740741,27
23,2/1982,22.205222043478262,22.35217391304348,23
24,3/1982,22.52512925,22.72857142857143,28
25,4/1982,22.601279444444437,22.52592592592593,27
26,5/1982,21.574988925925922,21.403703703703698,27
27,6/1982,20.56440408333333,20.700000000000003,24
28,7/1982,20.619727904761902,20.54285714285714,21
29,8/1982,20.450008818181818,20.254545454545454,22
30,9/1982,22.005028692307697,22.16923076923077,26
31,10/1982,22.24211679166667,22.533333333333335,24
32,11/1982,22.692296045454547,22.527272727272727,22
33,12/1982,23.17203562962963,23.270370370370372,27
34,1/1983,22.445734548387094,23.390322580645165,31
35,2/1983,22.368402821428568,22.72142857142857,28
36,3/1983,22.437333419354832,22.941935483870957,31
37,4/1983,22.385962700000007,22.94333333333334,30
38,5/1983,22.344910258064516,22.745161290322585,31
39,6/1983,21.827903833333334,21.01,30
40,7/1983,21.597538225806453,19.87741935483871,31
41,8/1983,21.471524516129033,21.229032258064525,31
42,9/1983,21.5602067,22.046666666666667,30
43,10/1983,21.855087774193542,22.661290322580644,31
44,11/1983,22.011601566666673,23.350000000000005,30
45,12/1983,22.51691016129032,23.438709677419357,31
46,1/1984,22.40394693548387,22.583870967741937,31
47,2/1984,22.11303017241379,22.003448275862066,29
48,3/1984,22.400247387096776,22.354838709677423,31
49,4/1984,23.163850033333336,22.62666666666667,30
50,5/1984,22.999007161290322,22.129032258064512,31
51,6/1984,22.39996753333333,20.65333333333333,30
52,7/1984,22.074648870967746,19.87741935483871,31
53,8/1984,21.92299235483871,20.49677419354839,31
54,9/1984,22.043606899999997,21.6,30
55,10/1984,22.075794870967748,21.99677419354839,31
56,11/1984,21.984216533333324,22.776666666666674,30
57,12/1984,22.122494193548384,22.95483870967742,31
58,1/1990,22.56230222580645,22.03870967741935,31
59,2/1990,22.939549,21.933333333333334,3
60,2/1993,22.611741821428573,22.428571428571423,28
61,4/1993,22.801809433333336,22.403333333333332,30
62,6/1993,21.67570676666667,21.076666666666664,30
63,7/1993,20.853320838709678,20.364516129032257,31
64,8/1993,21.881554199999997,21.999999999999996,30
65,9/1993,22.185560000000002,21.95666666666667,30
66,10/1993,22.888444354838704,23.096774193548388,31
67,11/1993,23.600351100000005,23.51,30
68,12/1993,23.34698216129032,23.2483870967742,31
69,1/1994,22.380492967741933,22.05806451612904,31
70,2/1994,22.349804000000002,22.28571428571428,28
71,3/1994,22.314313,22.270967741935486,31
72,4/1994,22.560585033333332,22.376666666666672,30
73,6/1994,21.505601266666662,21.62,30
74,9/1994,22.019445566666665,21.313333333333333,30
75,12/1994,22.634349322580647,22.48064516129033,31
76,1/1995,22.3042674516129,21.70967741935484,31
77,2/1995,22.364755892857143,22.09285714285715,28
78,3/1995,22.66884229032258,22.729032258064514,31
79,4/1995,22.676586700000005,22.91333333333334,30
80,5/1995,22.865617387096776,23.241935483870964,31
81,6/1995,21.43085828571429,21.592857142857145,28
82,7/1995,22.043024499999998,22.975,4
83,9/1995,17.656872,10.4,1
84,10/1995,23.030424923076925,23.1,13
85,11/1995,23.308564199999992,23.323333333333338,30
86,12/1995,23.21061148387097,23.135483870967736,31
87,1/1996,22.49651483870968,22.28709677419355,31
88,2/1996,22.91351725,22.642857142857135,28
89,3/1996,22.51200193548387,22.919354838709666,31
90,4/1996,22.793389466666664,23.023333333333326,30
91,5/1996,22.35939558064516,22.538709677419355,31
92,6/1996,20.992860899999997,20.713333333333328,30
93,7/1996,20.379538838709678,19.954838709677418,31
94,8/1996,21.15039348387097,21.16774193548387,31
95,9/1996,22.28548903333334,21.553333333333338,30
96,10/1996,23.057721935483872,23.016129032258064,31
97,11/1996,23.588978200000003,23.290000000000003,30
98,12/1996,23.4220665483871,23.196774193548386,31
99,1/1997,23.071348642857142,22.42142857142857,14
100,2/1997,22.582208750000003,22.457142857142863,28
101,3/1997,22.701669290322577,22.8225806451613,31
102,4/1997,22.56459083333333,23.04666666666667,30
103,5/1997,21.83569574193549,22.05806451612903,31
104,6/1997,20.18748006666667,19.893333333333334,30
105,7/1997,19.601226354838715,18.964516129032255,31
106,8/1997,20.723340290322582,19.764516129032256,31
107,9/1997,22.516384399999996,21.46,30
108,10/1997,23.219746999999998,22.580645161290324,31
109,11/1997,23.62646356666666,22.990000000000006,30
110,12/1997,23.558029870967744,22.806451612903228,31
111,1/1998,23.029803870967744,22.477419354838712,31
112,2/1998,23.099856035714286,23.360714285714284,28
113,3/1998,22.941675774193545,23.164516129032254,31
114,4/1998,23.67935436666666,23.486666666666665,30
115,5/1998,23.53034880645161,23.535483870967745,31
116,6/1998,22.21105366666667,21.776666666666674,30
117,7/1998,22.088499838709684,21.81612903225807,31
118,8/1998,22.08296996774194,21.86129032258065,31
119,9/1998,22.777777333333333,22.93,30
120,10/1998,23.402675387096778,23.729032258064514,31
121,11/1998,23.95387923333334,24.60333333333334,30
122,12/1998,23.342892451612908,23.541935483870972,31
123,1/1999,23.063987645161294,23.370967741935488,31
124,2/1999,22.94322945833333,23.066666666666666,24
125,8/1999,20.848855967741933,20.570967741935487,31
