,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,30.863694964285713,30.707142857142856,28
1,2/1980,30.137464807692307,29.638461538461538,26
2,3/1980,30.168405096774183,29.922580645161297,31
3,4/1980,30.742359766666667,31.33333333333333,30
4,5/1980,30.61889712903226,31.6,31
5,6/1980,30.359328366666666,30.306666666666665,30
6,7/1980,30.282222133333335,30.253333333333334,30
7,8/1980,30.587928548387094,30.76451612903226,31
8,9/1980,30.680696241379316,30.39999999999999,29
9,10/1980,30.933668799999996,30.880000000000003,30
10,11/1980,31.100679333333336,30.673333333333336,30
11,12/1980,30.995816633333334,30.819999999999993,30
12,1/1981,30.790529137931028,30.503448275862066,29
13,2/1981,30.983629,30.619047619047613,21
14,3/1981,30.25840310526316,29.78947368421053,19
15,4/1981,31.077952730769233,30.715384615384615,26
16,5/1981,30.612516600000003,30.14,30
17,6/1981,30.639492629629625,30.46666666666667,27
18,7/1981,30.67426467741935,31.054838709677412,31
19,8/1981,30.621277222222222,30.63333333333333,27
20,9/1981,30.988314136363627,30.954545454545453,22
21,10/1981,31.19187477777778,31.088888888888885,18
22,11/1981,31.47269303571429,30.957142857142856,28
23,12/1981,31.24168588888889,30.76296296296296,27
24,1/1982,31.156174785714285,30.88214285714286,28
25,2/1982,30.69496400000001,30.404,25
26,3/1982,30.435114962962963,30.28148148148148,27
27,4/1982,30.16456696,30.043999999999997,25
28,5/1982,30.123298839999997,29.984000000000005,25
29,6/1982,29.71985262499999,29.424999999999997,24
30,7/1982,29.959511000000006,29.55172413793104,29
31,8/1982,30.4186654,30.266666666666666,30
32,9/1982,30.568941892857147,30.349999999999998,28
33,10/1982,30.58135025925926,30.35925925925926,27
34,11/1982,31.108081166666675,31.02083333333334,24
35,12/1982,31.38706032,31.352000000000007,25
36,1/1983,31.251388548387098,31.43870967741935,31
37,2/1983,30.775738821428572,30.957142857142856,28
38,3/1983,30.257849322580643,30.287096774193543,31
39,4/1983,30.619483299999995,30.823333333333334,30
40,5/1983,30.79329077419355,30.622580645161282,31
41,6/1983,30.424526200000003,29.949999999999996,30
42,7/1983,30.44063277419354,29.651612903225804,31
43,8/1983,30.6076204516129,30.277419354838713,31
44,9/1983,30.934510666666664,30.796666666666667,30
45,10/1983,30.906402354838715,30.69354838709678,31
46,11/1983,31.17547616666667,31.056666666666672,30
47,12/1983,31.042089999999984,31.209677419354847,31
48,1/1984,31.13572650000001,30.794999999999998,20
49,2/1984,30.684087310344832,30.31379310344828,29
50,3/1984,29.525687193548386,29.403225806451612,31
51,4/1984,29.244989700000005,29.683333333333334,30
52,5/1984,29.229668612903225,29.38064516129032,31
53,6/1984,29.602104066666673,29.470000000000002,30
54,7/1984,29.773640548387093,29.180645161290325,31
55,8/1984,30.197843935483874,29.45806451612904,31
56,9/1984,30.462986199999996,30.206666666666667,30
57,10/1984,30.71311793548387,30.503225806451617,31
58,11/1984,31.023594233333338,31.14,30
59,12/1984,31.41644906451613,31.538709677419355,31
60,1/1985,30.21739767741936,30.170967741935485,31
61,2/1985,28.999400571428573,28.88214285714286,28
62,3/1985,29.102466290322578,28.906451612903226,31
63,4/1985,28.983563433333334,28.813333333333336,30
64,5/1985,29.52924696774194,29.20322580645162,31
65,6/1985,29.795543933333324,29.36,30
66,7/1985,29.74395535483871,29.167741935483875,31
