,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,27.890880967741936,28.48387096774194,31
1,2/1980,27.899902758620694,27.955172413793104,29
2,3/1980,31.279070903225808,31.316129032258072,31
3,4/1980,29.893227766666666,29.493333333333332,30
4,5/1980,29.81052260714286,29.52857142857142,28
5,6/1980,28.612670666666663,28.79,30
6,7/1980,30.12574370967742,30.277419354838706,31
7,8/1980,31.869570870967742,31.87096774193548,31
8,9/1980,31.252810266666668,31.650000000000002,30
9,10/1980,33.17631219354839,33.29354838709676,31
10,11/1980,29.707669066666668,29.823333333333338,30
11,12/1980,28.350205548387095,27.758064516129025,31
12,11/1981,28.73863855172414,28.66896551724138,29
13,12/1981,30.1296913,30.253333333333327,30
14,1/1982,27.814159193548385,28.01935483870968,31
15,2/1982,30.70511192857143,30.474999999999998,28
16,3/1982,29.49924993548387,30.10967741935484,31
17,4/1982,29.601629966666664,29.446666666666662,30
18,5/1982,28.611357483870968,28.78387096774194,31
19,6/1982,29.605579866666666,29.913333333333338,30
20,7/1982,28.987168903225815,29.341935483870973,31
21,8/1982,30.125987967741935,30.470967741935485,31
22,9/1982,30.664702633333327,31.183333333333337,30
23,10/1982,30.42672551612904,30.661290322580644,31
24,11/1982,31.42018123333333,31.766666666666666,30
25,12/1982,28.585336032258066,28.70645161290323,31
26,1/1983,28.6675737,28.630000000000003,30
27,2/1983,30.256635142857142,30.192857142857143,28
28,3/1983,29.83700780645162,29.60645161290322,31
29,4/1983,30.071402366666664,30.48000000000001,30
30,5/1983,30.083783290322575,30.012903225806454,31
31,6/1983,29.75284826666667,30.03333333333334,30
32,7/1983,29.923891225806447,30.390322580645158,31
33,8/1983,31.2415854516129,31.677419354838705,31
34,9/1983,31.214675400000008,31.72333333333334,30
35,10/1983,29.462815709677415,29.554838709677412,31
36,11/1983,28.776959533333333,28.959999999999994,30
37,12/1983,28.162759612903226,27.98387096774193,31
38,1/1984,30.474933677419365,30.758064516129032,31
39,2/1984,30.760284758620696,31.717241379310348,29
40,3/1984,30.41375816129032,31.032258064516128,31
41,4/1984,30.011664700000004,30.219999999999995,30
42,5/1984,30.5399565483871,31.025806451612908,31
43,6/1984,29.866284800000006,30.15,30
44,7/1984,30.38413635483871,30.52258064516129,31
45,8/1984,29.784049580645167,30.56129032258065,31
46,9/1984,30.153292299999993,30.48666666666667,30
47,10/1984,32.097677000000004,32.332258064516125,31
48,11/1984,31.65465546666666,31.130000000000003,30
49,12/1984,29.82139916129032,29.72903225806452,31
50,1/1985,27.25379883870968,26.800000000000004,31
51,2/1985,30.96771807142857,30.796428571428567,28
52,3/1985,30.024910903225805,30.161290322580644,31
53,4/1985,30.079434233333334,30.159999999999993,30
54,5/1985,30.7001085483871,30.693548387096772,31
55,6/1985,28.228613366666664,28.66,30
56,7/1985,29.197664322580643,28.922580645161286,31
57,8/1985,32.324440064516125,32.196774193548386,31
58,9/1985,32.62413346666667,33.15,30
59,10/1985,30.381062903225807,30.658064516129027,31
60,11/1985,30.477376399999994,30.010000000000005,30
61,12/1985,30.260993096774193,30.374193548387094,31
62,1/1986,29.69553473333333,29.790000000000003,30
63,2/1986,30.04104803571428,30.353571428571428,28
64,3/1986,30.485765999999998,30.89354838709677,31
65,4/1986,31.20908096666667,31.386666666666663,30
66,5/1986,30.066565870967747,30.2516129032258,31
67,6/1986,29.639574500000002,29.44,30
68,7/1986,29.183039322580644,29.448387096774194,31
69,8/1986,31.02614803225807,31.412903225806442,31
70,9/1986,31.70775953333333,31.44333333333333,30
71,10/1986,31.573889129032256,31.770967741935483,31
72,11/1986,30.662019700000005,31.283333333333328,30
73,12/1986,28.705867225806454,29.032258064516117,31
74,1/1987,30.36738993548387,30.916129032258066,31
75,2/1987,29.70920057142857,30.282142857142862,28
76,3/1987,29.698270354838705,30.06774193548388,31
77,4/1987,30.58443746666666,30.860000000000007,30
78,5/1987,30.27577541935484,30.50967741935484,31
79,6/1987,29.237858600000006,29.743333333333332,30
80,7/1987,30.830337516129028,31.274193548387096,31
81,8/1987,31.96694567741935,32.900000000000006,31
82,9/1987,32.91449076666667,33.74666666666666,30
83,10/1987,32.70910825806452,33.19354838709677,31
84,11/1987,30.210944199999993,30.549999999999997,30
