,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,31.216919555555553,30.62592592592592,27
1,2/1980,29.453637260869566,29.25217391304348,23
2,3/1980,29.397278034482756,28.63103448275862,29
3,4/1980,29.852526,28.940000000000005,5
4,6/1980,27.805697666666674,27.460000000000004,15
5,7/1980,27.168050032258066,27.106451612903232,31
6,8/1980,27.175213066666664,27.39,30
7,9/1980,28.03164880000001,28.55,30
8,10/1980,28.365748600000003,28.52333333333333,30
9,11/1980,29.382310321428577,29.78571428571428,28
10,12/1980,29.826968,30.32903225806451,31
11,7/1986,27.037048250000005,26.99375,16
12,8/1986,27.64895081481482,27.67407407407408,27
13,3/1987,28.639003999999996,30.6,1
14,4/1987,30.272923285714285,30.335714285714285,14
15,5/1987,30.30224737037036,30.551851851851854,27
16,6/1987,28.67460126666667,28.576666666666664,30
17,7/1987,27.976137161290325,27.635483870967743,31
18,8/1987,28.10436629032258,28.27741935483871,31
19,9/1987,28.915014600000006,29.303333333333324,30
20,10/1987,29.89403122580645,30.474193548387095,31
21,11/1987,31.30908913333333,31.95333333333333,30
22,1/1988,31.72937470967741,32.2483870967742,31
23,2/1988,31.44662579310345,31.986206896551725,29
24,3/1988,31.7132935483871,31.964516129032265,31
25,4/1988,29.87475696666667,29.973333333333333,30
26,5/1988,29.825987064516124,29.674193548387098,31
27,6/1988,28.464545900000005,28.376666666666658,30
28,8/1988,26.7825484516129,26.803225806451614,31
29,9/1988,27.805658166666667,27.669999999999995,30
30,11/1988,29.668180733333337,30.01,30
31,12/1988,30.17511816129032,30.27096774193548,31
32,1/1989,30.018994258064517,30.477419354838712,31
33,2/1989,31.595188642857146,32.64999999999999,28
34,3/1989,31.326896903225816,31.67741935483871,31
35,1/1993,30.931910935483867,31.148387096774194,31
36,2/1993,31.209920285714286,32.08571428571428,28
37,3/1993,31.958313741935484,32.432258064516134,31
38,4/1993,31.21734706666667,31.673333333333336,30
39,5/1993,29.136591322580653,29.012903225806447,31
40,11/1993,29.473608233333334,29.563333333333333,30
41,12/1993,30.674222096774194,31.2,31
42,1/1994,30.86664203225807,31.590322580645164,31
43,2/1994,30.621543999999997,31.464285714285715,28
44,3/1994,30.806367612903223,31.43548387096774,31
45,4/1994,30.31352223333333,30.503333333333334,30
46,6/1994,28.48549451851852,28.570370370370366,27
47,7/1994,27.741720161290324,27.883870967741935,31
48,8/1994,27.3948024516129,27.393548387096775,31
49,9/1994,27.90040699999999,27.70333333333333,30
50,10/1994,29.43847932258064,29.46129032258065,31
51,11/1994,29.62930966666666,29.866666666666674,30
52,12/1994,30.074975096774196,30.374193548387098,31
53,1/1995,29.84566151612903,30.961290322580645,31
54,2/1995,30.61889932142858,31.775,28
55,3/1995,31.344759258064514,32.190322580645166,31
56,4/1995,31.9647195,32.85,2
57,5/1995,28.367778777777783,28.86666666666666,9
58,6/1995,27.80750986666666,28.16333333333333,30
59,7/1995,27.118245258064515,27.129032258064516,31
60,8/1995,27.45834948387097,27.39677419354838,31
61,9/1995,27.674977533333333,27.693333333333328,30
62,10/1995,29.655276967741937,30.012903225806447,31
63,11/1995,29.438633733333333,29.56666666666667,30
64,12/1995,31.794677290322586,32.68709677419355,31
65,1/1996,30.983258451612894,31.732258064516124,31
66,2/1996,32.09411089285714,32.33214285714286,28
67,3/1996,31.307223580645164,32.0741935483871,31
68,4/1996,29.2648103,30.16666666666667,30
69,5/1996,29.225782166666665,29.95333333333333,30
70,6/1996,27.962410999999996,28.179999999999996,30
71,7/1996,26.741322709677426,27.374193548387094,31
72,8/1996,27.25260222580645,26.99354838709677,31
73,9/1996,27.9061286,28.066666666666663,30
74,10/1996,29.522258548387093,29.45483870967742,31
75,11/1996,29.818773200000006,30.193333333333335,30
76,12/1996,30.46895135483871,31.29677419354839,31
77,1/1997,30.60219777419355,30.887096774193548,31
78,2/1997,29.612433392857138,30.08571428571429,28
79,3/1997,30.057197870967737,30.306451612903235,31
