,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,31.895287857142858,31.776190476190486,21
1,2/1980,31.516380157894744,31.563157894736843,19
2,3/1980,30.90273442857143,31.00476190476191,21
3,7/1980,29.068465999999997,27.3,1
4,8/1980,34.57601,31.8,1
5,9/1980,32.977877875,34.025000000000006,8
6,10/1980,32.28787358823529,33.17058823529411,17
7,11/1980,32.30649063157894,32.8421052631579,19
8,12/1980,31.532671687500006,32.19375,16
9,1/1981,30.914561294117647,31.28823529411764,17
10,2/1981,31.02325435294118,31.50588235294118,17
11,3/1981,31.772719157894734,31.72105263157895,19
12,4/1981,32.244181999999995,32.28666666666666,15
13,5/1981,31.763034100000006,31.815000000000005,20
14,6/1981,30.29432380952381,30.223809523809525,21
15,7/1981,29.433457062499997,29.7,16
16,8/1981,32.284824,32.981249999999996,16
17,9/1981,31.501060857142857,31.828571428571433,14
18,10/1981,32.90211386956522,33.81304347826088,23
19,11/1981,32.450906571428575,32.32857142857143,7
20,12/1981,31.808425444444442,31.588888888888885,9
21,1/1982,31.26881403333333,30.986666666666665,30
22,2/1982,30.82462354166667,31.04166666666667,24
23,3/1982,31.750868499999992,31.44615384615384,26
24,4/1982,31.34824868181818,31.70909090909091,22
25,5/1982,31.10689304166667,30.97083333333333,24
26,6/1982,30.456474157894736,30.815789473684216,19
27,7/1982,32.38515253846154,32.85384615384615,26
28,8/1982,32.494523107142854,33.464285714285715,28
29,9/1982,32.92646231818182,33.04545454545454,22
30,10/1982,32.867428000000004,33.20952380952381,21
31,11/1982,31.866821130434786,31.84347826086956,23
32,12/1982,31.267178190476198,30.91428571428572,21
33,1/1983,32.465845903225805,32.41935483870967,31
34,2/1983,32.48160971428571,32.72857142857142,28
35,3/1983,32.342719064516125,32.038709677419355,31
36,4/1983,32.13843343333333,32.37333333333333,30
37,5/1983,32.15330225806452,32.0516129032258,31
38,6/1983,28.547208333333334,27.81333333333333,30
39,7/1983,31.20324229032258,30.92258064516129,31
