,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,29.68884711111111,28.93333333333333,9
1,2/1980,31.29990375,31.275000000000002,8
2,3/1980,31.703201846153846,31.38461538461539,13
3,4/1980,28.184889785714287,28.12857142857143,14
4,5/1980,27.342253875,27.77083333333333,24
5,6/1980,26.425602500000004,26.69090909090909,22
6,7/1980,26.31140538095239,26.952380952380953,21
7,8/1980,26.052334666666663,26.46666666666667,24
8,9/1980,25.995878000000005,25.735714285714288,14
9,10/1980,29.645717833333336,29.04166666666666,12
10,11/1980,28.33594994117647,27.670588235294115,17
11,12/1980,28.788943333333332,28.78888888888889,9
12,1/1981,29.847608400000006,29.273333333333337,15
13,2/1981,30.759201434782607,30.69565217391304,23
14,3/1981,29.32634457894737,29.226315789473688,19
15,4/1981,27.940018388888888,27.950000000000003,18
16,5/1981,26.273717250000004,26.325000000000006,28
17,6/1981,24.96664045454546,25.154545454545453,11
18,7/1981,27.2692154,27.3,5
19,8/1981,24.920120499999996,25.0,4
20,9/1981,27.90093092307692,28.738461538461532,13
21,10/1981,26.849903857142856,26.807142857142857,14
22,11/1981,28.805240166666664,28.900000000000002,12
23,12/1981,31.65492383333333,31.38333333333333,12
24,1/1982,28.5620923,27.790000000000003,10
25,2/1982,30.663972190476194,30.547619047619047,21
26,3/1982,28.23941085714286,27.67142857142857,7
27,4/1982,26.4155325,25.669999999999998,10
28,5/1982,25.07323076470588,25.211764705882352,17
29,6/1982,26.253115,26.563636363636363,11
30,7/1982,26.098551285714287,26.37142857142857,7
31,8/1982,26.476515818181817,26.763636363636365,11
32,9/1982,25.9728154,25.54,10
33,10/1982,28.382561999999997,27.016666666666662,12
34,11/1982,31.074463571428574,29.78571428571428,7
35,12/1982,31.096776000000002,29.566666666666666,3
36,1/1983,30.153790483870964,29.82580645161291,31
37,2/1983,30.90386282142858,30.692857142857143,28
38,3/1983,29.39923629032258,29.803225806451614,31
39,4/1983,27.50356586666666,27.383333333333336,30
40,5/1983,27.113142419354833,27.164516129032258,31
41,6/1983,24.144679899999996,24.463333333333335,30
42,7/1983,24.93161341935484,25.245161290322578,31
43,8/1983,23.885858709677418,24.364516129032257,31
44,9/1983,23.2416247,23.406666666666663,30
45,10/1983,25.538179774193548,25.200000000000006,31
46,11/1983,27.602062266666664,27.476666666666674,30
47,12/1983,28.61524419354838,28.32258064516129,31
48,1/1984,27.789248548387103,31.464516129032262,31
49,2/1984,28.511807896551723,30.475862068965515,29
50,3/1984,27.542824677419354,28.9,31
51,4/1984,26.81749613333333,26.973333333333336,30
52,5/1984,27.488963645161295,27.81935483870968,31
53,6/1984,27.26257933333333,27.160000000000004,30
54,7/1984,27.200812645161296,26.40322580645161,31
55,8/1984,26.08037751612903,24.3,31
56,9/1984,26.78971186666667,24.66,30
57,10/1984,27.352612580645168,27.151612903225807,31
58,11/1984,26.49260233333334,26.629999999999992,30
59,12/1984,26.610740741935484,27.587096774193544,31
60,1/1985,26.391233483870966,27.716129032258067,31
61,2/1985,27.312336607142857,30.953571428571426,28
62,3/1985,27.033391999999996,30.158064516129027,31
63,4/1985,27.351437066666676,29.54333333333333,30
64,5/1985,26.94313216129033,25.893548387096775,31
65,6/1985,27.64445423333334,24.736666666666665,30
66,7/1985,27.53448064516129,24.722580645161297,31
67,8/1985,27.186466483870976,26.661290322580637,31
68,9/1985,26.580687133333342,24.18666666666666,30
69,10/1985,26.80283719354839,25.958064516129028,31
70,11/1985,27.100093866666665,26.42666666666667,30
71,12/1985,27.00222825806452,27.729032258064517,31
72,1/1986,30.222089709677423,30.17096774193548,31
73,2/1986,30.50588692857143,31.099999999999994,28
74,3/1986,27.186345129032265,29.896774193548392,31
75,4/1986,29.150453000000002,29.06,30
76,5/1986,26.928900225806455,28.219354838709673,31
77,6/1986,26.080803766666666,25.93333333333333,30
78,7/1986,24.26432493548387,24.187096774193552,31
79,8/1986,25.923156612903224,25.577419354838703,31
80,9/1986,25.183548600000005,24.95333333333333,30
81,10/1986,26.057668354838718,26.148387096774197,31
82,11/1986,28.07697303333333,28.87333333333333,30
83,12/1986,28.4357265483871,29.07096774193548,31
84,1/1987,30.279922387096782,30.787096774193554,31
85,2/1987,30.04827025,30.389285714285705,28
86,3/1987,29.174947741935483,28.64838709677419,31
87,4/1987,29.084924966666662,29.063333333333336,30
88,5/1987,25.944417354838713,26.770967741935486,31
89,6/1987,24.541005133333336,24.959999999999997,30
90,7/1987,26.212877774193547,27.73225806451613,31
91,8/1987,24.839186290322576,25.71935483870968,31
92,9/1987,24.1362916,24.196666666666665,30
93,10/1987,25.738881096774197,26.0,31
94,11/1987,27.279958,27.943333333333328,30
95,12/1987,29.06634783870968,29.69677419354839,31
96,1/1988,31.996968580645163,32.751612903225805,31
97,2/1988,29.366491896551718,29.627586206896552,29
98,3/1988,29.26810980645162,29.912903225806453,31
99,4/1988,27.285850166666663,28.396666666666665,30
100,5/1988,25.979720066666662,26.316666666666666,30
101,6/1988,23.904331199999994,24.64999999999999,30
102,7/1988,23.58492916129032,23.82903225806451,31
103,8/1988,25.27289225806452,25.645161290322577,31
104,9/1988,24.99572713333333,25.893333333333334,30
105,10/1988,25.439610032258056,25.509677419354844,31
106,11/1988,26.446795266666673,26.616666666666664,30
107,12/1988,28.22549793548387,28.312903225806455,31
108,1/1989,28.769582967741936,29.754838709677415,31
109,2/1989,29.15939085185185,30.281481481481485,27
110,3/1989,30.267722,30.141935483870967,31
111,4/1989,28.599201482758623,29.362068965517242,29
112,5/1989,25.798011387096775,26.099999999999994,31
113,6/1989,24.719352433333338,25.089999999999993,30
114,7/1989,23.25609470967742,24.27741935483871,31
115,8/1989,25.16595561290323,25.49032258064517,31
116,9/1989,24.7386657,25.08333333333334,30
117,10/1989,25.77419145454546,24.15454545454545,22
118,11/1989,28.190725733333334,27.356666666666673,30
119,12/1989,28.01385758064517,28.096774193548384,31
120,1/1990,31.520848032258066,31.78387096774193,31
