,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,29.1843185483871,29.0,31
1,2/1980,28.864696724137932,28.951724137931034,29
2,3/1980,29.683772129032256,29.254838709677422,31
3,4/1980,29.2496819,28.936666666666667,30
4,5/1980,28.311149225806453,27.912903225806456,31
5,6/1980,27.053227333333325,26.636666666666667,30
6,7/1980,26.549057419354842,26.338709677419356,31
7,8/1980,26.718581566666668,26.319999999999997,30
8,9/1980,26.875084533333332,26.856666666666666,30
9,10/1980,27.90207106451613,27.745161290322585,31
10,11/1980,28.086034999999995,27.873333333333342,30
11,12/1980,29.530720096774193,29.483870967741936,31
12,1/1986,30.430906322580647,29.91612903225806,31
13,2/1986,31.28056682142857,30.953571428571433,28
14,3/1986,30.217004870967745,29.612903225806456,31
15,4/1986,29.850043933333335,29.050000000000004,30
16,5/1986,28.83974583870967,28.248387096774195,31
17,7/1986,26.202152838709683,25.970967741935485,31
18,8/1986,26.666790258064523,26.75483870967742,31
19,10/1986,27.664711064516126,27.119354838709675,31
20,12/1986,29.7911393,29.669999999999998,30
21,1/1987,30.352781645161294,30.4258064516129,31
22,2/1987,30.581285892857142,30.828571428571422,28
23,3/1987,30.033836903225808,30.296774193548384,31
24,4/1987,30.273015766666667,29.896666666666665,30
25,5/1987,29.35974858064516,28.977419354838705,31
26,6/1987,28.417013931034482,27.796551724137938,29
27,7/1987,27.667430032258064,27.05483870967742,31
28,8/1987,27.773054068965514,27.658620689655173,29
29,9/1987,28.506459533333334,27.85,30
30,10/1987,30.230174419354835,30.009677419354844,31
31,11/1987,29.7650878,29.54,30
32,12/1987,30.823682451612903,30.43225806451612,31
33,1/1988,31.18215435483871,30.70967741935484,31
34,3/1988,30.673026903225814,29.887096774193544,31
35,4/1988,30.535847633333333,29.643333333333334,30
36,5/1988,29.79705819354839,28.76774193548387,31
37,6/1988,27.925181466666665,27.336666666666662,30
38,8/1988,25.831748548387093,25.53870967741935,31
39,9/1988,27.460361655172417,27.110344827586204,29
40,10/1988,29.28741658064517,28.838709677419352,31
41,11/1988,29.301231600000005,28.889999999999997,30
42,12/1988,29.155196806451617,28.93870967741935,31
43,1/1989,30.266407064516127,29.82580645161291,31
44,3/1989,30.465423100000002,30.303333333333338,30
45,1/1990,29.997943516129027,29.951612903225804,31
46,2/1990,30.541264357142854,30.674999999999994,28
47,3/1990,30.631826806451613,30.32903225806451,31
48,4/1990,30.182781310344833,30.61724137931034,29
49,5/1990,28.999037258064508,28.732258064516124,31
50,6/1990,27.544194833333336,27.12333333333334,30
51,7/1990,26.90507006666667,26.549999999999997,30
52,1/1991,29.516899032258063,29.535483870967738,31
53,2/1991,29.979318607142854,30.41071428571428,28
54,3/1991,30.228801269230775,30.199999999999996,26
55,4/1991,28.217630933333336,29.48333333333333,30
56,5/1991,27.68860596774193,27.72903225806452,31
57,6/1991,27.133525689655166,26.341379310344827,29
58,7/1991,26.540407333333334,25.963333333333335,30
59,8/1991,25.880948677419354,25.583870967741937,31
60,9/1991,27.026035800000006,26.74666666666667,30
61,10/1991,28.600491322580645,28.754838709677426,31
62,11/1991,28.768138866666668,29.32333333333333,30
63,12/1991,29.739014258064522,30.16774193548387,31
64,1/1992,29.55445322580646,30.193548387096772,31
65,2/1992,28.373737793103444,28.36551724137931,29
66,3/1992,29.860647903225807,29.85806451612903,31
67,4/1992,29.584085899999998,29.433333333333337,30
68,5/1992,29.125404096774204,29.20967741935484,31
69,6/1992,27.14627096666666,27.14666666666667,30
70,7/1992,26.236030064516132,26.051612903225806,31
71,8/1992,26.434111612903227,26.403225806451612,31
72,9/1992,26.937806899999995,27.096666666666675,30
73,10/1992,28.52295187096774,29.209677419354843,31
74,11/1992,28.280973700000004,28.603333333333335,30
75,12/1992,28.762254064516124,29.151612903225804,31
76,1/1993,30.08682661290323,30.370967741935484,31
77,2/1993,30.996181,31.425000000000004,28
78,3/1993,31.166140387096778,31.49354838709677,31
79,4/1993,30.227297892857145,30.267857142857142,28
80,5/1993,28.150064806451613,27.80322580645161,31
81,6/1993,27.039056500000004,26.77333333333333,30
82,7/1993,27.329017483870963,27.106451612903236,31
83,8/1993,26.611680645161293,26.30322580645161,31
84,9/1993,27.605944366666662,27.746666666666663,30
85,10/1993,28.344175258064514,28.203225806451616,31
86,11/1993,29.669801933333336,29.729999999999997,30
87,12/1993,30.806838322580646,30.93548387096774,31
88,1/1994,31.58817025806452,31.683870967741925,31
89,2/1994,31.140497571428565,30.61071428571429,28
90,3/1994,30.771343580645162,30.416129032258063,31
91,4/1994,29.4086261,29.040000000000006,30
92,5/1994,28.829309032258067,28.409677419354836,31
93,6/1994,27.46912473333334,27.053333333333338,30
94,7/1994,26.905534866666667,26.669999999999998,30
