,Data,TempMaxPrevista,TempMaxINMET,NumDias
0,1/1980,32.309572900000006,32.03000000000001,30
1,2/1980,30.707682925925926,30.511111111111113,27
2,3/1980,32.515968040000004,31.752,25
3,4/1980,33.14288439285714,32.66428571428572,28
4,5/1980,33.76844275862068,33.175862068965536,29
5,6/1980,34.14015322222221,33.67407407407408,27
6,7/1980,34.84020833333334,34.736666666666665,30
7,8/1980,35.18707020689656,36.08275862068966,29
8,9/1980,34.79500872000001,36.647999999999996,25
9,10/1980,35.005240769230774,37.465384615384615,26
10,11/1980,33.73103351851852,34.92592592592593,27
11,12/1980,32.89754384615385,33.753846153846155,26
12,1/1981,31.89501207407407,31.95555555555555,27
13,2/1981,32.798709318181814,33.14545454545454,22
14,3/1981,32.514021199999995,32.54666666666667,30
15,4/1981,33.31451437931034,32.972413793103456,29
16,5/1981,33.21753173333333,33.160000000000004,30
17,6/1981,34.15476095454545,34.57272727272727,22
18,7/1981,34.8476899090909,34.89090909090909,22
19,8/1981,35.64685864285715,35.65357142857143,28
20,9/1981,36.5294154074074,37.71851851851851,27
21,10/1981,36.68185238461538,37.96538461538461,26
22,11/1981,36.80319863999999,37.03999999999999,25
23,12/1981,35.0286456,35.36000000000001,25
24,1/1982,32.30455011111111,31.84444444444445,27
25,2/1982,31.05317926086956,30.865217391304355,23
26,3/1982,32.26686774999999,32.07857142857143,28
27,4/1982,31.66289548148149,31.39629629629629,27
28,5/1982,32.53610581481481,31.962962962962973,27
29,6/1982,33.02457866666666,33.150000000000006,24
30,7/1982,34.51369171428572,34.21428571428572,21
31,8/1982,36.205496136363635,35.72727272727273,22
32,9/1982,37.00728196153845,36.69615384615385,26
33,10/1982,36.21581033333333,36.133333333333326,24
34,11/1982,36.73631922727273,37.199999999999996,22
35,12/1982,36.54155407407407,36.629629629629626,27
36,1/1983,33.83294441935484,34.751612903225805,31
37,2/1983,32.58309735714286,31.935714285714283,28
38,3/1983,33.18370822580645,32.993548387096766,31
39,4/1983,33.64543956666667,33.20666666666667,30
40,5/1983,34.242755,34.067741935483866,31
41,6/1983,34.907604433333326,34.836666666666666,30
42,7/1983,35.097646,35.71935483870968,31
43,8/1983,35.258814258064525,36.477419354838716,31
44,9/1983,35.266208066666664,37.80666666666666,30
45,10/1983,35.308114709677426,37.79677419354839,31
46,11/1983,34.885592933333335,37.223333333333336,30
47,12/1983,33.89109370967741,35.222580645161294,31
48,1/1984,32.39254629032258,32.461290322580645,31
49,2/1984,32.51222931034483,32.29655172413793,29
50,3/1984,31.984366064516138,31.677419354838705,31
51,4/1984,32.195534466666665,30.86333333333333,30
52,5/1984,33.533613645161296,31.229032258064514,31
53,6/1984,34.4466946,31.85333333333333,30
54,7/1984,34.834361774193546,33.196774193548386,31
55,8/1984,34.79438909677419,34.62903225806452,31
56,9/1984,34.6675331,34.57333333333334,30
57,10/1984,34.81456922580645,35.7,31
58,11/1984,34.795150766666666,36.089999999999996,30
59,12/1984,34.40128616129032,35.58709677419354,31
60,1/1990,32.64553529032257,32.57419354838709,31
61,2/1990,32.65601866666667,33.233333333333334,3
62,2/1993,33.053019035714286,33.52857142857143,28
63,4/1993,32.10143403333333,32.32,30
64,6/1993,33.90674636666667,34.913333333333334,30
65,7/1993,34.09922270967741,35.477419354838716,31
66,8/1993,36.355891766666666,36.99666666666666,30
67,9/1993,36.119536866666664,37.35666666666667,30
68,10/1993,36.503238322580636,37.79677419354839,31
69,11/1993,36.235406033333334,36.7,30
70,12/1993,34.5657014516129,35.090322580645164,31
71,1/1994,31.6607760967742,31.409677419354836,31
72,2/1994,31.48081585714286,31.55,28
73,3/1994,31.28311261290323,31.470967741935482,31
74,4/1994,31.32386923333333,31.243333333333336,30
75,6/1994,32.1459537,31.346666666666675,30
76,9/1994,35.72574693333334,36.11666666666667,30
77,12/1994,33.858096612903225,34.65161290322581,31
78,1/1995,31.579028516129025,31.309677419354834,31
79,2/1995,31.348366999999993,31.11785714285715,28
80,3/1995,31.94034732258064,32.035483870967745,31
81,4/1995,31.135531133333327,31.073333333333338,30
82,5/1995,31.340553870967742,31.258064516129032,31
83,6/1995,32.1761112,31.26666666666667,30
84,7/1995,34.43467635483871,31.52258064516129,31
85,9/1995,35.064493199999994,36.26,30
86,10/1995,35.336851225806456,36.56451612903225,31
87,11/1995,34.871137433333345,34.29333333333333,30
88,12/1995,34.25755183870967,34.12903225806452,31
89,1/1996,31.830030483870967,31.60322580645161,31
90,2/1996,31.957950178571433,31.782142857142862,28
91,3/1996,31.4770925483871,31.335483870967742,31
92,4/1996,31.42782703333334,31.180000000000007,30
93,5/1996,32.34778612903226,31.93548387096774,31
94,6/1996,32.07053423333333,32.03333333333333,30
95,7/1996,32.75783012903226,33.19354838709678,31
96,8/1996,33.88346951612903,34.70645161290322,31
97,9/1996,35.81043146666666,36.53999999999999,30
98,10/1996,35.62979206451613,35.674193548387095,31
99,11/1996,35.410833533333324,34.696666666666665,30
100,12/1996,35.85248506451613,35.72580645161291,31
101,1/1997,32.73748164285715,32.25000000000001,14
102,2/1997,32.867976321428564,32.778571428571425,28
103,3/1997,31.6047234516129,31.512903225806458,31
104,4/1997,31.899679833333334,31.60000000000001,30
105,5/1997,31.76931870967742,31.067741935483873,31
106,6/1997,32.51848096666667,32.17333333333334,30
107,7/1997,33.268460838709665,33.245161290322585,31
108,8/1997,34.378944129032256,35.15806451612903,31
109,9/1997,36.40096053333335,36.89333333333334,30
110,10/1997,36.73655290322581,37.20645161290323,31
111,11/1997,36.38956623333333,36.46333333333334,30
112,12/1997,35.62050825806452,36.1483870967742,31
113,1/1998,32.22309822580645,32.4483870967742,31
114,2/1998,33.707943428571426,33.38214285714286,28
115,3/1998,32.458590580645165,32.53225806451613,31
116,4/1998,33.35102806666667,33.256666666666675,30
117,5/1998,33.831042999999994,34.05806451612902,31
118,6/1998,33.85790063333334,34.809999999999995,30
119,7/1998,35.40476041935484,35.92258064516129,31
120,8/1998,36.38872232258065,37.01935483870967,31
121,9/1998,37.35840383333332,38.05333333333333,30
122,10/1998,37.50923048387097,38.26774193548387,31
123,11/1998,36.203377,35.99333333333333,30
124,12/1998,34.579897580645145,33.690322580645166,31
125,1/1999,32.57854587096774,31.854838709677416,31
126,2/1999,31.621381107142863,31.517857142857135,28
127,3/1999,31.484670258064508,31.206451612903223,31
128,4/1999,31.5975218,31.46,30
129,5/1999,31.36209948387097,31.04516129032258,31
130,6/1999,32.6331614,32.370000000000005,30
131,7/1999,34.325077580645164,33.51935483870968,31
132,8/1999,35.36832080645162,35.158064516129045,31
133,9/1999,36.70275493333332,36.13333333333333,30
134,10/1999,36.516173193548376,36.16129032258065,31
135,11/1999,35.525062299999995,35.06666666666668,30
136,12/1999,33.5881230967742,32.76129032258065,31
137,1/2000,32.53556293548387,31.97096774193549,31
138,2/2000,31.89353048275862,31.479310344827596,29
139,3/2000,31.949885741935482,31.48387096774194,31
140,4/2000,31.987078233333325,31.363333333333337,30
141,5/2000,32.63968025806452,32.01935483870968,31
142,6/2000,32.53063376666667,31.780000000000005,30
143,7/2000,33.09553241935484,32.670967741935485,31
144,8/2000,33.61798812903226,33.635483870967754,31
145,9/2000,35.163748299999995,34.74333333333334,30
146,10/2000,35.86115019354839,36.41290322580645,31
147,11/2000,35.3227851,35.40999999999999,30
148,12/2000,34.55057935483871,34.17096774193549,31
149,1/2001,31.554719548387094,31.354838709677423,31
150,2/2001,31.29183785714286,30.87857142857143,28
151,3/2001,31.591050580645167,31.093548387096774,31
152,4/2001,31.39580740000001,30.863333333333333,30
153,5/2001,32.380032,32.08064516129032,31
154,6/2001,31.831826600000007,31.773333333333333,30
155,7/2001,32.156472516129035,32.65806451612904,31
156,8/2001,33.71263474193549,34.938709677419354,31
157,9/2001,36.05142223333333,36.21333333333333,30
158,10/2001,37.17823829032258,37.145161290322584,31
159,11/2001,36.31710006666666,35.913333333333334,30
160,12/2001,35.55252758064516,34.58709677419355,31
161,1/2002,31.934674193548382,31.387096774193544,31
