,Data,TempMinPrevista,TempMinINMET,NumDias
0,2/1981,19.069905076923074,18.400000000000002,26
1,3/1981,19.698803633333334,19.21333333333333,30
2,4/1981,16.41857275,15.935714285714283,28
3,5/1981,15.074679793103446,14.527586206896551,29
4,6/1981,13.196126370370372,12.844444444444443,27
5,7/1981,11.93401384482759,11.355172413793104,29
6,8/1981,14.216811500000002,12.950000000000001,26
7,9/1981,17.455688666666667,15.718518518518518,27
8,10/1981,17.62158494827586,17.186206896551724,29
9,11/1981,18.58957811538461,18.146153846153844,26
10,12/1981,18.906296384615384,18.292307692307688,26
11,1/1982,18.62807003571429,18.085714285714282,28
12,2/1982,19.330499571428568,18.364285714285707,28
13,3/1982,19.06300106896552,18.682758620689658,29
14,4/1982,16.050192883333334,15.42333333333334,30
15,5/1982,14.165513275862072,13.244827586206895,29
16,6/1982,14.56121684482759,14.024137931034481,29
17,7/1982,13.414309586206898,13.172413793103447,29
18,8/1982,15.619027660714291,14.967857142857143,28
19,9/1982,16.01363626666667,15.406666666666668,30
20,10/1982,18.386100966666667,17.8,30
21,11/1982,20.44961180769231,19.784615384615385,26
22,12/1982,18.913144678571427,18.803571428571427,28
23,1/1983,19.21429429032258,18.90967741935484,31
24,2/1983,19.18169184615384,18.93846153846154,26
25,3/1983,18.91298671428572,18.664285714285718,28
26,4/1983,17.85283365517241,17.44137931034483,29
27,5/1983,16.743361580645164,16.629032258064516,31
28,6/1983,15.312250465517245,15.500000000000002,29
29,7/1983,13.975755300000003,13.78,30
30,8/1983,13.72016837096774,13.090322580645163,31
31,9/1983,17.42040321428571,17.075000000000003,28
32,10/1983,17.60052225806452,16.964516129032262,31
33,11/1983,18.46422175,18.04285714285714,28
34,12/1983,18.82746377419355,18.635483870967747,31
35,1/1986,19.019365999999998,18.793548387096774,31
36,2/1986,19.269970678571433,18.578571428571426,28
37,3/1986,19.487983774193545,19.44193548387096,31
38,4/1986,18.5328326,18.280000000000005,30
39,5/1986,17.25854009677419,16.9741935483871,31
40,6/1986,14.36351108333333,13.699999999999998,30
41,7/1986,13.997674451612902,13.570967741935483,31
42,8/1986,16.56121941935484,15.674193548387095,31
43,9/1986,16.262907699999996,15.486666666666668,30
44,10/1986,18.295488241935484,17.70645161290323,31
45,11/1986,18.6722576,17.913333333333338,30
46,12/1986,19.17399077419355,18.961290322580645,31
47,1/1988,20.084980806451608,20.187096774193545,31
48,2/1988,19.705562482758616,19.524137931034485,29
49,3/1988,19.21550096774193,19.412903225806453,31
50,4/1988,19.026783599999998,18.7,30
51,5/1988,17.419192016129035,17.00322580645161,31
52,6/1988,14.150000233333333,13.52,30
53,7/1988,13.070659951612903,13.029032258064515,31
54,8/1988,14.82407329032258,14.338709677419356,31
55,9/1988,18.425090793103447,17.999999999999996,29
56,10/1988,18.27967641935484,18.032258064516125,31
57,11/1988,18.018951299999994,17.719999999999995,30
58,12/1988,19.364407032258065,19.10967741935484,31
59,1/1989,19.91473493548387,19.893548387096775,31
60,2/1989,20.06587910714285,20.060714285714283,28
61,3/1989,19.669330935483874,19.887096774193544,31
62,4/1989,19.29314763333333,19.529999999999998,30
63,5/1989,15.935661903225805,15.974193548387095,31
64,6/1989,15.455401116666668,14.906666666666668,30
65,7/1989,13.892381177419356,13.280645161290321,31
66,8/1989,16.51860566666667,16.01666666666667,24
67,9/1989,18.021188600000002,17.423333333333336,30
68,10/1989,17.63803293548387,17.041935483870965,31
69,11/1989,18.799474466666666,18.666666666666668,30
70,12/1989,18.839217548387097,18.600000000000005,31
71,1/1990,20.552933709677422,20.177419354838705,31
72,2/1990,20.207906571428573,19.867857142857144,28
73,3/1990,20.4424176,20.26666666666667,30
74,4/1990,20.06019136666666,19.813333333333336,30
75,5/1990,16.439521709677418,16.045161290322582,31
76,6/1990,15.557110200000004,15.086666666666666,30
77,7/1990,15.302876322580648,15.154838709677417,31
78,8/1990,15.375229338709675,15.035483870967742,31
79,9/1990,16.69950653333333,16.026666666666664,30
80,10/1990,18.694082032258066,18.40967741935484,31
81,11/1990,20.024681333333334,20.169999999999998,30
82,12/1990,19.406295870967735,19.16774193548387,31
83,1/1991,19.170844677419357,18.996774193548386,31
84,2/1991,19.569739142857145,19.757142857142856,28
85,3/1991,19.590092354838713,19.477419354838712,31
86,4/1991,18.39343433333333,18.133333333333333,30
87,5/1991,16.627498645161282,16.464516129032262,31
88,6/1991,15.869251749999995,15.723333333333334,30
89,7/1991,14.952323999999996,14.77096774193548,31
90,8/1991,15.177995161290323,14.851612903225806,31
91,9/1991,16.60900301666667,16.37333333333333,30
92,10/1991,18.154046645161294,17.654838709677417,31
93,11/1991,19.24061036666667,18.94,30
94,12/1991,19.75919470967742,19.25161290322581,31
95,1/1992,19.13144964516129,19.074193548387097,31
96,2/1992,19.10454948275862,18.713793103448282,29
97,3/1992,19.459858161290324,19.36774193548387,31
98,4/1992,19.538453366666662,19.46333333333333,30
99,5/1992,18.004908000000004,17.806451612903228,31
100,6/1992,16.184320066666665,15.986666666666668,30
101,7/1992,15.213439935483871,15.01290322580645,31
102,8/1992,15.96206048387097,15.783870967741938,31
103,9/1992,16.7353834,16.61,30
104,10/1992,18.45447406451613,18.361290322580647,31
105,11/1992,18.755894566666665,18.673333333333332,30
106,12/1992,18.611201580645155,18.43870967741936,31
107,1/1993,19.671323741935485,19.409677419354843,31
108,2/1993,19.536711571428576,19.264285714285712,28
109,3/1993,20.035556548387095,19.951612903225804,31
110,4/1993,18.903164900000004,18.73333333333334,30
111,5/1993,16.30478664516129,16.048387096774192,31
112,6/1993,14.698867583333335,14.293333333333333,30
113,7/1993,15.844981903225806,15.754838709677419,31
114,8/1993,15.818455419354837,15.674193548387093,31
115,9/1993,18.426898833333336,18.11666666666667,30
116,10/1993,18.74236380645161,18.432258064516127,31
117,11/1993,19.811702966666665,19.523333333333326,30
118,12/1993,19.218380258064514,19.08709677419355,31
119,1/1994,19.459481322580647,19.348387096774193,31
120,2/1994,21.06825228571429,21.074999999999996,28
121,3/1994,18.96632477419355,18.90967741935484,31
122,4/1994,18.076445599999996,18.206666666666663,30
123,5/1994,17.756799161290324,17.700000000000003,31
124,6/1994,14.848011050000002,14.71,30
125,7/1994,14.90881877419355,14.74516129032258,31
126,8/1994,14.902921016129033,14.903225806451614,31
127,9/1994,17.01176818333333,17.016666666666666,30
128,10/1994,19.253171612903223,19.13225806451613,31
129,11/1994,19.093980366666663,19.013333333333332,30
130,12/1994,19.667092000000007,19.58709677419355,31
131,1/1995,20.898083032258064,21.161290322580648,31
132,2/1995,19.88033207142857,19.975,28
