,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.374159741935486,22.541935483870965,31
1,2/1980,22.12703103448276,22.47931034482758,29
2,3/1980,22.035733967741937,22.31935483870968,31
3,4/1980,22.272401233333333,22.85333333333334,30
4,5/1980,22.346904548387098,22.938709677419357,31
5,6/1980,22.253061633333335,22.74333333333333,30
6,7/1980,22.021361064516135,22.11290322580645,31
7,8/1980,22.032139806451614,22.012903225806447,31
8,9/1980,22.183810066666673,22.219999999999995,30
9,10/1980,22.23435506451613,21.88064516129032,31
10,11/1980,22.49168786666667,22.103333333333335,30
11,12/1980,22.26746312903226,21.909677419354832,31
12,1/1981,22.15872474193548,22.322580645161292,31
13,2/1981,22.00785117857143,22.275000000000002,28
14,3/1981,22.363398129032255,22.616129032258065,31
15,4/1981,22.638905899999997,23.059999999999995,30
16,5/1981,22.300680967741933,22.96451612903226,31
17,6/1981,22.141022899999996,22.546666666666667,30
18,7/1981,21.818129677419357,21.825806451612905,31
19,8/1981,22.07751067741935,22.096774193548384,31
20,9/1981,21.99561656666667,21.83333333333333,30
21,10/1981,22.257989290322584,21.690322580645162,31
22,11/1981,22.608420966666667,22.283333333333335,30
23,12/1981,22.64773774193548,22.419354838709683,31
24,1/1982,22.51176064516129,22.20645161290323,31
25,2/1982,22.643879535714287,22.58571428571429,28
26,3/1982,22.750203612903228,22.44193548387096,31
27,4/1982,22.84136556666667,22.62666666666667,30
28,5/1982,22.5172770967742,22.412903225806446,31
29,6/1982,22.260624233333335,21.903333333333325,30
30,7/1982,22.006819870967746,21.80322580645161,31
31,8/1982,21.974473741935487,21.548387096774196,31
32,9/1982,22.169189766666666,21.496666666666666,30
33,10/1982,22.353383806451614,21.277419354838706,31
34,11/1982,22.47655796666667,21.733333333333334,30
35,12/1982,22.789765931034484,22.013793103448275,29
36,1/1983,22.794752774193547,22.612903225806452,31
37,2/1983,22.486635678571425,22.599999999999998,28
38,3/1983,22.63460029032258,22.86451612903226,31
39,4/1983,22.514091200000003,22.986666666666668,30
40,5/1983,22.486248064516122,22.851612903225803,31
41,6/1983,22.233381266666665,22.31333333333333,30
42,7/1983,21.805013225806455,21.587096774193547,31
43,8/1983,22.043652516129033,21.65483870967742,31
44,9/1983,22.130319866666664,21.44666666666667,30
45,10/1983,22.203778290322578,21.232258064516124,31
46,11/1983,22.4267245,21.12666666666667,30
47,12/1983,22.282763806451612,21.477419354838702,31
48,1/1984,21.862607935483872,21.13548387096774,31
49,2/1984,22.004461137931035,21.50344827586207,29
50,3/1984,22.248510516129034,21.993548387096777,31
51,4/1984,22.15838406666667,22.04,30
52,5/1984,22.02006332258065,21.98709677419355,31
53,6/1984,21.82393823333334,21.46666666666666,30
54,7/1984,21.71835051612903,21.31612903225807,31
55,8/1984,21.827661774193544,21.099999999999998,31
56,9/1984,21.86336596666667,20.923333333333332,30
57,10/1984,21.958560451612904,21.138709677419353,31
58,11/1984,22.168898533333337,21.713333333333324,30
59,12/1984,22.226808161290325,21.932258064516123,31
60,1/1985,22.128680677419357,22.087096774193554,31
61,2/1985,22.039760285714287,22.053571428571427,28
62,3/1985,22.290771161290323,22.46774193548388,31
63,4/1985,22.1693633,22.04,30
64,5/1985,22.024934483870968,22.087096774193547,31
65,6/1985,21.843671200000003,21.61,30
66,7/1985,21.532008064516134,21.03548387096774,31
67,8/1985,21.506595806451603,21.354838709677423,31
68,9/1985,21.8720786,21.339999999999993,30
69,10/1985,22.12120335483871,21.383870967741938,31
70,11/1985,22.231722466666668,21.936666666666664,30
71,12/1985,22.319983709677416,22.058064516129026,31
72,1/1986,22.098535096774196,21.703225806451613,31
73,2/1986,22.254037607142855,21.68571428571428,28
74,3/1986,22.57954706451613,22.012903225806454,31
75,4/1986,22.79843283333333,22.339999999999996,30
76,5/1986,22.565022096774197,22.106451612903225,31
77,6/1986,22.271033366666664,21.723333333333336,30
78,7/1986,21.962109176470587,21.329411764705885,17
79,8/1986,21.958448962962965,21.52222222222222,27
80,9/1986,22.460329633333334,22.28666666666667,30
81,10/1986,22.565302166666665,22.119999999999997,30
82,11/1986,22.781005285714286,22.249999999999996,28
83,12/1986,22.789613645161293,22.258064516129036,31
84,1/1987,22.89871296774193,22.683870967741935,31
85,2/1987,22.835389928571427,22.900000000000002,28
86,3/1987,23.00283064516129,23.077419354838714,31
87,4/1987,23.06025193333333,23.199999999999996,30
88,5/1987,23.116636741935483,23.01612903225807,31
89,6/1987,22.899403966666664,22.939999999999998,30
90,7/1987,22.614200607142863,22.664285714285718,28
91,8/1987,22.799394967741936,22.822580645161292,31
92,9/1987,22.936827933333333,22.47666666666667,30
93,10/1987,22.994460903225807,22.406451612903226,31
94,11/1987,23.066331599999998,22.513333333333332,30
95,12/1987,23.329038096774195,22.774193548387103,31
96,1/1988,23.001370129032253,22.796774193548394,31
97,2/1988,23.370476172413788,23.31379310344827,29
98,3/1988,22.562284034482758,23.1551724137931,29
99,4/1988,23.21346433333333,23.36,30
100,5/1988,23.331641967741938,23.429032258064517,31
101,6/1988,22.830055666666667,22.65,30
102,7/1988,22.589715064516124,22.438709677419357,31
103,8/1988,23.059350483870965,22.509677419354837,31
104,9/1988,22.67045310000001,22.506666666666664,30
105,10/1988,22.96803051612903,22.516129032258064,31
106,11/1988,22.965682000000005,22.519999999999996,30
107,12/1988,22.614069032258065,22.435483870967737,31
108,1/1989,22.296023580645162,22.164516129032254,31
109,2/1989,22.550971392857146,22.410714285714285,28
110,3/1989,22.241878000000003,22.451612903225804,31
111,4/1989,22.89357506666666,22.833333333333332,30
112,5/1989,22.43557554838709,22.429032258064517,31
113,6/1989,22.49968396666667,22.410000000000007,30
114,7/1989,22.184141483870977,21.861290322580643,31
115,8/1989,22.203406903225805,22.070967741935487,31
116,9/1989,22.33645833333333,21.87333333333333,30
117,10/1989,22.543206806451614,22.132258064516133,31
118,11/1989,22.74704724137931,22.67931034482758,29
119,12/1989,22.98683953333333,22.839999999999993,30
120,1/1990,22.704908225806456,22.81612903225807,31
121,2/1990,22.77494096428572,22.775,28
122,3/1990,22.85159361290322,22.864516129032264,31
123,4/1990,23.21271763333333,23.36666666666667,30
124,5/1990,22.819424,22.98,30
125,6/1990,22.597688199999997,22.76666666666667,30
126,7/1990,22.202603677419358,22.270967741935483,31
127,8/1990,22.178718032258065,22.258064516129032,31
128,9/1990,22.27416476666667,22.18,30
129,10/1990,22.493638483870967,22.464516129032255,31
130,11/1990,22.718308566666668,22.559999999999995,30
131,12/1990,22.925347064516128,23.029032258064515,31
132,1/1991,22.745331354838715,22.474193548387095,31
133,2/1991,22.928850249999993,23.089285714285715,28
134,3/1991,22.824181774193555,22.906451612903226,31
135,4/1991,22.876864533333336,22.92666666666667,30
136,5/1991,22.90653941935484,22.98064516129033,31
137,6/1991,22.852921333333335,23.25,30
138,7/1991,22.32285329032258,22.619354838709675,31
139,8/1991,21.955873161290324,22.054838709677412,31
140,9/1991,21.9337491,22.013333333333335,30
141,10/1991,22.105534612903224,21.69354838709678,31
142,11/1991,22.29252206666667,22.163333333333338,30
143,12/1991,22.50561406451613,22.241935483870968,31
144,1/1992,22.92597832258064,22.75483870967742,31
145,2/1992,22.649514482758615,22.52068965517241,29
146,3/1992,22.924836741935486,23.24193548387097,31
147,4/1992,22.944834633333333,23.19666666666666,30
148,5/1992,22.896101032258066,23.219354838709677,31
149,6/1992,22.438261400000002,22.586666666666666,30
150,7/1992,21.992987,21.854838709677423,31
151,8/1992,22.120007,22.087096774193554,31
152,9/1992,22.023458200000004,21.946666666666665,30
153,10/1992,21.85117409677419,21.66774193548387,31
154,11/1992,22.26832686666667,22.009999999999998,30
155,12/1992,22.68186028571429,22.564285714285713,28
156,1/1993,22.468706129032256,22.496774193548386,31
157,2/1993,22.749411714285717,22.625000000000004,28
158,3/1993,22.707082483870966,22.612903225806452,31
159,4/1993,22.98928816666667,23.006666666666664,30
160,5/1993,22.91457816129032,23.099999999999994,31
161,6/1993,22.573910433333342,22.740000000000002,30
162,7/1993,22.225383161290324,22.025806451612905,31
163,8/1993,22.29994477419355,22.225806451612904,31
164,9/1993,22.3516451,22.23,30
165,10/1993,22.68967870967742,22.79032258064516,31
166,11/1993,23.3996655,23.75333333333333,30
167,12/1993,23.40286925806452,23.467741935483872,31
168,1/1994,23.211204322580645,23.451612903225808,31
169,2/1994,23.07001775,23.275000000000002,28
170,3/1994,22.910488677419355,23.177419354838705,31
171,4/1994,23.12128643333333,23.360000000000007,30
172,5/1994,23.15500022580645,23.299999999999997,31
173,6/1994,22.652215933333334,22.876666666666665,30
174,7/1994,22.438053612903225,22.477419354838712,31
175,8/1994,22.38422706451613,22.525806451612905,31
176,9/1994,22.704814766666665,22.923333333333336,30
177,10/1994,22.812968096774185,22.612903225806452,31
178,11/1994,22.98238480000001,22.77,30
179,12/1994,23.045084193548384,22.845161290322583,31
180,1/1995,23.18824387096775,22.90322580645161,31
181,2/1995,23.140905607142855,23.04285714285714,28
182,3/1995,23.301581161290322,23.22258064516129,31
183,4/1995,23.434133066666668,23.75333333333333,30
184,5/1995,23.10777829032258,23.158064516129034,31
185,6/1995,23.178140733333336,23.693333333333335,30
186,7/1995,22.489470806451617,22.906451612903226,31
187,8/1995,22.75232245161291,23.193548387096776,31
188,9/1995,22.705918633333333,23.029999999999998,30
189,10/1995,22.808276516129034,22.79677419354839,31
190,11/1995,23.169101833333336,23.459999999999997,30
191,12/1995,23.309060483870965,23.290322580645167,31
192,1/1996,22.937213258064517,23.09677419354839,31
193,2/1996,22.95496948275862,23.213793103448282,29
194,3/1996,23.262611967741936,23.483870967741936,31
195,4/1996,23.311590766666665,23.58,30
196,5/1996,23.236217903225803,23.577419354838714,31
197,6/1996,23.011086033333335,23.476666666666663,30
198,7/1996,22.73195564516129,22.932258064516127,31
199,8/1996,22.664211419354835,23.200000000000006,31
200,9/1996,22.88922073333334,23.04333333333334,30
201,10/1996,22.81160983870968,22.9,31
202,11/1996,23.236054166666666,23.130000000000003,30
203,12/1996,23.27492525806452,23.090322580645164,31
204,1/1997,22.833689900000007,22.536666666666665,30
205,2/1997,22.713895464285713,22.292857142857148,28
206,3/1997,23.095708870967744,23.116129032258065,31
207,4/1997,22.987382433333334,23.1,30
208,5/1997,23.04199190322581,23.30322580645161,31
209,6/1997,22.806869966666664,23.203333333333333,30
210,7/1997,22.489408806451614,22.59677419354839,31
211,8/1997,22.773306677419356,22.848387096774196,31
212,9/1997,22.610326766666663,22.290000000000003,30
213,10/1997,22.97116329032258,22.874193548387094,31
214,11/1997,23.159123000000008,23.209999999999997,30
