,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,16.550609750000003,22.8,16
1,2/1980,18.0481005625,23.618749999999995,16
2,3/1980,19.18086285,23.974999999999994,20
3,5/1980,16.487768882352942,23.28235294117647,17
4,6/1980,15.872454346153846,23.007692307692306,13
5,7/1980,15.480268531249997,22.887500000000003,16
6,8/1980,16.97414136111111,23.488888888888884,18
7,9/1980,17.46880225,24.205555555555552,18
8,10/1980,17.38766331818182,22.686363636363634,22
9,11/1980,17.322996263157894,23.084210526315786,19
10,12/1980,17.576127481481485,22.992592592592594,27
11,2/1981,17.836203499999996,22.88888888888889,18
12,3/1981,18.382048178571427,23.224999999999994,28
13,4/1981,16.529391294117648,22.88235294117647,17
14,5/1981,16.372706636363638,22.586363636363636,22
15,6/1981,14.8157173,21.759999999999998,5
16,7/1981,13.386793473684213,21.178947368421053,19
17,8/1981,15.320329964285714,22.414285714285715,14
18,9/1981,16.222304615384616,23.26153846153846,13
19,10/1981,17.743033222222223,23.799999999999997,27
20,11/1981,18.690001956521737,24.334782608695654,23
21,12/1981,19.00874795454545,24.481818181818177,22
22,1/1982,17.747314000000003,23.81,20
23,2/1982,18.637599684210524,23.705263157894734,19
24,3/1982,19.165199178571434,24.414285714285715,28
25,4/1982,17.8375214,23.874999999999993,20
26,5/1982,16.161025391304346,23.686956521739127,23
27,6/1982,15.714963086956518,22.643478260869564,23
28,7/1982,15.703746200000001,23.004,25
29,8/1982,16.01762526190476,23.35714285714286,21
30,9/1982,18.69186846153846,24.388461538461538,26
31,10/1982,18.341612090909095,24.313636363636366,22
32,11/1982,18.88980752173913,24.54782608695652,23
33,12/1982,19.3522982,24.753333333333334,15
34,1/1983,18.536049838709676,24.119354838709675,31
35,2/1983,19.088429892857143,23.871428571428577,28
36,3/1983,20.226266096774193,25.05806451612904,31
37,4/1983,17.223361103448273,23.98620689655173,29
38,5/1983,17.662885532258066,24.558064516129022,31
39,6/1983,15.51147836666666,23.390000000000004,30
40,7/1983,16.534412290322585,24.148387096774194,31
41,8/1983,15.544022806451618,23.416129032258056,31
42,9/1983,17.343192600000002,24.213333333333335,30
43,10/1983,19.16562448387097,24.583870967741937,31
44,11/1983,18.65151931666667,24.583333333333325,30
45,12/1983,17.912670499999997,24.106451612903225,31
46,1/1984,16.647028322580645,23.7258064516129,31
47,2/1984,18.03532344827586,23.775862068965516,29
48,3/1984,19.365360096774193,24.496774193548386,31
49,4/1984,19.218261683333335,24.40333333333333,30
50,5/1984,15.87043493548387,23.280645161290323,31
51,6/1984,14.457233366666665,22.750000000000004,30
52,7/1984,14.005906499999998,22.64516129032258,31
53,8/1984,15.03388364516129,23.303225806451614,31
54,9/1984,15.443068583333334,23.246666666666666,30
55,10/1984,16.737189951612905,23.580645161290327,31
56,11/1984,15.72394236666667,23.400000000000002,30
57,12/1984,16.66170519354839,23.751612903225805,31
58,1/1985,16.752523741935487,23.293548387096767,31
59,2/1985,17.640874076923076,23.66923076923077,26
60,3/1985,19.577581161290325,24.387096774193544,31
61,4/1985,18.388507500000003,24.196666666666662,30
62,5/1985,15.86467209677419,23.406451612903226,31
63,6/1985,13.596757233333333,22.423333333333336,30
64,7/1985,13.57427995,22.02,30
65,8/1985,14.284049862068969,22.779310344827586,29
66,9/1985,16.194067310344824,23.56206896551724,29
67,10/1985,17.3340723,24.07,30
68,11/1985,16.32855721666667,23.75,30
69,12/1985,15.92794312903226,23.364516129032257,31
70,1/1986,17.80110283870968,23.706451612903233,31
71,2/1986,16.865569148148147,23.585185185185182,27
72,3/1986,18.18758996666667,24.026666666666674,30
73,4/1986,18.876019433333337,24.629999999999995,30
74,5/1986,16.57634025806452,23.661290322580644,31
75,6/1986,13.758100066666668,22.646666666666665,30
76,7/1986,14.357371564516129,22.26774193548387,31
77,8/1986,15.463148716666666,23.006666666666664,30
78,9/1986,16.94858605172414,23.52413793103449,29
79,10/1986,17.196439983870963,24.17741935483871,31
80,11/1986,16.456472166666664,23.83666666666667,30
81,12/1986,17.15037661290322,23.783870967741944,31
82,1/1987,16.656967322580645,23.42258064516129,31
83,2/1987,18.507413857142858,23.917857142857144,28
84,3/1987,18.711317483870967,24.058064516129033,31
85,5/1987,15.305368838709676,24.0258064516129,31
86,6/1987,15.684227333333332,23.72333333333334,30
87,7/1987,16.101123655172415,24.389655172413796,29
88,8/1987,16.977537083333335,24.149999999999995,12
89,9/1987,17.390751366666667,23.803333333333335,30
90,10/1987,18.65221170967742,24.22258064516129,31
91,11/1987,17.6859591,23.84333333333333,30
92,1/1988,17.49946446666667,23.776666666666664,30
