,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.972300064516126,23.193548387096772,31
1,2/1980,23.028713724137933,23.458620689655174,29
2,3/1980,22.554083129032257,23.258064516129032,31
3,4/1980,22.214558333333333,22.44333333333333,30
4,5/1980,20.337057193548386,20.725806451612907,31
5,6/1980,18.307863349999998,18.496666666666666,30
6,7/1980,16.679523161290327,17.009677419354837,31
7,8/1980,19.975357516129034,19.751612903225812,31
8,9/1980,20.800577133333338,19.85333333333333,30
9,10/1980,22.868446935483874,23.380645161290325,31
10,11/1980,22.535760166666666,22.339999999999993,30
11,12/1980,22.798448451612902,23.338709677419352,31
12,1/1981,22.864157129032254,23.44516129032258,31
13,2/1981,22.026820642857142,22.842857142857135,28
14,3/1981,22.85491358064516,23.31290322580646,31
15,4/1981,22.074616733333336,22.21,30
16,5/1981,20.431690516129024,20.51935483870968,31
17,6/1981,16.63087433333333,16.496666666666663,30
18,7/1981,14.449696138709678,14.161290322580646,31
19,8/1981,18.822952548387093,18.441935483870974,31
20,9/1981,20.026069366666665,19.09000000000001,30
21,10/1981,23.09549241935483,23.064516129032263,31
22,11/1981,23.510898533333332,23.663333333333334,30
23,12/1981,23.252201838709677,23.29032258064516,31
24,1/1982,23.079304967741933,23.167741935483868,31
25,2/1982,22.773061107142855,23.053571428571427,28
26,3/1982,22.78405609677419,23.012903225806447,31
27,4/1982,21.63661026666667,22.09,30
28,5/1982,19.12455841935484,19.529032258064515,31
29,6/1982,19.3636983,19.49666666666667,30
30,7/1982,18.05814267741935,18.19354838709678,31
31,8/1982,19.706486290322577,19.777419354838706,31
32,9/1982,21.46325183333333,21.02,30
33,10/1982,23.23336267741936,22.919354838709676,31
34,11/1982,22.99035443333333,23.1,30
35,12/1982,23.322872806451617,23.135483870967736,31
36,1/1983,23.820336193548385,23.670967741935485,31
37,2/1983,23.708889285714292,23.389285714285712,28
38,3/1983,22.961600935483872,22.574193548387097,31
39,4/1983,22.881290066666665,23.03333333333334,30
40,5/1983,21.592264483870967,21.174193548387098,31
41,6/1983,17.880210083333335,17.550000000000004,30
42,7/1983,17.53050709677419,17.53870967741935,31
43,8/1983,16.945076887096775,16.35483870967742,31
44,9/1983,20.6453217,19.636666666666663,30
45,10/1983,21.808040806451615,20.74516129032258,31
46,11/1983,22.25603136666666,22.036666666666658,30
47,12/1983,22.874162612903223,22.632258064516133,31
48,1/1984,23.097701419354838,22.858064516129033,31
49,2/1984,22.260007413793105,22.38620689655173,29
50,3/1984,22.968488451612902,23.035483870967738,31
51,4/1984,21.70544946666666,21.663333333333338,30
52,5/1984,20.797267096774195,20.71290322580645,31
53,6/1984,16.71500126666667,17.06,30
54,7/1984,17.116819096774194,17.003225806451617,31
55,8/1984,17.014583967741938,16.670967741935485,31
56,9/1984,19.88779745,19.916666666666664,30
57,10/1984,23.19546629032258,23.04838709677419,31
58,11/1984,23.139451933333326,22.916666666666668,30
59,12/1984,22.989516193548386,22.79032258064516,31
60,1/1985,23.02398748387097,22.909677419354836,31
61,2/1985,23.091611178571434,23.371428571428567,28
62,3/1985,23.38715609677419,23.793548387096774,31
63,4/1985,22.6175581,23.203333333333333,30
64,5/1985,21.357362838709676,21.609677419354842,31
65,6/1985,15.527472673333333,16.206666666666667,30
66,7/1985,16.2313265483871,16.419354838709676,31
67,8/1985,18.43482887096774,18.335483870967742,31
68,9/1985,21.632878533333333,21.74666666666667,30
69,10/1985,22.814268935483877,22.829032258064515,31
70,11/1985,23.04539253333333,23.343333333333337,30
71,12/1985,23.640109967741935,23.4741935483871,31
72,1/1986,22.8640173548387,23.461290322580645,31
73,2/1986,22.472462392857143,23.14285714285714,28
74,3/1986,22.26816416129032,23.141935483870963,31
75,4/1986,22.283648900000003,23.286666666666658,30
76,5/1986,21.043024709677415,21.603225806451608,31
77,6/1986,16.28976675,17.136666666666667,30
78,7/1986,16.910027483870966,16.68064516129032,31
79,8/1986,20.569532806451615,20.712903225806457,31
80,9/1986,19.591164433333336,19.706666666666667,30
81,10/1986,21.07513025806452,21.345161290322583,31
82,11/1986,23.190381000000002,23.936666666666664,30
83,12/1986,23.026616225806453,23.612903225806456,31
84,1/1987,22.914584838709676,23.651612903225804,31
85,2/1987,22.2309455,22.721428571428564,28
86,3/1987,21.742769064516125,22.583870967741937,31
87,4/1987,22.502541,23.13,30
88,5/1987,19.51809796774193,19.90322580645161,31
89,6/1987,18.351432833333334,18.750000000000004,30
90,7/1987,18.98705629032258,19.41290322580645,31
91,8/1987,17.790109709677417,17.5741935483871,31
92,9/1987,22.355801433333333,22.226666666666667,30
93,10/1987,23.49068022580645,24.087096774193554,31
94,11/1987,23.49324646666667,24.403333333333332,30
95,12/1987,23.228048806451618,23.822580645161292,31
96,1/1988,23.03450941935483,23.919354838709683,31
97,2/1988,22.794597034482763,23.906896551724138,29
98,3/1988,23.14412812903226,24.33225806451613,31
99,4/1988,22.83620153333333,23.99666666666667,30
100,5/1988,20.762621677419357,21.50322580645161,31
101,6/1988,17.607232333333332,17.933333333333337,30
102,7/1988,14.526713877419354,14.793548387096774,31
103,8/1988,18.8230404516129,18.193548387096765,31
104,9/1988,22.014556866666666,21.410000000000004,30
105,10/1988,23.588386548387106,24.087096774193547,31
106,11/1988,23.19386443333333,23.99666666666666,30
107,12/1988,23.13068835483871,23.803225806451614,31
108,1/1989,22.37411512903226,23.406451612903226,31
109,2/1989,22.63516610714285,23.47142857142857,28
110,3/1989,22.41665351612904,23.26129032258065,31
111,4/1989,22.50826766666666,23.463333333333342,30
112,5/1989,19.29630732258065,19.600000000000005,31
113,6/1989,19.821234733333334,20.166666666666664,30
114,7/1989,15.701071064516132,16.212903225806453,31
115,8/1989,19.910316677419356,20.170967741935485,31
116,9/1989,20.4160273,19.986666666666668,30
117,10/1989,22.74724480645162,22.625806451612902,31
118,11/1989,23.27134906666667,23.78666666666667,30
119,12/1989,23.008168032258062,23.929032258064517,31
120,1/1992,22.965986666666666,23.483333333333334,6
121,1/1993,23.225578545454546,23.636363636363637,11
122,2/1993,22.21918428571428,23.299999999999994,7
