,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,24.480472821428574,24.846428571428568,28
1,2/1980,23.851318307692306,23.688461538461542,26
2,3/1980,23.806258903225814,23.65483870967742,31
3,4/1980,24.331335633333342,24.54,30
4,5/1980,24.385647161290326,24.296774193548387,31
5,6/1980,23.875238500000002,23.913333333333338,30
6,7/1980,23.368698166666665,23.113333333333337,30
7,8/1980,24.04596709677419,23.58064516129032,31
8,9/1980,23.907942965517243,24.048275862068962,29
9,10/1980,24.332245233333335,24.470000000000006,30
10,11/1980,24.73927583333333,24.749999999999993,30
11,12/1980,24.49572833333333,24.700000000000006,30
12,1/1981,24.622860413793106,24.74827586206896,29
13,2/1981,25.112437238095243,24.876190476190477,21
14,3/1981,24.252260684210533,24.278947368421054,19
15,4/1981,24.37485503846154,24.157692307692308,26
16,5/1981,24.106753899999998,24.333333333333336,30
17,6/1981,23.802074296296297,23.296296296296298,27
18,7/1981,23.879613935483867,23.0,31
19,8/1981,24.010611333333333,23.400000000000002,27
20,9/1981,24.190935863636366,24.077272727272728,22
21,10/1981,24.817357222222224,25.06666666666667,18
22,11/1981,25.360926607142858,25.514285714285716,28
23,12/1981,25.258633555555555,25.585185185185182,27
24,1/1982,24.334340357142857,24.19642857142858,28
25,2/1982,24.363969,24.107999999999997,25
26,3/1982,23.867485407407404,23.78148148148148,27
27,4/1982,23.657389639999998,23.732000000000003,25
28,5/1982,23.14417232,23.087999999999997,25
29,6/1982,22.589191666666665,22.375,24
30,7/1982,22.595094896551725,22.37586206896552,29
31,8/1982,22.783381533333337,22.686666666666667,30
32,9/1982,23.311971428571432,23.514285714285712,28
33,10/1982,23.361859703703697,23.78518518518518,27
34,11/1982,24.196679000000007,24.299999999999997,24
35,12/1982,24.504386480000004,24.504,25
36,1/1983,24.579129290322577,25.73870967741936,31
37,2/1983,24.22105792857143,25.264285714285712,28
38,3/1983,23.95769367741935,24.99032258064516,31
39,4/1983,24.166768466666667,24.619999999999997,30
40,5/1983,24.029074774193546,24.74516129032259,31
41,6/1983,23.643965233333333,23.94,30
42,7/1983,23.644646741935478,23.483870967741936,31
43,8/1983,23.829041225806446,23.85161290322581,31
44,9/1983,24.130943366666667,24.85333333333334,30
45,10/1983,24.22879977419355,24.954838709677425,31
46,11/1983,24.75723193333333,24.96,30
47,12/1983,24.122045870967742,25.254838709677415,31
48,1/1984,24.283481799999997,24.104999999999997,20
49,2/1984,24.060902931034484,24.506896551724136,29
50,3/1984,23.53537770967742,23.63225806451613,31
51,4/1984,23.658215166666665,23.516666666666662,30
52,5/1984,23.146216096774186,23.161290322580644,31
53,6/1984,22.794699300000005,22.630000000000003,30
54,7/1984,22.701630451612903,22.448387096774187,31
55,8/1984,23.190283838709675,22.84516129032258,31
56,9/1984,23.390727733333332,23.243333333333332,30
57,10/1984,23.756207870967742,23.825806451612902,31
58,11/1984,24.00896616666667,24.053333333333338,30
59,12/1984,24.173075451612902,24.25161290322581,31
60,1/1985,24.132823677419353,24.59677419354839,31
61,2/1985,23.30604632142857,22.87142857142857,28
62,3/1985,23.55542893548387,23.77741935483871,31
63,4/1985,23.328864799999995,23.34666666666666,30
64,5/1985,23.34677512903226,23.283870967741937,31
65,6/1985,23.142297999999997,22.729999999999997,30
66,7/1985,23.188585193548384,22.499999999999996,31
67,8/1985,23.5626789032258,22.938709677419357,31
68,9/1985,23.796069366666664,23.48666666666666,30
69,10/1985,24.16858151612903,24.558064516129033,31
70,11/1985,24.528963799999996,24.549999999999997,30
71,12/1985,24.304257354838704,24.254838709677415,31
72,1/1990,24.201365967741943,24.074193548387097,31
73,11/1993,25.227155633333336,24.71,30
74,1/1994,24.292526741935482,23.874193548387098,31
75,2/1994,23.90327678571429,23.635714285714283,28
76,3/1994,23.504262161290324,23.29677419354838,31
77,4/1994,23.269632100000003,23.136666666666663,30
78,5/1994,23.28734370967742,23.145161290322584,31
79,6/1994,22.6777017,22.829999999999995,30
80,7/1994,22.275544161290323,22.20967741935484,31
81,8/1994,22.8262435483871,22.545161290322575,31
