,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,19.363211032258064,20.045161290322582,31
1,2/1980,19.558432,20.08620689655173,29
2,3/1980,19.384466193548388,19.593548387096774,31
3,4/1980,19.042434899999996,19.353333333333335,30
4,5/1980,17.326877935483868,17.651612903225804,31
5,6/1980,15.317317333333335,15.276666666666669,30
6,7/1980,14.393557112903226,14.95806451612903,31
7,8/1980,16.705487983870967,16.890322580645158,31
8,9/1980,17.092620966666672,17.366666666666664,30
9,10/1980,19.14974606451613,19.6,31
10,11/1980,19.759433966666663,20.416666666666668,30
11,12/1980,19.709473516129037,20.099999999999994,31
12,11/1981,19.627793413793107,20.020689655172415,29
13,12/1981,19.501727633333324,20.10666666666667,30
14,1/1982,19.41785735483871,20.0,31
15,2/1982,19.680072714285718,19.864285714285717,28
16,3/1982,19.925829935483872,20.383870967741938,31
17,4/1982,17.9694105,18.25333333333333,30
18,5/1982,15.873855645161289,16.232258064516127,31
19,6/1982,15.453108383333332,15.719999999999995,30
20,7/1982,14.278450774193551,14.509677419354835,31
21,8/1982,16.35529129032258,16.56129032258064,31
22,9/1982,17.800268433333333,18.54666666666667,30
23,10/1982,19.38363506451613,19.42258064516129,31
24,11/1982,20.050635566666664,20.293333333333337,30
25,12/1982,19.231689903225803,19.790322580645157,31
26,1/1983,20.021299266666666,20.296666666666667,30
27,2/1983,20.32607553571429,20.53214285714285,28
28,3/1983,19.730177645161294,19.92258064516129,31
29,4/1983,19.3100915,19.433333333333334,30
30,5/1983,17.936714516129033,17.73225806451613,31
31,6/1983,15.916555133333333,15.936666666666667,30
32,7/1983,15.056923741935483,14.83548387096774,31
33,8/1983,14.962139467741938,14.767741935483867,31
34,9/1983,18.793216166666664,19.21333333333333,30
35,10/1983,19.292102451612898,19.658064516129027,31
36,11/1983,19.403576933333333,19.626666666666672,30
37,12/1983,19.419916645161287,19.570967741935487,31
38,1/1984,19.05344774193549,19.367741935483867,31
39,2/1984,19.324561275862067,19.372413793103444,29
40,3/1984,19.65736187096774,20.212903225806453,31
41,4/1984,18.835371833333333,19.25666666666667,30
42,5/1984,17.332981096774194,17.496774193548386,31
43,6/1984,13.972841216666666,14.03333333333333,30
44,7/1984,13.734650306451613,14.383870967741933,31
45,8/1984,14.928263096774193,15.819354838709677,31
46,9/1984,16.66726226666667,17.37333333333333,30
47,10/1984,19.107447548387103,19.948387096774198,31
48,11/1984,19.752851400000004,20.406666666666663,30
49,12/1984,19.63532851612903,19.851612903225803,31
50,1/1985,19.560480870967737,19.919354838709676,31
51,2/1985,19.242022892857143,19.585714285714282,28
52,3/1985,19.758519451612898,20.24193548387097,31
53,4/1985,18.56312266666667,19.033333333333328,30
54,5/1985,17.117046274193545,17.600000000000005,31
55,6/1985,10.187936360000002,10.536666666666667,30
56,7/1985,12.476659516129029,13.219354838709675,31
57,8/1985,15.721972338709678,15.97096774193548,31
58,9/1985,18.052294966666672,18.803333333333338,30
59,10/1985,18.868176548387094,18.748387096774195,31
60,11/1985,19.36143076666667,19.423333333333336,30
61,12/1985,19.39629529032258,19.36129032258065,31
62,1/1986,19.335298322580645,19.677419354838708,31
63,2/1986,19.496610178571427,19.496428571428567,28
64,3/1986,19.213690466666666,19.556666666666665,30
65,4/1986,18.739881166666667,19.243333333333336,30
66,5/1986,17.36471880645161,18.012903225806447,31
67,6/1986,13.231173949999999,13.84333333333333,30
68,7/1986,13.36215822580645,14.20967741935484,31
69,8/1986,16.196536677419353,17.000000000000004,31
70,9/1986,17.0519272,18.089999999999996,30
71,10/1986,18.459887161290325,18.512903225806443,31
72,11/1986,18.729721966666663,19.166666666666675,30
73,12/1986,19.16029061290323,19.812903225806455,31
74,1/1987,18.904160258064515,19.761290322580646,31
75,2/1987,19.113514892857143,19.692857142857147,28
76,3/1987,19.02623590322581,19.480645161290326,31
77,4/1987,18.893947166666667,19.373333333333335,30
78,5/1987,17.417253548387094,17.554838709677416,31
79,6/1987,14.326561916666668,15.016666666666662,30
80,7/1987,13.396036112903227,14.080645161290319,31
81,8/1987,13.739500032258066,14.509677419354832,31
82,9/1987,17.9467713,19.246666666666666,30
83,10/1987,19.586662999999998,20.248387096774195,31
84,11/1987,19.434462466666666,20.110000000000003,30
85,12/1987,19.849562258064516,20.280645161290323,31
86,1/1988,20.02748877419355,20.203225806451613,31
87,2/1988,19.63247448275862,19.96896551724138,29
88,3/1988,19.70239287096774,20.029032258064518,31
89,4/1988,19.431615666666676,19.80333333333333,30
90,5/1988,17.379943258064518,17.558064516129033,31
91,6/1988,13.816522283333335,13.81333333333333,30
92,7/1988,12.924029532258063,13.348387096774186,31
93,8/1988,14.390678548387095,14.38064516129032,31
94,9/1988,17.957753899999997,17.949999999999992,30
95,10/1988,19.460965451612903,19.790322580645164,31
96,11/1988,19.312010333333337,19.56333333333333,30
97,12/1988,19.682831677419355,19.65483870967742,31
98,1/1989,19.59541377419355,19.683870967741935,31
99,2/1989,19.3149925,19.553571428571423,28
100,3/1989,19.364243935483866,19.396774193548385,31
101,4/1989,19.084707766666668,18.876666666666665,30
