,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.940728037037033,22.574074074074073,27
1,2/1980,22.233409130434787,21.90434782608695,23
2,3/1980,22.204204206896552,21.775862068965516,29
3,4/1980,21.147257866666664,21.779999999999994,30
4,5/1980,21.150923833333334,21.36666666666667,30
5,6/1980,20.360821857142856,19.86190476190476,21
6,7/1980,18.778920999999997,18.961290322580645,31
7,8/1980,18.560117800000004,18.683333333333334,30
8,9/1980,19.804972733333333,19.880000000000003,30
9,10/1980,20.36854363333333,20.41,30
10,11/1980,21.134004607142856,21.03571428571428,28
11,12/1980,21.514979967741933,21.393548387096775,31
12,1/1986,20.417740645161295,22.074193548387104,31
13,2/1986,20.380384035714286,22.578571428571433,28
14,3/1986,20.746008935483868,22.61612903225807,31
15,4/1986,20.78898596666667,22.44666666666667,30
16,5/1986,20.990511612903227,22.177419354838708,31
17,7/1986,20.088735161290316,20.070967741935487,31
18,8/1986,19.851875677419354,19.80322580645161,31
19,10/1986,20.48336938709678,20.632258064516133,31
20,12/1986,20.55277170967741,21.019354838709678,31
21,1/1987,20.499653774193554,21.196774193548386,31
22,2/1987,20.460441392857145,21.96785714285715,28
23,3/1987,20.536963903225804,22.71290322580645,31
24,4/1987,21.25008476666666,22.029999999999998,30
25,5/1987,21.562329370370374,22.16296296296296,27
26,6/1987,21.026276266666667,21.44333333333333,30
27,7/1987,20.168529193548384,20.90645161290323,31
28,8/1987,20.07851148387097,20.59032258064516,31
29,9/1987,20.292071766666663,20.92666666666667,30
30,10/1987,20.76423367741935,20.754838709677415,31
31,11/1987,21.608951600000005,21.65666666666667,30
32,1/1988,22.082254387096775,22.116129032258065,31
33,2/1988,21.980813862068963,22.120689655172413,29
34,3/1988,22.821932258064518,23.167741935483875,31
35,4/1988,22.285901766666665,22.90333333333333,30
36,5/1988,21.69803651612903,22.03548387096774,31
37,6/1988,20.731197666666667,21.023333333333333,30
38,8/1988,18.84125309677419,19.674193548387095,31
39,9/1988,19.358543333333337,19.93,30
40,11/1988,20.844940033333337,21.15666666666666,30
41,12/1988,21.711235806451608,22.051612903225802,31
42,1/1989,21.572327032258066,22.064516129032253,31
43,2/1989,21.98479760714286,22.45357142857143,28
44,3/1989,22.219710354838714,22.587096774193547,31
45,1/1993,21.857546935483875,21.499999999999996,31
46,2/1993,21.929294285714285,22.453571428571433,28
47,3/1993,22.27584000000001,22.200000000000003,31
48,4/1993,22.125527600000005,21.830000000000002,30
49,5/1993,21.05595725806451,20.761290322580646,31
50,11/1993,20.693784333333333,20.46666666666666,30
51,12/1993,20.837420129032264,21.167741935483868,31
52,1/1994,21.583838419354844,21.45806451612903,31
53,2/1994,21.681287750000003,21.86785714285714,28
54,3/1994,21.619363096774194,21.63548387096774,31
55,4/1994,21.464665666666654,21.23,30
56,6/1994,20.101279407407407,20.48518518518518,27
57,7/1994,19.706554709677423,19.596774193548384,31
58,8/1994,19.488196483870965,19.467741935483872,31
59,9/1994,19.888909599999998,19.806666666666665,30
60,10/1994,20.601365466666667,20.24,30
61,11/1994,20.4553052,19.956666666666663,30
62,12/1994,20.85424206451613,20.483870967741932,31
63,1/1995,20.960720870967744,21.145161290322577,31
64,2/1995,21.653767607142857,22.071428571428573,28
65,3/1995,21.979453999999997,22.51935483870967,31
66,4/1995,22.2799245,23.25,2
67,5/1995,21.073505,22.344444444444445,9
68,6/1995,20.383818633333338,21.283333333333335,30
69,7/1995,19.746357838709677,20.46451612903225,31
70,8/1995,19.769280709677414,20.332258064516125,31
71,9/1995,19.7074085,20.166666666666668,30
72,10/1995,20.792249870967748,20.770967741935486,31
73,11/1995,21.046495200000003,21.723333333333322,30
74,12/1995,21.996391838709677,22.680645161290318,31
75,1/1996,21.8333534516129,22.070967741935483,31
76,2/1996,22.31307742857143,22.425000000000004,28
77,3/1996,21.93152216129032,22.2,31
78,4/1996,21.46931216666666,21.889999999999997,30
79,5/1996,21.018289199999995,20.82,30
80,6/1996,19.919106566666663,19.83,30
81,7/1996,18.41012816129032,18.016129032258068,31
82,8/1996,18.492653870967736,17.732258064516127,31
83,9/1996,18.9580333,18.613333333333333,30
84,10/1996,20.36156438709677,20.193548387096772,31
85,11/1996,20.657788400000005,20.35,30
86,12/1996,21.29617825806451,21.59677419354838,31
87,1/1997,21.938302129032262,22.812903225806455,31
88,2/1997,21.36272857142857,22.24285714285715,28
89,3/1997,21.944734225806446,22.56129032258065,31
90,4/1997,21.893664066666666,22.22666666666667,30
91,5/1997,20.88668190322581,21.40645161290323,31
92,6/1997,20.347463733333328,20.726666666666667,30
93,7/1997,19.119759290322577,19.451612903225804,31
