,Data,TempMinPrevista,TempMinINMET,NumDias
0,1/1980,22.95156577777778,22.655555555555555,9
1,2/1980,23.846328500000002,23.3625,8
2,3/1980,24.322222000000004,24.423076923076923,13
3,4/1980,22.3136485,22.4,14
4,5/1980,20.886119041666667,20.9875,24
5,6/1980,19.48370086363636,19.41363636363636,22
6,7/1980,19.586099142857147,19.523809523809526,21
7,8/1980,20.04892420833333,20.099999999999998,24
8,9/1980,20.01744485714286,19.507142857142856,14
9,10/1980,22.507436916666666,21.808333333333334,12
10,11/1980,21.54013070588235,21.011764705882353,17
11,12/1980,22.752279666666666,22.122222222222224,9
12,1/1981,24.253189533333337,24.28666666666667,15
13,2/1981,23.753849739130434,23.521739130434778,23
14,3/1981,23.34591747368421,23.2,19
15,4/1981,21.578324333333327,21.3,18
16,5/1981,20.52487525,20.37142857142857,28
17,6/1981,19.03230490909091,18.599999999999998,11
18,7/1981,19.159043000000004,18.439999999999998,5
19,8/1981,19.994746749999997,19.85,4
20,9/1981,20.59133553846154,20.26923076923077,13
21,10/1981,20.86108778571429,20.699999999999996,14
22,11/1981,22.636587083333335,22.458333333333332,12
23,12/1981,23.81661141666667,23.241666666666664,12
24,1/1982,23.2122788,23.08,10
25,2/1982,23.345950333333334,22.909523809523808,21
26,3/1982,23.19981985714286,23.21428571428571,7
27,4/1982,20.145112500000003,19.43,10
28,5/1982,19.31276711764706,19.229411764705883,17
29,6/1982,19.83790027272727,19.963636363636365,11
30,7/1982,19.614355,19.985714285714288,7
31,8/1982,20.15266609090909,20.009090909090908,11
32,9/1982,19.8416718,19.309999999999995,10
33,10/1982,21.339178833333335,20.316666666666666,12
34,11/1982,23.393492,22.45714285714286,7
35,12/1982,24.36573866666667,23.5,3
36,1/1983,24.069649483870965,24.232258064516124,31
37,2/1983,23.923178928571428,23.639285714285716,28
38,3/1983,23.251646903225808,23.15483870967743,31
39,4/1983,21.98063146666667,21.913333333333334,30
40,5/1983,21.62857148387097,21.535483870967745,31
41,6/1983,19.385151999999998,19.33333333333333,30
42,7/1983,19.096941580645165,18.81612903225807,31
43,8/1983,18.161024161290328,18.083870967741934,31
44,9/1983,19.114848499999997,18.62666666666666,30
45,10/1983,20.627263580645163,20.216129032258067,31
46,11/1983,22.01964233333333,21.8,30
47,12/1983,23.041827645161288,22.796774193548387,31
48,1/1986,22.571461999999997,23.729032258064514,31
49,2/1986,23.099882071428567,24.567857142857147,28
50,4/1986,21.8169726,22.956666666666663,30
51,6/1986,19.737629200000004,19.3,30
52,7/1986,18.746477258064516,17.783870967741937,31
53,8/1986,19.878116612903227,19.95483870967742,31
54,9/1986,19.410020633333332,19.09666666666667,30
55,10/1986,20.026247709677424,19.812903225806448,31
56,11/1986,21.69456163333334,21.513333333333332,30
57,12/1986,22.238391580645157,23.067741935483877,31
58,1/1987,22.977373870967746,24.23225806451613,31
59,2/1987,22.722700321428572,23.821428571428577,28
60,3/1987,21.838312032258067,23.238709677419354,31
61,4/1987,22.064500166666672,23.279999999999998,30
62,5/1987,20.87895764516129,20.60322580645161,31
63,6/1987,19.388656299999997,18.189999999999998,30
64,7/1987,21.17929122580645,19.522580645161295,31
65,8/1987,19.595685225806445,18.012903225806447,31
66,9/1987,19.24443706666667,18.80666666666666,30
67,10/1987,20.506286032258064,20.335483870967742,31
68,11/1987,21.582313666666668,21.469999999999995,30
69,12/1987,22.48651935483871,23.225806451612897,31
70,1/1988,23.78890390322581,25.200000000000003,31
71,2/1988,22.600693551724138,24.01379310344828,29
72,3/1988,22.461934129032258,22.98709677419355,31
73,4/1988,21.975509266666666,22.076666666666664,30
74,5/1988,20.819915758620688,20.631034482758622,29
75,6/1988,19.175255599999996,17.420000000000005,30
76,7/1988,18.469343677419356,16.690322580645166,31
77,8/1988,19.36913451612903,18.212903225806457,31
78,9/1988,19.93124296666667,19.08,30
79,10/1988,19.85210287096774,19.848387096774193,31
80,11/1988,20.585196733333337,20.843333333333337,30
81,12/1988,21.429968838709673,22.225806451612904,31
82,1/1989,22.63045006451613,23.206451612903226,31
83,2/1989,22.811057962962966,23.69259259259259,27
84,3/1989,22.584697903225806,24.190322580645162,31
85,4/1989,22.237408655172416,22.886206896551723,29
86,5/1989,20.24003064516129,19.632258064516133,31
87,6/1989,19.812253800000004,18.723333333333336,30
88,7/1989,19.14626783870968,16.925806451612903,31
89,8/1989,19.57978848387097,18.638709677419357,31
90,9/1989,19.727309866666666,19.31666666666667,30
91,10/1989,19.179108636363633,19.636363636363633,22
92,11/1989,21.015165000000003,22.11666666666667,30
93,12/1989,21.373289322580643,22.000000000000004,31
94,1/1990,24.56551406451613,24.145161290322584,31
95,2/1990,23.442982607142856,23.27857142857143,28
96,3/1990,23.654368129032253,23.977419354838712,31
97,4/1990,23.806192166666662,23.963333333333335,30
98,5/1990,20.235128387096772,19.87096774193549,31
99,6/1990,19.2561684,18.766666666666666,30
100,7/1990,18.464943366666663,18.62,30
